S_NS1_Ca_028_v1v9_90	6.3.2.4
S_NS1_Ca_028_v1v9_91	5.99.1.3
S_NS1_Ca_028_v1v9_92	5.99.1.3
S_NS1_Ca_028_v1v9_93	2.5.1.49
S_NS1_Ca_028_v1v9_94	2.5.1.49
S_NS1_Ca_028_v1v9_95	2.5.1.47
S_NS1_Ca_028_v1v9_96	2.7.1.49
S_NS1_Ca_028_v1v9_97	2.7.4.7
S_NS1_Ca_028_v1v9_98	4.1.99.17
S_NS1_Ca_028_v1v9_99	6.3.1.2
S_NS1_Ca_028_v1v9_100	6.3.1.2
S_NS1_Ca_028_v1v9_101	2.4.2.7
S_NS1_Ca_028_v1v9_102	2.7.4.3
S_NS1_Ca_028_v1v9_103	3.4.21.89
S_NS1_Ca_028_v1v9_104	2.8.1.7
S_NS1_Ca_028_v1v9_105	2.8.1.7
S_NS1_Ca_028_v1v9_106	3.6.3.27
S_NS1_Ca_028_v1v9_107	3.6.3.27
S_NS1_Ca_028_v1v9_108	2.3.1.1
S_NS1_Ca_028_v1v9_109	5.4.99.23
S_NS1_Ca_028_v1v9_110	5.4.99.23
S_NS1_Ca_028_v1v9_111	5.1.3.2
S_NS1_Ca_028_v1v9_112	5.1.3.2
S_NS1_Ca_028_v1v9_113	4.2.1.11
S_NS1_Ca_028_v1v9_114	1.1.98.6
S_NS1_Ca_028_v1v9_115	3.5.2.3
S_NS1_Ca_028_v1v9_116	2.7.1.2
S_NS1_Ca_028_v1v9_117	2.7.1.2
S_NS1_Ca_028_v1v9_118	4.2.3.4
S_NS1_Ca_028_v1v9_119	4.2.3.4
S_NS1_Ca_028_v1v9_120	3.5.1.88
S_NS1_Ca_028_v1v9_121	3.5.1.88
S_NS1_Ca_028_v1v9_122	3.5.1.88
S_NS1_Ca_028_v1v9_123	1.97.1.4
S_NS1_Ca_028_v1v9_124	1.97.1.4
S_NS1_Ca_028_v1v9_125	1.97.1.4
S_NS1_Ca_028_v1v9_126	5.4.99.22
S_NS1_Ca_028_v1v9_127	2.7.1.90
S_NS1_Ca_028_v1v9_128	5.1.1.1
S_NS1_Ca_028_v1v9_129	3.1.11.6
S_NS1_Ca_028_v1v9_130	3.1.11.6
S_NS1_Ca_028_v1v9_131	2.1.1.63
S_NS1_Ca_028_v1v9_132	2.2.1.9
S_NS1_Ca_028_v1v9_133	2.2.1.9
S_NS1_Ca_028_v1v9_134	3.4.23.43
S_NS1_Ca_028_v1v9_135	6.1.1.10
S_NS1_Ca_028_v1v9_136	6.1.1.10
S_NS1_Ca_028_v1v9_137	1.2.7.3
S_NS1_Ca_028_v1v9_138	1.1.1.133
S_NS1_Ca_028_v1v9_139	3.5.99.6
S_NS1_Ca_028_v1v9_140	2.1.1.227
S_NS1_Ca_028_v1v9_141	2.1.1.226
S_NS1_Ca_028_v1v9_142	3.2.2.10
S_NS1_Ca_028_v1v9_143	3.2.2.10
S_NS1_Ca_028_v1v9_144	2.4.2.10
S_NS1_Ca_028_v1v9_145	3.6.1.27
S_NS1_Ca_028_v1v9_146	4.1.1.23
S_NS1_Ca_028_v1v9_147	6.1.1.12
S_NS1_Ca_028_v1v9_148	1.8.1.9
S_NS1_Ca_028_v1v9_149	4.3.1.17
S_NS1_Ca_028_v1v9_150	1.2.1.11
S_NS1_Ca_028_v1v9_151	2.5.1.29
S_NS1_Ca_028_v1v9_152	2.5.1.29
S_NS1_Ca_028_v1v9_153	2.5.1.10
S_NS1_Ca_028_v1v9_154	2.5.1.10
S_NS1_Ca_028_v1v9_155	2.5.1.1
S_NS1_Ca_028_v1v9_156	2.5.1.1
S_NS1_Ca_028_v1v9_157	2.4.2.19
S_NS1_Ca_028_v1v9_158	3.1.26.5
S_NS1_Ca_028_v1v9_159	4.2.1.136
S_NS1_Ca_028_v1v9_160	1.4.1.14
S_NS1_Ca_028_v1v9_161	1.4.1.13
S_NS1_Ca_028_v1v9_162	5.3.1.8
S_NS1_Ca_028_v1v9_163	4.6.1.12
S_NS1_Ca_028_v1v9_164	2.1.1.177
S_NS1_Ca_028_v1v9_165	5.1.99.6
S_NS1_Ca_028_v1v9_166	3.6.1.40
S_NS1_Ca_028_v1v9_167	3.4.23.36
S_NS1_Ca_028_v1v9_168	6.1.1.5
S_NS1_Ca_028_v1v9_169	2.7.1.33
S_NS1_Ca_028_v1v9_170	2.7.1.33
S_NS1_Ca_028_v1v9_171	2.1.2.9
S_NS1_Ca_028_v1v9_172	2.7.1.6
S_NS1_Ca_028_v1v9_173	3.1.11.2
S_NS1_Ca_028_v1v9_174	3.5.1.25
S_NS1_Ca_028_v1v9_175	3.5.1.124
S_NS1_Ca_028_v1v9_176	2.7.4.1
S_NS1_Ca_028_v1v9_177	3.6.1.11
S_NS1_Ca_028_v1v9_178	3.4.11.18
S_NS1_Ca_028_v1v9_179	3.4.11.18
S_NS1_Ca_028_v1v9_180	2.7.1.23
S_NS1_Ca_028_v1v9_181	6.3.2.17
S_NS1_Ca_028_v1v9_182	6.3.2.12
S_NS1_Ca_028_v1v9_183	1.4.1.4
S_NS1_Ca_028_v1v9_184	2.7.1.202
S_NS1_Ca_028_v1v9_185	2.7.1.202
S_NS1_Ca_028_v1v9_186	2.7.1.202
S_NS1_Ca_028_v1v9_187	2.3.1.54
S_NS1_Ca_028_v1v9_188	2.1.1.45
S_NS1_Ca_028_v1v9_189	4.4.1.16
S_NS1_Ca_028_v1v9_190	5.1.3.3
S_NS1_Ca_028_v1v9_191	5.1.3.3
S_NS1_Ca_028_v1v9_192	2.7.4.22
S_NS1_Ca_028_v1v9_193	1.2.1.12
S_NS1_Ca_028_v1v9_194	2.7.7.60
S_NS1_Ca_028_v1v9_195	6.1.1.2
S_NS1_Ca_028_v1v9_196	6.1.1.2
S_NS1_Ca_028_v1v9_197	2.7.1.4
S_NS1_Ca_028_v1v9_198	2.1.1.228
S_NS1_Ca_028_v1v9_199	1.20.4.1
S_NS1_Ca_028_v1v9_200	2.4.1.1
S_NS1_Ca_028_v1v9_201	2.4.1.1
S_NS1_Ca_028_v1v9_202	3.6.3.8
S_NS1_Ca_028_v1v9_203	4.2.1.46
S_NS1_Ca_028_v1v9_204	4.2.1.46
S_NS1_Ca_028_v1v9_205	2.7.7.24
S_NS1_Ca_028_v1v9_206	6.1.1.21
S_NS1_Ca_028_v1v9_207	2.7.2.3
S_NS1_Ca_028_v1v9_208	6.3.4.4
S_NS1_Ca_028_v1v9_209	2.1.2.2
S_NS1_Ca_028_v1v9_210	3.5.1.42
S_NS1_Ca_028_v1v9_211	2.7.1.40
S_NS1_Ca_028_v1v9_212	1.17.7.3
S_NS1_Ca_028_v1v9_213	1.17.7.1
S_NS1_Ca_028_v1v9_214	3.1.1.29
S_NS1_Ca_028_v1v9_215	6.1.1.7
S_NS1_Ca_028_v1v9_216	2.1.1.182
S_NS1_Ca_028_v1v9_217	6.3.3.1
S_NS1_Ca_028_v1v9_218	2.4.2.14
S_NS1_Ca_028_v1v9_219	4.1.1.36
S_NS1_Ca_028_v1v9_220	6.3.2.5
S_NS1_Ca_028_v1v9_221	3.1.3.100
S_NS1_Ca_028_v1v9_222	3.1.3.15
S_NS1_Ca_028_v1v9_223	2.7.4.8
S_NS1_Ca_028_v1v9_224	1.1.1.267
S_NS1_Ca_028_v1v9_225	2.7.7.3
S_NS1_Ca_028_v1v9_226	2.7.7.9
S_NS1_Ca_028_v1v9_227	2.5.1.72
S_NS1_Ca_028_v1v9_228	3.6.5.4
S_NS1_Ca_028_v1v9_229	6.1.1.11
S_NS1_Ca_028_v1v9_230	4.3.3.7
S_NS1_Ca_028_v1v9_231	1.17.1.8
S_NS1_Ca_028_v1v9_232	6.1.1.3
S_NS1_Ca_028_v1v9_233	2.4.1.129
S_NS1_Ca_028_v1v9_234	1.1.1.94
S_NS1_Ca_028_v1v9_235	6.1.1.6
S_NS1_Ca_028_v1v9_236	6.3.5.2
S_NS1_Ca_028_v1v9_237	6.3.5.2
S_NS1_Ca_028_v1v9_238	2.6.1.42
S_NS1_Ca_028_v1v9_239	4.1.2.13
S_NS1_Ca_028_v1v9_240	4.1.2.13
S_NS1_Ca_028_v1v9_241	4.1.1.20
S_NS1_Ca_028_v1v9_242	2.4.99.17
S_NS1_Ca_028_v1v9_243	1.1.1.95
S_NS1_Ca_028_v1v9_244	1.1.1.399
S_NS1_Ca_028_v1v9_245	6.1.1.22
S_NS1_Ca_028_v1v9_246	1.1.1.205
S_NS1_Ca_028_v1v9_247	4.2.1.10
S_NS1_Ca_028_v1v9_248	1.2.7.1
S_NS1_Ca_028_v1v9_249	1.2.7.1
S_NS1_Ca_028_v1v9_250	2.5.1.54
S_NS1_Ca_028_v1v9_251	2.5.1.54
S_NS1_Ca_028_v1v9_252	2.7.7.2
S_NS1_Ca_028_v1v9_253	2.7.1.26
S_NS1_Ca_028_v1v9_254	5.4.99.25
S_NS1_Ca_028_v1v9_255	3.1.3.7
S_NS1_Ca_028_v1v9_256	3.1.13.3
S_NS1_Ca_028_v1v9_257	3.1.22.4
S_NS1_Ca_028_v1v9_258	6.3.4.19
S_NS1_Ca_028_v1v9_259	2.3.1.8
S_NS1_Ca_028_v1v9_260	4.2.1.19
S_NS1_Ca_028_v1v9_261	2.7.6.1
S_NS1_Ca_028_v1v9_262	2.6.1.9
S_NS1_Ca_028_v1v9_263	2.4.1.18
