	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
171	PWY-6892	Week_and_consortia	NS1_w5w6	0.0661007432554278	0.0170982738095588	85	85	0.0002189665283141	0.0003882836693942	PWY-6892	thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis	Biosynthesis						
172	GOLPDLCAT-PWY	Week_and_consortia	NS1_w5w6	-0.202641290700271	0.0528928961136512	85	85	0.0002469548598498	0.0004353828454	GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
173	PWY-6386	Week_and_consortia	NS1_w5w6	0.0742641810041895	0.019411769760075	85	85	0.0002531666297692	0.0004437690924116	PWY-6386	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	Biosynthesis						
174	THRESYN-PWY	Week_and_consortia	NS1_w5w6	0.0668409676534348	0.0175688616222498	85	85	0.0002719617531542	0.0004739904840689	THRESYN-PWY	superpathway of L-threonine biosynthesis	Superpathways	Biosynthesis	Amino acid biosynthesis				
175	PWY-6143	Week_and_consortia	NS1_w5w6	-0.956795624822087	0.253196938242106	85	63	0.0002955782429702	0.0005098495943269	PWY-6143	CMP-pseudaminate biosynthesis // CMP-pseudaminic acid biosynthesis	Biosynthesis						
176	PWY0-1261	Week_and_consortia	NS1_w5w6	-0.129244383602432	0.0342046547527003	85	85	0.000295879928511	0.0005098495943269	PWY0-1261	peptidoglycan recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I // anhydromuropeptides recycling I	Degradation/utilization/assimilation						
177	PWY-6122	Week_and_consortia	NS1_w5w6	-0.0348761480465954	0.0095498183722842	85	85	0.0004542084038734	0.0007696309065633	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	Biosynthesis						
178	PWY-6277	Week_and_consortia	NS1_w5w6	-0.0348761480465954	0.0095498183722842	85	85	0.0004542084038734	0.0007696309065633	PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis (from PRPP)	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
179	PWY-7316	Week_and_consortia	NS1_w5w6	0.145425112804857	0.0397951214444951	85	85	0.0004529614516993	0.0007696309065633	PWY-7316	dTDP-<i>N</i>-acetylviosamine biosynthesis // dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-glucose biosynthesis	Biosynthesis						
180	PWY-5345	Week_and_consortia	NS1_w5w6	-0.159344279462488	0.0439216153150238	85	85	0.0004923393690197	0.0008296326384035	PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	Superpathways	Biosynthesis	Amino acid biosynthesis				
181	PWY4FS-7	Week_and_consortia	NS1_w5w6	-0.0621974062583645	0.0172532002875337	85	85	0.000533229552031	0.0008887159237454	PWY4FS-7	phosphatidylglycerol biosynthesis I (acyl-[acp] donor)	Superpathways	Biosynthesis	Fatty acid and lipid biosynthesis				
182	PWY4FS-8	Week_and_consortia	NS1_w5w6	-0.0621974062589776	0.0172532002875841	85	85	0.0005332295542472	0.0008887159237454	PWY4FS-8	phosphatidylglycerol biosynthesis II (acyl-CoA donor)	Superpathways	Biosynthesis	Fatty acid and lipid biosynthesis				
183	GLUCONEO-PWY	Week_and_consortia	NS1_w5w6	0.0252466421709358	0.0070547826970099	85	85	0.0005824458521152	0.0009654673092127	GLUCONEO-PWY	gluconeogenesis I	Biosynthesis						
184	P125-PWY	Week_and_consortia	NS1_w5w6	-0.435973158702332	0.123361924191187	85	85	0.0006717498297287	0.0011074794490122	P125-PWY	superpathway of (<i>R,R</i>)-butanediol biosynthesis (from pyruvate) // butylene glycol fermentation // butanediol fermentation	Superpathways	Biosynthesis	Other biosynthesis				
185	HISDEG-PWY	Week_and_consortia	NS1_w5w6	0.132242252637584	0.037850887499655	85	85	0.0007698205597892	0.0012623401652458	HISDEG-PWY	L-histidine degradation I	Degradation/utilization/assimilation						
186	PWY-5179	Week_and_consortia	NS1_w5w6	0.67290064080055	0.196864274602726	85	85	0.000983238678391	0.0016036780583383	PWY-5179	toluene degradation V (aerobic) (<I>via</I> toluene-<I>cis</I>-diol)	Degradation/utilization/assimilation	Superpathways					
187	PHOSLIPSYN-PWY	Week_and_consortia	NS1_w5w6	-0.0429035609319429	0.01318542314338	85	85	0.0016478283918512	0.0026733386144395	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis III (<i>E. coli</i>)	Superpathways	Biosynthesis	Fatty acid and lipid biosynthesis				
188	PWY-6163	Week_and_consortia	NS1_w5w6	-0.019198532679165	0.006066933023206	85	85	0.0021721791375392	0.003505368449468	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	Biosynthesis						
189	PWY0-41	Week_and_consortia	NS1_w5w6	0.226593419436138	0.0722386058320425	85	85	0.0023695132295269	0.0038036922895037	PWY0-41	allantoin degradation IV (anaerobic)	Degradation/utilization/assimilation	Superpathways					
190	PWY0-1298	Week_and_consortia	NS1_w5w6	0.179717388094189	0.0574506249250478	85	85	0.0024261799834695	0.0038742664657498	PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation	Degradation/utilization/assimilation	Superpathways					
191	HSERMETANA-PWY	Week_and_consortia	NS1_w5w6	0.0494124950007808	0.0158335064808669	85	85	0.0024817079385552	0.0039422964648924	HSERMETANA-PWY	L-methionine biosynthesis III // L-methionine biosynthesis by sulfhydrylation	Superpathways	Biosynthesis	Amino acid biosynthesis				
192	P108-PWY	Week_and_consortia	NS1_w5w6	0.0345256603468563	0.0111885158632571	85	85	0.0027582648872197	0.0043589160134819	P108-PWY	pyruvate fermentation to propanoate I // succinate-propionate fermentation pathway // pyruvate fermentation to propionate I // succinate-propanoate fermentation pathway // pyruvic acid fermentation to propanoic acid I	Generation of precursor metabolites and energy						
193	PWY-6387	Week_and_consortia	NS1_w5w6	0.0414940858205979	0.013733280737038	85	85	0.0033538159690608	0.0052727519101213	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Biosynthesis						
194	PWY-5973	Week_and_consortia	NS1_w5w6	-0.0175025175832356	0.0058193960833295	85	85	0.0034939902729065	0.0054649591448024	PWY-5973	<i>cis</i>-vaccenate biosynthesis // <i>cis</i> vaccenic acid acid biosynthesis	Biosynthesis						
195	PWY-6353	Week_and_consortia	NS1_w5w6	-0.126181674811942	0.0421832733384226	85	85	0.0036566668627311	0.0056902213935356	PWY-6353	purine nucleotides degradation II (aerobic) // purine nucleotides catabolism	Degradation/utilization/assimilation	Superpathways					
196	SER-GLYSYN-PWY	Week_and_consortia	NS1_w5w6	0.0852158448424298	0.0288412235203175	85	85	0.0040797068120674	0.0063162973486323	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	Superpathways	Biosynthesis	Amino acid biosynthesis				
197	PWY-6385	Week_and_consortia	NS1_w5w6	0.0349086312361352	0.0119056793066237	85	85	0.0043610181503969	0.0067177299791467	PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	Superpathways	Biosynthesis	Cell structure biosynthesis				
198	PWY-5384	Week_and_consortia	NS1_w5w6	-0.20042977333031	0.068533694934997	85	85	0.0044542997393539	0.0068269418115726	PWY-5384	sucrose degradation IV (sucrose phosphorylase)	Degradation/utilization/assimilation						
199	SULFATE-CYS-PWY	Week_and_consortia	NS1_w5w6	0.030630955310678	0.0105800356366773	85	85	0.0048416141261202	0.0073834615423333	SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	Degradation/utilization/assimilation	Superpathways					
200	PWY-7237	Week_and_consortia	NS1_w5w6	-0.340952000205428	0.118601389794138	85	85	0.005134749832159	0.0077915358149677	PWY-7237	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	Degradation/utilization/assimilation						
201	GALACTUROCAT-PWY	Week_and_consortia	NS1_w5w6	0.076549996424054	0.0270548884097168	85	85	0.0058569107307286	0.0088433553112487	GALACTUROCAT-PWY	D-galacturonate degradation I // D-galacturonate catabolism // D-galacturonate degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
202	PWY-622	Week_and_consortia	NS1_w5w6	-0.084903613419864	0.0302430891539983	85	85	0.0062338741567193	0.0093661656049231	PWY-622	starch biosynthesis	Glycan pathways	Biosynthesis	Carboxylic acid biosynthesis				
203	SO4ASSIM-PWY	Week_and_consortia	NS1_w5w6	-0.141583125868659	0.0521030328971238	85	85	0.0080078727075331	0.0119725547833215	SO4ASSIM-PWY	assimilatory sulfate reduction I	Degradation/utilization/assimilation	Superpathways					
204	PEPTIDOGLYCANSYN-PWY	Week_and_consortia	NS1_w5w6	0.0281623755574371	0.0109030665739822	85	85	0.0115683372400096	0.0172114285765996	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	Superpathways	Biosynthesis	Cell structure biosynthesis				
205	P562-PWY	Week_and_consortia	NS1_w5w6	-0.304369764607292	0.11796809187505	85	85	0.0116378036294158	0.0172307286746205	P562-PWY	<I>myo</I>-inositol degradation I	Degradation/utilization/assimilation						
206	GLUCOSE1PMETAB-PWY	Week_and_consortia	NS1_w5w6	0.0747547534670395	0.0294597904211589	85	85	0.0130502643168034	0.0191362048876204	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	Degradation/utilization/assimilation						
207	PWY-3001	Week_and_consortia	NS1_w5w6	0.0298492588046077	0.0117569600859108	85	85	0.0130033044260002	0.0191362048876204	PWY-3001	superpathway of L-isoleucine biosynthesis I	Superpathways	Biosynthesis	Amino acid biosynthesis				
208	PWY-6507	Week_and_consortia	NS1_w5w6	0.0805267446316092	0.0321656168325545	85	85	0.0142752208044977	0.0208322600257024	PWY-6507	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation // 5-dehydro-4-deoxy-D-glucuronate degradation	Degradation/utilization/assimilation						
209	PWY-7208	Week_and_consortia	NS1_w5w6	-0.019027676044088	0.0077031045676454	85	85	0.0155545513772439	0.02259113414314	PWY-7208	superpathway of pyrimidine nucleobases salvage	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
210	LACTOSECAT-PWY	Week_and_consortia	NS1_w5w6	0.381779917993976	0.160324203775053	85	85	0.0195655581300932	0.0282819679131679	LACTOSECAT-PWY	lactose degradation I // lactose 6-P degradation I // lactose 6-phosphate degradation // lactose 6'-phosphate degradation	Degradation/utilization/assimilation						
211	PWY-5154	Week_and_consortia	NS1_w5w6	0.0376472034088559	0.0158710076828597	85	85	0.020002261985357	0.0286417366456991	PWY-5154	L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	Biosynthesis						
212	PWY-7209	Week_and_consortia	NS1_w5w6	-0.175116733050876	0.0738090048304841	85	85	0.0199773756840504	0.0286417366456991	PWY-7209	superpathway of pyrimidine ribonucleosides degradation	Degradation/utilization/assimilation	Superpathways					
213	PYRIDNUCSAL-PWY	Week_and_consortia	NS1_w5w6	0.0266868836350773	0.01141338409039	85	85	0.0218067088268667	0.0310796551037119	PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle) // pyridine nucleotide cycling // nicotinamide adenine dinucleotide salvage	Biosynthesis						
214	GALACTARDEG-PWY	Week_and_consortia	NS1_w5w6	0.131712657792838	0.0568383006251711	85	85	0.0229494531555929	0.0324054778354437	GALACTARDEG-PWY	D-galactarate degradation I // D-galactarate catabolism	Degradation/utilization/assimilation						
215	GLUCARGALACTSUPER-PWY	Week_and_consortia	NS1_w5w6	0.131712657792838	0.0568383006251711	85	85	0.0229494531555929	0.0324054778354437	GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation // D-glucarate and D-galactarate catabolism super-pathway // aldarate catabolism	Superpathways						
216	PWY-6749	Week_and_consortia	NS1_w5w6	-0.232764022524485	0.103765212750419	85	85	0.0275496676403761	0.0387218830890079	PWY-6749	CMP-legionaminate biosynthesis I // CMP-legionaminic acid biosynthesis I // 5,7-diacetamido-3,5,7,9-tetradeoxy-D-<i>glycero</i>-D-<i>galacto</i>-nonulosonic acid biosynthesis I // CMP-<i>N</i>, <i>N</i>-diacetyllegionaminate biosynthesis I	Biosynthesis						
217	PWY-6121	Week_and_consortia	NS1_w5w6	-0.019291195511478	0.0086521540915703	85	85	0.0284929615524029	0.0398640058416645	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	Biosynthesis						
218	PWY-5022	Week_and_consortia	NS1_w5w6	0.1591718219656	0.071993912708842	85	85	0.0297930320490605	0.0414925788811117	PWY-5022	4-aminobutanoate degradation V // GABA degradation // 4-aminobutyrate degradation V // 4-aminobutanoic acid degradation V	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
219	PWY-7399	Week_and_consortia	NS1_w5w6	0.20165394096507	0.0916712764930635	85	85	0.0306301865289409	0.042464576778759	PWY-7399	methylphosphonate degradation II	Degradation/utilization/assimilation						
220	PWY-5860	Week_and_consortia	NS1_w5w6	-0.0820162280165308	0.0377987897961822	85	85	0.0328799895985634	0.0451729586827109	PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I // superpathway of demethylmenaquinone-6 biosynthesis	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
221	PWY-5862	Week_and_consortia	NS1_w5w6	-0.0820162280165308	0.0377987897961822	85	85	0.0328799895985634	0.0451729586827109	PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis // superpathway of demethylmenaquinone-9 biosynthesis	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
