"","Plate1_1030R_0_M_NS1_week10_S77_L001","Plate1_1030R_R_M_NS1_week10_S78_L001","Plate1_2472R_0_F_NS1_week10_S73_L001","Plate1_2472R_R_F_NS1_week10_S74_L001","Plate1_3874R_0_F_NS1_week10_S75_L001","Plate1_3874R_L_F_NS1_week10_S76_L001","Plate1_3974R_0_M_NS1_week10_S79_L001","Plate1_3974R_L_M_NS1_week10_S80_L001","Plate2_036R_R_M_NS1_week5_S18_L001","Plate2_036R_R_M_NS1_week9_S21_L001","Plate2_1030R_L_M_NS1_week5_S22_L001","Plate2_1030R_L_M_NS1_week9_S25_L001","Plate2_1121R_0_M_NS1_week5_S26_L001","Plate2_1121R_0_M_NS1_week9_S29_L001","Plate2_1151R_R_M_NS1_week5_S30_L001","Plate2_1151R_R_M_NS1_week9_S33_L001","Plate2_1193R_R_F_NS1_week5_S1_L001","Plate2_1193R_R_F_NS1_week9_S4_L001","Plate2_2529R_R_F_NS1_week5_S5_L001","Plate2_2529R_R_F_NS1_week9_S8_L001","Plate2_3861R_R_M_NS1_week9_S34_L001","Plate2_3971R_L_F_NS1_week5_S9_L001","Plate2_3971R_L_F_NS1_week9_S12_L001","Plate2_3975R_0_F_NS1_week9_S13_L001","Plate2_3975R_R_F_NS1_week5_S14_L001","Plate2_3975R_R_F_NS1_week9_S17_L001","Plate4_036R_0_M_NS1_S62_L001","Plate4_036R_0_M_NS1_week5_S41_L001","Plate4_036R_L_M_NS1_S63_L001","Plate4_036R_L_M_NS1_week5_S42_L001","Plate4_036R_RL_M_NS1_S64_L001","Plate4_036R_RL_M_NS1_week5_S43_L001","Plate4_036R_RR_M_NS1_S65_L001","Plate4_036R_RR_M_NS1_week5_S44_L001","Plate4_1030R_RR_M_NS1_week5_S45_L001","Plate4_1030R_RR_M_NS1_week9_S66_L001","Plate4_1121R_L_M_NS1_week5_S46_L001","Plate4_1121R_L_M_NS1_week9_S67_L001","Plate4_1121R_RL_M_NS1_week5_S48_L001","Plate4_1121R_RL_M_NS1_week9_S69_L001","Plate4_1121R_RR_M_NS1_week5_S49_L001","Plate4_1121R_RR_M_NS1_week9_S70_L001","Plate4_1121R_R_M_NS1_week5_S47_L001","Plate4_1121R_R_M_NS1_week9_S68_L001","Plate4_1151R_0_M_NS1_week5_S50_L001","Plate4_1151R_0_M_NS1_week9_S71_L001","Plate4_1193R_0_F_NS1_week5_S51_L001","Plate4_1193R_0_F_NS1_week9_S72_L001","Plate4_1193R_L_F_NS1_week5_S52_L001","Plate4_1193R_L_F_NS1_week9_S73_L001","Plate4_2529R_0_F_NS1_week5_S53_L001","Plate4_2529R_0_F_NS1_week9_S74_L001","Plate4_2529R_L_F_NS1_week5_S54_L001","Plate4_2529R_L_F_NS1_week9_S75_L001","Plate4_2529R_RL_F_NS1_week5_S55_L001","Plate4_2529R_RL_F_NS1_week9_S76_L001","Plate4_3861R_0_M_NS1_week5_S56_L001","Plate4_3861R_0_M_NS1_week9_S77_L001","Plate4_3861R_L_M_NS1_week5_S57_L001","Plate4_3861R_L_M_NS1_week9_S78_L001","Plate4_3861R_R_M_NS1_week5_S58_L001","Plate4_3971R_0_F_NS1_week5_S59_L001","Plate4_3971R_0_F_NS1_week9_S79_L001","Plate4_3971R_RL_F_NS1_week9_S81_L001","Plate4_3971R_R_F_NS1_week9_S80_L001","Plate4_3975R_0_F_NS1_week5_S60_L001","Plate4_3975R_L_F_NS1_week5_S61_L001","Plate4_3975R_L_F_NS1_week9_S82_L001","Plate4_3975R_RL_F_NS1_week9_S83_L001","Plate5_2808_NS1_0_Female_week5_S37_L001","Plate5_2808_NS1_0_Female_week9_S49_L001","Plate5_2808_NS1_L_Female_week5_S38_L001","Plate5_2808_NS1_L_Female_week9_S50_L001","Plate5_2808_NS1_RR_Female_week5_S40_L001","Plate5_2808_NS1_RR_Female_week9_S52_L001","Plate5_2808_NS1_R_Female_week5_S39_L001","Plate5_2808_NS1_R_Female_week9_S51_L001","Plate5_2824_NS1_0_Male_week5_S43_L001","Plate5_2824_NS1_0_Male_week9_S55_L001","Plate5_2824_NS1_L_Male_week5_S44_L001","Plate5_2824_NS1_L_Male_week9_S56_L001","Plate5_2824_NS1_R_Male_week5_S45_L001","Plate5_2824_NS1_R_Male_week9_S57_L001","Plate5_2864_NS1_R_Male_week5_S46_L001","Plate5_2864_NS1_R_Male_week9_S58_L001","Plate5_2893_NS1_0_Male_week5_S47_L001","Plate5_2893_NS1_0_Male_week9_S59_L001","Plate5_2893_NS1_R_Male_week5_S48_L001","Plate5_2893_NS1_R_Male_week9_S60_L001","Plate5_2999_NS1_0_Female_week5_S41_L001","Plate5_2999_NS1_0_Female_week9_S53_L001","Plate5_2999_NS1_R_Female_week5_S42_L001","Plate5_2999_NS1_R_Female_week9_S54_L001"
"Parabacteroides_merdae",3870,3007,3117,3383,3746,3763,2914,1630,2735,3917,1796,3800,858,3073,1944,4061,1225,5406,1446,2218,4328,1804,4006,1824,1590,4487,1535,2278,1523,2464,2698,2171,4603,2282,1430,3311,1480,2729,1781,3325,813,3454,1076,3503,1247,3084,1314,3487,1508,1597,1252,1975,846,2991,1329,2172,1909,2780,1620,3943,1685,1655,2653,3507,2693,947,942,3571,2898,6023,3629,2640,3214,1231,3103,3266,2947,2238,5378,1863,2922,2404,2300,2288,5058,2491,4272,2717,5416,1480,2530,3340,3853
"Parabacteroides_distasonis",3624,2524,2572,3787,3271,2905,3168,4309,2367,2992,5417,2546,1456,2926,4148,4425,2768,8147,1567,3023,7719,2389,3814,6794,2593,4646,3328,3230,2609,3402,2022,3348,4468,2610,2551,4738,2729,3245,2146,3461,1434,3879,1773,3114,2057,3351,2245,2757,2388,3611,2255,3027,2542,3656,3426,3090,2709,2962,1562,3630,1889,2154,3014,2250,3186,2382,2705,3378,2483,6059,4714,3176,3331,1065,2046,3545,2264,2507,5019,2319,2199,2238,2030,1663,6355,1367,3239,2163,4544,1430,1999,4114,2824
"Enterocloster_bolteae/clostridioformis",2074,1893,2244,2157,2095,3242,2495,2058,3554,3180,7119,2950,1701,3116,5135,4586,3761,2374,2454,1943,4205,1958,4383,3293,3116,4024,3272,2910,1972,3101,1393,3369,2540,2549,2280,3243,2148,1705,1854,2214,945,3467,1647,3012,2648,2245,3421,4501,2536,3428,2304,2011,2057,2207,2327,1356,3756,1280,3213,2210,2990,1850,2641,1579,4990,2481,2548,2486,3937,5781,5678,3314,4070,1873,3895,4126,3398,2629,4241,3045,3332,4457,3902,2814,3850,2317,3992,2714,5619,1911,3216,4948,4296
"Phocaeicola_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_thetaiotaomicron",5782,4844,5347,5181,5727,4413,4769,6839,3103,5164,4112,4537,901,4004,2625,5209,2315,9664,2478,4994,8396,3291,5312,9081,4767,7288,4969,2872,4102,2706,3857,3181,6077,3796,2882,5389,2865,4433,3266,5824,1643,5311,1886,4322,1372,4732,2020,3671,1745,4819,2288,5437,2203,4366,2049,4536,2175,4517,1775,3991,2306,2183,4485,3261,2527,2769,3031,5747,3386,6726,6384,3656,6026,1497,5239,5958,4973,2732,8765,3315,5360,2632,7305,2618,10323,2923,7318,2664,8431,1893,4355,6176,6991
"Parabacteroides_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",573,526,552,758,179,387,423,896,132,464,46,269,37,516,44,250,19,292,59,406,682,85,427,778,98,297,223,82,246,93,269,122,397,96,33,152,38,506,41,433,16,655,40,376,0,245,20,219,24,215,0,478,19,247,18,350,31,415,36,333,36,101,328,378,135,39,36,308,201,184,724,146,277,41,656,69,317,109,849,50,409,151,331,69,1195,201,339,76,707,84,156,95,1354
"Sarcina_perfringens",833,279,544,619,850,176,1078,1105,647,792,408,854,415,1002,169,213,92,174,1436,1886,211,1438,446,479,456,576,182,536,203,357,167,698,98,1491,362,188,428,362,336,762,585,724,400,297,26,1942,608,71,96,52,48,488,45,277,130,920,732,60,243,113,2267,878,339,227,33,1000,938,407,228,3169,998,1841,317,564,1677,4643,1451,591,1754,4626,667,7614,1626,333,1298,1647,1126,1880,2348,840,982,3015,3007
"Sutterella_wadsworthensis",2013,1744,1185,1452,1849,1398,1646,2037,352,477,721,545,397,658,394,754,409,1082,228,784,549,1160,340,426,906,482,239,449,519,614,415,770,566,1096,512,641,305,375,368,320,139,659,238,181,255,772,120,139,177,384,554,441,230,519,211,516,433,264,119,739,855,771,416,425,109,648,921,601,218,714,369,678,246,209,223,1247,338,617,894,663,610,526,238,476,893,563,406,641,638,411,233,812,400
"Flavonifractor_plautii",699,553,762,749,604,569,731,552,853,787,1258,688,761,715,1035,951,1160,1277,481,638,1220,731,883,1059,780,1086,792,665,574,587,528,666,883,757,652,637,719,747,591,793,482,896,515,888,963,654,889,721,883,715,673,468,888,510,1037,511,769,724,594,694,701,579,741,846,878,537,740,985,790,1977,1205,839,852,349,651,979,683,609,1147,809,505,908,715,577,900,493,854,507,1222,455,548,1067,856
