"","Plate1_1174R_0_M_S2_week9_S56_L001","Plate1_160R_0_F_S2_week10_S49_L001","Plate1_160R_L_F_S2_week10_S50_L001","Plate1_2446R_0_F_S2_week9_S55_L001","Plate1_3795R_R_F_S2_week10_S51_L001","Plate1_3896R_0_M_S2_week10_S52_L001","Plate1_3896R_L_M_S2_week10_S53_L001","Plate1_3909R_R_M_S2_week10_S54_L001","Plate2_073R_0_M_S2_week5_S52_L001","Plate2_073R_0_M_S2_week9_S55_L001","Plate2_1067R_R_M_S2_week5_S56_L001","Plate2_1067R_R_M_S2_week9_S59_L001","Plate2_1152R_0_M_S2_week9_S60_L001","Plate2_2404R_R_F_S2_week5_S35_L001","Plate2_2404R_R_F_S2_week9_S38_L001","Plate2_2446R_L_F_S2_week5_S39_L001","Plate2_2446R_L_F_S2_week9_S42_L001","Plate2_3795R_0_F_S2_week5_S43_L001","Plate2_3795R_0_F_S2_week9_S46_L001","Plate2_3909R_0_M_S2_week5_S61_L001","Plate2_3909R_0_M_S2_week9_S64_L001","Plate2_3918R_R_M_S2_week5_S65_L001","Plate2_3918R_R_M_S2_week9_S68_L001","Plate2_3969R_0_F_S2_week5_S47_L001","Plate2_3969R_0_F_S2_week9_S50_L001","Plate2_3980R_0_F_S2_week9_S51_L001","Plate3_073R_R_M_S2_Pellet_week9_S61_L001","Plate3_073R_R_M_S2_week5_S33_L001","Plate3_1067R_0_M_S2_week5_S34_L001","Plate3_1067R_0_M_S2_week9_S62_L001","Plate3_1067R_L_M_S2_week5_S35_L001","Plate3_1067R_L_M_S2_week9_S63_L001","Plate3_1152R_0_M_S2_week5_S36_L001","Plate3_1152R_L_M_S2_week5_S37_L001","Plate3_1152R_L_M_S2_week9_S64_L001","Plate3_1152R_R_M_S2_week5_S38_L001","Plate3_1152R_R_M_S2_week9_S65_L001","Plate3_1174R_0_M_S2_week5_S39_L001","Plate3_2404R_0_F_S2_week5_S40_L001","Plate3_2404R_0_F_S2_week9_S66_L001","Plate3_2404R_L_F_S2_week5_S41_L001","Plate3_2404R_L_F_S2_week9_S67_L001","Plate3_2446R_0_F_S2_week5_S42_L001","Plate3_2446R_RL_F_S2_Pellet_week9_S69_L001","Plate3_2446R_RL_F_S2_week5_S44_L001","Plate3_2446R_R_F_S2_Pellet_week9_S68_L001","Plate3_2446R_R_F_S2_week5_S43_L001","Plate3_2453R_0_F_S2_Pellet_week9_S70_L001","Plate3_2453R_0_F_S2_week5_S45_L001","Plate3_2453R_L_F_S2_Pellet_week9_S71_L001","Plate3_2453R_L_F_S2_week5_S46_L001","Plate3_2453R_R_F_S2_Pellet_week9_S72_L001","Plate3_2453R_R_F_S2_week5_S47_L001","Plate3_3795R_L_F_S2_week5_S48_L001","Plate3_3795R_L_F_S2_week9_S73_L001","Plate3_3880R_0_F_S2_week5_S49_L001","Plate3_3880R_0_F_S2_week9_S74_L001","Plate3_3880R_L_F_S2_week5_S50_L001","Plate3_3880R_L_F_S2_week9_S75_L001","Plate3_3880R_R_F_S2_week5_S51_L001","Plate3_3880R_R_F_S2_week9_S76_L001","Plate3_3909R_L_M_S2_week5_S52_L001","Plate3_3909R_L_M_S2_week9_S77_L001","Plate3_3918R_0_M_S2_week5_S53_L001","Plate3_3918R_0_M_S2_week9_S78_L001","Plate3_3918R_L_M_S2_week5_S54_L001","Plate3_3918R_L_M_S2_week9_S79_L001","Plate3_3918R_RL_M_S2_week5_S55_L001","Plate3_3918R_RL_M_S2_week9_S80_L001","Plate3_3918R_RR_M_S2_week5_S56_L001","Plate3_3918R_RR_M_S2_week9_S81_L001","Plate3_3969R_R_F_S2_Pellet_week9_S82_L001","Plate3_3969R_R_F_S2_week5_S57_L001","Plate3_3980R_0_F_S2_week5_S58_L001","Plate3_3980R_L_F_S2_Pellet_week9_S83_L001","Plate3_3980R_L_F_S2_week5_S59_L001","Plate3_3980R_R_F_S2_Pellet_week9_S84_L001","Plate3_3980R_R_F_S2_week5_S60_L001","Plate5_048R_S2_R_Female_week5_S61_L001","Plate5_048R_S2_R_Female_week9_S75_L001","Plate5_1050R_S2_L_Male_week5_S68_L001","Plate5_1050R_S2_L_Male_week9_S82_L001","Plate5_1050R_S2_RR_Male_week5_S70_L001","Plate5_1050R_S2_RR_Male_week9_S84_L001","Plate5_1050R_S2_R_Male_week5_S69_L001","Plate5_1050R_S2_R_Male_week9_S83_L001","Plate5_1127R_S2_0_Female_week5_S62_L001","Plate5_1127R_S2_0_Female_week9_S76_L001","Plate5_1127R_S2_R_Female_week5_S63_L001","Plate5_1127R_S2_R_Female_week9_S77_L001","Plate5_2514R_S2_L_Male_week5_S71_L001","Plate5_2514R_S2_L_Male_week9_S85_L001","Plate5_2514R_S2_R_Male_week5_S72_L001","Plate5_2514R_S2_R_Male_week9_S86_L001","Plate5_3995R_S2_0_Female_week5_S64_L001","Plate5_3995R_S2_0_Female_week9_S78_L001","Plate5_3995R_S2_L_Female_week5_S65_L001","Plate5_3995R_S2_L_Female_week9_S79_L001","Plate5_3995R_S2_RR_Female_week5_S67_L001","Plate5_3995R_S2_RR_Female_week9_S81_L001","Plate5_3995R_S2_R_Female_week5_S66_L001","Plate5_3995R_S2_R_Female_week9_S80_L001","Plate5_3997R_S2_L_Male_week5_S73_L001","Plate5_3997R_S2_L_Male_week9_S87_L001","Plate5_3997R_S2_R_Male_week5_S74_L001","Plate5_3997R_S2_R_Male_week9_S88_L001"
"Staphylococcus_capitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_NA",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_NA",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eisenbergiella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,6,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_NA",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_B_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungatella_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
"NA_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_A_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"NA_NA.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
