Reaction	EC-Number	In-Pathway	Common-Name	Names	Enzymes of a reaction
RXN-22443		RXN-20709 // RXN-12886 // RXN0-6444		Chemical Reactions	CPLX-9054 // G6523-MONOMER
RXN-13909	EC-1.5.1.34	PWY-7158		Chemical Reactions	
RXN-23277	EC-2.1.1.M98	PWY-8381		Chemical Reactions	MONOMER-124147
RXN-23489		PWY-8399		Chemical Reactions	
RXN-8330	EC-1.14.19.22	PWY-762		Chemical Reactions	CPLX-1902
RXN-20570	EC-1.11.1.12	PWY-8411 // PWY-8410 // PWY-8397		Chemical Reactions	HS09562-MONOMER
RXN-20342	EC-4.2.1.134	PWY-8041		Chemical Reactions	AT5G10480-MONOMER // MONOMER3O-85 // CPLX-7066 // MONOMER-17592 // CPLX66-275 // CPLX-8704 // MONOMER-18955 // MONOMER-124751
R147-RXN	EC-1.13.11.54	PWY-4361		Chemical Reactions	CPLX-7209 // MONOMER-1323
RXN-18262	EC-2.8.2	PWY-7831		Chemical Reactions	ENSG00000175040-MONOMER // HS10902-MONOMER
RXN66-475	EC-4.1.2.63	PWY66-388		Chemical Reactions	CPLX66-274
2.1.1.64-RXN	EC-2.1.1.64	PWY-5856 // PWY-5871		Chemical Reactions	AT2G30920-MONOMER // MONOMER-13874
RXN-21951	EC-2.3.1		acetylation to form <i>Salmonella</i> O:30 (Landau) O antigen	Chemical Reactions	
RXN-8504	EC-4.2.1.183	PWY-5409		Chemical Reactions	MONOMER-12737
RXN-6263	EC-3.8.1.11			Chemical Reactions	
RXN-21189	EC-1.3.3.16			Chemical Reactions	
RXN-15760	EC-5.4.99			Chemical Reactions	CPLX-8508
RXN-664	EC-1.14.12.25	PWY-5163		Chemical Reactions	CPLX-527
RXN-10481	EC-2.5.1.92	PWY-6244		Chemical Reactions	MONOMER-14834
RXN-19960	EC-6.2.1.3			Chemical Reactions	ACYLCOASYN-CPLX // HS01349-MONOMER // HS02532-MONOMER // AT3G05970-MONOMER // AT5G27600-MONOMER // AT1G64400-MONOMER // AT2G04350-MONOMER // AT2G47240-MONOMER // AT4G11030-MONOMER // AT4G23850-MONOMER // AT1G77590-MONOMER // MONOMER-14442 // MONOMER-17305 // HS07766-MONOMER // HS06695-MONOMER // HS04703-MONOMER
RXN-18218	EC-3.2.1.147			Chemical Reactions	AT5G26000-MONOMER // AT5G25980-MONOMER // CPLX-7120 // CPLX-7121
RXN-19525				Chemical Reactions	
RXN-9131		PWY-5811		Chemical Reactions	
RXN-23120	EC-2.5.1.156	PWY-8365		Chemical Reactions	MONOMER-22056
1.1.1.271-RXN	EC-1.1.1.271			Small-Molecule Reactions	CPLX0-3881 // AT1G73250-MONOMER
RXN-11597	EC-2.1.1.184			Chemical Reactions	MONOMER-17659
NITRITE-REDUCTASE-CYTOCHROME-RXN	EC-1.7.2.1	PWY-6748 // PWY-7084 // P303-PWY // PWY-6523		Chemical Reactions	CPLX-9430 // CPLX-8569 // MONOMER-17554 // CPLX-8527 // CPLX-7982 // CPLX-7503
RXN-11181	EC-1.3.3.11	PWY-6420		Chemical Reactions	CPLX-7987
2.4.99.11-RXN	EC-2.4.3.1	PWY-7836		Chemical Reactions	HS01118-MONOMER
MALTET-RXN				Chemical Reactions	
RXN-14959	EC-2.8.1.8	PWY-7382		Chemical Reactions	BSU32330-MONOMER // YOR196C-MONOMER
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.61	PWY-5022 // PWY-5677		Chemical Reactions	CPLX0-7794 // MONOMER-13486 // CPLX-7509
RXN-5642	EC-2.1.1.103	PWY4FS-2 // PWY4FS-4 // PWY-3385		Chemical Reactions	MONOMER4FS-2 // MONOMER-7821 // AT3G18000-MONOMER
RXN-23129	EC-2.4.1	PWY-8365		Chemical Reactions	
RXN-15459		PWY-6540 // RXN-8971		Chemical Reactions	
RXN-9162	EC-3.2.1	PWY-5821		Chemical Reactions	CPLX-8512
RXN-15951	EC-6.3.2	PWY-7571		Chemical Reactions	MONOMER-18966
RXN-7481	EC-2.3.1.220	PWY-5001		Chemical Reactions	CPLX-6741
CHLOROGENATE-HYDROLASE-RXN	EC-3.1.1.42	PWY-6781		Chemical Reactions	MONOMER-16433
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	EC-2.7.1.137	PWY-6352		Chemical Reactions	CPLX-7926
RXN-14420	EC-2.5.1.110	PWY-7526		Chemical Reactions	CPLX-8886
RXN-18597	EC-2.7.1.220	PWY-7872		Chemical Reactions	MONOMER-20186
RXN66-332			Simvastatin hydrolysis	Chemical Reactions	
RXN-23436		PWY-8397		Chemical Reactions	
RXN-17265	EC-3.1.2.M1	PWY-7741		Chemical Reactions	G185E-7181-MONOMER
RXN-19316	EC-2.4.2.21	PWY-7965		Chemical Reactions	CPLX-7417
RXN-16059	EC-1.3.99	PWY-6279		Chemical Reactions	
RXN-21186	EC-6.2.2.2			Chemical Reactions	CPLX-9471
RXN-14686	EC-1.1.1.283			Chemical Reactions	YOL151W-MONOMER
