Reaction	EC-Number	In-Pathway	Common-Name	Names	Enzymes of a reaction
RXN-24903		PWY-8548		Chemical Reactions	
3.4.21.22-RXN	EC-3.4.21.22	PWY66-432		Chemical Reactions	CPLX66-1735
6-PHOSPHO-BETA-GALACTOSIDASE-RXN	EC-3.2.1.85			Chemical Reactions	
RXN-22263	EC-1.1.1.141			Chemical Reactions	CPLX-9620
RXN-2121	EC-1.1.1			Chemical Reactions	
RXN-9998	EC-4.2.1.115	PWY-7332 // PWY-7330 // PWY-7331 // PWY-6143 // PWY-7719		Chemical Reactions	MONOMER-19512 // MONOMER-18161 // MONOMER-18148 // CPLX-7739
2.5.1.39-RXN	EC-2.5.1.39	PWY-6978 // PWY-5856 // PWY-5871		Chemical Reactions	MONOMER-124912 // SGL_RS16820-MONOMER // AT4G23660-MONOMER // MONOMER-13869 // MONOMER-17042 // MONOMER-17248
RXN-16901		PWY-7693		Chemical Reactions	
RXN-8075	EC-4.2.3	PWY-6160 // PWY-5197		Chemical Reactions	CPLX-7765
RXN-15383	EC-1.14.14	PWY-7473	&beta;-amyrin epoxidase	Chemical Reactions	MONOMER-18577
RXN-23028	EC-1.11.1.12			Chemical Reactions	
RXN-22741	EC-1.5.8.3	PWY-3661-1		Chemical Reactions	HS04663-MONOMER
PHOSPHOENOLPYRUVATE-MUTASE-RXN	EC-5.4.2.9	PWY-7419 // PWY-6839 // PWY-6682 // PWY-8067 // PWY-5757 // PWY-7769 // PWY-6322 // PWY-7510		Chemical Reactions	MONOMER-19759 // MONOMER-18690 // MONOMER-18398 // CPLX-8330 // CPLX-8329 // MONOMER-16098 // MONOMER-15034 // CPLX-9448
RXN-8884	EC-2.4.1	PWY-5666		Chemical Reactions	MONOMER-13436
BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN	EC-1.13.11.39	PWY-7008 // PWY5F9-12		Chemical Reactions	MONOMER-19667 // MONOMER-17249 // CPLX-8107
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	EC-2.1.1.201	PWY-8533 // PWY-6708 // PWY-5870		Chemical Reactions	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER // MONOMER-21244 // AT5G57300-MONOMER
ACETYLPYRUVATE-HYDROLASE-RXN	EC-3.7.1.6	P342-PWY		Chemical Reactions	MONOMER-1486
R346-RXN	EC-3.5.1.90	PWY-6269 // PWY-7972		Chemical Reactions	MONOMER-14883 // MONOMER-14880 // MONOMER-21725
RXN-17046	EC-3.1.1	PWY-7712	3,15-acetyldeoxynivalenol 3-esterase	Chemical Reactions	MONOMER-19560
RXN-24959	EC-1.16.98	PWY-8554		Chemical Reactions	MONOMER-124825
RXN-12233	EC-4.2.1	PWY-6749		Chemical Reactions	MONOMER-16348
1.14.11.9-RXN	EC-1.14.11.9			Chemical Reactions	AT3G51240-MONOMER
RXN-13729	EC-4.1.2.27	PWY-7119		Chemical Reactions	YDR294C-MONOMER
RXN-714		PWY-699		Chemical Reactions	
RXN-9301		RXN-12321 // PWY-6767 // PWY-5875	4,4'-diapophytoene synthase	Chemical Reactions	MONOMER-13873
RXN-17340	EC-1.3.1.56	PWY-7747		Chemical Reactions	MONOMER-19666
RXN-23186	EC-2.3.1	PWY-8371		Chemical Reactions	MONOMER-22101
RXN-23715		1.1.1.83-RXN		Chemical Reactions	G6986-MONOMER // CPLX-85432 // CPLX-7297 // MONOMER-124343
RXN-8811		PWY-5633		Chemical Reactions	MONOMER-13421
RXN-14700	EC-2.4.2.57	PWY-5532		Chemical Reactions	MONOMER-13274
RXN-8923		PWY-5701		Chemical Reactions	
RXN-13057		PWY-5316 // PWY-7342	nicotinate dehydrogenase	Chemical Reactions	
RXN-24338	EC-6.2.1	PWY-8492		Chemical Reactions	MONOMER-124569
RXN-11707	EC-1.2.1.80	PWY-6622		Chemical Reactions	SYNPCC7942_1594-MONOMER
RXN-18773	EC-2.4.1.349	PWY-8250 // PWY-8212 // PWY-7905		Chemical Reactions	MONOMER-21496 // MONOMER-20265 // MONOMER-21642
RXN8J2-1	EC-2.4.1.M61	PWY8J2-1		Chemical Reactions	BSU22460-MONOMER
RXN-15767	EC-2.2.1.12			Chemical Reactions	MONOMER-18822
RXN-5283		PWY-7159 // CHLOROPHYLL-SYN // RXN-13191		Chemical Reactions	MONOMER-13266 // AT3G56940-MONOMER // CPLX-8583 // CPLX-8582
RXN-16535	EC-2.1.1	PWY-7653		Chemical Reactions	MONOMER-19269
DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN	EC-3.1.3.34			Chemical Reactions	APHA-CPLX
2.3.1.43-RXN	EC-2.3.1.43			Chemical Reactions	
RXN-12786	EC-1.2.1	PWY-6948	3-oxo-24-ethyl-26-al-cholest-4-ene dehydrogenase	Chemical Reactions	
RXN-25054		PWY-8563		Chemical Reactions	BSU03480-MONOMER
RXN-7543	EC-2.5.1.53	PWY-5021		Chemical Reactions	MONOMER-11507
THIAMIN-DIPHOSPHATE-KINASE-RXN	EC-2.7.4.15	PWY-7369		Chemical Reactions	CPLX-8748
RXN-23726		PWY-8435		Chemical Reactions	
RXN-20862		RXN-20912 // PWY-8081		Chemical Reactions	G2T-7805-MONOMER // G2T-7808-MONOMER
RXN-25308	EC-1.14.14.106	PWY-5660		Chemical Reactions	MONOMER-13398
RXN-23894		RXN-24414 // PWY-8502 // GLUTAMINE--TRNA-LIGASE-RXN		Chemical Reactions	MONOMER-124584 // GLNS-MONOMER // MONOMER-14055
RXN-11485	EC-2.5.1.82			Chemical Reactions	CPLX-8070
RXN-12028	EC-2.4.1.268	PWY-6687 // PWY-6685		Chemical Reactions	CPLX-8214 // CPLX-8213
3.8.1.11-RXN	EC-3.8.1.11			Chemical Reactions	
RXN-23200		PWY-8374		Chemical Reactions	CPLX-9755
RXN-14802	EC-1.1.1.M19	PWY-7340		Chemical Reactions	CPLX-8704
RXN-9500	EC-2.1.1.109	PWY-5960		Chemical Reactions	MONOMER-14042
RXN-20362	EC-2.3.1.296	PWY-8042		Chemical Reactions	ENSG00000180316-MONOMER
RXN-12996	EC-4.2.3		ent-manool synthase	Chemical Reactions	
RXN-10452	EC-1.14.13			Chemical Reactions	
RXN-8063	EC-6.4.1.9	PWY-5196		Chemical Reactions	MONOMER-20117
RXN-10788	EC-2.4.1	PWY-7129		Chemical Reactions	MONOMER-17720 // MONOMER-17717 // MONOMER-17714
RXN-12897	EC-1.1.1.321			Chemical Reactions	MONOMER-17021
RXN-13518	EC-2.4.1	PWY-7071	bebaudioside B 19-O-UDP glucosyltransferase	Chemical Reactions	MONOMER-17484
HYDROXYMANDELONITRILE-LYASE-RXN	EC-4.1.2.11	PWY-5976		Chemical Reactions	MONOMER-14084
RXN-9158	EC-1.1.1.341	PWY-5831		Chemical Reactions	MONOMER-13793
HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN	EC-1.2.1.96	PWY-7700 // 4-HYDROXYMANDELATE-DEGRADATION-PWY		Chemical Reactions	MONOMER-19470 // MONOMER-11531 // MONOMER-2425 // CPLX-9222
RXN-8383	EC-1.14.14.66	PWY-5365		Chemical Reactions	MONOMER-12569
RXN-1828	EC-2.4.1.25			Chemical Reactions	AT5G64860-MONOMER // CPLX-1973
RXN-24029		PWY-8477		Small-Molecule Reactions	
RXN-10046	EC-3.5.1.97		Acyl-homoserine-lactone acylase	Chemical Reactions	CPLX-7764 // MONOMER-125029
RXN-9479	EC-2.3.1.221	PWY-5954		Chemical Reactions	MONOMER-17895
RXN-14944	EC-4.2.1.152			Chemical Reactions	ENSG00000179148-MONOMER
RXN-17165	EC-5.3.2	PWY-5642		Chemical Reactions	CPLX-7475
RXN-21319	EC-1.1.1	PWY-8132		Chemical Reactions	
RXN-9508	EC-1.14.14.10	PWY-6021		Chemical Reactions	CPLX-7618
RXN-14918	EC-2.1.1.95	PWY-7436		Chemical Reactions	MONOMER-3282
RXN-17790	EC-1.1.1.35			Chemical Reactions	HS01481-MONOMER // MONOMER-12057 // MONOMER-12058 // MONOMER-12059 // MONOMER-12060 // CPLX-6986 // CPLX-9533 // HS03720-MONOMER // AT3G06860-MONOMER // CPLX-9268 // AT4G29010-MONOMER // G7212-MONOMER // FADB-MONOMER
RXN-23126	EC-2.7.8.39	PWY-8365		Chemical Reactions	MONOMER-22060
RXN-11058	EC-2.8.2.1	PWY-6398		Chemical Reactions	CPLX-9369
RXN-25078		PWY-8565 // RXN-25079		Chemical Reactions	MONOMER-124867 // MONOMER-124868
RXN1UA-50	EC-1.3.1.113			Chemical Reactions	SCO6267-MONOMER
RXN-6722	EC-2.1.1.273	PWY-4203		Chemical Reactions	CPLX-6222 // CPLX-6221
RXN-12531	EC-3.1.1	PWY-6848		Chemical Reactions	MONOMER-16768
RXN-17529	EC-1.1.1.397	PWY-7770		Chemical Reactions	MONOMER-19775
2.6.1.22-RXN	EC-2.6.1.22	VALDEG-PWY		Chemical Reactions	CPLX-6886
RXN-25378		PWY-6326		Chemical Reactions	
RXN-20490	EC-2.3.1.39	PWY-8049		Chemical Reactions	MONOMER-20815 // MONOMER-10721 // G185E-6458-MONOMER // MONOMER-16561 // YOR221C-MONOMER // HS02028-MONOMER // MONOMER-20578 // SCO2387-MONOMER // MALONYL-COA-ACP-TRANSACYL-MONOMER
RXN-22513	EC-5.1.3.24			Small-Molecule Reactions	
RXN-15901	EC-5.4.1.4	PWY-6486		Chemical Reactions	MONOMER-19230
RXN-25143	EC-1.2.1.84			Chemical Reactions	MONOMER-13889 // AT3G11980-MONOMER // HS16231-MONOMER // MONOMER-20419
RXN-23711				Chemical Reactions	
RXN-8612	EC-1.13.11.56	PWY-8111 // PWY-5427		Chemical Reactions	CPLX-7258 // MONOMER-21047
RXN-16070	EC-1.14.19.36	PWY-7595		Chemical Reactions	SGL_RS10825-MONOMER
RXN-18562	EC-6.1.3.1	PWY-7027		Chemical Reactions	MONOMER-20168 // MONOMER-20173
RXN-15759	EC-4.2.1			Chemical Reactions	CPLX-8508
RXN-10958	EC-3.1.3.95	PWY-6367		Chemical Reactions	HS02045-MONOMER // HS08920-MONOMER
RXN-22530		RXN-22528		Chemical Reactions	MONOMER-21756
3-OXOLAURATE-DECARBOXYLASE-RXN	EC-4.1.1.56	PWY-6585		Chemical Reactions	MONOMER-15857
RXN-1641	EC-2.3.1.158	TRIGLSYN-PWY // PWY-7416		Chemical Reactions	G3O-34275-MONOMER // MONOMER-12153 // AT5G13640-MONOMER
RXN-19458		PWY-5903 // RXN-19459		Chemical Reactions	Holo-BSU31960-MONOMER
RXN-12730	EC-2.1.1.14	PWY-6936		Chemical Reactions	
RXN-18478	EC-2.7.1.101	PWY-7862		Chemical Reactions	MONOMER-20148
RXN-16620	EC-1.3.1.9	PWY-7664		Chemical Reactions	MONOMER-19304
MCPMETEST-RXN	EC-3.1.1.61			Chemical Reactions	PHOSPHO-CHEB
6.3.4.8-RXN	EC-6.3.4.8			Chemical Reactions	
LACCASE-RXN	EC-1.10.3.2			Chemical Reactions	MONOMER-17211 // MONOMER-17210 // MONOMER-14334
RXN-16003	EC-1.1.1.276			Small-Molecule Reactions	CPLX0-1962
2ASDOSALCAL-RXN	EC-1.14.12.14	2ASDEG-PWY		Chemical Reactions	CPLX-7207
RXN1A0-6108	EC-1.3.8.14	PWY1A0-6120		Chemical Reactions	SCO5879-MONOMER
RXN-3221	EC-5.5.1.6	PWY-6325 // PWY-2002		Chemical Reactions	MONOMER-4762 // MONOMER-4761 // MONOMER-4745 // MONOMER-4744 // MONOMER-4743 // MONOMER-4742 // MONOMER-4386 // MONOMER-4363
RXN-24710		PWY-8532		Chemical Reactions	MONOMER-124725
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16	TRNA-CHARGING-PWY		Macromolecule Reactions	CYSS-MONOMER
RXN-18211		RXN-14986		Chemical Reactions	
CATECHOL-OXIDASE-DIMERIZING-RXN	EC-1.1.3.14			Chemical Reactions	
RXN-23678	EC-1.3.1.3			Chemical Reactions	AT4G24220-MONOMER // MONOMER-14304
RXN-21793		PWY-8183		Chemical Reactions	
RXN-15133	EC-3.1.1.13	PWY-7424	lanosterol esterase	Chemical Reactions	G3O-32181-MONOMER // G3O-32117-MONOMER // HS01328-MONOMER // YKL140W-MONOMER
2.1.1.103-RXN	EC-2.1.1.103	PWY4FS-2 // PWY4FS-3 // PWY4FS-4 // PWY-3385		Chemical Reactions	MONOMER4FS-1 // MONOMER4FS-2 // AT3G18000-MONOMER // MONOMER-7821
RXN-23926		RXN-23927		Chemical Reactions	LYSU-CPLX
RXN-8796		RXN-17427		Chemical Reactions	MONOMER-13261 // MONOMER-13251
RXN-22434		PWY-7429		Chemical Reactions	
LYSINE-2-MONOOXYGENASE-RXN	EC-1.13.12.2	PWY-5280		Chemical Reactions	CPLX-7136
1.14.21.6-RXN	EC-1.14.19.20	PWY66-3 // PWY66-341 // PWY18C3-1		Chemical Reactions	MONOMER18C3-397 // HS03271-MONOMER
RXN-9423	EC-6.2.1	PWY-5927 // PWY-5924		Chemical Reactions	MONOMER-13974
RXN-14936	EC-2.8.3.21			Chemical Reactions	
RXN-22066	EC-2.3.1			Chemical Reactions	
RXN-13994	EC-3.5.4.36			Chemical Reactions	
CORTISONE-ALPHA-REDUCTASE-RXN	EC-1.3.1.22		cortisone &alpha;-reductase	Chemical Reactions	HS07261-MONOMER // HS00619-MONOMER
R381-RXN	EC-5.1.3.8		N-acetyl-&beta;-D-glucosamine 2-epimerase	Chemical Reactions	MONOMER-19001
RXN-16637	EC-3.1.1	PWY-6308		Chemical Reactions	
RXN-17108	EC-3.1.2.14	PWY-7723		Chemical Reactions	MONOMER-19533 // AT3G25110-MONOMER // AT1G08510-MONOMER
RXN-9877	EC-1.14.12.26	PWY-6091		Chemical Reactions	CPLX-7705 // CPLX-7696
RXN-17809	EC-4.6.1.17	PWY-6823		Chemical Reactions	CPLX-8331 // AT1G01290-MONOMER // CPLX-8334
RXN1G-79	EC-2.3.1.294	PWYG-321	cis,cis-delta5,23-3-oxo-C42:2-[acyl-carrier protein] synthase	Chemical Reactions	G185E-6462-MONOMER
2.4.1.171-RXN	EC-2.4.1.171			Chemical Reactions	
RXN-12052	EC-1.21.99	PWY-6688		Chemical Reactions	CPLX-7848 // CPLX-8212
RXN-10834	EC-2.7.7.93	PWY-7769 // PWY-6322		Chemical Reactions	MONOMER-19761 // MONOMER-15036
RXN-18258	EC-1.14.13.239			Chemical Reactions	CPLX0-8232 // CPLX-9175
RXN-19634	EC-1.14.19.59			Chemical Reactions	
RXN-18900		WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN // PWY-7916		Chemical Reactions	
RXN-18686	EC-2.7.8.M5			Chemical Reactions	MONOMER-20233
RXN-14025	EC-3.1.3.5	PWY-7185 // PWY-7821		Chemical Reactions	ALKAPHOSPHA-CPLX // G3O-30218-MONOMER // MONOMER-20039 // CPLX-8609 // USHA-MONOMER // EG10634-MONOMER // EG12115-MONOMER // EG11817-MONOMER // APHA-CPLX
RXN-3763	EC-1.14.19.63	PWY-2464		Chemical Reactions	MONOMER-5881
OXALOMALATE-LYASE-RXN	EC-4.1.3.13			Chemical Reactions	
RXN-21296	EC-2.10.1.M1	PWY-8167		Chemical Reactions	
RXN-21759	EC-4.2.1.17	PWY-8179		Chemical Reactions	MONOMER-21338
RXN-25003	EC-3.5.1.28			Chemical Reactions	
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	EC-2.7.8.1	PWY4FS-6		Chemical Reactions	HS05844-MONOMER // HS06434-MONOMER // AT3G25585-MONOMER // AT1G13560-MONOMER
1.1.1.278-RXN	EC-1.1.1.278	PWY-6032		Chemical Reactions	MONOMER-14295
RXN-24495		PWY-8514		Chemical Reactions	
RXN-24510		PWY-8516		Chemical Reactions	
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.16	PWY-5109 // ILEUDEG-PWY		Chemical Reactions	CPLX-8705 // CPLX-7834 // CPLX-85498
RXN-25141	EC-2.3.1.75			Chemical Reactions	
RXN-8889	EC-2.8.3.M6	PWY-5022 // PWY-5677		Chemical Reactions	CPLX-7514 // MONOMER-13467
RXN-15269	EC-1.17.3			Chemical Reactions	CPLX-8818
RXN1G-2544	EC-2.1.1.79	PWYG-321	cis-cyclopropane-&Delta;19-37-hydroxy-38-methyl-C57:1-[acp] synthase	Chemical Reactions	G185E-4787-MONOMER
RXN-14140	EC-3.6.1.9			Chemical Reactions	CPLX0-7692
RXN-15072	EC-1.1.1			Chemical Reactions	CPLX-8799
RXN-12448	EC-1.1.1.1			Chemical Reactions	G18NG-12424-MONOMER
RXN-22527	EC-4.3.99.5	PWY-8295		Chemical Reactions	MONOMER-21757
RXN0-5061	EC-2.4.99.24	PWY1R65-1 // LIPA-CORESYN-PWY		Chemical Reactions	EG12210-MONOMER // STM3711-MONOMER
RXN-16399	EC-1.14.14.80	PWY-6733		Chemical Reactions	AT1G69500-MONOMER // MONOMER-18770
RXN-17142	EC-2.6.1	PWY-7733		Chemical Reactions	MONOMER-19583
DTMPKI-RXN	EC-2.7.4.12 // EC-2.7.4.13 // EC-2.7.4.9	PWY-7198 // PWY-7210 // PWY-7197 // PWY-7184 // PWY-6545 // PWY0-166 // PWY-7187		Chemical Reactions	CPLX0-8260 // CPLX-8629 // HS11626-MONOMER // CPLX-8118
3.2.1.59-RXN	EC-3.2.1.59			Chemical Reactions	
RXN-21025		RXN-982		Chemical Reactions	CPLX-6362 // GIO2-226-MONOMER // GIO2-1181-MONOMER // AT2G21045-MONOMER // MONOMER-21672 // MONOMER-21683
RXN0-986	EC-1.14.11.33			Chemical Reactions	EG10037-MONOMER
RXN-14538	EC-1.14.11.42			Chemical Reactions	CPLX-8697
RXN-23157		PWY-8368 // RXN-23156		Chemical Reactions	MONOMER-22083
RXN-25408		RXN-25412		Chemical Reactions	CPLX-85556
RXN-7598	EC-2.1.1.159	PWY-5037 // PWY-5039		Chemical Reactions	MONOMER-11680 // MONOMER-11679 // MONOMER-11676 // MONOMER-11675 // MONOMER-11674 // MONOMER-11673
RXN-13241	EC-5.1.99	PWY-7025	gentamicin C2 epimerase	Chemical Reactions	MONOMER-124796
RXN-10444	EC-1.14.12.13			Chemical Reactions	CPLX-7829
RXN-17206	EC-2.3.1.295			Chemical Reactions	CPLX-9356
RXN-11036	EC-1.1.1.303	PWY-5938		Chemical Reactions	CPLX3O-79
RXN0-5224	EC-4.2.1.1	PWY-6142 // PWY-5789 // PWY-7117 // PWY-7115 // PWY-241 // PWY-5744 // PWY-5743 // CYANCAT-PWY // PWYQT-4429		Chemical Reactions	CPLX0-7521 // CARBODEHYDRAT-CPLX // CPLX-9638 // CPLX-9640 // CPLX1YI0-69 // HS05785-MONOMER // MONOMER-19143 // CPLX-8965 // AT3G01500-MONOMER // CPLX-7750
RXN-17485	EC-1.3.7.7	PWY-7159 // PWY-5531		Chemical Reactions	CPLX-9074 // CPLX-7438 // CPLX-9067
RXN-22316				Chemical Reactions	
RXN-10622	EC-4.1.99.29	PWY-7371 // PWY-7374		Chemical Reactions	MONOMER-18233 // MONOMER-14867
RXN-18303	EC-2.8.2.11	PWY-7840		Chemical Reactions	HS05164-MONOMER
RXN-23619		PWY-8424 // RXN-23633		Chemical Reactions	MONOMER-124291
RXN3O-218	EC-1.14.19.20	PWY-2541 // PWY-8238 // PWY-6075		Chemical Reactions	AT3G02580-MONOMER // MONOMER-17808 // YLR056W-MONOMER
RXN-13709	EC-1.14.18.9	PWY-8239 // PWY-6074	4-methylsterol monooxygenase	Small-Molecule Reactions	HS00650-MONOMER // YGR060W-MONOMER
RXN-9995	EC-2.7.7.67	PWY-6349		Chemical Reactions	MONOMER-19241 // MONOMER-14510
RXN-25241	EC-1.7.1.6			Chemical Reactions	CPLX-85537
RXN-25182		PWY-6327 // RXN-10852		Chemical Reactions	
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN	EC-2.3.1.64	PWY-6448		Chemical Reactions	MONOMER-15451
RXN-15720				Chemical Reactions	
RXN-23044		PWY-8358		Chemical Reactions	MONOMER-21984
RXN-12559	EC-1.3.1.44	PWY-6863	trans-2-hexenoyl-CoA  reductase (NAD+)	Chemical Reactions	MONOMER-16778
RXN-23316		PWY-8383		Chemical Reactions	MONOMER-124162
RXN1A0-6312	EC-5.5.1	PWY1A0-6325		Chemical Reactions	SCO5074-MONOMER
RXN-8234	EC-2.4.1.298	PWY-5307		Chemical Reactions	MONOMER-12427
RXN-3741	EC-3.4.19.9	PWY-2161B	Folatepolyglutamate<sub>(n)</sub>	Chemical Reactions	CPLX-9287 // HS06361-MONOMER // MONOMER-5262
RXN-12833	EC-4.2.3.98			Chemical Reactions	
2.3.1.148-RXN	EC-2.3.1.148			Chemical Reactions	
RXN-18724	EC-2.4.1.360	PWY-7897		Chemical Reactions	MONOMER-15871 // MONOMER-17888 // MONOMER-20246
KETOGLUCOSE-REDUCTASE-RXN	EC-1.1.1	SUCROSEUTIL2-PWY		Chemical Reactions	MONOMER-6110
RXN-23642	EC-1.1.1.100	PWY-8427		Chemical Reactions	
RXN-25498	EC-3.1.1.M30	PWY-8603		Chemical Reactions	G3O-30435-MONOMER
RXN-13951	EC-2.3.1	PWY-7168	kaempferol 3-glucoside 6"-<i>O</i>-feruloyltransferase	Chemical Reactions	MONOMER-17859
LYSINE-DEHYDROGENASE-RXN	EC-1.4.1.15			Chemical Reactions	
RXN-17387	EC-1.1.1.393	PWY-7756		Chemical Reactions	MONOMER-19698
RXN-8850	EC-2.1.1.148	PWY-6545		Chemical Reactions	CPLX-8105 // CPLX-8104 // CPLX-8102 // CPLX-8096
RXN-9554	EC-1.3.1	PWY-5367	Petrosel-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)	Chemical Reactions	
RXN-8239	EC-2.1.1	PWY-5305		Chemical Reactions	MONOMER-12425
RXN-18665	EC-2.8.5.1			Chemical Reactions	G185E-5002-MONOMER
RXN-9223	EC-4.1.1.98	PWY-5855		Chemical Reactions	
R247-RXN	EC-1.7.2	P282-PWY	nitrate reductase (cytochrome c)	Small-Molecule Reactions	CPLX-3101 // CPLX-3081 // CPLX-1462
RXN-20367	EC-2.3.1.291			Chemical Reactions	MONOMER-20772 // ENSG00000172292-MONOMER // ENSG00000139624-MONOMER // MONOMER-11985 // MONOMER-15535
RXN-9904		PWY-6102		Chemical Reactions	
RXN-14811				Chemical Reactions	
RXN-18060	EC-2.4.1	PWY-7819		Chemical Reactions	BSU35690-MONOMER
RXN-20569	EC-1.11.1.12	PWY-8411 // PWY-8410 // PWY-8397		Chemical Reactions	HS09562-MONOMER
RXN-11717	EC-4.2.1	PWY-6627		Chemical Reactions	MONOMER-15882
RXN-15118	EC-2.4.1.315			Chemical Reactions	
RXN18C3-61	EC-3.1.1.1	PWY18C3-24	acibenzolar-<i>S</i>-methyl esterase	Chemical Reactions	CPLX18C3-1
DIMESULFREDUCT-RXN	EC-1.8.5.3	PWY0-1577 // PWY0-1348 // PWY0-1356		Small-Molecule Reactions	DIMESULFREDUCT-CPLX
RXN-24355	EC-6.2.1	PWY-8494		Chemical Reactions	MONOMER-124567
RXN0-7319	EC-1.1.5.13	PWY0-461		Chemical Reactions	EG12387-MONOMER
RXN-12763	EC-1.14.13.135			Chemical Reactions	CPLX-8379
RXN-11153		PWY-6415	L-galactono-1,4-lactone dehydrogenase	Chemical Reactions	MONOMER-15324
RXN-12332	EC-1.2.1			Chemical Reactions	AT3G48170-MONOMER // MONOMER-9521 // CPLX-6904 // MONOMER-1082 // CPLX66-81 // MONOMER-13665 // MONOMER-13666 // YMR170C-MONOMER // YMR169C-MONOMER // HS01061-MONOMER // CPLX66-396 // G18NG-12413-MONOMER
RXN-18201		PWYQT-4450 // RXNQT-4178		Chemical Reactions	
RXN-18569	EC-1.1.1.412			Chemical Reactions	CPLX-9209
RXN-23292				Chemical Reactions	
RXN-20105	EC-1.14.13.246			Small-Molecule Reactions	MONOMER-20665
RXN-21192	EC-1.3.3.16	PWY-8118		Chemical Reactions	MONOMER-21084
RXN-21047	EC-1.2.1			Chemical Reactions	
RXN-24782	EC-1.3.1.38	PWY-8542		Chemical Reactions	MONOMER-124752 // TRANSENOYLCOARED-CPLX
RXN-11921	EC-2.3.1	PWY-6672	3-methylcrotonyl-CoA:acetyl-CoA C-acyltransferase	Chemical Reactions	
2.6.1.58-RXN	EC-2.6.1.58	PWY-8529 // PWY-7275 // PWY-5079		Chemical Reactions	CPLX-6920 // YHR137W-MONOMER
RXN-12610	EC-2.5.1.3	PWY-8457 // PWY-6907 // PWY-6893		Chemical Reactions	THIE-MONOMER // CPLX-9679 // MONOMER-16816 // BSU38290-MONOMER
RXN1G-648	EC-4.2.1.M2	PWYG-321		Chemical Reactions	CPLX-7730
RXN-13186	EC-1.14.11.27			Small-Molecule Reactions	HS01631-MONOMER // HS10620-MONOMER
RXN-25200		PWY-5317		Chemical Reactions	MONOMER-124948
RXN-14572	EC-5.1.3.26	PWY-8217 // PWY-8224 // PWY-8242 // PWY-8241 // PWY-8236 // PWY-8235 // PWY-8234 // PWY-8232 // PWY-8233 // PWY-8231 // PWY-7290 // PWY-8222 // PWY-8220 // PWY-8219 // PWY-7530 // PWY-8206		Chemical Reactions	MONOMER-18098 // Z3206-MONOMER
RXN-25502	EC-3.1.1.4	PWY-8602		Chemical Reactions	ENSG00000161395-MONOMER // NP_067082.2-MONOMER
2.3.2.13-RXN	EC-2.3.2.13			Chemical Reactions	CPLX66-1743 // HS01767-MONOMER
RXN-16871		PWY-7690		Chemical Reactions	
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21	PWY-8511 // PWY-5381 // PYRIDNUCSAL-PWY // PWY3O-4107		Chemical Reactions	NICOTINATEPRIBOSYLTRANS-MONOMER // MONOMER-12669 // YOR209C-MONOMER
RXN-13511	EC-2.4.1	PWY-7071	steviol UDP glucosyltransferase	Chemical Reactions	MONOMER-17483
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	EC-3.6.1.29			Chemical Reactions	USHA-MONOMER
RXN-19875	EC-4.2.1.M24	PWY-8012		Chemical Reactions	MONOMER-20588
RXN-21550	EC-2.8.1	PWY-8164		Chemical Reactions	CPLX0-8175
RXN-14930	EC-2.6.1.105	PWY-7380		Chemical Reactions	CPLX-941
RXN-24548	EC-5.1.1			Chemical Reactions	
1.2.1.58-RXN	EC-1.2.1.58	PWY-1341		Chemical Reactions	CPLX-85408
RXN-15075	EC-5.4.99	PWY-7419		Chemical Reactions	
RXN-21944	EC-2.4.1	PWY-8241		Chemical Reactions	MONOMER-21618
RXN-24797	EC-1.14.14.M64			Chemical Reactions	MONOMER-124757
DEHYDDEOXGALACTKIN-RXN	EC-2.7.1.178 // EC-2.7.1.58	PWY-7130 // GALACTCAT-PWY		Chemical Reactions	DEHYDDEOXGALACTKIN-MONOMER // CPLX-8640 // MONOMER-17726
RXN-19882	EC-1.3.8.15	PWY-8014		Chemical Reactions	CPLX-9329
RXN-13607	EC-2.4.1.17			Chemical Reactions	HS10272-MONOMER
RXN-18520	EC-1.8.7.3	PWY-7865		Chemical Reactions	CPLX-9204 // CPLX-9200
PYRAMKIN-RXN	EC-2.7.1.35	PLPSAL-PWY // PWY-7204		Chemical Reactions	PDXK-CPLX // HS08466-MONOMER // CPLX3O-38
RXN-19288	EC-1.14.20.14			Chemical Reactions	MONOMER-20411
2.4.1.234-RXN	EC-2.4.1.234	PWY-7191		Chemical Reactions	MONOMER-17892
RXN-20068	EC-3.5.1.131			Chemical Reactions	CPLX-9345
RXN-14558	EC-2.4.1.303	PWY-8211		Chemical Reactions	MONOMER-21487
RXN-25580	EC-1.10.3.M2			Chemical Reactions	
RXN-23003	EC-4.4.1.20	PWY-8355		Chemical Reactions	HS09817-MONOMER
