Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
pyruvate fermentation to (<i>R</i>)-acetoin I	PWY-5938	pyruvate fermentation to (R)-acetoin I // D-acetoin biosynthesis I // pyruvic acid fermentation to (R)-acetoin I	alpha-acetolactate synthase subunit // catabolic acetolactate synthase // 2,3-butanediol dehydrogenase	(R)-acetoin + NAD+  <-  diacetyl + NADH + H+ // (S)-2-acetolactate + oxidized electron carrier + H+  ->  diacetyl + CO2 + reduced two electron carrier // 2 pyruvate + H+  ->  (S)-2-acetolactate + CO2	Generation of Precursor Metabolites and Energy		Aeromonas hydrophila // Bacillus subtilis // Corynebacterium glutamicum // Klebsiella aerogenes // Klebsiella pneumoniae // Levilactobacillus brevis // Lacticaseibacillus casei // Lactobacillus helveticus // Lactiplantibacillus plantarum // Lactococcus lactis // Lactococcus lactis // Leuconostoc lactis // Leuconostoc mesenteroides // Oenococcus oeni // Pediococcus pentosaceus // Raoultella terrigena // Saccharomyces cerevisiae // Serratia marcescens // Brevibacillus brevis	Fungi // Bacteria <bacteria>
pyruvate decarboxylation to acetyl CoA III	PWY-8275	pyruvate decarboxylation to acetyl CoA III // acetyl-CoA biosynthesis III	pyruvate-ferredoxin oxidoreductase // pyruvate:ferredoxin oxidoreductase // pyruvate&mdash;ferredoxin oxidoreductase // pyruvate ferredoxin oxidoreductase alpha subunit // pyruvate ferredoxin oxidoreductase beta subunit // pyruvate ferredoxin oxidoreductase delta subunit // pyruvate ferredoxin oxidoreductase gamma subunit // pyruvate:ferredoxin oxidoreductase alpha subunit // pyruvate:ferredoxin oxidoreductase beta subunit // pyruvate:ferredoxin oxidoreductase gamma subunit // pyruvate:ferredoxin oxidoreductase delta subunit // pyruvate:ferredoxin oxidoreductase epsilon subunit // pyruvate:ferredoxin oxidoreductase // pyruvate:ferredoxin oxidoreductase // pyruvate:ferredoxin oxidoreductase	pyruvate + coenzyme A + 2 oxidized ferredoxin [iron-sulfur] cluster  <-->  acetyl-CoA + CO2 + 2 reduced ferredoxin [iron-sulfur] cluster + H+	Generation of Precursor Metabolites and Energy		Anaerotignum propionicum // Chlamydomonas reinhardtii // Clostridium acetobutylicum // Escherichia coli // Halobacterium salinarum // Hydrogenobacter thermophilus // Pyrococcus furiosus // Trichomonas vaginalis	Chlamydomonadales // Metamonada // Bacteria <bacteria> // Archaea
pyruvate decarboxylation to acetyl CoA II	PWY-6970	pyruvate decarboxylation to acetyl CoA II // acetyl-CoA biosynthesis II (NADP-dependent pyruvate dehydrogenase)	pyruvate dehydrogenase (NADP<sup>+</sup>)	pyruvate + coenzyme A + NADP+  ->  acetyl-CoA + CO2 + NADPH	Generation of Precursor Metabolites and Energy		Euglena gracilis	Euglenozoa
pyruvate decarboxylation to acetyl CoA I	PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA I // pyruvate dehydrogenase complex // acetyl-CoA biosynthesis I (pyruvate dehydrogenase complex) // pyruvic acid decarboxylation to acetyl CoA // pyruvate dehydrogenase system	pyruvate dehydrogenase E2 subunit // lipoamide dehydrogenase // pyruvate dehydrogenase complex // pyruvate dehydrogenase complex // lipoamide dehydrogenase // pyruvate dehydrogenase // pyruvate dehydrogenase E2 subunit // pyruvate dehydrogenase	pyruvate + a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + H+  ->  a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine + CO2 // a [pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  a [pyruvate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+ // acetyl-CoA + a [pyruvate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine  <-  coenzyme A + a [pyruvate dehydrogenase E2 protein] N6-S-acetyldihydrolipoyl-L-lysine	Carboxylic Acid Degradation // Generation of Precursor Metabolites and Energy		Escherichia coli // Homo sapiens // Pisum sativum	Archaea // Eukaryota // Bacteria <bacteria>
pyrroloquinoline quinone biosynthesis	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis	glutamate C<sup>&gamma;</sup>--tyrosine C<sup>3</sup> ligase // PqqF endopeptidase // pyrroloquinoline-quinone synthase monomer	6-(2-amino-2-carboxylatoethyl)-7-hydroxy-8-oxo-1,2,3,4,7,8-hexahydroquinoline-2,4-dicarboxylate + oxidized electron carrier  ->  6-(2-amino-2-carboxyethyl)-7,8-dioxo-1,2,3,4,7,8-hexahydroquinoline 2,4-dicarboxylate + reduced two electron carrier // 2-amino-4-[5-(2-amino-2-carboxylatoethyl)-2-hydroxyphenyl]pentanedioate  ->  2-amino-4-[3-(2-amino-2-carboxylatoethyl)-6-oxocyclohexa-1,4-dien-1-yl]pentanedioate // 2-amino-4-[3-(2-amino-2-carboxylatoethyl)-6-oxocyclohexa-1,4-dien-1-yl]pentanedioate  ->  6-(2-amino-2-carboxylatoethyl)-1,2,3,4-tetrahydroquinoline-2,4-dicarboxylate + H2O + H+ // 6-(2-amino-2-carboxylatoethyl)-1,2,3,4-tetrahydroquinoline-2,4-dicarboxylate + dioxygen  ->  6-(2-amino-2-carboxylatoethyl)-7-hydroxy-8-oxo-1,2,3,4,7,8-hexahydroquinoline-2,4-dicarboxylate // 6-(2-amino-2-carboxyethyl)-7,8-dioxo-1,2,3,4,7,8-hexahydroquinoline 2,4-dicarboxylate + 3 dioxygen  ->  2 hydrogen peroxide + pyrroloquinoline quinone + 2 H2O + H+ // PqqA peptide with linked Glu-Tyr residues + 4 H2O  ->  2-amino-4-[5-(2-amino-2-carboxylatoethyl)-2-hydroxyphenyl]pentanedioate + a tripeptide + cleaved PqqA peptide N-terminus + cleaved PqqA peptide C-terminus // a PqqA peptide + S-adenosyl-L-methionine  ->  PqqA peptide with linked Glu-Tyr residues + 5'-deoxyadenosine + L-methionine + H+	Cofactor, Carrier, and Vitamin Biosynthesis		Klebsiella pneumoniae // Pseudomonas aeruginosa // Xanthomonas campestris	Bacteria <bacteria>
pyrrolomycin biosynthesis	PWY-8210	pyrrolomycin biosynthesis	pyrrolomysin polyketide synthase complex // 1<em>H</em>-pyrrole-2-carbonyl-[peptidyl-carrier protein] chlorinase // <small>L</small>-prolyl-[peptidyl-carrier protein] dehydrogenase // <small>L</small>-proline&mdash;[<small>L</small>-prolyl-carrier protein] ligase // <i>S</i>-[peptidyl-carrier protein] thioesterase // dioxapyrrolomycin synthase // pyrrolomycin <i>O</i>-methyltranferase	pyrrolomycin B  ->  pyrrolomycin A + 4,6-dichloro-2-methylphenol // pyrrolomycin G  ->  pyrrolomycin B // pyrrolomycin D + S-adenosyl-L-methionine  ->  pyrrolomycin J + S-adenosyl-L-homocysteine + H+ // pyrrolomycin C + chloride + FADH2 + dioxygen  ->  pyrrolomycin D + FAD + 2 H2O // pyrrolomycin H + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  dioxapyrrolomycin + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O // pyrrolomycin G + S-adenosyl-L-methionine  ->  pyrrolomycin H + S-adenosyl-L-homocysteine + H+ // pyrrolomycin C + nitrite + H+  ->  pyrrolomycin G // 7-(4,5-dichloro-1H-pyrrol-2-yl)-3,5-dihydroxy-7-oxoheptanoyl-[PltL prolyl-carrier protein]  ->  2-(4,5-dichloro-1H-pyrrole-2-carbonyl)phenol + holo-[L-prolyl-carrier protein] + 2 H2O // 2-(4,5-dichloro-1H-pyrrole-2-carbonyl)phenol + 2 chloride + 2 FADH2 + 2 dioxygen  ->  pyrrolomycin C + 2 FAD + 4 H2O // L-proline + ATP + H+  ->  (L-prolyl)adenylate + diphosphate // (L-prolyl)adenylate + holo-[L-prolyl-carrier protein]  ->  L-prolyl-[prolyl-carrier protein] + AMP + H+ // L-prolyl-[prolyl-carrier protein] + 2 oxidized electron-transfer flavoprotein + H+  ->  1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] + 2 reduced electron-transfer flavoprotein // 1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] + 2 chloride + 2 FADH2 + 2 dioxygen  ->  4,5-dichloro-1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] + 2 FAD + 4 H2O // 4,5-dichloro-1H-pyrrole-2-carbonyl-[peptidyl-carrier protein] + 3 malonyl-CoA + 2 NADPH + 5 H+  ->  7-(4,5-dichloro-1H-pyrrol-2-yl)-3,5-dihydroxy-7-oxoheptanoyl-[PltL prolyl-carrier protein] + 3 coenzyme A + 3 CO2 + 2 NADP+	Aromatic Compound Biosynthesis		Wenjunlia vitaminophila	Bacteria <bacteria>
pyrrolnitrin biosynthesis	PWY-6831	pyrrolnitrin biosynthesis	tryptophan 7-halogenase subunit // monodechloroaminopyrrolnitrin synthase // monodechloroaminopyrrolnitrin halogenase // aminopyrrolnitrin oxygenase subunit	aminopyrrolnitrin + NAD(P)H + 2 dioxygen + H+  ->  pyrrolnitrin + NAD(P)+ + 2 H2O // monodechloroaminopyrrolnitrin + chloride + FADH2 + dioxygen  ->  aminopyrrolnitrin + FAD + 2 H2O // 7-chloro-L-tryptophan + reduced two electron carrier + dioxygen  ->  monodechloroaminopyrrolnitrin + CO2 + oxidized electron carrier + 2 H2O // L-tryptophan + chloride + FADH2 + dioxygen  ->  7-chloro-L-tryptophan + FAD + 2 H2O	Secondary Metabolite Biosynthesis		Burkholderia cepacia complex // Burkholderia pyrrocinia // Myxococcus fulvus // Pseudomonas chlororaphis // Pseudomonas protegens // Pseudomonas fluorescens	Bacteria <bacteria>
pyrimidine ribonucleosides salvage III	PWY-7195	pyrimidine ribonucleosides salvage III	ribonucleoside hydrolase (pyrimidine-specific) // ribonucleoside hydrolase RihC // pyrimidine-specific ribonucleoside hydrolase RihB // pyrimidine-specific ribonucleoside hydrolase RihA // creatinine deiminase subunit // cytosine deaminase // cytosine/isoguanine deaminase	cytosine + H2O + H+  ->  uracil + ammonium // cytidine + H2O  ->  D-ribofuranose + cytosine	Nucleoside and Nucleotide Degradation // Nucleoside and Nucleotide Biosynthesis		Escherichia coli // Saccharomyces cerevisiae // Pseudomonas putida	Archaea // Fungi // Bacteria <bacteria>
pyrimidine ribonucleosides salvage II	PWY-6556	pyrimidine ribonucleosides salvage II	cytidine deaminase // cytidine deaminase // cytidine/deoxycytidine deaminase // ribonucleoside hydrolase // ribonucleoside hydrolase (pyrimidine-specific) // ribonucleoside hydrolase RihC // pyrimidine-specific ribonucleoside hydrolase RihB // pyrimidine-specific ribonucleoside hydrolase RihA	uridine + H2O  ->  D-ribofuranose + uracil // cytidine + H2O + H+  ->  uridine + ammonium	Nucleoside and Nucleotide Degradation // Nucleoside and Nucleotide Biosynthesis		Escherichia coli // Saccharomyces cerevisiae // Arabidopsis thaliana	Archaea // Fungi // Bacteria <bacteria> // Viridiplantae
pyrimidine ribonucleosides salvage I	PWY-7193	pyrimidine ribonucleosides salvage I	cytidine deaminase // cytidine deaminase // cytidine/deoxycytidine deaminase // uridine-cytidine kinase 1 // uridine-cytidine kinase 2 // uridine/cytidine kinase // uridine/cytidine kinase	cytidine + ATP  ->  CMP + ADP + H+ // uridine + ATP  ->  UMP + ADP + H+ // cytidine + H2O + H+  ->  uridine + ammonium	Nucleoside and Nucleotide Biosynthesis		Escherichia coli // Homo sapiens // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
pyrimidine ribonucleosides degradation	PWY0-1295	pyrimidine ribonucleosides degradation	cytidine deaminase // cytidine/deoxycytidine deaminase // uridine phosphorylase 1 // nucleoside phosphorylase PpnP // uridine phosphorylase	uridine + phosphate  <-->  uracil + alpha-D-ribose-1-phosphate // cytidine + H2O + H+  ->  uridine + ammonium	Nucleoside and Nucleotide Degradation		Escherichia coli // Homo sapiens	Metazoa // Archaea // Bacteria <bacteria>
pyrimidine nucleobases salvage II	PWY-7194	pyrimidine nucleobases salvage II // cytosine salvage	cytosine deaminase // cytosine/isoguanine deaminase // uracil phosphoribosyltransferase // uracil phosphoribosyltransferase	UMP + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + uracil // cytosine + H2O + H+  ->  uracil + ammonium	Superpathways // Nucleoside and Nucleotide Biosynthesis		Escherichia coli // Saccharomyces cerevisiae	Fungi // Archaea // Bacteria <bacteria>
pyrimidine nucleobases salvage I	PWY-7183	pyrimidine nucleobases salvage I // uracil salvage	uracil phosphoribosyltransferase // uracil phosphoribosyltransferase // uracil phosphoribosyltransferase	UMP + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + uracil	Nucleoside and Nucleotide Biosynthesis		Escherichia coli // Saccharomyces cerevisiae // Arabidopsis thaliana	Fungi // Viridiplantae // Archaea // Bacteria <bacteria>
pyrimidine deoxyribonucleotides dephosphorylation	PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	dCTP diphosphatase 1 // nucleoside triphosphate pyrophosphohydrolase // pyrimidine deoxynucleotide diphosphatase NudI // dUTP diphosphatase // 5-hydroxy-CTP diphosphatase	5-hydroxy-CTP + H2O  ->  5-hydroxy-CMP + diphosphate + H+ // dUTP + H2O  ->  dUMP + diphosphate + H+ // dCTP + H2O  ->  dCMP + diphosphate + H+	Nucleoside and Nucleotide Degradation // Metabolic Clusters		Escherichia coli // Mus musculus	Archaea // Bacteria <bacteria> // Metazoa // Viridiplantae
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV	PWY-7198	pyrimidine deoxyribonucleotides de novo biosynthesis IV	dCTP deaminase (dUMP-forming) // thymidylate synthase	dUMP + 5,10-methylene-tetrahydromethanopterin  ->  dTMP + 7,8-dihydromethanopterin // dCTP + 2 H2O  ->  dUMP + ammonium + diphosphate // CTP + H2O  ->  CDP + phosphate + H+ // dCDP + oxidized thioredoxin + H2O  <-  CDP + reduced thioredoxin // ATP + dTDP  ->  ADP + dTTP // ATP + dTMP  ->  ADP + dTDP // ATP + dCDP  ->  ADP + dCTP	Metabolic Clusters // Nucleoside and Nucleotide Biosynthesis		Methanocaldococcus jannaschii	Archaea
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	flavin-dependent thymidylate synthase // flavin-dependent thymidylate synthase // flavin-dependent thymidylate synthase // flavin-dependent thymidylate synthase // thymidylate kinase // nucleoside-diphosphate kinase // dUTP diphosphatase // class Ic ribonucleoside-diphosphate reductase // class II ribonucleoside-diphosphate reductase // class II ribonucleoside-diphosphate reductase // nucleoside-triphosphatase	CTP + H2O  ->  CDP + phosphate + H+ // dCDP + oxidized thioredoxin + H2O  <-  CDP + reduced thioredoxin // ATP + dCDP  ->  ADP + dCTP // dUDP + oxidized thioredoxin + H2O  <-  UDP + reduced thioredoxin // ATP + dUDP  ->  ADP + dUTP // dUTP + H2O  ->  dUMP + diphosphate + H+ // ATP + dTDP  ->  ADP + dTTP // ATP + dTMP  ->  ADP + dTDP // dUMP + a 5,10-methylenetetrahydrofolate + NADPH + H+  ->  dTMP + a tetrahydrofolate + NADP+	Metabolic Clusters // Nucleoside and Nucleotide Biosynthesis		Aeropyrum pernix // Aquifex aeolicus // Aquifex aeolicus // Borreliella burgdorferi // Campylobacter jejuni // Campylobacter jejuni // Chlamydia pneumoniae // Chlamydia psittaci // Chlamydia trachomatis // Chlamydia trachomatis // Corynebacterium glutamicum // Corynebacterium glutamicum // Dictyostelium discoideum // Halobacterium salinarum // Helicobacter pylori // Mycobacterium tuberculosis variant bovis // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Pyrobaculum aerophilum // Pyrococcus abyssi // Pyrococcus furiosus // Pyrococcus horikoshii // Rhodobacter capsulatus // Rickettsia prowazekii // Rickettsia prowazekii // Saccharolobus solfataricus // Sulfurisphaera tokodaii // Thermoplasma acidophilum // Thermoplasma volcanium // Thermotoga maritima // Treponema pallidum	Dictyostelium // Viruses // Bacteria <bacteria> // Archaea
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	PWY-7187	pyrimidine deoxyribonucleotides de novo biosynthesis II	dCTP deaminase // nucleoside triphosphate pyrophosphohydrolase // pyrimidine deoxynucleotide diphosphatase NudI // dUTP diphosphatase // thymidylate kinase // dTMP kinase // nucleoside diphosphate kinase // adenylate kinase // anaerobic ribonucleoside-triphosphate reductase // thymidylate synthase // thymidylate synthase	a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // formate + CTP + H+  ->  dCTP + CO2 + H2O // formate + UTP + H+  ->  dUTP + CO2 + H2O // ATP + dTDP  ->  ADP + dTTP // ATP + dTMP  ->  ADP + dTDP // dUTP + H2O  ->  dUMP + diphosphate + H+ // dCTP + H+ + H2O  ->  ammonium + dUTP	Nucleoside and Nucleotide Biosynthesis		Escherichia coli // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Salmonella enterica	Archaea // Bacteria <bacteria>
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I	nucleoside triphosphate pyrophosphohydrolase // mitochondrial deoxyuridine 5'-triphosphate nucleotidohydrolase // deoxyuridine 5'-triphosphate nucleotidohydrolase // pyrimidine deoxynucleotide diphosphatase NudI // dUTP diphosphatase // thymidylate kinase // thymidylate kinase // dTMP kinase // nucleoside diphosphate kinase // nucleoside-diphosphate kinase 1 // nucleoside diphosphate kinase // nucleoside diphosphate kinase // adenylate kinase // ribonucleoside-diphosphate reductase 1 // ribonucleoside-diphosphate reductase 2 // class Ic ribonucleoside-diphosphate reductase // class Ia ribonucleoside-diphosphate reductase // class Ia ribonucleoside-diphosphate reductase // class Ia ribonucleoside-diphosphate reductase // class Ia ribonucleoside-diphosphate reductase // class II ribonucleoside-diphosphate reductase // cancer-related nucleoside-triphosphatase // nucleoside-triphosphatase // apyrase // apyrase // nucleoside-triphosphatase // dihydrofolate reductase/thymidylate synthase // thymidylate synthase // thymidylate synthase	a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // CTP + H2O  ->  CDP + phosphate + H+ // dCDP + oxidized thioredoxin + H2O  <-  CDP + reduced thioredoxin // dUDP + oxidized thioredoxin + H2O  <-  UDP + reduced thioredoxin // ATP + dTDP  ->  ADP + dTTP // ATP + dTMP  ->  ADP + dTDP // dUTP + H2O  ->  dUMP + diphosphate + H+ // ATP + dUDP  ->  ADP + dUTP // ATP + dCDP  ->  ADP + dCTP	Metabolic Clusters // Nucleoside and Nucleotide Biosynthesis		Chlamydia trachomatis // Escherichia coli // Homo sapiens // Pisum sativum // Saccharomyces cerevisiae // Thermotoga maritima // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
pyrimidine deoxyribonucleotides biosynthesis from CTP	PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	thymidylate kinase // thymidylate kinase // nucleoside diphosphate kinase // nucleoside diphosphate kinase // class Ia ribonucleoside-diphosphate reductase // class Ia ribonucleoside-diphosphate reductase // class Ia ribonucleoside-diphosphate reductase // cancer-related nucleoside-triphosphatase // apyrase // ectonucleoside triphosphate diphosphohydrolase 4 // deoxycytidylate deaminase // deoxycytidylate deaminase // dCMP deaminase // thymidylate synthase	a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // dCMP + H+ + H2O  ->  ammonium + dUMP // dCDP + H2O  ->  dCMP + phosphate + H+ // CTP + H2O  ->  CDP + phosphate + H+ // dCDP + oxidized thioredoxin + H2O  <-  CDP + reduced thioredoxin // ATP + dTDP  ->  ADP + dTTP // ATP + dTMP  ->  ADP + dTDP // ATP + dCDP  ->  ADP + dCTP	Metabolic Clusters // Nucleoside and Nucleotide Biosynthesis		Homo sapiens // Saccharomyces cerevisiae // Streptococcus mutans	Fungi // Metazoa // Bacillota // Actinomycetota
pyrimidine deoxyribonucleotide phosphorylation	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	thymidylate kinase // thymidylate kinase // thymidylate kinase // dTMP kinase // UMP/CMP kinase // UMP/CMP kinase // cytidylate kinase // nucleoside-diphosphate kinase // nucleoside diphosphate kinase // nucleoside diphosphate kinase // nucleoside-diphosphate kinase 1 // nucleoside diphosphate kinase // adenylate kinase	ATP + dCDP  ->  ADP + dCTP // ATP + dTDP  ->  ADP + dTTP // ATP + dCMP  ->  ADP + dCDP // ATP + dTMP  ->  ADP + dTDP	Metabolic Clusters // Nucleoside and Nucleotide Biosynthesis		Escherichia coli // Halobacterium salinarum // Homo sapiens // Mycobacterium tuberculosis // Saccharomyces cerevisiae // Solanum tuberosum // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
pyrimidine deoxyribonucleosides salvage	PWY-7199	pyrimidine deoxyribonucleosides salvage	cytidine deaminase // cytidine deaminase // cytidine/deoxycytidine deaminase // thymidine kinase 2 // thymidine kinase 1 // thymidine kinase 1b // thymidine kinase 1a // thymidine kinase // deoxycytidine kinase // deoxyadenosine/deoxycytidine kinase // deoxynucleoside kinase // dihydrofolate reductase/thymidylate synthase // dihydrofolate reductase / thymidylate synthase // thymidylate synthase // thymidylate synthase	a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // 2'-deoxycytidine + a nucleoside triphosphate  ->  dCMP + a nucleoside diphosphate + H+ // thymidine + ATP  ->  dTMP + ADP + H+ // 2'-deoxyuridine + ATP  ->  dUMP + ADP + H+ // 2'-deoxycytidine + H+ + H2O  ->  2'-deoxyuridine + ammonium	Nucleoside and Nucleotide Biosynthesis		Bacillus anthracis // Bacillus subtilis // Glycine max // Homo sapiens // Mycobacterium tuberculosis // Pisum sativum // Arabidopsis thaliana	Amoebozoa // Metazoa // Viridiplantae // Bacteria <bacteria> // Archaea
pyrimidine deoxyribonucleosides degradation	PWY-7181	pyrimidine deoxyribonucleosides degradation	cytidine deaminase // cytidine/deoxycytidine deaminase // uridine phosphorylase 1 // pyrimidine-nucleoside phosphorylase // thymidine phosphorylase // nucleoside phosphorylase PpnP // thymidine phosphorylase	thymidine + phosphate  <-->  thymine + 2-deoxy-alpha-D-ribose 1-phosphate // 2'-deoxyuridine + phosphate  <-->  uracil + 2-deoxy-alpha-D-ribose 1-phosphate // 2'-deoxycytidine + H+ + H2O  ->  2'-deoxyuridine + ammonium	Nucleoside and Nucleotide Degradation		Escherichia coli // Geobacillus stearothermophilus // Homo sapiens	Metazoa // Archaea // Bacteria <bacteria>
pyridoxal 5'-phosphate salvage II (plants)	PWY-7204	pyridoxal 5'-phosphate salvage II (plants) // vitamin B6 salvage (plants)	pyridoxine 5'-phosphate oxidase // pyridoxine/pyridoxamine 5'-phosphate oxidase // pyridoxine/pyridoxamine 5'-phosphate oxidase // pyridoxal kinase // pyridoxal kinase // pyridoxal reductase	pyridoxal 5'-phosphate + H2O  ->  pyridoxal + phosphate // pyridoxine + NADP+  <-->  pyridoxal + NADPH + H+ // pyridoxamine 5'-phosphate + H2O  ->  pyridoxamine + phosphate // pyridoxine 5'-phosphate + H2O  ->  pyridoxine + phosphate // ATP + pyridoxamine  ->  ADP + pyridoxamine 5'-phosphate + H+ // pyridoxal + ATP  ->  ADP + pyridoxal 5'-phosphate + H+ // ATP + pyridoxine  ->  ADP + pyridoxine 5'-phosphate + H+ // pyridoxamine 5'-phosphate + dioxygen + H2O  ->  ammonium + hydrogen peroxide + pyridoxal 5'-phosphate // pyridoxine 5'-phosphate + dioxygen  ->  hydrogen peroxide + pyridoxal 5'-phosphate	Cofactor, Carrier, and Vitamin Biosynthesis		Arabidopsis thaliana // Triticum aestivum	Viridiplantae
pyridoxal 5'-phosphate salvage I	PLPSAL-PWY	pyridoxal 5'-phosphate salvage I // vitamin B6 salvage I	pyridoxine/pyridoxamine 5'-phosphate oxidase // pyridoxine-5'-phosphate oxidase // pyridoxine/pyridoxamine 5'-phosphate oxidase // pyridoxal kinase // pyridoxal kinase // pyridoxal kinase 1 / hydroxymethylpyrimidine kinase // pyridoxal kinase 2 // pyridoxal reductase // pyridoxal reductase	pyridoxine + NADP+  <-->  pyridoxal + NADPH + H+ // pyridoxal + ATP  ->  ADP + pyridoxal 5'-phosphate + H+ // pyridoxamine 5'-phosphate + dioxygen + H2O  ->  ammonium + hydrogen peroxide + pyridoxal 5'-phosphate // pyridoxine 5'-phosphate + dioxygen  ->  hydrogen peroxide + pyridoxal 5'-phosphate // ATP + pyridoxamine  ->  ADP + pyridoxamine 5'-phosphate + H+ // ATP + pyridoxine  ->  ADP + pyridoxine 5'-phosphate + H+	Cofactor, Carrier, and Vitamin Biosynthesis		Escherichia coli // Homo sapiens // Arabidopsis thaliana	Metazoa // Fungi // Bacteria <bacteria> // Viridiplantae
pyridoxal 5'-phosphate biosynthesis II	PWY-6466	pyridoxal 5'-phosphate biosynthesis II // vitamin B6 biosynthesis // deoxyxylulose-independent pyridoxal 5'-phosphate biosynthesis	pyridoxal 5'-phosphate synthase complex // glutaminase // pyridoxal 5'-phosphate synthase // pyridoxal 5'-phosphate synthase complex	aldehydo-D-ribose 5-phosphate + D-glyceraldehyde 3-phosphate + L-glutamine  ->  L-glutamate + pyridoxal 5'-phosphate + phosphate + 3 H2O + H+	Cofactor, Carrier, and Vitamin Biosynthesis		Bacillus subtilis // Phaseolus vulgaris // Plasmodium falciparum // Saccharomyces cerevisiae // Arabidopsis thaliana	Alveolata // Viridiplantae // Fungi // Archaea // Bacteria <bacteria>
pyridoxal 5'-phosphate biosynthesis I	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B6 biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis	pyridoxine/pyridoxamine 5'-phosphate oxidase // D-erythrose-4-phosphate dehydrogenase // 1-deoxy-D-xylulose-5-phosphate synthase // pyridoxine 5'-phosphate synthase // erythronate-4-phosphate dehydrogenase // phosphoserine/phosphohydroxythreonine aminotransferase // 4-phospho-D-tetronate 3-dehydrogenase // 4-hydroxythreonine-4-phosphate dehydrogenase	4-phosphooxy-L-threonine + NAD+  ->  3-amino-1-hydroxyacetone 1-phosphate + CO2 + NADH // 4-phosphooxy-L-threonine + 2-oxoglutarate  <-->  (3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate + L-glutamate // 4-phospho-D-erythronate + NAD+  ->  (3R)-3-hydroxy-2-oxo-4 phosphooxybutanoate + NADH + H+ // 1-deoxy-D-xylulose 5-phosphate + 3-amino-1-hydroxyacetone 1-phosphate  ->  pyridoxine 5'-phosphate + phosphate + H+ + 2 H2O // pyruvate + D-glyceraldehyde 3-phosphate + H+  ->  1-deoxy-D-xylulose 5-phosphate + CO2 // D-erythrose 4-phosphate + NAD+ + H2O  ->  4-phospho-D-erythronate + NADH + 2 H+ // pyridoxine 5'-phosphate + dioxygen  ->  hydrogen peroxide + pyridoxal 5'-phosphate	Cofactor, Carrier, and Vitamin Biosynthesis		Salmonella enterica // Escherichia coli	Bacteria <bacteria>
