Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class	Species	Taxonomic-Range
zealexin biosynthesis	PWY-6888	zealexin biosynthesis	(<i>S</i>)-&beta;-macrocarpene synthase TPS6 // (<i>S</i>)-&beta;-macrocarpene synthase TPS11 // zealexin A1 synthase	zealexin A3 + oxidized electron carrier  ->  zealexin A4 + reduced two electron carrier // zealexin A3  ->  zealexin C3 // (S)-beta-macrocarpene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  [(4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-en-1-yl] methanol + oxidized [NADPH-hemoprotein reductase] + H2O // [(4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-en-1-yl] methanol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)cyclohex-1-ene-1-carbaldehyde + oxidized [NADPH-hemoprotein reductase] + 2 H2O // (2E,6E)-farnesyl diphosphate  ->  (S)-beta-bisabolene + diphosphate // (S)-beta-bisabolene  ->  (S)-beta-macrocarpene // zealexin A1 + oxidized electron carrier  ->  zealexin B1 + reduced two electron carrier // zealexin A1  ->  zealexin A3 // zealexin A1  ->  zealexin A2 // (4S)-4-(5,5-dimethylcyclohex-1-en-1-yl)cyclohex-1-ene-1-carbaldehyde + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  zealexin A1 + oxidized [NADPH-hemoprotein reductase] + H2O + H+	Secondary Metabolite Biosynthesis		Zea mays	Viridiplantae
yersiniabactin biosynthesis	PWY-6407	yersiniabactin biosynthesis	non-ribosomal peptide synthetase HMWP2 // non-ribosomal peptide/polyketide synthase HMWP1 // thiazolinyl-S-HMWP1 reductase // salicyl-AMP ligase // salicyl-AMP ligase	salicylate + ATP + H+  ->  (salicyl)adenylate + diphosphate // (salicyl)adenylate + 3 L-cysteine + malonyl-CoA + 3 S-adenosyl-L-methionine + 2 NADPH  ->  yersiniabactin + coenzyme A + 3 S-adenosyl-L-homocysteine + AMP + CO2 + 2 NADP+ + 5 H2O + 2 H+	Secondary Metabolite Biosynthesis		Yersinia pseudotuberculosis // Yersinia enterocolitica // Yersinia pestis	Yersinia <enterobacteria>
yeast mannan degradation	PWY-8435	yeast mannan degradation	TonB-dependent manno-oligosaccharide transporter // &alpha;-1,3-mannosidase // &alpha;-1,3-mannosidase	alpha-D-mannopyranosyl-(1,3)-alpha-D-mannopyranose + H2O  ->  2 beta-D-mannopyranose // alpha-D-mannopyranosyl-(1,3)-alpha-D-mannopyranose[extracellular space] + H+[periplasm]  ->  alpha-D-mannopyranosyl-(1,3)-alpha-D-mannopyranose[periplasm] + H+[extracellular space] // partially degraded S. cerevisiae mannan (periplasm)  ->  D-mannopyranose // partially degraded S. cerevisiae mannan (extracellular)[extracellular space] + H+[periplasm]  ->  partially degraded S. cerevisiae mannan (periplasm)[periplasm] + H+[extracellular space] // S. cerevisiae mannan  ->  partially degraded S. cerevisiae mannan (extracellular) + alpha-D-mannopyranosyl-(1,3)-alpha-D-mannopyranose + D-mannopyranose	Glycan Pathways		Bacteroides thetaiotaomicron	Bacteria <bacteria>
yatein biosynthesis II	PWY-7629	yatein biosynthesis II	thujaplicatin 5-<i>O</i>-methyltransferase // 5-methylthujaplicatin 4-<i>O</i>-methyltransferase	5-<i>O</i>-methylthujaplicatin <i>O</i>-methyltransferase // yatein synthase // (-)-thujaplicatin + S-adenosyl-L-methionine  ->  5-O-methylthujaplicatin + S-adenosyl-L-homocysteine + H+ // matairesinol hydroxylase	Aromatic Compound Biosynthesis		Anthriscus sylvestris	Magnoliopsida
yatein biosynthesis I	PWY-7748	yatein biosynthesis I	pluviatolide synthase // pluviatolide 4-<i>O</i>-methyltransferase // bursehernin 5'-hydroxylase // 5'-demethylyatein 5'-<i>O</i>-methyltransferase	(-)-5'-demethylyatein + S-adenosyl-L-methionine  ->  S-adenosyl-L-homocysteine + (-)-yatein + H+ // (-)-bursehernin + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-5'-demethylyatein + oxidized [NADPH-hemoprotein reductase] + H2O // pluviatolide methyltransferase // (-)-matairesinol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (-)-pluviatolide + oxidized [NADPH-hemoprotein reductase] + 2 H2O	Aromatic Compound Biosynthesis		Sinopodophyllum hexandrum	Magnoliopsida
yangonin biosynthesis	PWY-8104	yangonin biosynthesis	styrylpyrone synthase 2 // styrylpyrone <i>O</i>-methyltransferase 1	4-coumarate + coenzyme A + ATP  ->  (E)-4-coumaroyl-CoA + AMP + diphosphate // bis-noryangonin + 2 S-adenosyl-L-methionine  ->  yangonin + 2 S-adenosyl-L-homocysteine + H+ // (6E)-7-(4-hydroxyphenyl)-3,5-dioxohept-6-enoyl-[styrylpyrone synthase]  ->  bis-noryangonin + polyketide synthase + H+ // (E)-4-coumaroyl-CoA + 2 malonyl-CoA + polyketide synthase + 2 H+  ->  (6E)-7-(4-hydroxyphenyl)-3,5-dioxohept-6-enoyl-[styrylpyrone synthase] + 3 coenzyme A + 2 CO2	Aromatic Compound Biosynthesis		Piper methysticum	Piper
xyloglucan degradation III (cellobiohydrolase)	PWY-6812	xyloglucan degradation III (cellobiohydrolase)	oligoxyloglucan reducing-end-specific cellobiohydrolase	XXXG xyloglucan oligosaccharide + H2O  ->  alpha-D-xylosyl-(1->6)-beta-D-glucosyl-(1->4)-[alpha-D-xylose-(1,6)-]-beta-D-glucose + alpha-D-xylosyl-(1->6)-beta-D-glucosyl- (1->4)-beta-D-glucose	Polymeric Compound Degradation // Carbohydrate Degradation // Glycan Pathways		Aspergillus fischeri // Aspergillus nidulans // Geotrichum sp. M128	Fungi
xyloglucan degradation II (exoglucanase)	PWY-6807	xyloglucan degradation II (exoglucanase)	oligoxyloglucan &beta;-glycosidase // &beta;-galactosidase // &beta;-galactosidase // xyloglucan-specific endo-&beta;-1,4-glucanase A // xyloglucan-specific endo-&beta;-1,4-glucanase // xyloglucan-specific endo-beta-1,4-glucanase A	a xyloglucan + n H2O  ->  n XXFG xyloglucan oligosaccharide + n XLFG xyloglucan oligosaccharide + n XLXG xyloglucan oligosaccharide // XLFG xyloglucan oligosaccharide + H2O  ->  XLLG xyloglucan oligosaccharide + L-fucopyranose // XXFG xyloglucan oligosaccharide + H2O  ->  XXLG xyloglucan oligosaccharide + L-fucopyranose // isoprimeverose + H2O  ->  D-glucopyranose + alpha-D-xylopyranose // xyloglucan XLLG oligosaccharide &beta;-galactosidase // xyloglucan XLXG oligosaccharide &beta;-galactosidase // xyloglucan XXLG oligosaccharide &beta;-galactosidase // XXXG xyloglucan oligosaccharide + 3 H2O  ->  3 isoprimeverose + D-glucopyranose	Polymeric Compound Degradation // Carbohydrate Degradation // Glycan Pathways		Aspergillus aculeatus // Aspergillus japonicus // Aspergillus niger // Aspergillus oryzae // Chrysosporium lucknowense // Trichoderma reesei	Fungi
xyloglucan degradation I (endoglucanase)	PWY-6791	xyloglucan degradation I (endoglucanase)		a xyloglucan  ->  D-glucopyranose + D-xylopyranose + D-galactopyranose + L-fucopyranose	Polymeric Compound Degradation // Carbohydrate Degradation // Glycan Pathways		Aspergillus aculeatus // Aspergillus japonicus // Aspergillus niger // Aspergillus oryzae	Fungi
xyloglucan biosynthesis	PWY-5936	xyloglucan biosynthesis	xyloglucan 6-xylosyltransferase 1 // xyloglucan 6-xylosyltransferase 2 // xyloglucan &alpha;-1,2-fucosyltransferase // &alpha;-1,2-fucosyltransferase // xyloglucan galactosyltransferase // xyloglucan 6-xylosyltransferase 5 // xyloglucan glycosyltransferase 4	UDP-alpha-D-glucose + (1,4-beta-D-glucosyl)(n)  ->  (1,4-beta-D-glucosyl)(n+1) + UDP // UDP-alpha-D-galactose + an XXLG xylogulcan  ->  an XLLG xylogulcan + UDP // a GXGG xylogulcan + 2 UDP-alpha-D-xylose  ->  an XXXG xylogulcan + 2 UDP + 2 H+ // UDP-alpha-D-galactose + an XXXG xylogulcan  ->  an XXLG xylogulcan + UDP // GDP-beta-L-fucose + an XLLG xylogulcan  ->  an XLFG xylogulcan + GDP + H+ // a 1,4-beta-D-glucan + UDP-alpha-D-xylose  ->  a GXGG xylogulcan + UDP	Glycan Pathways // Carbohydrate Biosynthesis		Pisum sativum // Arabidopsis thaliana	Viridiplantae
