Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
CPLX0-7727		16S rRNA m<sup>3</sup>U1498 methyltransferase // ribosomal RNA small subunit methyltransferase E	RXN-11598	EC-2.1.1.193
MONOMER-124700		lankacidin quinoprotein dehydrogenase	RXN-24665 // RXN-24664 // RXN-24663	EC-1.1.99.M8
AT2G44990-MONOMER		9-<i>cis</i>-&beta;-carotene 9',10'-cleavage dioxygenase	RXN-13642	EC-1.13.11.68
CPLX0-1621		RNase G // ribonuclease G	RXN0-6523	EC-3.1.26.12
AT5G23310-MONOMER		superoxide dismutase (Fe)	SUPEROX-DISMUT-RXN	EC-1.15.1.1
EG11579-MONOMER	GO:1901135 // GO:0071978 // GO:0009231 // GO:0034656	<i>N</i>-glycosidase YbiA // YbiA	RXN-19407	
MONOMER-6501		DapC	SUCCINYLDIAMINOPIMTRANS-RXN	EC-2.6.1.17
BSU16670-MONOMER		RibC	FADSYN-RXN // RIBOFLAVINKIN-RXN	EC-2.7.7.2 // EC-2.7.1.26
CPLX0-8260		dTMP kinase	DTMPKI-RXN	EC-2.7.4.12 // EC-2.7.4.13 // EC-2.7.4.9
MONOMER-18752			DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
CPLX-9250		green fluorescent protein	RXN-18865 // RXN-24493 // RXN-24489 // RXN-24492	
MONOMER-16595			RXN-15066 // 2.3.1.23-RXN	EC-2.3.1.23
MONOMER-21084		patellamide thiazoline oxidase/C-terminal peptidase/cyclase // PatG	RXN-21196 // RXN-21198 // RXN-21192 // RXN-21194	EC-1.3.3.16
MONOMER-125128		cysteate racemase // CuyB	RXN-25636	EC-5.1.1.M4
MONOMER-11653		nicotinic acid hydroxylase	RXN-11353	EC-1.17.99
CPLX490-3506		photosystem II // PS II	PSII-RXN	EC-1.10.3.9
MONOMER-2282			R312-RXN	EC-4.2.1
MONOMER-8302		ethanolamine N-methyltransferase	RXN-5763 // RXN-5762	EC-2.1.1
MONOMER-15334		QsuB	DHSHIKIMATE-DEHYDRO-RXN	EC-4.2.1.118
CPLX0-7622		L-serine deaminase III	4.3.1.17-RXN // RXN-15125	EC-4.3.1.17
MONOMER-10405		succinate semialdehyde reductase (NADPH) // succinic semialdehyde reductase // &gamma;-hydroxybutyrate dehydrogenase	RXN-11002	EC-1.1.1.co
MONOMER-18942		HpbA	R502-RXN	EC-1.5.3
MONOMER-22046		solabiose phosphorylase	RXN-23100	EC-2.4.1.389
CPLX66-347			PGLYCDEHYDROG-RXN	EC-1.1.1.95
MONOMER-21183		L-dehydro-ascorbate lactonase // DhaL	RXN-21400	
MONOMER-12684		myricetin <i>O</i>-methyltransferase	RXN-13956 // RXN-13955 // RXN-8452 // RXN-8451	EC-2.1.1.267
MONOMER-13799		CAD1	GERANIOL-DEHYDROGENASE-RXN	EC-1.1.1.183
CPLX-85547		indoleacetate decarboxylase	RXN-20090	EC-4.1.1.115
DTDPGLUCDEHYDRAT2-MONOMER	GO:1901137 // GO:0000271 // GO:0009246 // GO:0009225 // GO:0009103	dTDP-glucose 4,6-dehydratase 2 // Rff // RffG	DTDPGLUCDEHYDRAT-RXN	EC-4.2.1.46
CPLX-4281			SUCCDIAMINOPIMDESUCC-RXN	EC-3.5.1.18
AT4G22880-MONOMER		anthocyanidin synthase // AT4g22880 // leucoanthocyanidin dioxygenase // LDOX // ANS	RXN-18348 // LEUCPEL-RXN // RXN-602	EC-1.14.20.4
CPLX-5263		NADH-ubiquinone oxidoreductase // NADH dehydrogenase complex // complex I	NADH-DEHYDROG-A-RXN	EC-7.1.1.2
MONOMER-18516		anthocyanidin 3-<i>O</i>-glucoside 6"-<i>O</i>-malonyltransferase	RXN-15335	EC-2.3.1.171
