Enzyme	GO terms (biological process)	Names	Reactions catalyzed by enzyme	EC-Number
CPLX-9591		<i>Escherichia coli</i> O:55 antigen polymerase	RXN-22122	EC-2.4.99.27
MONOMER-16659		neocarratetraose 4-<i>O</i>-monosulfate &beta;-hydrolase	RXN-12435	EC-3.2.1
MONOMER-17355			DIACYLGLYKIN-RXN	EC-2.7.1.107
CPLX-9392		phytoceramide synthase LAG1/LIP1 // phytosphingosine <i>N</i>-acyltransferase	RXN-20399 // RXN-20398 // RXN3O-328	EC-2.3.1.297
MONOMER-21674		arsenite methyltransferase // ArsM	RXN-22330 // RXN-22329 // RXN-21028 // RXN-22336 // 2.1.1.137-RXN // RXN-22332 // RXN-22333 // RXN-22334 // RXN-22335	EC-2.1.1.137
CPLX-6914		5-aminolevulinate synthase 1 // 5-aminolevulinic acid synthase // ALA synthase // ALAS	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	EC-2.3.1.37
MONOMER-6603		PatA	RXN-4822	
AT5G11880-MONOMER			DIAMINOPIMDECARB-RXN	EC-4.1.1.20
MONOMER-9201		pyruvate decarboxylase // PDC	RXN-6161	EC-4.1.1.1
MONOMER-13972			RXN-7982	EC-1.14.11.25
HS04162-MONOMER	GO:0008152 // GO:0006491 // GO:0006487 // GO:0005975	mannosyl-oligosaccharide 1,2-&alpha;-mannosidase IC // &alpha;-1,2-mannosidase IC // HMIC // mannosidase &alpha; class 1C member 1 // processing &alpha;-1,2-mannosidase IC	RXN-18919 // RXN-18929 // RXN-18920 // RXN-18921 // RXN-18931 // RXN-18930 // RXN-18922 // RXN-18918 // RXN-18928 // RXN-18927 // RXN-18926	EC-3.2.1.113
MONOMER-18983		multifunctional aromatic <i>O</i>-prenyltransferase	RXN-15964 // RXN-15961	EC-2.5.1
CPLX0-8016			UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	EC-2.3.1.191
MONOMER-124217		ribitol-5-phosphate 2-dehydrogenase // RtpD	RXN-23384	EC-1.1.1.137
MONOMER-15685		perillyl alcohol dehydrogenase	RXN-20140 // RXN-15824 // PERILLYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.144
MONOMER3O-102		guanylate kinase	GMKALT-RXN // GUANYL-KIN-RXN	EC-2.7.4.13 // EC-2.7.4.12 // EC-2.7.4.8
CPLX-7937		guanine deaminase	RXN-8016 // GUANINE-DEAMINASE-RXN	EC-3.5.4.45 // EC-3.5.4.3
MONOMER-8221		lysine <i>N</i><sup>6</sup>-acetyltransferase // acetyl-CoA:L-lysine <i>N</i>-acetyltransferase	LYSACET-RXN	EC-2.3.1.306
CPLX-3062		sulfoacetaldehyde acetyltransferase	RXN-2364	EC-2.3.3.15
MONOMER3O-4139	GO:0046495 // GO:0019363 // GO:0016310 // GO:0009435	ribosylnicotinamide kinase // nicotinamide riboside kinase // NRK	RXN-8443 // RIBOSYLNICOTINAMIDE-KINASE-RXN	EC-2.7.1.173 // EC-2.7.1.22
EG11470-MONOMER	GO:0006950	phosphosugar phosphatase YigL // YigL	3.1.3.74-RXN // RXN-15794 // RXNQT-4142 // RXN-23190 // RXN0-5186 // RXN-14938 // RXN-15312 // RXN0-7251 // SUCROSE-PHOSPHATASE-RXN // RXN-9936 // 3.1.3.68-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // RXN0-7249 // RXN-17725 // RXN4FS-9 // TREHALOSEPHOSPHA-RXN // F16BDEPHOS-RXN // GLUCOSE-1-PHOSPHAT-RXN // RXN0-7250 // RXN-17724 // RXN66-526 // RXN-17745 // RXN0-7362 // RXN-14475 // RXN-19383 // RXN-17330 // SUGAR-PHOSPHATASE-RXN	EC-3.1.3.74 // EC-3.1.3 // EC-3.1.3.93 // EC-3.1.3.94 // EC-3.1.3.58 // EC-3.1.3.9 // EC-3.1.3.24 // EC-3.1.3.79 // EC-3.1.3.68 // EC-3.1.3.37 // EC-3.1.3.12 // EC-3.1.3.11 // EC-3.1.3.10 // EC-3.1.3.90 // EC-3.1.3.23
MONOMER66-43216	GO:0035246 // GO:0032259 // GO:0031397 // GO:0019919 // GO:0006479 // GO:0006355	protein arginine <i>N</i>-methyltransferase 3 // heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3	RXN-17121 // RXN-16889 // RXN-16891	EC-2.1.1.319 // EC-2.1.1.321
MONOMER-17488			RXN-13523	EC-2.6.1
CPLX-7772		dimethylsulfoniopropionate demethylase	RXN-9736	EC-2.1.1.269
EG12044-MONOMER	GO:0009451 // GO:0006364 // GO:0001522 // GO:0000455	16S rRNA pseudouridine<sup>516</sup> synthase // YejD // RsuA	RXN-11833	EC-5.4.99.19
MONOMER-13761		1,4-&beta;-<small>D</small>-xylan synthase	RXN-9104	EC-2.4.2.24
CPLX-7844		sirohydrochlorin cobaltochelatase	SIROHEME-FERROCHELAT-RXN // 4.99.1.3-RXN	EC-4.99.1.4 // EC-4.99.1.3
MONOMER-17819			RXN-13908	EC-4.2.1.96
MONOMER-21586		UDP-Glc:&beta;-D-GlcA-(1&rarr;4)-&alpha;-D-Gal-(1&rarr;6)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &beta;-(1,6<sup>IV</sup>)-glucosyltranferase // WetY	RXN-22174	EC-2.4.1
CPLX0-8262		nucleotide 5'-monophosphate nucleosidase	RXN0-7352 // AMP-NUCLEOSID-RXN // INOSINATE-NUCLEOSIDASE-RXN // RXN-14065 // 3.2.2.10-RXN	EC-3.2.2 // EC-3.2.2.4 // EC-3.2.2.12 // EC-3.2.2.10
AT5G48180-MONOMER		nitrile-specifier protein NSP5	RXN-12025 // RXN-18225 // RXN-18228 // RXN-18223 // RXN-8136 // RXNQT-4351	EC-4.8.1.5
HS04504-MONOMER	GO:0018146 // GO:0001572 // GO:0006629 // GO:0006643 // GO:0005975	lactotriaosylceramide &beta;-1,4-galactosyltransferase // b4Gal-T4 // &beta;-1,4-GalTase 4 // &beta;4Gal-T4 // Nal synthetase // UDP-Gal:&beta;-GlcNAc &beta;-1,4-galactosyltransferase 4 // UDP-galactose:&beta;-<i>N</i>-acetylglucosamine &beta;1,4-galactosyltransferase 4 // &beta;-<i>N</i>-acetylglucosaminyl-glycolipid &beta;-1,4-galactosyltransferase	RXN-23976 // RXN-23982 // RXN-18306 // RXN-12229	EC-2.4.1.275
MONOMER-12611		ScrB	3.2.1.26-RXN	EC-3.2.1.26
UBIX-MONOMER	GO:0120232 // GO:0006744	flavin prenyltransferase // DedF // UbiX	RXN-16937	EC-2.5.1.129
MONOMER-21495		UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase // WecA	GLCNACPTRANS-RXN	EC-2.7.8.33
CPLX-8170		phosphite dehydrogenase	1.20.1.1-RXN	EC-1.20.1.1
CPLX-7994			GKI-RXN	EC-2.7.1.165
CPLX66-456			NAD-KIN-RXN	EC-2.7.1.M29 // EC-2.7.1.23
CPLX66-450		carnitine O-palmitoyltransferase 1, liver isoform	CARNITINE-O-PALMITOYLTRANSFERASE-RXN // RXN-22185 // RXN-9918 // RXN-23859	EC-2.3.1.21 // EC-2.3.1.M110
MONOMER-18110		cytochrome P450 302a1, mitochondrial // Dib // disembodied	RXN-14678	EC-1.14.15.44
MONOMER-18726		<i>L</i>-tryptophan:phenylpyruvate aminotransferase // TdiD	2.6.1.28-RXN	EC-2.6.1.28
MONOMER-21704		dTDP-viosamine (<i>S</i>)-3-hydroxybutanoyltransferase	RXN-22419	EC-2.3.1
MONOMER-17205		hydroxymethylglutaryl-CoA reductase	HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN	EC-1.1.1.88
CPLX66-508		6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	6-PHOSPHOFRUCTO-2-KINASE-RXN // 3.1.3.46-RXN	EC-2.7.1.105 // EC-3.1.3.46
MONOMER-19464		enoyl reductase // TasC	RXN-16959	EC-2.3.1
MONOMER-124759		borneol dehydrogenase	RXN-24837 // RXN-24836 // --BORNEOL-DEHYDROGENASE-RXN // +-BORNEOL-DEHYDROGENASE-RXN	EC-1.1.1 // EC-1.1.1.227 // EC-1.1.1.198
CPLX0-8098			UGD-RXN	EC-1.1.1.22
MONOMER-10461		5-methylthioribose kinase	5-METHYLTHIORIBOSE-KINASE-RXN	EC-2.7.1.100
SCO5897-MONOMER		undecylprodigiosin cyclase // RedG	RXN1A0-6102	
MONOMER-14261		progesterone 5&beta;-reductase	RXN-9726	EC-1.3.1.3
MONOMER-20252		4,4'-dithiodibutanoate disulfide reductase // Nox<sub>MI2</sub> // 4,4'-disulfanediyldibutanoate disulfide reductase	RXN-15367	EC-1.8.1.20
CPLX-3422		malonate semialdehyde dehydrogenase	RXN-2902	EC-1.2.1.18
MONOMER-16070		[SoxY protein]-L-cysteine-<i>S</i>-sulfane:polymeric sulfur sulfurtransferase // SoxL	RXN-11955	
2-DEHYDROPANTOATE-REDUCT-MONOMER	GO:0015940	2-dehydropantoate 2-reductase // PanE // ApbA	2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
CPLX-8078		chlorite O<sub>2</sub>-lyase // chlorite dismutase	1.13.11.49-RXN	EC-1.13.11.49
HS00336-MONOMER	GO:0019370 // GO:0006691	arachidonate 5-lipoxygenase // 5-lipoxygenase // 5-LO // f-LOX // 5-LOX	RXN-23501 // RXN-20582 // RXN66-504 // RXN66-500 // RXN66-513 // RXN66-514 // RXN-20581 // RXN-20579 // RXN-20571 // RXN-20578 // RXN-20580 // RXN66-512 // RXN66-499 // RXN66-495 // RXN66-503 // RXN66-511 // RXN-8647 // ARACHIDONATE-5-LIPOXYGENASE-RXN // RXN-23007 // RXN-23478	EC-1.13.11.34
MONOMER-124624		3-hydroxybenzoate 6-hydroxylase // MhbM	3-HYDROXYBENZOATE-6-MONOOXYGENASE-RXN	EC-1.14.13.24
MONOMER-18927		cytosyl-4'-dehydro-&beta;-D-glucuronate transaminase // BlsH	RXN-15929	EC-2.6.1
CPLX-8623		cytidine deaminase	CYTIDEAM-RXN // CYTIDEAM2-RXN	EC-3.5.4.5
MONOMER-20475		2,3-dihydroxybenzoate-[aryl-carrier protein] ligase // VabE	RXN-19447 // DHBAMPLIG-RXN // RXN-19446	EC-6.2.1.71
MONOMER-124963		pyrimidine-nucleoside phosphorylase // DeoA	RXN-25247	EC-2.4.2.2
CPLX-7774		GTP cyclohydrolase IV	RXN-10063	EC-3.5.4.39
G6422-MONOMER	GO:0071555 // GO:0009252 // GO:0008360 // GO:0018104	L,D-transpeptidase LdtB // LdtB // YbiS	RXN0-5401	
E3-CPLX		lipoamide dehydrogenase	RXN-15119 // GCVMULTI-RXN // GCVP-RXN // GCVT-RXN // RXN-8629 // 2OXOGLUTARATEDEH-RXN // 2OXOGLUTDECARB-RXN // RXN0-1147 // RXN-7716 // PYRUVDEH-RXN // RXN0-1134 // RXN-12583 // RXN-12508 // RXN0-1133 // RXN0-1132	EC-1.97.1 // EC-1.4.1.27 // EC-1.4.4.2 // EC-2.1.2.10 // EC-1.8.1.4 // EC-1.2.1.105 // EC-1.2.4.2 // EC-2.3.1.61 // EC-1.2.1.104 // EC-1.2.4.1 // EC-2.3.1.12
MONOMER-17428		Ngg	RXN-13455	
G185E-4785-MONOMER		methoxymycolic acid synthase 4 // Hma // MmaA4	RXN1G-3613 // RXN1G-2527	EC-2.1.1
CPLX66-2052		GPI &alpha;(1,4)-mannosyltransferase 1 complex	RXN-25491	EC-2.4.1.M90
MONOMER-20318		pyrrol-2-yl(carbonyl)-[peptidyl-carrier protein] brominase	RXN-19072 // RXN-19094 // RXN-19095 // RXN-19096	EC-1.14.19.57
CPLX0-245	GO:0045454 // GO:0033194	alkyl hydroperoxide reductase	RXN-8506 // R4-RXN // RXN-19953 // RXN-19954 // RXN-20692 // RXN-20691	EC-1.5.1.37 // EC-1.11.1.26
YHR007C-MONOMER		lanosterol 14-&alpha;-demethylase // cytochrome P450 51	RXN3O-130 // RXN66-303 // RXN66-304 // RXN66-305	EC-1.14.14.154
CPLX-7106			ASPDECARBOX-RXN // TYROSINE-DECARBOXYLASE-RXN	EC-4.1.1.11 // EC-4.1.1.28 // EC-4.1.1.25
MONOMER-124740			RXN-24752	
CPLX-7040			ISOCIT-CLEAV-RXN	EC-4.1.3.1
MONOMER-19420		2-aminomalonyl semialdehyde-[seryl-carrier protein] hydroxylase // GdnA	RXN-16908	EC-1.2.98
CPLX-9293		3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase	4.1.1.51-RXN	EC-4.1.1.51
MONOMER-21625		dTDP-Rha:&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-GalNAc-PP-Und &alpha;-(1,4)-rhamnosyltransferase // WdcC	RXN-21961	EC-2.4.1
MONOMER-18099		UDP-<em>N</em>-acetylglucosamine&mdash;undecaprenyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase // WecA // undecaprenyl-phosphate <i>N</i>-acetylglucosaminyl 1-phosphate transferase	GLCNACPTRANS-RXN	EC-2.7.8.33
MONOMER-4604		isoflavone synthase	RXN-7655 // RXN-3283	EC-1.14.14 // EC-1.14.14.87
SM_B20961-MONOMER	GO:0009103 // GO:0000271	succinoglycan biosynthesis transport protein ExoP // ExoP	RXN-22429	EC-2.4.99
MONOMER-22076		HygN	RXN-23153	EC-2.7.1
CPLX-8235		Na(+)-translocating NADH-quinone reductase	TRANS-RXN-214	EC-7.2.1.1
ENSG00000116288-MONOMER	GO:0007265	protein deglycase // oncogene DJ1 // Parkinson disease protein 7 // protein DJ-1	RXN-17634 // RXN-17632 // RXN-17630	EC-3.5.1.124
CPLX-7237		2-hydroxymuconate tautomerase // 4-oxalocrotonate tautomerase	RXN-8529	EC-5.3.2.6
CPLX-8855			RXN-9510 // RXN-12444 // FMNREDUCT-RXN // RXN-11518	EC-1.5.1.42 // EC-1.5.1.38 // EC-1.5.1.39 // EC-1.14.13.128
AT1G69500-MONOMER		long-chain fatty acid &omega;-hydroxylase	RXN-9807 // RXN-16398 // RXN-9805 // RXN-16399 // RXN-16400 // RXN-16394	EC-1.14.14.80
ENSG00000142102-MONOMER		protein-glucosylgalactosylhydroxylysine glucosidase // acid trehalase-like protein 1	3.2.1.107-RXN	EC-3.2.1.107
MONOMER-21175		ferruginol synthase	RXN-21386 // RXN-18880 // RXN-16786	EC-1.14.14 // EC-1.14.14.60 // EC-1.14.14.175
HS04528-MONOMER	GO:0032496 // GO:0009249 // GO:0009107 // GO:0006979 // GO:0006954 // GO:0001843	lipoyl synthase // Lip-syn // Lipoate synthase // Lipoic acid synthase // LS // Lipoyl synthase, mitochondrial	RXN-14950 // RXN-25171 // RXN-25169	EC-2.8.1.8
YML070W-MONOMER		dihydroxyacetone kinase 1	GLYCERONE-KINASE-RXN	EC-2.7.1.29
HP_RS00475-MONOMER	GO:0005975	&alpha;-(1,2)-fucosyltransferase FutC // FutC // FucT2 // alpha-(1,2)-fucosyltransferase FutC1	RXN2DNV-35 // RXN-18263 // RXN-18264 // RXN-18234	EC-2.4.1.344 // EC-2.4.1.69
G3O-32464-MONOMER		tRNA-dihydrouridine<sup>47</sup> synthase [NAD(P)+] // tRNA-dihydrouridine synthase 3	RXN-12457	EC-1.3.1.89
EG11441-MONOMER	GO:0006465 // GO:0006518 // GO:0006508 // GO:0006260	oligopeptidase A // OpdA // PrlC	3.4.24.70-RXN	EC-3.4.24.70
MONOMER-124176		4'-methoxyviridicatin 4-monooxygenase // AsqM	RXN-23349	EC-1.14.13
CPLX-7129		(<i>S</i>)-5-amino-3-oxohexanoate cleavage enzyme	R125-RXN	EC-2.3.1.247
MONOMER3O-363		saccharopine dehydrogenase (NADP+, L-glutamate-forming) // saccharopine reductase	RXN3O-127	EC-1.5.1.10
MONOMER-17975		friedelin synthase	RXN-12101 // RXN-7570 // RXN-9916	EC-5.4.99.50 // EC-5.4.99.39 // EC-5.4.99.35
BSU22470-MONOMER		(<i>S</i>)-malyl <i>N</i>-acetyl-&alpha;-D-glucosaminide deacetylase 1 // JojG // YpjG	RXN8J2-2	EC-3.5.1.M15
MONOMER-17509			RXN-11657 // RXN-11661	EC-1.10.3
MONOMER-21078		colibactin serine protease ClbP // ClbP	RXN-21103 // RXN-21152	
MONOMER-17948		IolG	MYO-INOSITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.18
MONOMER-19836		alkene monooxygenase	RXN-17588	EC-1.14.13.69
MONOMER-14949		selenophosphate synthetase 2 // selenide, water dikinase 2 // SPS2 // selenium donor protein 2	2.7.9.3-RXN	EC-2.7.9.3
MONOMER-16626			RXN-7984	
MONOMER-18499			NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN	EC-1.6.2.4
ENSG00000167114-MONOMER	GO:0044539 // GO:0043588 // GO:0042760 // GO:0015909 // GO:0015908 // GO:0008152 // GO:0007584 // GO:0006869 // GO:0006810 // GO:0006631 // GO:0006629 // GO:0001676 // GO:0001579 // GO:0000038	ultra-long-chain &omega;-hydroxyacyl-CoA synthetase // long-chain fatty acid transport protein 4 // FATP-4 // fatty acid transport protein 4 // solute carrier family 27 member 4	RXN-20390 // RXN-20354	EC-6.2.1.M34
MONOMER-17534		decaprenylphospho-&beta;-D-ribofuranose 2-dehydrogenase	RXN-11080	EC-1.1.98.3
EG11915-MONOMER	GO:0006974 // GO:0006281	endonuclease V // YjaF // Nfi // EndoV // deoxyinosine 3'-endonuclease	RXN-21350	EC-3.1.21.7
EG11603-MONOMER		inorganic triphosphatase // YgiF	TRIPHOSPHATASE-RXN	EC-3.1.3.1 // EC-3.6.1.25
MONOMER-19687		2-epi-5-epi-valiolone synthase	RXN-9140	EC-4.2.3.152
MONOMER-14972			RXN-10709	EC-1.3.1
MONOMER-16839			1.14.13.103-RXN	EC-1.14.14.142
CPLX-8430		(+)-bornyl diphosphate synthase	GERANYL-DIPHOSPHATE-CYCLASE-RXN	EC-5.5.1.8
AT5G54810-MONOMER		tryptophan synthase, beta subunit	RXN0-2382	EC-4.2.1.122
PROS-CPLX		proline&mdash;tRNA ligase	RXN-23942 // RXN-11115 // RXN-23941 // RXN-23940 // RXN-17190 // RXN-23939 // PROLINE--TRNA-LIGASE-RXN // RXN-19079 // RXN-23899 // RXN-21072	EC-6.1.1.16 // EC-6.1.1.15 // EC-3.1.1.M26
MONOMER-19116		NysL	RXN-16254	EC-1.14.13
DIHYDROPICRED-CPLX		4-hydroxy-tetrahydrodipicolinate reductase	RXN-14014	EC-1.17.1.8
MONOMER-19325		<i>N</i>-hydroxytryptophan <i>O</i>-methyltransferase	RXN-16680	EC-2.1.1
MONOMER-21512		UDP-galactose:&beta;-D-GlcNAc-(1&rarr;3)-&alpha;-D-Gal-(1&rarr;3)-GalNAc-PP-Und &beta;-(1,3)-galactosyltransferase WbgO // WbgO	RXN-22118	EC-2.4.1
CPLX-9714		6-deoxy-6-sulfo-D-fructose transketolase	RXN-22969 // RXN-22970	EC-2.2.1.15
ENSG00000115593-MONOMER	GO:0045892 // GO:0045663 // GO:0035914 // GO:0032259 // GO:0010831 // GO:0007507 // GO:0006355 // GO:0006351 // GO:0006338	histone-lysine <em>N</em>-methyltransferase KMT3D // SET and MYND domain-containing protein 1	RXN-20616 // RXN-20598 // RXN-20604 // RXN-20610	EC-2.1.1.354 // EC-2.1.1.364
HS01822-MONOMER		arsenic methyltransferase // L-methionine:As<sup>III</sup> methyltransferase	RXN-22363 // RXN-22358 // RXN-22330 // RXN-22329 // RXN-21028 // RXN-22336 // 2.1.1.137-RXN // RXN-22332 // RXN-22333 // RXN-22334 // RXN-22335	EC-2.1.1.137
MONOMER-19955		glucose-1-phosphate thymidylyltransferase // DnmL	DTDPGLUCOSEPP-RXN	EC-2.7.7.24
G7579-MONOMER		cAMP phosphodiesterase // CpdA // Icc	RXN0-5038	EC-3.1.4.53
CPLX-9208		acyl-CoA:acyl-CoA alkyltransferase	RXN-18560 // RXN-18568 // RXN-18551 // RXN-18567 // RXN-18566 // RXN-18555	EC-2.3.3.20
HS06473-MONOMER		1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase &epsilon;-1 // phospholipase C, epsilon 1 // pancreas-enriched phospholipase C // phospholipase C &epsilon;1	RXN-20538 // RXN-20523 // 3.1.4.11-RXN	EC-3.1.4.11
HS08788-MONOMER	GO:0007165 // GO:0007267 // GO:0007626 // GO:0001516	hematopoietic prostaglandin D synthase // glutathione-dependent PGD synthetase // H-PGDS // prostaglandin-H2 D-isomerase	PROSTAGLANDIN-D-SYNTHASE-RXN	EC-5.3.99.2
CPLX-4862		glycine dehydrogenase (cyanide-forming) // hydrogen cyanide synthase // HCN synthase	1.4.99.5-RXN	EC-1.4.99.5
FUC4NACTRANS-MONOMER	GO:0009246	enterobacterial common antigen polymerase // RffT // WzyE	RXN-22149 // RXN0-7383	EC-2.4.99
CPLX-4481		(<i>S</i>)-hydroxynitrile lyase	RXN-11731 // RXN-11732 // ACETONE-CYANHYDRIN-LYASE-RXN	EC-4.1.2.47 // EC-4.1.2.46
MONOMER-16663		L-ornithine <i>N</i> 3-hydroxy acyltransferase // OlsB	RXN-12431	EC-2.3.2.30
AT3G01640-MONOMER		glucuronokinase	GLUCURONOKINASE-RXN	EC-2.7.1.43
MONOMER-12325		5-aminopentanamidase // DavA // &delta;-aminovaleramide amidohydrolase	5-AMINOPENTANAMIDASE-RXN	EC-3.5.1.30
BSU13730-MONOMER	GO:0008616 // GO:0006729	6-carboxy-5,6,7,8-tetrahydropterin synthase // YkvK // QueD	RXN0-5507	EC-4.1.2.50
CPLX-7556			METHYLISOCITRATE-LYASE-RXN	EC-4.1.3.30
CPLX-4662		anthranilate 1,2 dioxygenase	1.14.12.1-RXN	EC-1.14.12.1
MONOMER-19159		isoflavone 3'-hydroxylase	RXN-3762	EC-1.14.14.88
MONOMER-13634			ACONITATEDEHYDR-RXN	
MONOMER-18834		PigM	RXN-15785	EC-1.1.1
ENSG00000181027-MONOMER	GO:0035269 // GO:0016485 // GO:0009101	fukutin-related protein	RXN-19401	EC-2.7.8
MONOMER-19351		8-amino-3,8-dideoxy-D-manno-octulosonate transferase // KdtA	RXN-16749	EC-2.4.99
MONOMER-19213		heparinase I // HepA	4.2.2.7-RXN	EC-4.2.2.7
MONOMER-18421		2-haloacrylate reductase	RXN-14536	EC-1.3.1.103
NARQ-CPLX		sensor histidine kinase NarQ	2.7.13.3-RXN	EC-2.7.13.3
MONOMER-15494		peptidoglycan-<i>N</i>-acetylglucosamine deacetylase	RXN-11290	EC-3.5.1.104
MONOMER-8962		UDP-galactose 4-epimerase // UDP-glucose 4-epimerase	UDPGLUCEPIM-RXN	EC-5.1.3.2
MONOMER-17056		L-oleandrosyl-oleandolide desosaminyltransferase	RXN-12803	EC-2.4.1
MONOMER-20264		<i>N</i>-acetyl-&alpha;-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-&alpha;-mannosyltransferase // WbdC	RXN-18771	EC-2.4.1.348
MONOMER-13395		GpgP	RXN-8852	EC-3.1.3.85
CPLX-3904			MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
CPLX-4001		methylenetetrahydrofolate reductase // 5,10-methylenetetrahydrofolate reductase	RXN-22438	EC-1.5.1.54
BSU11660-MONOMER	GO:0006355 // GO:0009228 // GO:0008152 // GO:0006351	thiazole tautomerase // TenI // inhibitor of thiaminase TenA	RXN-12609	EC-5.3.99.10
CPLX-7646		3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic // 3-oxoacyl-[acyl-carrier-protein] reductase // 3-ketoacyl-[acyl-carrier-protein] reductase // &beta;-ketoacyl-[acyl-carrier-protein] reductase // 3-oxoacyl-[acp] reductase // &beta;-ketoacyl-[acp] reductase	RXN-21650 // RXN-21670 // RXN1G-717 // RXN-21622 // RXN-9532 // RXN-21626 // RXN1G-262 // RXN-9524 // RXN-13008 // RXN1G-252 // RXN-9518 // RXN1G-1247 // RXN-21645 // RXN1G-409 // RXN-21681 // RXN1G-481 // RXN-9633 // RXN-9556 // RXN1G-408 // RXN-21660 // RXN-21686 // RXN1G-182 // RXN-21614 // RXN1G-349 // RXN-21676 // RXN1G-157 // RXN-21655 // RXN-9536 // RXN-21631 // RXN-25455 // RXN-21665 // RXN1G-853 // RXN1G-184 // RXN-9528 // RXN-9540 // RXN-10060 // RXN-21702 // RXN1G-637 // RXN1G-1050 // RXN-21618 // RXN1G-508 // RXN-21696 // RXN1G-203 // RXN-22026 // RXN-21691 // RXN1G-613 // RXN-21635 // RXN1G-617 // RXN1G-951 // RXN1G-384 // 3-OXOACYL-ACP-REDUCT-RXN // RXN-9514	EC-1.1.1.100 // EC-1.1.1.M9 // EC-2.3.1.86
MONOMER-20566		L-serine kinase (ADP) // SerK	RXN-19824	EC-2.7.1.226
MONOMER-15539		RhsB // RhbB	4.1.1.86-RXN	EC-4.1.1.86
CPLX-8418		dTDP-3-oxo-3,4,6-trideoxy-&alpha;-D-glucopyranose transaminase	RXN-12768	EC-2.6.1.106
HS07153-MONOMER	GO:0018215 // GO:0009249 // GO:0006629 // GO:0036211 // GO:0006412	lipoyltransferase 1 // lipoate biosynthesis protein // lipoate-protein ligase // lipoyl ligase // lipoyltransferase 1, mitochondrial	RXN-13032	EC-2.3.1.200
MONOMER-16413		cellulase A // CelA // endoglucanase A // endo-1,4-&beta;-glucanase // Cel8A	RXN-2043	EC-3.2.1.4
MONOMER-17297		gentamycin A 4'-<i>C</i>-methyltransferase // GntE	RXN-13234 // RXN-17200 // RXN-24861 // RXN-23823	EC-2.1.1
MONOMER-20674		2-hydroxy-4-isopropenyl-cyclohexan-1-carboxyl-CoA dehydrogenase // MrcD	RXN-20144	EC-1.1.1
G7147-MONOMER	GO:0071555 // GO:0045227 // GO:0009254 // GO:0006508 // GO:0000270	peptidoglycan endopeptidase/peptidoglycan L,D-carboxypeptidase // YeiV // Spr // MepS	RXN0-3461 // RXN0-5407 // RXN-16664	EC-3.4 // EC-3.4.17.13
G185E-7203-MONOMER		chorismate lyase // chorismate pyruvate-lyase // p-hydroxybenzoic acid synthase // chorismate-pyruvate lyase	CHORPYRLY-RXN	EC-4.1.3.40
E5A72_RS01945-MONOMER		fimsbactin shunt thioesterase // FbsM	RXN-24274	
MONOMER-13428		BlaB	RXN-20894 // BETA-LACTAMASE-RXN	EC-3.5.2.6
HS03941-MONOMER	GO:0017186 // GO:0036211	glutaminyl-peptide cyclotransferase // glutaminyl cyclase // glutaminyl-tRNA cyclotransferase // glutamyl cyclase	RXN-19145	EC-2.3.2.5
MONOMER-2361		cellulose synthase // &beta;-1,4-glucan synthase	CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
CPLX-9352		type II alkyl sulfatase	RXN-20185 // RXN-20186 // RXN-20180 // RXN-20183 // RXN-20187 // RXN-20184 // RXN-20182 // RXN-20181 // RXN-20188 // RXN-17674	EC-1.14.11.77
MONOMER-7901			AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	EC-4.1.1.28 // EC-4.1.1.105
MONOMER-14271			RXN-9722	
MONOMER-21389		&Delta;5,7-sterol-&Delta;7 reductase	RXN66-27	EC-1.3.1.21
CPLX3O-79		2,3-butanediol dehydrogenase	RR-BUTANEDIOL-DEHYDROGENASE-RXN // RXN-11034 // RXN-11036	EC-1.1.1.4 // EC-1.1.1 // EC-1.1.1.303
MONOMER-19555		trichothecene 7,8-dihydroxylase	RXN-17049 // RXN-17043	EC-1.14.14
CPLX-8924			RXN-15912	EC-3.2.2
MONOMER-19072		roquefortine synthase // RoqD	RXN-16127 // RXN-16126	EC-2.5.1
