Pathways	Object ID	Names	Enzymes of pathway	Reactions of pathway	Ontology - pathway type	Ontology -  all instances of class
PWY-7709	PWY-7709	(3<i>R</i>)-linalool biosynthesis // (<i>R</i>)-linalool biosynthesis	MONOMER2OL-32 // MONOMER-13458 // MONOMER-12781 // MONOMER-17883 // MONOMER-17882	GPPSYN-RXN // 4.2.3.26-RXN	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-4921	PWY-4921	protein citrullination	HMPREF1322_RS00450-MONOMER // HS06945-MONOMER // HS04094-MONOMER // HS06944-MONOMER // HS08389-MONOMER // G66-31585-MONOMER	PROTEIN-ARGININE-DEIMINASE-RXN	Amino-Acid-Biosynthesis	
PWY-3462	PWY-3462	L-phenylalanine biosynthesis II	AT3G29200-MONOMER // AT5G10870-MONOMER // AT1G69370-MONOMER // MONOMER-8126 // MONOMER-8128 // MONOMER-8129 // MONOMER-8101	PREPHENATE-ASP-TRANSAMINE-RXN // CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN // PREPHENATE-TRANSAMINE-RXN // CHORISMATEMUT-RXN	Amino-Acid-Biosynthesis	
PWY-6573	PWY-6573	chondroitin sulfate degradation (metazoa)	HS03763-MONOMER // HS02884-MONOMER // HS02883-MONOMER	RXN-11620	Polymer-Degradation // Carbohydrates-Degradation // Glycan-Pathways	
PWY-6142	PWY-6142	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>) // carbohydrate biosynthesis (<i>Methanobacterium thermoautotrophicum</i>)	CPLX-7744 // CPLX-7745 // MONOMER-14535 // MONOMER-14536 // MONOMER-14533 // CPLX-7743 // CPLX-7747 // CPLX-7750 // CPLX-561 // CPLX-562 // CPLX-581 // CPLX-601 // CPLX-622 // CPLX-641	PEPSYNTH-RXN // RXN-22566 // METHELENE-THMPT-OXI-RXN // H2-METHYLENE-THMPT-DEHYDRO-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN // PGLUCISOM-RXN // RXN0-5224 // PYRUVATE-CARBOXYLASE-RXN // PEPCARBOX-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // 1.2.7.6-RXN // TRIOSEPISOMERIZATION-RXN // F16ALDOLASE-RXN // R302-RXN // PYRUFLAVREDUCT-RXN	Super-Pathways // Carbohydrates-Biosynthesis	
ASPASN-PWY	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis // Interconversion of L-aspartate and L-asparagine	ASPAMINOTRANS-DIMER // ASNSYNB-CPLX // ASNSYNA-CPLX // CPLX0-263 // ANSA-CPLX // ANSB-CPLX // ASPARTASE-CPLX	ASPARTASE-RXN // ASPARAGHYD-RXN // ASNSYNA-RXN // ASPAMINOTRANS-RXN	Super-Pathways // Amino-Acid-Biosynthesis	
PWY-8355	PWY-8355	peptido-conjugates in tissue regeneration biosynthesis // CTR biosynthesis	HS03167-MONOMER // HS08621-MONOMER // HS09562-MONOMER // HS00336-MONOMER // CPLX66-216 // HS09817-MONOMER // CPLX66-414 // CPLX66-217	RXN-23018 // RXN-23017 // RXN-23016 // RXN-23015 // RXN-23014 // RXN-23013 // RXN-23012 // RXN-16138 // RXN66-514 // RXN66-511 // RXN-16206 // RXN-23003 // RXN-23010 // RXN-23009 // RXN-23004 // RXN-23005 // RXN66-510	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-6446	PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative) // benzoic acid biosynthesis // benzoate biosynthesis III (CoA-dependent, &beta;-oxidative-independent)	MONOMER-15498 // MONOMER-15509	RXN-2002 // RXN-2001 // PHENYLALANINE-AMMONIA-LYASE-RXN // BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN // RXN-11278	Super-Pathways // AROMATIC-COMPOUNDS-BIOSYN	
PWY-7574	PWY-7574	propanoyl-CoA degradation II // propionyl-CoA degradation II	MONOMER-18955 // MONOMER-18956 // MONOMER-18957 // MONOMER-18958	RXN-2902 // 3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-6384 // RXN-6383 // RXN-15977	CARBOXYLATES-DEG	
PWY-6011	PWY-6011	amygdalin and prunasin degradation	MONOMER-14142 // MONOMER-14144 // MONOMER-14143	PRUNASIN-BETA-GLUCOSIDASE-RXN // MANDELONITRILE-LYASE-RXN // AMYGDALIN-BETA-GLUCOSIDASE-RXN	SECONDARY-METABOLITE-DEGRADATION	
PWY-8303	PWY-8303	reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway	CPLX-9656 // MONOMER-21773 // CPLX-9657 // CPLX-9661 // MONOMER-21787 // MONOMER-21774 // MONOMER-21789 // MONOMER-21790	ACETATE--COA-LIGASE-RXN // ACETATEKIN-RXN // METHYLENETHFDEHYDROG-NADP-RXN // PYRUFLAVREDUCT-RXN // RXN-7566 // GCVMULTI-RXN // METHENYLTHFCYCLOHYDRO-RXN // FORMATETHFLIG-RXN // 1.2.2.3-RXN	C1-COMPOUNDS	
PWY-7085	PWY-7085	triethylamine degradation	MONOMER-17547	ACETALD-DEHYDROG-RXN // RXN-13592 // RXN-13594 // RXN-13591 // RXN-13593 // RXN-13590	AMINE-DEG	
PWY-6185	PWY-6185	4-methylcatechol degradation (<i>ortho</i> cleavage)	MONOMER-14435 // CPLX-7800 // MONOMER-14436 // CPLX-7801	RXN-10086 // RXN-10085 // RXN-10083 // RXN-10082 // RXN-10081 // 5.4.99.14-RXN // RXN-10080	AROMATIC-COMPOUNDS-DEGRADATION	
PWY3DJ-12	PWY3DJ-12	ceramide <i>de novo</i> biosynthesis	CPLX66-304 // CPLX66-305 // HS04306-MONOMER // ENSG00000143753-MONOMER	RXN-7792 // RXN-16332 // 3-DEHYDROSPHINGANINE-REDUCTASE-RXN // SERINE-C-PALMITOYLTRANSFERASE-RXN	Glycan-Pathways // Lipid-Biosynthesis	
PWY-5421	PWY-5421	dehydroabietic acid biosynthesis	MONOMER-12744 // MONOMER-12739 // MONOMER-12741 // MONOMER-12742 // MONOMER-12822	RXN-8530 // RXN-8531 // 4.2.3.18-RXN // RXN-8532 // RXN-8533 // RXN-8534 // RXN-4861	SECONDARY-METABOLITE-BIOSYNTHESIS	
PWY-8362	PWY-8362	photorespiration II	CPLX2PN3-59 // MONOMER-22022 // SGL_RS13400-MONOMER // SGL_RS08600-MONOMER // CPLX-9727 // SGL_RS04690-MONOMER // SGL_RS09800-MONOMER // SGL_RS13765-MONOMER // SGL_RS06360-MONOMER // SGL_RS12450-MONOMER	3PGAREARR-RXN // GKI-RXN // RXN0-7229 // GLYOHMETRANS-RXN // GCVMULTI-RXN // SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // GLYCERATE-DEHYDROGENASE-RXN // GLYCINE-AMINOTRANSFERASE-RXN // GPH-RXN // RXN-961	Energy-Metabolism	
PWY-6673	PWY-6673	caffeoylglucarate biosynthesis	MONOMER-16125 // MONOMER-12138 // MONOMER-16127 // MONOMER-16057 // MONOMER-16156	2.3.1.98-RXN // RXN-2622 // RXN-1126	AROMATIC-COMPOUNDS-BIOSYN	
PWY-7283	PWY-7283	wybutosine biosynthesis	YOL141W-MONOMER // G3O-30560-MONOMER // G3O-32610-MONOMER // G3O-34098-MONOMER // G3O-31120-MONOMER	RXN-14517 // RXN-14516 // RXN-14518 // RXN-14519 // RXN-14528 // RXN-14520	Super-Pathways // Nucleic-Acid-Processing	
PWY-7784	PWY-7784	reductive acetyl coenzyme A pathway II (autotrophic methanogens) // acetyl-CoA pathway (autotrophic methanogens) // Ljungdahl-Wood pathway (autotrophic methanogens) // Wood-Ljungdahl pathway (autotrophic methanogens) // reductive acetyl CoA pathway (autotrophic methanogens)	CPLX-561 // CPLX-562 // CPLX-581 // CPLX-601 // CPLX-622 // CPLX-641	RXN-22566 // METHELENE-THMPT-OXI-RXN // H2-METHYLENE-THMPT-DEHYDRO-RXN // 3.5.4.27-RXN // 2.3.1.101-RXN // FORMYLMETHANOFURAN-DEHYDROGENASE-RXN	C1-COMPOUNDS	
