Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1174R_0_M_S2_week5_S39_L001_R2_001	(1.0, 4.909847434119278)	(2.0, 0.8034817542684968)	(3.0, 0.5566980726003157)	(4.0, 0.3520015304414367)	(5.0, 0.2343488449949782)	(6.0, 0.3443493232579272)	(7.0, 0.2879142952795447)	(8.0, 0.2525228370558133)	(9.0, 0.18078339471041177)	('>10', 3.759146778899039)	('>50', 0.8015687024726194)	('>100', 3.123057056769812)	('>500', 2.735664068104644)	('>1k', 9.945956286766464)	('>5k', 0.0)	('>10k+', 71.71265962025922)
1174R_S2_week14_S21_L001_R1_001	(1.0, 1.5346175546062708)	(2.0, 0.5674216168292093)	(3.0, 0.40380430402192313)	(4.0, 0.3223986459256871)	(5.0, 0.2861287982590473)	(6.0, 0.22245506568872414)	(7.0, 0.1861852180220843)	(8.0, 0.19988716047392602)	(9.0, 0.2176190859998388)	('>10', 2.3897799629241554)	('>50', 0.7270089465624244)	('>100', 2.9950834206496335)	('>500', 2.3253002337390183)	('>1k', 12.240670589183525)	('>5k', 26.437494962521157)	('>10k+', 48.944144434593376)
1174R_S2_week14_S21_L001_R2_001	(1.0, 4.748932054485371)	(2.0, 0.7947126622068188)	(3.0, 0.432820182155235)	(4.0, 0.34496655114048524)	(5.0, 0.27000886596276297)	(6.0, 0.26597888288869187)	(7.0, 0.25953090997017814)	(8.0, 0.27081486257757714)	(9.0, 0.15233336019988716)	('>10', 3.8574997985008466)	('>50', 0.6923510921254131)	('>100', 2.7194325783831705)	('>500', 3.0216813089385024)	('>1k', 8.4694124284678)	('>5k', 0.0)	('>10k+', 73.69952446199726)
2402R_R_F_S5_Pellet_week9_S5_L001_R1_001	(1.0, 1.8301214063275715)	(2.0, 0.6341111161258293)	(3.0, 0.3655729566277023)	(4.0, 0.37911269576206164)	(5.0, 0.24822855079658798)	(6.0, 0.2911043913887259)	(7.0, 0.21325089136615968)	(8.0, 0.19858284063727039)	(9.0, 0.18278647831385114)	('>10', 2.746310421085887)	('>50', 1.2941733989258475)	('>100', 2.311910457191858)	('>500', 2.991154037098885)	('>1k', 8.805343683711694)	('>5k', 14.745904228911858)	('>10k+', 62.762332445728205)
2402R_R_F_S5_Pellet_week9_S5_L001_R2_001	(1.0, 6.078214559732816)	(2.0, 1.0718960148034482)	(3.0, 0.6228280001805299)	(4.0, 0.5415895653743737)	(5.0, 0.46260775375727764)	(6.0, 0.2572550435528276)	(7.0, 0.23694543485128852)	(8.0, 0.23468881166222866)	(9.0, 0.3249537392246243)	('>10', 4.104797580899942)	('>50', 1.0470731597237892)	('>100', 2.834318725459223)	('>500', 4.319176783860631)	('>1k', 7.533736516676445)	('>5k', 11.213160626438597)	('>10k+', 59.11675768380196)
2404R_0_F_S2_week5_S40_L001_R1_001	(1.0, 1.5053437173392672)	(2.0, 0.5428003101716058)	(3.0, 0.33124304642459795)	(4.0, 0.2629715788409022)	(5.0, 0.21492869424496816)	(6.0, 0.2478001416000809)	(7.0, 0.18880010788577595)	(8.0, 0.1955429688816965)	(9.0, 0.13654293516739152)	('>10', 2.6802872458784264)	('>50', 0.8024004585145477)	('>100', 2.569030039445737)	('>500', 2.7662587235764136)	('>1k', 14.021779441016823)	('>5k', 15.427665958666262)	('>10k+', 58.1066046323455)
2404R_0_F_S2_week5_S40_L001_R2_001	(1.0, 4.897002798287313)	(2.0, 0.8327433329961904)	(3.0, 0.5158288661879235)	(4.0, 0.3843430767674724)	(5.0, 0.27392872795927314)	(6.0, 0.2478001416000809)	(7.0, 0.23010013148578942)	(8.0, 0.1955429688816965)	(9.0, 0.23515727723272986)	('>10', 4.068473753413573)	('>50', 0.8310576177472101)	('>100', 3.1876875358214494)	('>500', 3.2787161592663767)	('>1k', 8.508647719227268)	('>5k', 7.602575772900441)	('>10k+', 64.71039412022522)
2404R_0_F_S2_week9_S66_L001_R1_001	(1.0, 1.5237842851464158)	(2.0, 0.5281190255352174)	(3.0, 0.4571352855439247)	(4.0, 0.3142213556947888)	(5.0, 0.25554146396865357)	(6.0, 0.2271479679721365)	(7.0, 0.21862991917318142)	(8.0, 0.20443317117492285)	(9.0, 0.09369853678850631)	('>10', 2.554468189819985)	('>50', 0.8092146359007364)	('>100', 4.374491283196729)	('>500', 0.845179730829658)	('>1k', 16.3092241003994)	('>5k', 13.062901058130953)	('>10k+', 58.22180999072479)
2404R_0_F_S2_week9_S66_L001_R2_001	(1.0, 5.278350905752522)	(2.0, 0.8896628745575347)	(3.0, 0.5309583751348691)	(4.0, 0.3634367487554184)	(5.0, 0.36911544795472184)	(6.0, 0.25554146396865357)	(7.0, 0.3246323042268451)	(8.0, 0.17414677544530466)	(9.0, 0.23850536637074335)	('>10', 3.819871661398096)	('>50', 0.783660489503871)	('>100', 3.325824831058699)	('>500', 2.302712525317534)	('>1k', 8.499119801624108)	('>5k', 15.577618353555811)	('>10k+', 57.266842075375266)
2404R_L_F_S2_diabetes_S11_L001_R1_001	(1.0, 1.6874301915972163)	(2.0, 0.6632872239883151)	(3.0, 0.47942263081020703)	(4.0, 0.29212131626428384)	(5.0, 0.3136008248131283)	(6.0, 0.21651344617235158)	(7.0, 0.2766560701091159)	(8.0, 0.18558295386201562)	(9.0, 0.2783744307930235)	('>10', 2.2742503651516452)	('>50', 0.8531660795600996)	('>100', 3.2906607096829625)	('>500', 2.6694733224503824)	('>1k', 11.594638714666209)	('>5k', 19.03943637769568)	('>10k+', 55.885385342383366)
2404R_L_F_S2_diabetes_S11_L001_R2_001	(1.0, 5.590686485093221)	(2.0, 0.8454334564825157)	(3.0, 0.4742675487584844)	(4.0, 0.3986596786665521)	(5.0, 0.3565598419108171)	(6.0, 0.28868459489646875)	(7.0, 0.23455623335338088)	(8.0, 0.2405704957470573)	(9.0, 0.23971131540510351)	('>10', 3.7683649798092618)	('>50', 0.9751696881175359)	('>100', 3.1738121831772492)	('>500', 1.85668871896211)	('>1k', 9.008505885385343)	('>5k', 15.729873700489733)	('>10k+', 56.818455193745166)
2404R_L_F_S2_week5_S41_L001_R1_001	(1.0, 1.6963501317786118)	(2.0, 0.6037856401245907)	(3.0, 0.4767989777174347)	(4.0, 0.44405398929797935)	(5.0, 0.24758405878124748)	(6.0, 0.2204296781407236)	(7.0, 0.27953038894656973)	(8.0, 0.1852887149588691)	(9.0, 0.1796981071799377)	('>10', 2.5908473764076354)	('>50', 0.6836514655378964)	('>100', 3.026914783164284)	('>500', 3.7033783244149827)	('>1k', 10.9639805127386)	('>5k', 26.311796182413545)	('>10k+', 48.38591166839709)
2404R_L_F_S2_week5_S41_L001_R2_001	(1.0, 6.179218912227458)	(2.0, 0.9839469690919256)	(3.0, 0.622953438223784)	(4.0, 0.41530229214918934)	(5.0, 0.339429758006549)	(6.0, 0.2587652743391103)	(7.0, 0.30748342784122673)	(8.0, 0.2619599073556425)	(9.0, 0.20126188004153026)	('>10', 4.227298139126267)	('>50', 0.53829566328568)	('>100', 3.1187604823895856)	('>500', 2.3041290631738676)	('>1k', 14.194553150706813)	('>5k', 0.0)	('>10k+', 66.04664164204137)
2404R_L_F_S2_week9_S67_L001_R1_001	(1.0, 1.5455418455907666)	(2.0, 0.5671214509612075)	(3.0, 0.38593248899277055)	(4.0, 0.2935261183888678)	(5.0, 0.2536645467558116)	(6.0, 0.2935261183888678)	(7.0, 0.22195647841133517)	(8.0, 0.13770361109601204)	(9.0, 0.13860955590585422)	('>10', 2.361798119258575)	('>50', 0.9041329202224999)	('>100', 4.073127865050461)	('>500', 1.5700023554565057)	('>1k', 12.434998459893823)	('>5k', 28.259136453407258)	('>10k+', 46.55922161221938)
2404R_L_F_S2_week9_S67_L001_R2_001	(1.0, 5.06785526625718)	(2.0, 0.8534000108713377)	(3.0, 0.5761808990596293)	(4.0, 0.4094870540486673)	(5.0, 0.2672537189034444)	(6.0, 0.34788280697939883)	(7.0, 0.2536645467558116)	(8.0, 0.21742675436212427)	(9.0, 0.22014458879165083)	('>10', 3.886503234222971)	('>50', 0.8044789911398598)	('>100', 4.459966298853074)	('>500', 1.811889619684369)	('>1k', 9.129205848779693)	('>5k', 0.0)	('>10k+', 71.69466036129079)
2404R_S2_week14_S22_L001_R1_001	(1.0, 1.472687442583563)	(2.0, 0.5639177443290228)	(3.0, 0.3837184651261395)	(4.0, 0.35050526464560805)	(5.0, 0.27913221680446615)	(6.0, 0.20351918592325632)	(7.0, 0.23743905024379902)	(8.0, 0.19786587520316587)	(9.0, 0.16535933856264576)	('>10', 2.4577768355593244)	('>50', 1.057875768496926)	('>100', 3.3298000141332764)	('>500', 2.596282948201541)	('>1k', 9.21560313758745)	('>5k', 16.328881351141263)	('>10k+', 61.159635361458555)
2404R_S2_week14_S22_L001_R2_001	(1.0, 4.6717546463147475)	(2.0, 0.7815702070525052)	(3.0, 0.52999788000848)	(4.0, 0.3307186771252915)	(5.0, 0.33213200480531413)	(6.0, 0.2416790332838669)	(7.0, 0.17313264080277013)	(8.0, 0.20351918592325632)	(9.0, 0.2353190587237651)	('>10', 3.951664193343227)	('>50', 1.1412621016182602)	('>100', 3.1269874920500316)	('>500', 1.3087414317009398)	('>1k', 10.10317292064165)	('>5k', 0.0)	('>10k+', 72.8683485266059)
2446R_0_F_S2_week5_S42_L001_R1_001	(1.0, 1.5316480635959464)	(2.0, 0.6150577794529584)	(3.0, 0.40347105030967045)	(4.0, 0.3563565964518533)	(5.0, 0.2741204588091179)	(6.0, 0.22100961991485132)	(7.0, 0.17989155109348365)	(8.0, 0.13706022940455895)	(9.0, 0.13106384436810953)	('>10', 2.5818720714083794)	('>50', 0.9619914851332482)	('>100', 3.197786477295116)	('>500', 1.5513504715728517)	('>1k', 14.241414461567455)	('>5k', 25.741624335043735)	('>10k+', 47.87428150457867)
2446R_0_F_S2_week5_S42_L001_R2_001	(1.0, 5.788224813041281)	(2.0, 0.8155083649571259)	(3.0, 0.5448144118831219)	(4.0, 0.37691563086253715)	(5.0, 0.36834936652475225)	(6.0, 0.19017106829882557)	(7.0, 0.2158698613121804)	(8.0, 0.2261493785175223)	(9.0, 0.2235794992161868)	('>10', 4.2934116860978095)	('>50', 0.9542818472292418)	('>100', 2.810591329227237)	('>500', 1.4288528915425271)	('>1k', 9.31495584090734)	('>5k', 0.0)	('>10k+', 72.44832401038231)
2446R_L_F_S2_diabetes_S12_L001_R1_001	(1.0, 1.5744454795322087)	(2.0, 0.5758851925134925)	(3.0, 0.37417139513577186)	(4.0, 0.3572335953559633)	(5.0, 0.34645499549608505)	(6.0, 0.29102219621671144)	(7.0, 0.19401479747780764)	(8.0, 0.12318399839860802)	(9.0, 0.23558939693733785)	('>10', 2.641526865660151)	('>50', 0.8599782888202823)	('>100', 2.388229768953013)	('>500', 3.149660859054409)	('>1k', 11.362184052291607)	('>5k', 23.40188009577556)	('>10k+', 52.124539022380986)
2446R_L_F_S2_diabetes_S12_L001_R2_001	(1.0, 5.515563528297674)	(2.0, 0.8684471887101866)	(3.0, 0.5381600930039189)	(4.0, 0.3726315951557893)	(5.0, 0.33105699569625907)	(6.0, 0.27254459645692025)	(7.0, 0.27485429642689413)	(8.0, 0.19709439743777285)	(9.0, 0.20787299729765102)	('>10', 4.159769645922995)	('>50', 0.7429534903416046)	('>100', 2.401318068782865)	('>500', 3.267455557523078)	('>1k', 5.4016183297789615)	('>5k', 16.649087283561865)	('>10k+', 58.79957193560556)
2446R_RL_F_S2_Pellet_week9_S69_L001_R1_001	(1.0, 1.4627508787844425)	(2.0, 0.5382318479041464)	(3.0, 0.43088785576595984)	(4.0, 0.34471028461276787)	(5.0, 0.272139698378501)	(6.0, 0.22224742034244244)	(7.0, 0.19049778886495067)	(8.0, 0.2177117587028008)	(9.0, 0.19049778886495067)	('>10', 2.2912650716256566)	('>50', 1.23067619155611)	('>100', 3.3110329969384282)	('>500', 1.1883433495861209)	('>1k', 11.205352080734778)	('>5k', 19.578183467513323)	('>10k+', 57.325471519824625)
2446R_RL_F_S2_Pellet_week9_S69_L001_R2_001	(1.0, 5.083720754431719)	(2.0, 0.8330498544808558)	(3.0, 0.5011906111804059)	(4.0, 0.39006690100918473)	(5.0, 0.26080054427939675)	(6.0, 0.2358544052613675)	(7.0, 0.25928865706618287)	(8.0, 0.2056166609970896)	(9.0, 0.24492572854065087)	('>10', 3.81827115697169)	('>50', 1.2646936538534226)	('>100', 3.075178591677061)	('>500', 0.6108024341384133)	('>1k', 10.800166307593454)	('>5k', 0.0)	('>10k+', 72.4163737385191)
2446R_RL_F_S2_week5_S44_L001_R1_001	(1.0, 1.6842964645747551)	(2.0, 0.5856879170807895)	(3.0, 0.4499148090302428)	(4.0, 0.3585119977282408)	(5.0, 0.24847366179185007)	(6.0, 0.1916796819537129)	(7.0, 0.19256708788868382)	(8.0, 0.16328269203464432)	(9.0, 0.18369302853897485)	('>10', 2.671091864262388)	('>50', 0.9575110038335937)	('>100', 2.381797529461877)	('>500', 2.5104713900326563)	('>1k', 27.766931705239244)	('>5k', 6.849886412040323)	('>10k+', 52.804202754508026)
2446R_RL_F_S2_week5_S44_L001_R2_001	(1.0, 5.690934260968337)	(2.0, 0.8732074400113587)	(3.0, 0.5910123526906148)	(4.0, 0.3798097401675422)	(5.0, 0.3549623739883572)	(6.0, 0.29816839415022006)	(7.0, 0.18635524634388756)	(8.0, 0.22717591935254863)	(9.0, 0.20765298878318897)	('>10', 4.3456268635524635)	('>50', 0.7001632826920346)	('>100', 3.0180675848360075)	('>500', 3.637476927445691)	('>1k', 9.278716456055658)	('>5k', 6.336078375692177)	('>10k+', 63.87459179326991)
2446R_R_F_S2_Pellet_week9_S68_L001_R1_001	(1.0, 1.5633927691853018)	(2.0, 0.5812235247758842)	(3.0, 0.38715397497783466)	(4.0, 0.3901093488326273)	(5.0, 0.2561324007486947)	(6.0, 0.19505467441631366)	(7.0, 0.15860506354053788)	(8.0, 0.1418579450300463)	(9.0, 0.1507240665944242)	('>10', 2.6519554723672547)	('>50', 0.7949955669392179)	('>100', 4.001576199389223)	('>500', 1.2274652743572063)	('>1k', 19.963550389124222)	('>5k', 4.9482809575411295)	('>10k+', 62.58792237218008)
2446R_R_F_S2_Pellet_week9_S68_L001_R2_001	(1.0, 5.130529011920007)	(2.0, 0.8294749285784652)	(3.0, 0.45217219978327255)	(4.0, 0.40587134272485464)	(5.0, 0.3201655009358684)	(6.0, 0.3132696286080189)	(7.0, 0.25514727613043053)	(8.0, 0.21278691754506945)	(9.0, 0.20392079598069157)	('>10', 3.7710570387153974)	('>50', 0.7999211900305389)	('>100', 3.436114668505566)	('>500', 2.884444882277608)	('>1k', 6.330410796965816)	('>5k', 13.937543099202049)	('>10k+', 60.71717072209635)
2446R_R_F_S2_week5_S43_L001_R1_001	(1.0, 1.3993662640137685)	(2.0, 0.5163178974119766)	(3.0, 0.41257177783854204)	(4.0, 0.2477039134001383)	(5.0, 0.2694182174969037)	(6.0, 0.2509208473403998)	(7.0, 0.18014830065464607)	(8.0, 0.18014830065464607)	(9.0, 0.0868572163870615)	('>10', 2.762542021199595)	('>50', 0.8372070579530649)	('>100', 2.7689758890801177)	('>500', 0.0)	('>1k', 19.137540010615883)	('>5k', 6.756365508034293)	('>10k+', 64.19391677791897)
2446R_R_F_S2_week5_S43_L001_R2_001	(1.0, 5.581380386353766)	(2.0, 0.8508790271991764)	(3.0, 0.489778192404819)	(4.0, 0.36029660130929214)	(5.0, 0.28148171977288444)	(6.0, 0.26057164916118447)	(7.0, 0.23081501021376527)	(8.0, 0.23805311157935372)	(9.0, 0.2099049396020653)	('>10', 4.101590773833459)	('>50', 1.0583712663460456)	('>100', 2.164996541796014)	('>500', 2.4689967991507293)	('>1k', 8.758102652362034)	('>5k', 6.315645558218462)	('>10k+', 66.62913577069695)
2446R_S2_week15_S24_L001_R1_001	(1.0, 1.5339930946266962)	(2.0, 0.5905152100945401)	(3.0, 0.4299027669580772)	(4.0, 0.3385364070900295)	(5.0, 0.25967281225655675)	(6.0, 0.24236129143945295)	(7.0, 0.16157419429296863)	(8.0, 0.20773824980524538)	(9.0, 0.12118064571972648)	('>10', 2.133164065129788)	('>50', 0.9607894053492599)	('>100', 2.9670023178202873)	('>500', 3.438260384508112)	('>1k', 15.421679794569954)	('>5k', 12.899968262211836)	('>10k+', 58.29366109812747)
2446R_S2_week15_S24_L001_R2_001	(1.0, 4.730853938851862)	(2.0, 0.8021004645258086)	(3.0, 0.5683949334949076)	(4.0, 0.35777143022014485)	(5.0, 0.27409907960414326)	(6.0, 0.2712138261346259)	(7.0, 0.20870000096175115)	(8.0, 0.14618617578887638)	(9.0, 0.18177096857958971)	('>10', 3.8431576213970398)	('>50', 0.9223193590890293)	('>100', 2.450541946776691)	('>500', 3.292074208719236)	('>1k', 6.924608326841512)	('>5k', 14.70709868528617)	('>10k+', 60.319109033728616)
2453R_0_F_S2_Pellet_week9_S70_L001_R1_001	(1.0, 1.6210563012027193)	(2.0, 0.6164967936662294)	(3.0, 0.4376026347898682)	(4.0, 0.37797124849774777)	(5.0, 0.298156931460602)	(6.0, 0.19815968367843084)	(7.0, 0.21834261442345623)	(8.0, 0.11008871315468381)	(9.0, 0.1816463767052283)	('>10', 2.6448813335412784)	('>50', 0.9889636065062429)	('>100', 3.0962450574754823)	('>500', 2.2403053126978154)	('>1k', 22.334247681256482)	('>5k', 14.262910195132244)	('>10k+', 50.372925515811495)
2453R_0_F_S2_Pellet_week9_S70_L001_R2_001	(1.0, 5.58333256882838)	(2.0, 0.8660312101501793)	(3.0, 0.5284258231424823)	(4.0, 0.4073282386723301)	(5.0, 0.33485316917882996)	(6.0, 0.3027439611753805)	(7.0, 0.2440299808262158)	(8.0, 0.21283817876572206)	(9.0, 0.1816463767052283)	('>10', 3.9595240497967947)	('>50', 1.1247396860636865)	('>100', 3.076062126730457)	('>500', 2.2008568571507205)	('>1k', 9.17314202361403)	('>5k', 14.942707998862417)	('>10k+', 56.86173775033715)
2453R_0_F_S2_week5_S45_L001_R1_001	(1.0, 1.6065774691042793)	(2.0, 0.6843019099172709)	(3.0, 0.3952609539372894)	(4.0, 0.2900623021141865)	(5.0, 0.27065672556429377)	(6.0, 0.251251149014401)	(7.0, 0.15728730466755184)	(8.0, 0.10621999795730774)	(9.0, 0.12868961290981512)	('>10', 2.8904095597998163)	('>50', 1.021346134204882)	('>100', 2.3317332243897457)	('>500', 3.868859156368093)	('>1k', 23.12327647839853)	('>5k', 5.231334899397406)	('>10k+', 57.64273312225513)
2453R_0_F_S2_week5_S45_L001_R2_001	(1.0, 6.010621999795731)	(2.0, 0.9171688285159841)	(3.0, 0.5086303748340313)	(4.0, 0.3309161474823818)	(5.0, 0.35747114697170873)	(6.0, 0.26350730262485955)	(7.0, 0.20733326524359105)	(8.0, 0.25329384128281074)	(9.0, 0.1930344193647227)	('>10', 4.205903380655704)	('>50', 0.8426105607190277)	('>100', 2.747421101011133)	('>500', 3.1018282095802268)	('>1k', 7.06260851802676)	('>5k', 14.276376263915841)	('>10k+', 58.72127463997548)
2453R_L_F_S2_Pellet_week9_S71_L001_R1_001	(1.0, 1.6791383631806458)	(2.0, 0.6484071342947437)	(3.0, 0.49039195030694904)	(4.0, 0.36325329652366595)	(5.0, 0.3269279668712994)	(6.0, 0.2833375712884595)	(7.0, 0.2733481056340586)	(8.0, 0.1888917141923063)	(9.0, 0.2043299792945621)	('>10', 2.484652548221875)	('>50', 1.014384830542337)	('>100', 4.327254894838171)	('>500', 0.47404555196338405)	('>1k', 12.305205419739185)	('>5k', 19.950779178321042)	('>10k+', 54.98565149478731)
2453R_L_F_S2_Pellet_week9_S71_L001_R2_001	(1.0, 5.276254132006248)	(2.0, 0.8027897853173017)	(3.0, 0.501289549202659)	(4.0, 0.44680155472410915)	(5.0, 0.3723346289367576)	(6.0, 0.26154237349703946)	(7.0, 0.21613571143158125)	(8.0, 0.2252170438446729)	(9.0, 0.26971557266882196)	('>10', 3.7569472192960154)	('>50', 1.3967089251334956)	('>100', 2.1223073849395186)	('>500', 2.7007882596534567)	('>1k', 9.97221112281594)	('>5k', 0.0)	('>10k+', 71.67895673653238)
2453R_L_F_S2_diabetes_S13_L001_R1_001	(1.0, 1.4600146735143067)	(2.0, 0.4988994864269992)	(3.0, 0.444207296738478)	(4.0, 0.3468285199759888)	(5.0, 0.280130727672914)	(6.0, 0.31214566797838994)	(7.0, 0.18208497298739412)	(8.0, 0.1707463482958714)	(9.0, 0.17408123791102514)	('>10', 2.339091576068832)	('>50', 1.0978456613086107)	('>100', 3.3222170346161537)	('>500', 1.887547522177016)	('>1k', 11.719469085573268)	('>5k', 11.161875541919562)	('>10k+', 64.6028146468352)
2453R_L_F_S2_diabetes_S13_L001_R2_001	(1.0, 5.373174147935703)	(2.0, 0.8083772427132662)	(3.0, 0.5382511838858134)	(4.0, 0.36550390182084974)	(5.0, 0.32681918228506635)	(6.0, 0.2281064496765157)	(7.0, 0.21476689121590073)	(8.0, 0.1440672313746415)	(9.0, 0.21610084706196225)	('>10', 3.7757620222770627)	('>50', 1.3753084772894018)	('>100', 2.16767824984993)	('>500', 1.5874074568131793)	('>1k', 10.676315613953179)	('>5k', 0.0)	('>10k+', 72.20236110184753)
2453R_L_F_S2_week5_S46_L001_R1_001	(1.0, 1.579768868147634)	(2.0, 0.5707348605483469)	(3.0, 0.4044019108581519)	(4.0, 0.2964037397322906)	(5.0, 0.2759077364529301)	(6.0, 0.2128431109779747)	(7.0, 0.1820991060589339)	(8.0, 0.18288741387737084)	(9.0, 0.1348006369527173)	('>10', 2.7046841250571525)	('>50', 0.6267047156573698)	('>100', 3.5410787204187493)	('>500', 1.4189540731864978)	('>1k', 14.101250256200041)	('>5k', 24.38630236334684)	('>10k+', 49.381178362527)
2453R_L_F_S2_week5_S46_L001_R2_001	(1.0, 5.738880918220947)	(2.0, 0.8986709130181153)	(3.0, 0.49663392561527425)	(4.0, 0.3500086713860028)	(5.0, 0.3074400491904079)	(6.0, 0.2554117331735696)	(7.0, 0.23728065334951992)	(8.0, 0.2459520393523263)	(9.0, 0.20574834061204217)	('>10', 4.04638403203683)	('>50', 1.095747867627351)	('>100', 3.159537736295268)	('>500', 1.8895738407933529)	('>1k', 7.760890472511707)	('>5k', 0.0)	('>10k+', 73.31183880681729)
2453R_R_F_S2_Pellet_week9_S72_L001_R1_001	(1.0, 1.582378298811902)	(2.0, 0.7023446535590369)	(3.0, 0.4447481863105877)	(4.0, 0.34065818525917363)	(5.0, 0.28913889180948377)	(6.0, 0.27126485122489746)	(7.0, 0.14719798128482808)	(8.0, 0.15140363789296604)	(9.0, 0.16086636526127643)	('>10', 2.3898643675743876)	('>50', 1.0062033434970035)	('>100', 3.6641783198401847)	('>500', 2.886131847334665)	('>1k', 11.728524865944696)	('>5k', 28.00336452528651)	('>10k+', 46.2317316791084)
2453R_R_F_S2_Pellet_week9_S72_L001_R2_001	(1.0, 5.453685206602881)	(2.0, 0.9189359688781411)	(3.0, 0.5267584901692777)	(4.0, 0.4542109136788981)	(5.0, 0.35748081169172535)	(6.0, 0.29019030596151824)	(7.0, 0.21343707286300076)	(8.0, 0.2859846493533803)	(9.0, 0.17979181999789717)	('>10', 3.979602565450531)	('>50', 0.5604037430343812)	('>100', 3.227841446745873)	('>500', 4.9837030806434655)	('>1k', 4.997371464619913)	('>5k', 9.307118073809272)	('>10k+', 64.26348438649984)
2453R_R_F_S2_diabetes_S14_L001_R1_001	(1.0, 1.6985539106241196)	(2.0, 0.6526294095421289)	(3.0, 0.4147631642221688)	(4.0, 0.38127297083777006)	(5.0, 0.3177274756981417)	(6.0, 0.26276920963143613)	(7.0, 0.2464534743928829)	(8.0, 0.2129632810084842)	(9.0, 0.1545701233126095)	('>10', 2.4224573214715073)	('>50', 1.077697248651805)	('>100', 3.979321952392402)	('>500', 2.0119877717858)	('>1k', 10.475560746058461)	('>5k', 27.300518668636002)	('>10k+', 48.390753271734276)
2453R_R_F_S2_diabetes_S14_L001_R2_001	(1.0, 5.57912272867791)	(2.0, 0.9222684024319033)	(3.0, 0.5384192628722564)	(4.0, 0.45340569505032113)	(5.0, 0.32631470477106445)	(6.0, 0.2782262219626971)	(7.0, 0.16229862947823995)	(8.0, 0.2679215470751898)	(9.0, 0.24731219730017517)	('>10', 4.075498918009137)	('>50', 1.0356198261944836)	('>100', 3.285473843300244)	('>500', 2.192319582317178)	('>1k', 8.953045031429259)	('>5k', 0.0)	('>10k+', 71.68275340912994)
2453R_R_F_S2_week5_S47_L001_R1_001	(1.0, 1.8719568364258456)	(2.0, 0.6557880422862657)	(3.0, 0.46716673246479806)	(4.0, 0.32460411457647936)	(5.0, 0.2741588805544589)	(6.0, 0.2960915909988156)	(7.0, 0.24564635697679518)	(8.0, 0.31583103039873667)	(9.0, 0.1875246742992499)	('>10', 2.5924463745229636)	('>50', 0.667851033030662)	('>100', 2.8775716102996007)	('>500', 4.011492740272843)	('>1k', 20.487344826073606)	('>5k', 13.381146642102031)	('>10k+', 51.34337851471685)
2453R_R_F_S2_week5_S47_L001_R2_001	(1.0, 6.117032942931087)	(2.0, 0.8575689783743475)	(3.0, 0.5329648637978681)	(4.0, 0.4430407509760056)	(5.0, 0.31802430144317234)	(6.0, 0.3421502829319647)	(7.0, 0.24564635697679518)	(8.0, 0.28073869368776594)	(9.0, 0.2862218712988551)	('>10', 3.9138921787954555)	('>50', 0.7906742115190595)	('>100', 3.3206123612756064)	('>500', 4.765977979558714)	('>1k', 6.146642102030969)	('>5k', 10.898363819800851)	('>10k+', 60.74044830460148)
2453R_S2_week21_S28_L001_R1_001	(1.0, 1.717741935483871)	(2.0, 0.6733870967741935)	(3.0, 0.438508064516129)	(4.0, 0.34677419354838707)	(5.0, 0.25705645161290325)	(6.0, 0.3266129032258065)	(7.0, 0.31048387096774194)	(8.0, 0.16129032258064516)	(9.0, 0.12701612903225806)	('>10', 2.2731854838709675)	('>50', 1.0625)	('>100', 3.668346774193548)	('>500', 2.3679435483870965)	('>1k', 19.231854838709676)	('>5k', 22.077620967741936)	('>10k+', 44.95967741935484)
2453R_S2_week21_S28_L001_R2_001	(1.0, 5.304435483870968)	(2.0, 0.8185483870967742)	(3.0, 0.5836693548387096)	(4.0, 0.4032258064516129)	(5.0, 0.3477822580645161)	(6.0, 0.2903225806451613)	(7.0, 0.31048387096774194)	(8.0, 0.18548387096774194)	(9.0, 0.24495967741935484)	('>10', 3.825604838709677)	('>50', 1.0201612903225807)	('>100', 2.8024193548387095)	('>500', 2.3276209677419355)	('>1k', 9.889112903225806)	('>5k', 15.583669354838708)	('>10k+', 56.06250000000001)
2475R_RL_M_S5_Pellet_week9_S6_L001_R1_001	(1.0, 1.6444195825778325)	(2.0, 0.5728945642529224)	(3.0, 0.41665059218394357)	(4.0, 0.2816249373095174)	(5.0, 0.25076193048107714)	(6.0, 0.23725936499363448)	(7.0, 0.22279233054280315)	(8.0, 0.20832529609197178)	(9.0, 0.24304617877396706)	('>10', 2.7034065043786892)	('>50', 1.2393426179545541)	('>100', 2.527873153041935)	('>500', 2.6821881871841367)	('>1k', 10.149106901739902)	('>5k', 11.351799699085683)	('>10k+', 65.26850815940743)
2475R_RL_M_S5_Pellet_week9_S6_L001_R2_001	(1.0, 5.958489255815748)	(2.0, 1.0474132942401915)	(3.0, 0.5468539022414258)	(4.0, 0.47451872998726896)	(5.0, 0.3954322749893909)	(6.0, 0.3124879441379576)	(7.0, 0.351066702673508)	(8.0, 0.2700513097488523)	(9.0, 0.3124879441379576)	('>10', 3.9832568187955713)	('>50', 1.0069055977778634)	('>100', 4.2889934801898075)	('>500', 3.5193472474055785)	('>1k', 9.733420778519347)	('>5k', 0.0)	('>10k+', 67.79927471933954)
