Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
073R_S2_week21_S27_L001_R2_001	(1.0, 5.0794170341786105)	(2.0, 0.847574421168688)	(3.0, 0.47030044101433294)	(4.0, 0.3789966923925028)	(5.0, 0.3488492282249173)	(6.0, 0.2532386990077178)	(7.0, 0.24720920617420064)	(8.0, 0.22739801543550167)	(9.0, 0.17830071664829106)	('>10', 4.019087651598677)	('>50', 0.9061466372657111)	('>100', 2.7675372105843437)	('>500', 2.886404355016538)	('>1k', 7.5919928335170885)	('>5k', 6.144053197353914)	('>10k+', 67.65349366041896)
096R_0_M_S5_week5_S4_L001_R1_001	(1.0, 1.6400415918328766)	(2.0, 0.6144248038566972)	(3.0, 0.3934681917005388)	(4.0, 0.36865488231401833)	(5.0, 0.283580678703091)	(6.0, 0.24104357689762734)	(7.0, 0.15715095944796295)	(8.0, 0.2646753001228849)	(9.0, 0.17014840722185462)	('>10', 2.6396634842612725)	('>50', 0.9121845164949427)	('>100', 2.91379147367426)	('>500', 3.9181397107477074)	('>1k', 13.067161357406182)	('>5k', 7.109603932318745)	('>10k+', 65.30626713299934)
096R_0_M_S5_week5_S4_L001_R2_001	(1.0, 5.60189999054731)	(2.0, 1.0208904433311277)	(3.0, 0.6628698364684753)	(4.0, 0.36865488231401833)	(5.0, 0.2953965403157198)	(6.0, 0.34738633141128655)	(7.0, 0.28121750638056525)	(8.0, 0.2552226108327819)	(9.0, 0.28712543718687966)	('>10', 3.965403157198223)	('>50', 0.7396729369505625)	('>100', 3.5175820020795916)	('>500', 5.208431798846772)	('>1k', 6.2056905189526415)	('>5k', 22.823518290953775)	('>10k+', 48.41903771623027)
1067R_0_M_S2_week5_S34_L001_R1_001	(1.0, 1.3982090011145702)	(2.0, 0.4857988393097352)	(3.0, 0.31361697221261386)	(4.0, 0.33206502940159116)	(5.0, 0.28825089357777006)	(6.0, 0.1983166147815058)	(7.0, 0.15603981705676623)	(8.0, 0.14758445751181828)	(9.0, 0.10377032168799724)	('>10', 2.436680887044083)	('>50', 0.7978784734232676)	('>100', 2.967831200276721)	('>500', 1.7264306852684577)	('>1k', 9.598370421614973)	('>5k', 28.10177178215919)	('>10k+', 50.947384603558945)
1067R_0_M_S2_week5_S34_L001_R2_001	(1.0, 4.843383681156078)	(2.0, 0.8101771782159191)	(3.0, 0.4104692724547446)	(4.0, 0.3474384103924056)	(5.0, 0.3113109650639917)	(6.0, 0.27210884353741494)	(7.0, 0.1829432337906914)	(8.0, 0.20907798147507592)	(9.0, 0.20062262193012798)	('>10', 4.1784849533033555)	('>50', 0.46658211307121716)	('>100', 3.8756293477843116)	('>500', 1.6318843921749493)	('>1k', 5.183135401053077)	('>5k', 4.977132095776163)	('>10k+', 72.09961950882048)
1067R_0_M_S2_week9_S62_L001_R1_001	(1.0, 1.5238024063971303)	(2.0, 0.5500336297735595)	(3.0, 0.4618488902174725)	(4.0, 0.33779239219789253)	(5.0, 0.25782826395635605)	(6.0, 0.25558627905238773)	(7.0, 0.24063971302593232)	(8.0, 0.19729467154921157)	(9.0, 0.18832673193333832)	('>10', 2.5184963754577385)	('>50', 1.1434123010238397)	('>100', 2.931768926089231)	('>500', 2.9818399222778567)	('>1k', 8.389507510649429)	('>5k', 21.045512293550555)	('>10k+', 56.97630969284807)
1067R_0_M_S2_week9_S62_L001_R2_001	(1.0, 5.615424856139302)	(2.0, 0.9655481653090202)	(3.0, 0.6143038636873178)	(4.0, 0.33181376578731037)	(5.0, 0.3699275091547717)	(6.0, 0.29594200732381737)	(7.0, 0.2772587997907481)	(8.0, 0.2092519243703759)	(9.0, 0.16142291308571854)	('>10', 3.8435094537030117)	('>50', 1.4699947687018906)	('>100', 2.1620207757267766)	('>500', 1.449816904566176)	('>1k', 9.895374037814813)	('>5k', 0.0)	('>10k+', 72.33839025483894)
1067R_L_M_S2_week5_S35_L001_R1_001	(1.0, 1.5515284430849734)	(2.0, 0.5848290721609819)	(3.0, 0.43862180412073637)	(4.0, 0.3732132894711529)	(5.0, 0.3078047748215694)	(6.0, 0.32896635309055233)	(7.0, 0.1885304245782113)	(8.0, 0.21546334237509862)	(9.0, 0.23373925088012928)	('>10', 2.1584809834362555)	('>50', 0.7820165060310499)	('>100', 4.490102152709644)	('>500', 1.2956657240145437)	('>1k', 10.72507262268906)	('>5k', 23.534560704872934)	('>10k+', 52.79140455166311)
1067R_L_M_S2_week5_S35_L001_R2_001	(1.0, 4.763278890363787)	(2.0, 0.7925972951655412)	(3.0, 0.42419345530097535)	(4.0, 0.43862180412073637)	(5.0, 0.24528192993593811)	(6.0, 0.21931090206036818)	(7.0, 0.28952886631653874)	(8.0, 0.25393893922779476)	(9.0, 0.25105326946384254)	('>10', 3.9062349704699795)	('>50', 0.42130778553702314)	('>100', 4.309266847501972)	('>500', 2.110386487370385)	('>1k', 3.9899193936245934)	('>5k', 24.653238683365075)	('>10k+', 52.93184048017545)
1067R_L_M_S2_week9_S63_L001_R1_001	(1.0, 1.589370266977189)	(2.0, 0.5984237395314403)	(3.0, 0.4164288909110539)	(4.0, 0.3454817465336151)	(5.0, 0.3161774912472817)	(6.0, 0.22209540848589537)	(7.0, 0.2105279392939217)	(8.0, 0.22826472538828138)	(9.0, 0.12492866727331615)	('>10', 2.4553881271496216)	('>50', 1.0410722272776347)	('>100', 3.6846245199500283)	('>500', 1.6965621481561455)	('>1k', 8.995635208291562)	('>5k', 21.840924163671975)	('>10k+', 56.23409472986104)
1067R_L_M_S2_week9_S63_L001_R2_001	(1.0, 5.489149713897929)	(2.0, 0.8976356092971606)	(3.0, 0.4488178046485803)	(4.0, 0.40717491555747487)	(5.0, 0.36630319107916776)	(6.0, 0.20821444545552695)	(7.0, 0.26990761447938677)	(8.0, 0.1418942887548776)	(9.0, 0.20821444545552695)	('>10', 4.3539954038589075)	('>50', 0.9446766506778537)	('>100', 2.989805203818807)	('>500', 1.2500578373459599)	('>1k', 9.479155420516063)	('>5k', 7.676943720406558)	('>10k+', 64.86805373475022)
1067R_R_M_S2_diabetes_S8_L001_R1_001	(1.0, 1.8459349492024664)	(2.0, 0.7987818576670577)	(3.0, 0.46429195476897733)	(4.0, 0.4592995681585582)	(5.0, 0.3744289957814333)	(6.0, 0.23214597738448867)	(7.0, 0.2708369736152368)	(8.0, 0.1897106911959262)	(9.0, 0.16849304810164498)	('>10', 2.3239559671500962)	('>50', 0.752602281520681)	('>100', 4.597988068196001)	('>500', 4.023863607997804)	('>1k', 17.404707820573627)	('>5k', 30.441077357030526)	('>10k+', 35.65188088165547)
1067R_R_M_S2_diabetes_S8_L001_R2_001	(1.0, 5.789920371433563)	(2.0, 1.0284316417463368)	(3.0, 0.5803649434612216)	(4.0, 0.49424627443149194)	(5.0, 0.3869099623074811)	(6.0, 0.32949751628766133)	(7.0, 0.393150445570505)	(8.0, 0.17972591797508797)	(9.0, 0.213424527595417)	('>10', 3.6569231921319987)	('>50', 1.5663612990189961)	('>100', 2.487456628641322)	('>500', 4.451960759841242)	('>1k', 8.09016250218417)	('>5k', 19.543945483138213)	('>10k+', 50.8075185342353)
