.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
2404R_0_F_S2_week5_S40_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_0_F_S2_week9_S66_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_0_F_S2_week9_S66_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_L_F_S2_diabetes_S11_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_L_F_S2_diabetes_S11_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_L_F_S2_week5_S41_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_L_F_S2_week5_S41_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_L_F_S2_week9_S67_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_L_F_S2_week9_S67_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_S2_week14_S22_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2404R_S2_week14_S22_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_0_F_S2_week5_S42_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_0_F_S2_week5_S42_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_L_F_S2_diabetes_S12_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_L_F_S2_diabetes_S12_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_RL_F_S2_Pellet_week9_S69_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_RL_F_S2_Pellet_week9_S69_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_RL_F_S2_week5_S44_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_RL_F_S2_week5_S44_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_R_F_S2_Pellet_week9_S68_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_R_F_S2_Pellet_week9_S68_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_R_F_S2_week5_S43_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_R_F_S2_week5_S43_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_S2_week15_S24_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2446R_S2_week15_S24_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_0_F_S2_Pellet_week9_S70_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_0_F_S2_Pellet_week9_S70_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_0_F_S2_week5_S45_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
2453R_0_F_S2_week5_S45_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
