Unnamed: 0	Pathways	Naive	MinPath	Total families	Families found	Ontology - pathway type	Names	Common-Name-Taxa	Classification	Level 1	Level 1.1	Level 1.2	Level 1.3	Level 2	Level 2.1	Level 2.2	Level 2.3
13	COA-PWY	Yes	Yes	4	4	Cofactor-Biosynthesis	coenzyme A biosynthesis I (bacteria) // CoA biosynthesis	Escherichia coli	Bacteria	Biosynthesis				Cofactor, carrier, and vitamin biosynthesis			
14	FASYN-ELONG-PWY	Yes	Yes	5	4	Lipid-Biosynthesis	fatty acid elongation -- saturated	Bacillus subtilis,Brassica napus,Escherichia coli,Spinacia oleracea,Streptococcus pneumoniae,Vibrio cholerae,Arabidopsis thaliana	Bacteria	Biosynthesis				Fatty acid and lipid biosynthesis			
15	MANNIDEG-PWY	Yes	Yes	1	1	Alcohol-Degradation // Carbohydrates-Degradation	mannitol degradation I	Escherichia coli	Bacteria	Degradation/utilization/assimilation	Degradation/utilization/assimilation			Alcohol degradation	Carbohydrate degradation		
16	GLYCOGENSYNTH-PWY	Yes	Yes	4	4	Glycan-Pathways // Carbohydrates-Biosynthesis	glycogen biosynthesis I (from ADP-D-Glucose)	Escherichia coli	Bacteria	Biosynthesis	Glycan pathways			Carboxylic acid biosynthesis			
17	PWY-5344	Yes	Yes	2	1	Amino-Acid-Biosynthesis	L-homocysteine biosynthesis	Corynebacterium glutamicum,Agrobacterium fabrum,Leptospira meyeri,Saccharomyces cerevisiae,[Brevibacterium] flavum	Bacteria	Biosynthesis				Amino acid biosynthesis			
18	PWY-7165	Yes	Yes	6	1	Cofactor-Biosynthesis // Carboxylate-Biosynthesis	L-ascorbate biosynthesis VIII (engineered pathway)	Gluconobacter oxydans,Pantoea agglomerans,Pseudomonas fluorescens,Corynebacterium sp. SHS 0007	Bacteria	Biosynthesis	Biosynthesis			Cofactor, carrier, and vitamin biosynthesis	Carboxylic acid biosynthesis		
19	PWY-6637	Yes	No	4	1	Noncarbon-Nutrients	sulfolactate degradation II // 3-sulfolactate degradation II	Roseovarius nubinhibens	Bacteria	Degradation/utilization/assimilation				Inorganic nutrient metabolism			
20	PWY0-42	Yes	Yes	5	1	CARBOXYLATES-DEG	2-methylcitrate cycle I	Escherichia coli,Salmonella enterica,Yarrowia lipolytica	Bacteria	Degradation/utilization/assimilation				Carboxylic acid degradation			
21	ANAPHENOXI-PWY	Yes	Yes	3	1	Amino-Acid-Degradation	L-phenylalanine degradation II (anaerobic) // anaerobic L-phenylalanine oxidation	Aromatoleum aromaticum,Aromatoleum evansii,Saccharomyces cerevisiae,Thauera aromatica	Bacteria	Degradation/utilization/assimilation				Amino acid degradation			
22	P3-PWY	Yes	No	11	2	AROMATIC-COMPOUNDS-DEGRADATION	gallate degradation III (anaerobic)	Eubacterium oxidoreducens	Bacteria	Degradation/utilization/assimilation				Aromatic compound degradation			
