asv_id,plate1_1136R_R_F_S5_week10_S57_L,plate1_1136R_RL_F_S5_week10_S58_,plate1_2518R_L_M_S5_week10_S61_L,plate1_2518R_R_M_S5_week10_S62_L,plate1_3752R_0_F_S5_week10_S59_L,plate1_3752R_L_F_S5_week10_S60_L,plate1_3893R_R_M_S5_week10_S63_L,plate1_3893R_RL_M_S5_week10_S64_,plate1_T1D_S5_defined_mouse_inoc,plate2_096R_0_M_S5_week9_S74_L00,plate2_1060R_L_M_S5_week9_S75_L0,plate2_1076R_0_M_S5_week9_S76_L0,plate2_1136R_0_F_S5_week9_S69_L0,plate2_2402R_0_F_S5_week9_S70_L0,plate2_2433R_0_F_S5_week9_S71_L0,plate2_2475R_0_M_S5_week9_S77_L0,plate2_2518R_0_M_S5_week9_S78_L0,plate2_3924R_L_F_S5_week9_S72_L0,plate2_3929R_0_F_S5_week9_S73_L0,plate3_096R_0_M_S5_week5_S4_L001,plate3_2402R_R_F_S5_Pellet_week9,plate3_2475R_RL_M_S5_Pellet_week,plate3_S5_defined_inocula_S87_L0,plate4_1060R_L_M_S5_week5_S12_L0,plate4_1076R_0_M_S5_week5_S13_L0,plate4_1136R_0_F_S5_week5_S14_L0,plate4_2402R_0_F_S5_week5_S15_L0,plate4_2402R_R_F_S5_week5_S16_L0,plate4_2475R_RL_M_S5_week5_S19_L,plate4_2518R_0_M_S5_week5_S20_L0,plate4_3924R_L_F_S5_week5_S21_L0,plate4_3929R_0_F_S5_week5_S22_L0,plate4_S5_defined_inocula_S87_L0
p4_ASV_9,458,505,350,447,367,309,576,490,1440,901,382,834,395,592,297,732,320,253,399,491,400,571,3264,568,1019,287,390,696,346,470,232,1448,2021
p3_ASV_88,0,0,0,0,0,57,0,0,448,0,0,167,93,0,0,0,0,0,119,0,0,0,1166,0,0,46,0,0,0,0,0,0,611
p2_ASV_65,0,328,0,0,0,205,278,308,1737,0,185,618,357,196,195,138,240,333,443,143,271,0,3967,0,0,0,0,0,0,0,0,0,0
p3_ASV_51,181,211,168,209,222,213,162,241,117,195,184,503,227,219,306,510,153,218,114,263,262,302,236,292,225,119,58,371,291,269,114,328,107
p3_ASV_18,657,730,585,777,733,737,569,790,395,748,767,1581,784,889,1272,1855,615,841,497,975,982,1187,889,1033,758,549,185,1409,1153,1054,442,1189,511
p3_ASV_32,155,191,147,209,196,178,139,182,94,174,179,407,206,200,296,434,165,176,95,242,213,261,204,247,162,129,62,359,250,232,90,272,128
p3_ASV_7,1016,1115,933,1092,2717,887,811,1372,13175,2094,1434,5133,990,4873,1224,896,620,1131,893,1818,1428,2855,24606,3334,2892,688,664,3035,4842,1073,791,2435,16148
p4_ASV_53,347,301,273,241,314,284,210,275,1072,369,418,196,609,314,316,353,213,306,379,219,269,230,2347,195,283,219,159,243,383,254,194,308,1384
p4_ASV_19,155,133,133,146,139,119,122,124,463,139,157,69,303,131,126,135,97,140,179,90,136,130,1147,86,121,103,52,95,170,127,76,139,649
p3_ASV_38,116,126,112,141,129,127,107,97,933,127,108,185,101,96,90,115,71,94,95,78,77,78,1756,66,72,56,55,53,124,79,56,134,949
p3_ASV_3,2224,1433,1699,1472,1863,1763,2048,1962,2172,2519,4075,923,3788,1829,2285,3113,2100,2099,1994,1758,1680,1985,4790,1634,453,627,1815,2021,1709,902,1083,2648,2466
p2_ASV_75,0,0,0,0,0,0,0,0,0,162,68,67,291,118,185,157,121,172,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3_ASV_13,1229,1455,1577,1498,1735,1852,1591,1382,1033,2086,988,1179,3799,1561,2283,2158,1983,2394,2449,1254,1473,1379,1773,666,1760,1139,498,670,2221,1180,1392,1610,1063
p3_ASV_6,3275,3628,4227,4161,4765,5051,4055,4043,2718,5142,2701,2763,10396,4020,6009,5458,4867,6152,6166,3340,3870,3548,4506,1690,4732,3163,1396,1907,5889,3117,4001,4168,2649
p2_ASV_86,0,0,0,0,0,0,0,0,0,130,0,0,278,94,147,148,122,162,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4_ASV_16,0,45,73,0,70,90,59,55,0,78,0,42,61,0,75,0,57,0,94,0,0,0,0,0,0,0,0,0,60,0,38,0,0
p2_ASV_18,1134,1279,1558,1467,1771,1890,1391,1397,1026,1780,915,914,3643,1421,2186,2034,1704,2103,2179,0,0,0,0,556,1533,973,496,615,2004,1118,1275,1324,1028
p2_ASV_89,0,0,0,0,0,0,0,0,0,121,56,0,191,83,102,116,102,131,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3_ASV_8,2330,2605,3167,3023,3307,3469,3044,2949,1851,3829,1916,2208,7501,2943,4372,4143,3625,4462,4640,2534,2925,2677,3145,1262,3473,2277,1026,1395,4378,2355,2804,3098,1786
p2_ASV_96,0,0,0,0,0,0,0,0,0,115,59,0,211,69,119,106,99,95,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1_ASV_57,550,416,576,558,460,374,513,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2_ASV_50,0,0,0,0,0,0,0,0,0,0,127,75,168,91,115,99,103,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2_ASV_69,0,0,0,0,0,0,0,0,0,294,767,451,1053,507,697,559,573,671,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4_ASV_3,3227,2785,3465,3169,2653,2178,3254,2982,716,1964,4630,2703,6398,3513,4636,3695,3607,4059,1571,2737,2225,2467,1051,2932,2672,2592,2052,2140,3658,2561,2819,5274,627
p2_ASV_6,19456,17356,21591,19534,16163,13523,19750,18500,4523,11573,28026,16793,40101,20189,27627,22158,22517,24695,9833,0,0,0,0,17126,16485,16128,12665,13626,22514,15826,17624,32220,3838
p2_ASV_47,0,0,0,0,0,0,0,0,0,58,123,0,194,0,115,88,88,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2_ASV_71,0,0,0,0,0,0,0,0,0,296,766,440,1032,492,716,581,584,636,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3_ASV_29,122,90,103,86,95,64,128,85,1241,115,143,321,77,143,80,143,145,80,136,145,101,201,2796,65,81,80,95,139,179,90,118,139,1536
