asv_id,danska_asv_num,plate,kingdom_final,phylum_final,class_final,order_final,family_final,genus_final,species_final,curated_species_femmicro,danska_species,database_final,package,accession_simplified,identity_vsearch,isoscorens1,isomatchns1,isomatchns1_taxa,isoscores2,isomatchs2,isomatchs2_taxa,isoscores5,isomatchs5,isomatchs5_taxa,isoscorens6,isomatchns6,isomatchns6_taxa,num_ident_asvs,bad_genus,asv_len,rep_asv_total,total,database_vsearch,kingdom_vsearch,phylum_vsearch,class_vsearch,order_vsearch,family_vsearch,genus_vsearch,species_vsearch,accession_number_vsearch,kingdom_T1D,phylum_T1D,class_T1D,order_T1D,family_T1D,genus_T1D,species_T1D,kingdom_GTDB,phylum_GTDB,class_GTDB,order_GTDB,family_GTDB,genus_GTDB,species_GTDB,expected_communities,asv_id,plate1_T1D_S2_defined_mouse_inoc,plate3_S2_defined_inocula_S88_L0,plate5_S2_mouse_inoculum_S36_L00,Sum,,,
p4_ASV_217,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,191,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_217,0,0,0,0,,,
p4_ASV_251,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,298,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_251,0,0,0,0,,,
p4_ASV_254,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,340,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_254,0,0,0,0,,,
p4_ASV_235,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,368,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_235,0,0,0,0,,,
p3_ASV_80,,plate 3,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,404,1892,1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p3_ASV_80,0,0,0,0,,,
p4_ASV_214,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,123,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_214,0,0,0,0,,,
p4_ASV_229,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,284,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_229,0,0,0,0,,,
p4_ASV_208,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,274,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,PALSA-1337,CAIOGI01,NA,S5,p4_ASV_208,0,0,0,0,,,
p4_ASV_279,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,83,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p4_ASV_279,0,0,0,0,,,
p4_ASV_276,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,84,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p4_ASV_276,0,0,0,0,,,
p4_ASV_205,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,278,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,NA,NA,S5,p4_ASV_205,0,0,0,0,,,
p4_ASV_277,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,84,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p4_ASV_277,0,0,0,0,,,
p4_ASV_269,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,84,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p4_ASV_269,0,0,0,0,,,
p4_ASV_274,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,84,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p4_ASV_274,0,0,0,0,,,
p4_ASV_267,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,84,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p4_ASV_267,0,0,0,0,,,
p4_ASV_278,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,297,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,CAIJKW01,CAIJKW01,NA,S5,p4_ASV_278,0,0,0,0,,,
p4_ASV_275,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,84,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,NA,NA,NA,S5,p4_ASV_275,0,0,0,0,,,
p4_ASV_213,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,274,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Patescibacteria,Paceibacteria,UBA9973,PALSA-1337,CAIOGI01,NA,S5,p4_ASV_213,0,0,0,0,,,
p4_ASV_175,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,184,247,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_175,0,0,0,0,,,
p4_ASV_165,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,184,328,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_165,0,0,0,0,,,
p4_ASV_183,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,186,201,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_183,0,0,0,0,,,
p4_ASV_177,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,186,231,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_177,0,0,0,0,,,
p4_ASV_210,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,213,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_210,0,0,0,0,,,
p4_ASV_200,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,194,97,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_200,0,0,0,0,,,
p4_ASV_174,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,170,262,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_174,0,0,0,0,,,
p4_ASV_237,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,372,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_237,0,0,0,0,,,
p4_ASV_261,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,288,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_261,0,0,0,0,,,
p4_ASV_232,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,323,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_232,0,0,0,0,,,
p4_ASV_221,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,311,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_221,0,0,0,0,,,
p4_ASV_159,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,185,348,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_159,0,0,0,0,,,
p4_ASV_146,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,185,491,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_146,0,0,0,0,,,
p4_ASV_247,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,291,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_247,0,0,0,0,,,
p4_ASV_234,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,407,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_234,0,0,0,0,,,
p4_ASV_248,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,335,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_248,0,0,0,0,,,
p4_ASV_244,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,347,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_244,0,0,0,0,,,
p4_ASV_202,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,259,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_202,0,0,0,0,,,
p4_ASV_188,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,259,165,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_188,0,0,0,0,,,
p4_ASV_135,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,614,614,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_135,0,0,0,0,,,
p4_ASV_125,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,679,679,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_125,0,0,0,0,,,
p4_ASV_137,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,593,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_137,0,0,0,0,,,
p4_ASV_107,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,880,880,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_107,0,0,0,0,,,
p4_ASV_100,ASV_0046,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,no_match,no_match,1,NA,279,983,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_100,0,0,0,0,,,
p4_ASV_143,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,527,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_143,0,0,0,0,,,
p4_ASV_118,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,715,715,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_118,0,0,0,0,,,
p4_ASV_138,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,590,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_138,0,0,0,0,,,
p4_ASV_102,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,962,962,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_102,0,0,0,0,,,
p4_ASV_147,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,478,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_147,0,0,0,0,,,
p4_ASV_119,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,714,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_119,0,0,0,0,,,
p4_ASV_133,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,621,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_133,0,0,0,0,,,
p4_ASV_109,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,279,864,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_109,0,0,0,0,,,
p4_ASV_255,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,412,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_255,0,0,0,0,,,
p4_ASV_239,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,360,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,NA,NA,NA,NA,NA,NA,NA,S5,p4_ASV_239,0,0,0,0,,,
p4_ASV_98,ASV_0056,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,no_match,no_match,1,NA,422,1044,1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,S5,p4_ASV_98,0,0,0,0,,,
p4_ASV_224,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,213,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,NA,NA,NA,NA,NA,NA,S5,p4_ASV_224,0,0,0,0,,,
p4_ASV_78,ASV_0051,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,no_match,no_match,1,NA,405,1702,1702,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,NA,NA,S5,p4_ASV_78,0,0,0,0,,,
p3_ASV_130,,plate 3,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,428,273,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Bdellovibrionota,Bacteriovoracia,Bacteriovoracales,Bacteriovoracaceae,UBA6144,NA,S5,p3_ASV_130,0,0,0,0,,,
p4_ASV_144,,plate 4,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,S5_Bg_092,,T1D,DADA2,,NA,NA,,,NA,,,NA,,,NA,,,1,NA,422,506,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Cytobacillus,NA,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,LD1,Bog-950,NA,S5,p4_ASV_144,0,0,0,0,,,
