S_S2_Cc_069_v1v9_205	2.4.2.10
S_S2_Cc_069_v1v9_206	3.6.1.27
S_S2_Cc_069_v1v9_207	4.1.1.23
S_S2_Cc_069_v1v9_208	6.1.1.12
S_S2_Cc_069_v1v9_209	6.1.1.12
S_S2_Cc_069_v1v9_210	1.8.1.9
S_S2_Cc_069_v1v9_211	1.8.1.9
S_S2_Cc_069_v1v9_212	1.8.1.9
S_S2_Cc_069_v1v9_213	1.8.1.9
S_S2_Cc_069_v1v9_214	4.3.1.17
S_S2_Cc_069_v1v9_215	4.3.1.17
S_S2_Cc_069_v1v9_216	1.2.1.11
S_S2_Cc_069_v1v9_217	2.5.1.29
S_S2_Cc_069_v1v9_218	2.5.1.10
S_S2_Cc_069_v1v9_219	2.5.1.1
S_S2_Cc_069_v1v9_220	3.1.26.5
S_S2_Cc_069_v1v9_221	4.2.1.136
S_S2_Cc_069_v1v9_222	1.4.1.14
S_S2_Cc_069_v1v9_223	1.4.1.14
S_S2_Cc_069_v1v9_224	1.4.1.13
S_S2_Cc_069_v1v9_225	1.4.1.13
S_S2_Cc_069_v1v9_226	3.5.1.104
S_S2_Cc_069_v1v9_227	3.5.1.104
S_S2_Cc_069_v1v9_228	4.6.1.12
S_S2_Cc_069_v1v9_229	2.1.1.177
S_S2_Cc_069_v1v9_230	5.1.99.6
S_S2_Cc_069_v1v9_231	2.3.1.39
S_S2_Cc_069_v1v9_232	1.11.1.15
S_S2_Cc_069_v1v9_233	3.6.1.40
S_S2_Cc_069_v1v9_234	3.4.23.36
S_S2_Cc_069_v1v9_235	3.4.23.36
S_S2_Cc_069_v1v9_236	6.1.1.5
S_S2_Cc_069_v1v9_237	2.7.1.33
S_S2_Cc_069_v1v9_238	2.1.2.9
S_S2_Cc_069_v1v9_239	2.7.1.6
S_S2_Cc_069_v1v9_240	3.1.11.2
S_S2_Cc_069_v1v9_241	3.5.1.25
S_S2_Cc_069_v1v9_242	3.5.1.124
S_S2_Cc_069_v1v9_243	2.7.4.1
S_S2_Cc_069_v1v9_244	3.6.1.11
S_S2_Cc_069_v1v9_245	3.4.11.18
S_S2_Cc_069_v1v9_246	3.4.11.18
S_S2_Cc_069_v1v9_247	2.7.1.23
S_S2_Cc_069_v1v9_248	3.1.3.5
S_S2_Cc_069_v1v9_249	6.3.2.17
S_S2_Cc_069_v1v9_250	6.3.2.12
S_S2_Cc_069_v1v9_251	1.4.1.4
S_S2_Cc_069_v1v9_252	2.3.1.54
S_S2_Cc_069_v1v9_253	2.1.3.15
S_S2_Cc_069_v1v9_254	5.1.3.3
S_S2_Cc_069_v1v9_255	5.1.3.3
S_S2_Cc_069_v1v9_256	2.7.4.22
S_S2_Cc_069_v1v9_257	1.2.1.12
S_S2_Cc_069_v1v9_258	2.3.1.179
S_S2_Cc_069_v1v9_259	2.7.14.1
S_S2_Cc_069_v1v9_260	2.7.7.60
S_S2_Cc_069_v1v9_261	2.7.7.60
S_S2_Cc_069_v1v9_262	2.7.7.60
S_S2_Cc_069_v1v9_263	2.7.7.60
S_S2_Cc_069_v1v9_264	6.1.1.2
S_S2_Cc_069_v1v9_265	2.7.1.4
S_S2_Cc_069_v1v9_266	2.7.1.4
S_S2_Cc_069_v1v9_267	2.1.1.228
S_S2_Cc_069_v1v9_268	1.20.4.1
S_S2_Cc_069_v1v9_269	2.4.1.1
S_S2_Cc_069_v1v9_270	3.6.3.8
S_S2_Cc_069_v1v9_271	4.2.1.46
S_S2_Cc_069_v1v9_272	2.7.7.24
S_S2_Cc_069_v1v9_273	6.3.4.15
S_S2_Cc_069_v1v9_274	6.1.1.21
S_S2_Cc_069_v1v9_275	1.1.1.85
S_S2_Cc_069_v1v9_276	2.7.2.3
S_S2_Cc_069_v1v9_277	6.3.4.4
S_S2_Cc_069_v1v9_278	2.1.2.2
S_S2_Cc_069_v1v9_279	3.5.1.42
S_S2_Cc_069_v1v9_280	2.7.1.40
S_S2_Cc_069_v1v9_281	2.7.1.40
S_S2_Cc_069_v1v9_282	1.17.7.3
S_S2_Cc_069_v1v9_283	1.17.7.1
S_S2_Cc_069_v1v9_284	3.1.1.29
S_S2_Cc_069_v1v9_285	6.1.1.7
S_S2_Cc_069_v1v9_286	6.1.1.7
S_S2_Cc_069_v1v9_287	2.1.1.182
S_S2_Cc_069_v1v9_288	6.3.3.1
S_S2_Cc_069_v1v9_289	2.4.2.14
S_S2_Cc_069_v1v9_290	4.1.1.36
S_S2_Cc_069_v1v9_291	6.3.2.5
S_S2_Cc_069_v1v9_292	3.1.3.100
S_S2_Cc_069_v1v9_293	3.5.1.53
S_S2_Cc_069_v1v9_294	3.5.1.53
S_S2_Cc_069_v1v9_295	2.7.4.8
S_S2_Cc_069_v1v9_296	2.7.4.8
S_S2_Cc_069_v1v9_297	2.3.1.180
S_S2_Cc_069_v1v9_298	1.1.1.267
S_S2_Cc_069_v1v9_299	2.7.7.3
S_S2_Cc_069_v1v9_300	3.6.5.4
S_S2_Cc_069_v1v9_301	6.1.1.11
S_S2_Cc_069_v1v9_302	4.2.1.2
S_S2_Cc_069_v1v9_303	4.2.1.2
S_S2_Cc_069_v1v9_304	4.2.1.2
S_S2_Cc_069_v1v9_305	4.3.3.7
S_S2_Cc_069_v1v9_306	1.17.1.8
S_S2_Cc_069_v1v9_307	6.1.1.3
S_S2_Cc_069_v1v9_308	2.4.1.129
S_S2_Cc_069_v1v9_309	1.1.1.94
S_S2_Cc_069_v1v9_310	6.1.1.6
S_S2_Cc_069_v1v9_311	6.1.1.6
S_S2_Cc_069_v1v9_312	6.3.5.2
S_S2_Cc_069_v1v9_313	2.6.1.42
S_S2_Cc_069_v1v9_314	4.1.2.13
S_S2_Cc_069_v1v9_315	4.1.1.20
S_S2_Cc_069_v1v9_316	2.4.99.17
S_S2_Cc_069_v1v9_317	1.1.1.95
