S_S2_Bs_063_v1v9_97	3.6.4.13
S_S2_Bs_063_v1v9_98	3.6.4.13
S_S2_Bs_063_v1v9_99	6.3.5.5
S_S2_Bs_063_v1v9_100	6.3.5.5
S_S2_Bs_063_v1v9_101	6.3.5.5
S_S2_Bs_063_v1v9_102	6.3.5.5
S_S2_Bs_063_v1v9_103	1.8.1.2
S_S2_Bs_063_v1v9_104	1.8.1.2
S_S2_Bs_063_v1v9_105	3.1.3.48
S_S2_Bs_063_v1v9_106	3.1.3.48
S_S2_Bs_063_v1v9_107	3.1.3.48
S_S2_Bs_063_v1v9_108	2.7.7.6
S_S2_Bs_063_v1v9_109	2.7.7.6
S_S2_Bs_063_v1v9_110	2.7.7.6
S_S2_Bs_063_v1v9_111	2.7.7.6
S_S2_Bs_063_v1v9_112	2.3.3.13
S_S2_Bs_063_v1v9_113	2.1.1.191
S_S2_Bs_063_v1v9_114	4.2.1.20
S_S2_Bs_063_v1v9_115	4.2.1.20
S_S2_Bs_063_v1v9_116	6.3.5.6
S_S2_Bs_063_v1v9_117	6.3.5.6
S_S2_Bs_063_v1v9_118	6.3.5.6
S_S2_Bs_063_v1v9_119	6.3.5.7
S_S2_Bs_063_v1v9_120	6.3.5.7
S_S2_Bs_063_v1v9_121	6.3.5.7
S_S2_Bs_063_v1v9_122	2.7.1.11
S_S2_Bs_063_v1v9_123	3.2.2.27
S_S2_Bs_063_v1v9_124	2.1.1.176
S_S2_Bs_063_v1v9_125	3.6.3.14
S_S2_Bs_063_v1v9_126	3.6.3.14
S_S2_Bs_063_v1v9_127	3.6.3.14
S_S2_Bs_063_v1v9_128	3.6.1.66
S_S2_Bs_063_v1v9_129	3.6.1.66
S_S2_Bs_063_v1v9_130	3.6.1.66
S_S2_Bs_063_v1v9_131	1.17.99.6
S_S2_Bs_063_v1v9_132	1.5.1.20
S_S2_Bs_063_v1v9_133	6.3.5.3
S_S2_Bs_063_v1v9_134	6.3.5.3
S_S2_Bs_063_v1v9_135	6.3.5.3
S_S2_Bs_063_v1v9_136	3.1.26.4
S_S2_Bs_063_v1v9_137	3.1.26.4
S_S2_Bs_063_v1v9_138	3.1.26.4
S_S2_Bs_063_v1v9_139	3.1.26.4
S_S2_Bs_063_v1v9_140	3.1.3.16
S_S2_Bs_063_v1v9_141	3.1.3.16
S_S2_Bs_063_v1v9_142	3.1.3.16
