S_S2_Bs_063_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_88	RXN-16659
S_S2_Bs_063_88	RXN-11302
S_S2_Bs_063_89	RXN-11065
S_S2_Bs_063_89	3.4.16.4-RXN
S_S2_Bs_063_89	RXN-16649
S_S2_Bs_063_89	RXN-11351
S_S2_Bs_063_89	RXN-16659
S_S2_Bs_063_89	RXN-11302
S_S2_Bs_063_90	RXN-11065
S_S2_Bs_063_90	3.4.16.4-RXN
S_S2_Bs_063_90	RXN-16649
S_S2_Bs_063_90	RXN-11351
S_S2_Bs_063_90	RXN-16659
S_S2_Bs_063_90	RXN-11302
S_S2_Bs_063_91	RXN-11065
S_S2_Bs_063_91	3.4.16.4-RXN
S_S2_Bs_063_91	RXN-16649
S_S2_Bs_063_91	RXN-11351
S_S2_Bs_063_91	RXN-16659
S_S2_Bs_063_91	RXN-11302
S_S2_Bs_063_92	RXN-11065
S_S2_Bs_063_92	3.4.16.4-RXN
S_S2_Bs_063_92	RXN-16649
S_S2_Bs_063_92	RXN-11351
S_S2_Bs_063_92	RXN-16659
S_S2_Bs_063_92	RXN-11302
S_S2_Bs_063_93	RXN-11065
S_S2_Bs_063_93	3.4.16.4-RXN
S_S2_Bs_063_93	RXN-16649
S_S2_Bs_063_93	RXN-11351
S_S2_Bs_063_93	RXN-16659
S_S2_Bs_063_93	RXN-11302
S_S2_Bs_063_94	3.1.21.3-RXN
S_S2_Bs_063_95	3.1.21.3-RXN
S_S2_Bs_063_96	RXN-11109
S_S2_Bs_063_97	RXN-11109
S_S2_Bs_063_98	RXN-11109
S_S2_Bs_063_99	RXN-13202
S_S2_Bs_063_99	CARBPSYN-RXN
S_S2_Bs_063_100	RXN-13202
S_S2_Bs_063_100	CARBPSYN-RXN
S_S2_Bs_063_101	RXN-13202
S_S2_Bs_063_101	CARBPSYN-RXN
S_S2_Bs_063_102	RXN-13202
S_S2_Bs_063_102	CARBPSYN-RXN
S_S2_Bs_063_103	SULFITE-REDUCT-RXN
S_S2_Bs_063_104	SULFITE-REDUCT-RXN
S_S2_Bs_063_105	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Bs_063_106	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Bs_063_107	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Bs_063_108	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_109	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_110	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_111	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Bs_063_112	2-ISOPROPYLMALATESYN-RXN
S_S2_Bs_063_113	RXN-11602
S_S2_Bs_063_114	TRYPSYN-RXN
S_S2_Bs_063_115	TRYPSYN-RXN
S_S2_Bs_063_116	6.3.5.6-RXN
S_S2_Bs_063_117	6.3.5.6-RXN
S_S2_Bs_063_118	6.3.5.6-RXN
S_S2_Bs_063_119	6.3.5.7-RXN
S_S2_Bs_063_120	6.3.5.7-RXN
S_S2_Bs_063_121	6.3.5.7-RXN
S_S2_Bs_063_122	6PFRUCTPHOS-RXN
S_S2_Bs_063_123	RXN0-2584
S_S2_Bs_063_124	RXN-11591
S_S2_Bs_063_125	ATPSYN-RXN
S_S2_Bs_063_126	ATPSYN-RXN
S_S2_Bs_063_127	ATPSYN-RXN
S_S2_Bs_063_131	RXN-12104
S_S2_Bs_063_132	1.5.1.20-RXN
S_S2_Bs_063_133	FGAMSYN-RXN
S_S2_Bs_063_134	FGAMSYN-RXN
S_S2_Bs_063_135	FGAMSYN-RXN
S_S2_Bs_063_136	3.1.26.4-RXN
S_S2_Bs_063_137	3.1.26.4-RXN
S_S2_Bs_063_138	3.1.26.4-RXN
S_S2_Bs_063_139	3.1.26.4-RXN
S_S2_Bs_063_140	3.1.3.16-RXN
S_S2_Bs_063_141	3.1.3.16-RXN
S_S2_Bs_063_142	3.1.3.16-RXN
S_S2_Bs_063_143	2.7.8.12-RXN
S_S2_Bs_063_143	TEICHOICSYN4-RXN
S_S2_Bs_063_144	RXN-16024
S_S2_Bs_063_144	RXN-16117
S_S2_Bs_063_144	RXN-10462
S_S2_Bs_063_144	RXN-13805
S_S2_Bs_063_144	RXN-1381
S_S2_Bs_063_144	RXN-15045
S_S2_Bs_063_145	RXN-16024
S_S2_Bs_063_145	RXN-16117
S_S2_Bs_063_145	RXN-10462
S_S2_Bs_063_145	RXN-13805
S_S2_Bs_063_145	RXN-1381
S_S2_Bs_063_145	RXN-15045
S_S2_Bs_063_146	THI-P-SYN-RXN
S_S2_Bs_063_146	RXN-12610
S_S2_Bs_063_146	RXN-12611
S_S2_Bs_063_147	MALTACETYLTRAN-RXN
S_S2_Bs_063_148	MALTACETYLTRAN-RXN
S_S2_Bs_063_149	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Bs_063_150	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Bs_063_151	GLUCUROISOM-RXN
S_S2_Bs_063_151	GALACTUROISOM-RXN
S_S2_Bs_063_152	ADCLY-RXN
S_S2_Bs_063_153	RXN-14971
S_S2_Bs_063_153	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_S2_Bs_063_153	RXN-15378
S_S2_Bs_063_154	RXN-14971
S_S2_Bs_063_154	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_S2_Bs_063_154	RXN-15378
S_S2_Bs_063_155	ABC-9-RXN
S_S2_Bs_063_155	ABC-10-RXN
S_S2_Bs_063_155	3.6.3.34-RXN
S_S2_Bs_063_155	ABC-11-RXN
S_S2_Bs_063_156	ABC-9-RXN
S_S2_Bs_063_156	ABC-10-RXN
S_S2_Bs_063_156	3.6.3.34-RXN
S_S2_Bs_063_156	ABC-11-RXN
S_S2_Bs_063_157	ABC-9-RXN
S_S2_Bs_063_157	ABC-10-RXN
S_S2_Bs_063_157	3.6.3.34-RXN
S_S2_Bs_063_157	ABC-11-RXN
S_S2_Bs_063_158	ABC-9-RXN
S_S2_Bs_063_158	ABC-10-RXN
S_S2_Bs_063_158	3.6.3.34-RXN
S_S2_Bs_063_158	ABC-11-RXN
S_S2_Bs_063_159	ABC-9-RXN
S_S2_Bs_063_159	ABC-10-RXN
S_S2_Bs_063_159	3.6.3.34-RXN
S_S2_Bs_063_159	ABC-11-RXN
S_S2_Bs_063_160	ABC-9-RXN
