S_S2_Bs_063_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_320	RXN-7607
S_S2_Bs_063_320	RXN-7609
S_S2_Bs_063_320	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_320	5-NUCLEOTID-RXN
S_S2_Bs_063_320	RXN-14227
S_S2_Bs_063_320	RXN-5841
S_S2_Bs_063_320	XMPXAN-RXN
S_S2_Bs_063_321	RXN-14025
S_S2_Bs_063_321	RXN-14026
S_S2_Bs_063_321	RXN-7607
S_S2_Bs_063_321	RXN-7609
S_S2_Bs_063_321	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_321	5-NUCLEOTID-RXN
S_S2_Bs_063_321	RXN-14227
S_S2_Bs_063_321	RXN-5841
S_S2_Bs_063_321	XMPXAN-RXN
S_S2_Bs_063_322	RXN0-2921
S_S2_Bs_063_322	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S2_Bs_063_322	FORMYLTHFGLUSYNTH-RXN
S_S2_Bs_063_323	DIHYDROFOLATESYNTH-RXN
S_S2_Bs_063_328	THYMIDYLATESYN-RXN
S_S2_Bs_063_329	PRAISOM-RXN
S_S2_Bs_063_330	PRAISOM-RXN
S_S2_Bs_063_331	PRAISOM-RXN
S_S2_Bs_063_332	SELENOCYSTEINE-LYASE-RXN
S_S2_Bs_063_333	RXN-16391
S_S2_Bs_063_333	METHYLMALONYL-COA-EPIM-RXN
S_S2_Bs_063_337	ALDOSE1EPIM-RXN
S_S2_Bs_063_337	ALDOSE-1-EPIMERASE-RXN
S_S2_Bs_063_338	RXN-12002
S_S2_Bs_063_339	GAPOXNPHOSPHN-RXN
S_S2_Bs_063_340	GAPOXNPHOSPHN-RXN
S_S2_Bs_063_341	RXN1G-94
S_S2_Bs_063_341	RXN1G-1015
S_S2_Bs_063_341	RXN1G-202
S_S2_Bs_063_341	RXN1G-883
S_S2_Bs_063_341	RXN1G-660
S_S2_Bs_063_341	RXN1G-374
S_S2_Bs_063_341	RXN1G-334
S_S2_Bs_063_341	RXN-8391
S_S2_Bs_063_341	RXN1G-582
S_S2_Bs_063_341	RXN1G-580
S_S2_Bs_063_341	RXN1G-89
S_S2_Bs_063_341	2.3.1.179-RXN
S_S2_Bs_063_341	RXN1G-1212
S_S2_Bs_063_341	RXN1G-424
S_S2_Bs_063_341	RXN1G-818
S_S2_Bs_063_341	RXN1G-79
S_S2_Bs_063_341	RXN1G-172
S_S2_Bs_063_341	RXN1G-557
S_S2_Bs_063_341	RXN1G-32
S_S2_Bs_063_342	RXN1G-94
S_S2_Bs_063_342	RXN1G-1015
S_S2_Bs_063_342	RXN1G-202
S_S2_Bs_063_342	RXN1G-883
S_S2_Bs_063_342	RXN1G-660
S_S2_Bs_063_342	RXN1G-374
S_S2_Bs_063_342	RXN1G-334
S_S2_Bs_063_342	RXN-8391
S_S2_Bs_063_342	RXN1G-582
S_S2_Bs_063_342	RXN1G-580
S_S2_Bs_063_342	RXN1G-89
S_S2_Bs_063_342	2.3.1.179-RXN
S_S2_Bs_063_342	RXN1G-1212
S_S2_Bs_063_342	RXN1G-424
S_S2_Bs_063_342	RXN1G-818
S_S2_Bs_063_342	RXN1G-79
S_S2_Bs_063_342	RXN1G-172
S_S2_Bs_063_342	RXN1G-557
S_S2_Bs_063_342	RXN1G-32
S_S2_Bs_063_343	RXN8J2-140
S_S2_Bs_063_344	2.7.7.60-RXN
S_S2_Bs_063_345	2.7.7.60-RXN
S_S2_Bs_063_346	2.7.7.60-RXN
S_S2_Bs_063_347	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S2_Bs_063_348	FRUCTOKINASE-RXN
S_S2_Bs_063_349	FRUCTOKINASE-RXN
S_S2_Bs_063_350	AKBLIG-RXN
S_S2_Bs_063_351	AKBLIG-RXN
S_S2_Bs_063_352	RXN-14517
S_S2_Bs_063_352	RXN-12458
S_S2_Bs_063_353	RXN-982
S_S2_Bs_063_354	RXN-982
S_S2_Bs_063_355	RXN-14285
S_S2_Bs_063_355	RXN-14284
S_S2_Bs_063_355	RXN-14286
S_S2_Bs_063_355	RXN-14353
S_S2_Bs_063_355	RXN-9025
S_S2_Bs_063_355	RXN0-5182
S_S2_Bs_063_355	RXN0-5184
S_S2_Bs_063_355	GLYCOPHOSPHORYL-RXN
S_S2_Bs_063_355	RXN-12171
S_S2_Bs_063_355	GLYMALTOPHOSPHORYL-RXN
S_S2_Bs_063_355	RXN-1826
S_S2_Bs_063_355	RXN-12392
S_S2_Bs_063_356	RXN-14249
S_S2_Bs_063_356	THREODEHYD-RXN
S_S2_Bs_063_357	3.6.3.8-RXN
S_S2_Bs_063_358	1.2.3.3-RXN
S_S2_Bs_063_359	PRTRANS-RXN
S_S2_Bs_063_360	DTDPGLUCDEHYDRAT-RXN
S_S2_Bs_063_361	DTDPGLUCDEHYDRAT-RXN
S_S2_Bs_063_362	DTDPGLUCOSEPP-RXN
S_S2_Bs_063_363	BIOTINLIG-RXN
S_S2_Bs_063_364	RXN1G-4355
S_S2_Bs_063_364	PROPIONYL-COA-CARBOXY-RXN
S_S2_Bs_063_365	HISTIDINE--TRNA-LIGASE-RXN
S_S2_Bs_063_366	RXN-13158
S_S2_Bs_063_366	RXN-14986
S_S2_Bs_063_367	PHOSGLYPHOS-RXN
S_S2_Bs_063_368	H2PTEROATESYNTH-RXN
S_S2_Bs_063_369	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S2_Bs_063_370	GART-RXN
S_S2_Bs_063_371	RXN-14116
S_S2_Bs_063_372	RXN-14116
S_S2_Bs_063_373	RXN66-1
S_S2_Bs_063_373	RXN-14189
S_S2_Bs_063_373	CATAL-RXN
S_S2_Bs_063_374	RXN66-1
S_S2_Bs_063_374	RXN-14189
S_S2_Bs_063_374	CATAL-RXN
S_S2_Bs_063_375	RXN66-1
S_S2_Bs_063_375	RXN-14189
S_S2_Bs_063_375	CATAL-RXN
S_S2_Bs_063_376	NMNAMIDOHYDRO-RXN
S_S2_Bs_063_377	RXN-14207
S_S2_Bs_063_377	PEPDEPHOS-RXN
S_S2_Bs_063_377	RXN-14117
S_S2_Bs_063_377	RXN-14192
S_S2_Bs_063_378	GCVT-RXN
S_S2_Bs_063_379	GCVP-RXN
S_S2_Bs_063_380	GCVP-RXN
S_S2_Bs_063_381	RXN-15878
S_S2_Bs_063_382	RXN0-882
S_S2_Bs_063_383	PHOSPHASERSYN-RXN
S_S2_Bs_063_384	RXN-12460
S_S2_Bs_063_384	AMINOCYL-TRNA-HYDROLASE-RXN
S_S2_Bs_063_384	RXN-16637
S_S2_Bs_063_385	ALANINE--TRNA-LIGASE-RXN
S_S2_Bs_063_386	RXN-11633
S_S2_Bs_063_387	AIRS-RXN
S_S2_Bs_063_388	PRPPAMIDOTRANS-RXN
S_S2_Bs_063_389	P-PANTOCYSDECARB-RXN
S_S2_Bs_063_390	P-PANTOCYSLIG-RXN
S_S2_Bs_063_392	HISTIDPHOS-RXN
S_S2_Bs_063_393	4.2.3.12-RXN
S_S2_Bs_063_394	GUANYL-KIN-RXN
S_S2_Bs_063_395	2.3.1.180-RXN
S_S2_Bs_063_396	2.3.1.180-RXN
S_S2_Bs_063_397	DXPREDISOM-RXN
S_S2_Bs_063_398	PANTEPADENYLYLTRAN-RXN
S_S2_Bs_063_399	GLUC1PURIDYLTRANS-RXN
S_S2_Bs_063_400	GLUC1PURIDYLTRANS-RXN
S_S2_Bs_063_401	GLUC1PURIDYLTRANS-RXN
S_S2_Bs_063_402	2.7.7.39-RXN
S_S2_Bs_063_403	RXN-11047
S_S2_Bs_063_403	RXN-9217
S_S2_Bs_063_403	DMK-RXN
S_S2_Bs_063_403	RXN-9358
S_S2_Bs_063_403	RXN-9359
S_S2_Bs_063_403	RXN-9204
S_S2_Bs_063_403	RXN-9190
S_S2_Bs_063_403	RXN-9360
S_S2_Bs_063_403	RXN-9365
S_S2_Bs_063_404	QUINOLINATE-SYNTHA-RXN
S_S2_Bs_063_405	RXN0-5462
S_S2_Bs_063_406	RXN0-5507
S_S2_Bs_063_407	SERINE--TRNA-LIGASE-RXN
S_S2_Bs_063_407	RXN0-2161
S_S2_Bs_063_408	FUMHYDR-RXN
S_S2_Bs_063_409	O-SUCCINYLBENZOATE-COA-LIG-RXN
S_S2_Bs_063_409	RXN-7614
S_S2_Bs_063_410	DIHYDRODIPICSYN-RXN
S_S2_Bs_063_411	DIHYDRODIPICSYN-RXN
S_S2_Bs_063_412	RXN-14014
S_S2_Bs_063_413	RXN-15733
S_S2_Bs_063_413	H2PTERIDINEPYROPHOSPHOKIN-RXN
S_S2_Bs_063_414	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
S_S2_Bs_063_414	RXN-15635
S_S2_Bs_063_415	PORPHOBILSYNTH-RXN
S_S2_Bs_063_416	THREONINE--TRNA-LIGASE-RXN
S_S2_Bs_063_417	THREONINE--TRNA-LIGASE-RXN
S_S2_Bs_063_418	RXN-14712
S_S2_Bs_063_418	RXN-15521
S_S2_Bs_063_418	2.4.1.129-RXN
S_S2_Bs_063_418	RXN-11350
S_S2_Bs_063_418	RXN-11291
S_S2_Bs_063_418	RXN-16650
S_S2_Bs_063_418	RXN-11348
S_S2_Bs_063_419	RXN-14712
S_S2_Bs_063_419	RXN-15521
S_S2_Bs_063_419	2.4.1.129-RXN
S_S2_Bs_063_419	RXN-11350
S_S2_Bs_063_419	RXN-11291
S_S2_Bs_063_419	RXN-16650
S_S2_Bs_063_419	RXN-11348
S_S2_Bs_063_420	RXN-14712
S_S2_Bs_063_420	RXN-15521
S_S2_Bs_063_420	2.4.1.129-RXN
S_S2_Bs_063_420	RXN-11350
S_S2_Bs_063_420	RXN-11291
S_S2_Bs_063_420	RXN-16650
S_S2_Bs_063_420	RXN-11348
S_S2_Bs_063_421	RXN-14712
S_S2_Bs_063_421	RXN-15521
S_S2_Bs_063_421	2.4.1.129-RXN
S_S2_Bs_063_421	RXN-11350
S_S2_Bs_063_421	RXN-11291
S_S2_Bs_063_421	RXN-16650
S_S2_Bs_063_421	RXN-11348
S_S2_Bs_063_422	GLYC3PDEHYDROGBIOSYN-RXN
S_S2_Bs_063_423	LYSINE--TRNA-LIGASE-RXN
S_S2_Bs_063_424	GMP-SYN-GLUT-RXN
S_S2_Bs_063_425	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S2_Bs_063_425	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S2_Bs_063_425	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S2_Bs_063_426	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S2_Bs_063_426	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S2_Bs_063_426	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S2_Bs_063_427	F16ALDOLASE-RXN
S_S2_Bs_063_427	RXN-8631
S_S2_Bs_063_428	F16ALDOLASE-RXN
S_S2_Bs_063_428	RXN-8631
S_S2_Bs_063_429	DIAMINOPIMDECARB-RXN
S_S2_Bs_063_430	THIAZOLSYN2-RXN
S_S2_Bs_063_431	RXN0-1342
S_S2_Bs_063_432	RXN0-6575
S_S2_Bs_063_433	PGLYCDEHYDROG-RXN
S_S2_Bs_063_434	PGLYCDEHYDROG-RXN
S_S2_Bs_063_437	ASPARAGINE--TRNA-LIGASE-RXN
S_S2_Bs_063_438	IMP-DEHYDROG-RXN
S_S2_Bs_063_439	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S2_Bs_063_440	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S2_Bs_063_441	DAHPSYN-RXN
S_S2_Bs_063_442	ASPDECARBOX-RXN
S_S2_Bs_063_443	FADSYN-RXN
S_S2_Bs_063_444	FADSYN-RXN
S_S2_Bs_063_445	FADSYN-RXN
S_S2_Bs_063_446	RIBOFLAVINKIN-RXN
S_S2_Bs_063_447	RIBOFLAVINKIN-RXN
S_S2_Bs_063_448	RIBOFLAVINKIN-RXN
S_S2_Bs_063_449	RXN-11839
S_S2_Bs_063_450	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S2_Bs_063_452	RXN-1961
S_S2_Bs_063_453	RXN-1961
S_S2_Bs_063_454	PHOSACETYLTRANS-RXN
S_S2_Bs_063_455	IMIDPHOSDEHYD-RXN
S_S2_Bs_063_456	PRPPSYN-RXN
S_S2_Bs_063_457	S-2-HYDROXY-ACID-OXIDASE-RXN
S_S2_Bs_063_457	RXN-969
S_S2_Bs_063_458	RIBOFLAVINSYNDEAM-RXN
S_S2_Bs_063_459	RIBOFLAVINSYNREDUC-RXN
S_S2_Bs_063_460	HISTAMINOTRANS-RXN
S_S2_Bs_063_461	RXN-7669
S_S2_Bs_063_461	GLYCOGEN-BRANCH-RXN
S_S2_Bs_063_461	RXN-7710
S_S2_Bs_063_461	RXN-14371
S_S2_Bs_063_461	RXN-14372
S_S2_Bs_063_462	RXN-13482
S_S2_Bs_063_462	ORNCARBAMTRANSFER-RXN
S_S2_Bs_063_463	2.7.3.9-RXN
S_S2_Bs_063_464	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S2_Bs_063_465	GLYCINE--TRNA-LIGASE-RXN
S_S2_Bs_063_466	GLYCINE--TRNA-LIGASE-RXN
S_S2_Bs_063_467	UGD-RXN
S_S2_Bs_063_468	UGD-RXN
S_S2_Bs_063_469	UGD-RXN
S_S2_Bs_063_470	MALATE-DEH-RXN
S_S2_Bs_063_471	RXN-11833
S_S2_Bs_063_472	ABC-14-RXN
S_S2_Bs_063_472	ABC-12-RXN
S_S2_Bs_063_472	RXN0-3
S_S2_Bs_063_472	ABC-4-RXN
S_S2_Bs_063_472	TRANS-RXN-265
S_S2_Bs_063_472	ABC-3-RXN
S_S2_Bs_063_472	TRANS-RXN0-222
S_S2_Bs_063_472	ABC-13-RXN
S_S2_Bs_063_472	TRANS-RXN0-593
S_S2_Bs_063_472	3.6.3.21-RXN
S_S2_Bs_063_472	ABC-37-RXN
S_S2_Bs_063_473	ABC-14-RXN
S_S2_Bs_063_473	ABC-12-RXN
S_S2_Bs_063_473	RXN0-3
S_S2_Bs_063_473	ABC-4-RXN
S_S2_Bs_063_473	TRANS-RXN-265
S_S2_Bs_063_473	ABC-3-RXN
S_S2_Bs_063_473	TRANS-RXN0-222
S_S2_Bs_063_473	ABC-13-RXN
S_S2_Bs_063_473	TRANS-RXN0-593
S_S2_Bs_063_473	3.6.3.21-RXN
S_S2_Bs_063_473	ABC-37-RXN
S_S2_Bs_063_474	ABC-14-RXN
S_S2_Bs_063_474	ABC-12-RXN
S_S2_Bs_063_474	RXN0-3
S_S2_Bs_063_474	ABC-4-RXN
S_S2_Bs_063_474	TRANS-RXN-265
S_S2_Bs_063_474	ABC-3-RXN
S_S2_Bs_063_474	TRANS-RXN0-222
S_S2_Bs_063_474	ABC-13-RXN
S_S2_Bs_063_474	TRANS-RXN0-593
S_S2_Bs_063_474	3.6.3.21-RXN
S_S2_Bs_063_474	ABC-37-RXN
S_S2_Bs_063_475	RXN-15006
S_S2_Bs_063_475	N-ACETYLGLUTPREDUCT-RXN
S_S2_Bs_063_476	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_S2_Bs_063_477	PRIBFAICARPISOM-RXN
S_S2_Bs_063_478	RXN-11598
S_S2_Bs_063_479	RXN1F-144
S_S2_Bs_063_480	RXN-13323
S_S2_Bs_063_481	DIHYDROFOLATEREDUCT-RXN
S_S2_Bs_063_482	THIAZOLSYN3-RXN
S_S2_Bs_063_483	SHIKIMATE-KINASE-RXN
S_S2_Bs_063_484	RXN-16076
S_S2_Bs_063_484	RXN-16077
S_S2_Bs_063_484	RXN-16032
S_S2_Bs_063_484	RXN-16118
S_S2_Bs_063_484	RXN-15043
S_S2_Bs_063_484	RXN0-6705
S_S2_Bs_063_484	RXN-16067
S_S2_Bs_063_484	RXN-16066
S_S2_Bs_063_484	RXN-16025
S_S2_Bs_063_484	RXN0-5514
S_S2_Bs_063_484	RXN-1623
S_S2_Bs_063_484	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S2_Bs_063_485	RXN-16076
S_S2_Bs_063_485	RXN-16077
S_S2_Bs_063_485	RXN-16032
S_S2_Bs_063_485	RXN-16118
S_S2_Bs_063_485	RXN-15043
S_S2_Bs_063_485	RXN0-6705
S_S2_Bs_063_485	RXN-16067
S_S2_Bs_063_485	RXN-16066
S_S2_Bs_063_485	RXN-16025
S_S2_Bs_063_485	RXN0-5514
S_S2_Bs_063_485	RXN-1623
S_S2_Bs_063_485	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S2_Bs_063_486	3.1.26.3-RXN
S_S2_Bs_063_487	RXN-11637
S_S2_Bs_063_488	HISTCYCLOHYD-RXN
S_S2_Bs_063_489	RXN-8001
S_S2_Bs_063_490	RXN-14569
S_S2_Bs_063_491	RXN0-1321
S_S2_Bs_063_491	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S2_Bs_063_492	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S2_Bs_063_493	VALINE--TRNA-LIGASE-RXN
S_S2_Bs_063_494	3PGAREARR-RXN
S_S2_Bs_063_495	3PGAREARR-RXN
S_S2_Bs_063_496	DXS-RXN
S_S2_Bs_063_497	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S2_Bs_063_498	PREPHENATEDEHYDROG-RXN
S_S2_Bs_063_499	DCMP-DEAMINASE-RXN
S_S2_Bs_063_500	NAPHTHOATE-SYN-RXN
S_S2_Bs_063_501	RXN-7913
S_S2_Bs_063_501	RXN-11832
S_S2_Bs_063_502	THI-P-KIN-RXN
S_S2_Bs_063_503	THREDEHYD-RXN
S_S2_Bs_063_504	SERINE-O-ACETTRAN-RXN
S_S2_Bs_063_505	GLUTSEMIALDEHYDROG-RXN
S_S2_Bs_063_506	GLUTKIN-RXN
S_S2_Bs_063_507	GLUTKIN-RXN
S_S2_Bs_063_508	2TRANSKETO-RXN
S_S2_Bs_063_508	1TRANSKETO-RXN
S_S2_Bs_063_509	SAICARSYN-RXN
S_S2_Bs_063_510	4.2.99.18-RXN
S_S2_Bs_063_510	RXN0-2601
S_S2_Bs_063_511	4.2.99.18-RXN
S_S2_Bs_063_511	RXN0-2601
S_S2_Bs_063_512	ARGSUCCINSYN-RXN
S_S2_Bs_063_512	RXN-10
S_S2_Bs_063_513	1.8.1.4-RXN
S_S2_Bs_063_513	RXN0-1132
S_S2_Bs_063_513	RXN-7719
S_S2_Bs_063_513	RXN-8629
S_S2_Bs_063_513	RXN-7716
S_S2_Bs_063_514	1.8.1.4-RXN
S_S2_Bs_063_514	RXN0-1132
S_S2_Bs_063_514	RXN-7719
S_S2_Bs_063_514	RXN-8629
S_S2_Bs_063_514	RXN-7716
S_S2_Bs_063_515	1.8.1.4-RXN
S_S2_Bs_063_515	RXN0-1132
S_S2_Bs_063_515	RXN-7719
S_S2_Bs_063_515	RXN-8629
S_S2_Bs_063_515	RXN-7716
S_S2_Bs_063_516	TRIOSEPISOMERIZATION-RXN
S_S2_Bs_063_517	RXN0-1147
S_S2_Bs_063_518	2OXOGLUTDECARB-RXN
S_S2_Bs_063_519	RXN-12730
S_S2_Bs_063_519	HOMOCYSMET-RXN
S_S2_Bs_063_520	RXN-12730
S_S2_Bs_063_520	HOMOCYSMET-RXN
S_S2_Bs_063_521	RXN-12730
S_S2_Bs_063_521	HOMOCYSMET-RXN
S_S2_Bs_063_522	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Bs_063_523	AMPSYN-RXN
S_S2_Bs_063_523	AICARSYN-RXN
S_S2_Bs_063_524	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S2_Bs_063_525	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S2_Bs_063_525	RXN0-748
S_S2_Bs_063_525	RXN0-747
S_S2_Bs_063_525	GDPREDUCT-RXN
S_S2_Bs_063_525	ADPREDUCT-RXN
S_S2_Bs_063_525	RXN0-722
S_S2_Bs_063_525	CDPREDUCT-RXN
S_S2_Bs_063_525	UDPREDUCT-RXN
S_S2_Bs_063_525	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S2_Bs_063_526	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S2_Bs_063_526	RXN0-748
S_S2_Bs_063_526	RXN0-747
S_S2_Bs_063_526	GDPREDUCT-RXN
S_S2_Bs_063_526	ADPREDUCT-RXN
S_S2_Bs_063_526	RXN0-722
S_S2_Bs_063_526	CDPREDUCT-RXN
S_S2_Bs_063_526	UDPREDUCT-RXN
S_S2_Bs_063_526	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S2_Bs_063_527	ASPARTATEKIN-RXN
S_S2_Bs_063_528	ASPARTATEKIN-RXN
S_S2_Bs_063_529	ASPARTATEKIN-RXN
S_S2_Bs_063_530	HOMOSERDEHYDROG-RXN
S_S2_Bs_063_531	PABASYN-RXN
S_S2_Bs_063_532	PABASYN-RXN
S_S2_Bs_063_533	ISOCHORSYN-RXN
S_S2_Bs_063_534	ISOCHORSYN-RXN
S_S2_Bs_063_535	3.4.11.4-RXN
S_S2_Bs_063_536	3.4.11.4-RXN
S_S2_Bs_063_537	ISOCITDEH-RXN
S_S2_Bs_063_538	2.7.7.8-RXN
S_S2_Bs_063_539	GUANPRIBOSYLTRAN-RXN
S_S2_Bs_063_539	HYPOXANPRIBOSYLTRAN-RXN
S_S2_Bs_063_540	GUANPRIBOSYLTRAN-RXN
S_S2_Bs_063_540	HYPOXANPRIBOSYLTRAN-RXN
S_S2_Bs_063_541	RXN-9382
S_S2_Bs_063_542	DTMPKI-RXN
S_S2_Bs_063_543	RXN-12093
S_S2_Bs_063_544	RXN-9655
S_S2_Bs_063_544	RXN-10061
S_S2_Bs_063_544	RXN1G-760
S_S2_Bs_063_544	RXN-10656
S_S2_Bs_063_544	RXN1G-220
S_S2_Bs_063_544	RXN-9537
S_S2_Bs_063_544	RXN-9533
S_S2_Bs_063_544	RXN-9557
S_S2_Bs_063_544	4.2.1.61-RXN
S_S2_Bs_063_544	RXN1G-884
S_S2_Bs_063_544	RXN1G-648
S_S2_Bs_063_544	RXN1G-645
S_S2_Bs_063_544	RXN-16623
S_S2_Bs_063_544	RXN1G-355
S_S2_Bs_063_544	RXN1G-377
S_S2_Bs_063_544	RXN1G-27
S_S2_Bs_063_544	4.2.1.59-RXN
S_S2_Bs_063_544	RXN1G-214
S_S2_Bs_063_544	RXN1G-294
S_S2_Bs_063_544	RXN-11481
S_S2_Bs_063_544	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
S_S2_Bs_063_544	RXN1G-279
S_S2_Bs_063_544	RXN1G-1004
S_S2_Bs_063_544	RXN1G-912
S_S2_Bs_063_544	RXN-10660
S_S2_Bs_063_544	RXN-16627
S_S2_Bs_063_544	RXN-9520
S_S2_Bs_063_544	RXN1G-266
S_S2_Bs_063_544	RXN1G-1081
S_S2_Bs_063_544	RXN1G-1084
S_S2_Bs_063_544	RXN1G-420
S_S2_Bs_063_544	RXN1G-425
S_S2_Bs_063_544	RXN1G-1278
S_S2_Bs_063_544	RXN0-2144
S_S2_Bs_063_544	RXN1G-440
S_S2_Bs_063_544	RXN1G-127
S_S2_Bs_063_544	RXN1G-464
S_S2_Bs_063_544	RXN-16631
S_S2_Bs_063_544	RXN-16619
S_S2_Bs_063_544	RXN1G-363
S_S2_Bs_063_544	RXN1G-554
S_S2_Bs_063_544	RXN1G-309
S_S2_Bs_063_544	RXN1G-308
S_S2_Bs_063_544	RXN1G-320
S_S2_Bs_063_544	RXN1G-188
S_S2_Bs_063_544	RXN1G-517
S_S2_Bs_063_544	RXN-11477
S_S2_Bs_063_544	4.2.1.58-RXN
S_S2_Bs_063_544	RXN-9634
S_S2_Bs_063_545	RXN-9655
S_S2_Bs_063_545	RXN-10061
S_S2_Bs_063_545	RXN1G-760
S_S2_Bs_063_545	RXN-10656
S_S2_Bs_063_545	RXN1G-220
S_S2_Bs_063_545	RXN-9537
S_S2_Bs_063_545	RXN-9533
S_S2_Bs_063_545	RXN-9557
S_S2_Bs_063_545	4.2.1.61-RXN
S_S2_Bs_063_545	RXN1G-884
S_S2_Bs_063_545	RXN1G-648
S_S2_Bs_063_545	RXN1G-645
S_S2_Bs_063_545	RXN-16623
S_S2_Bs_063_545	RXN1G-355
S_S2_Bs_063_545	RXN1G-377
S_S2_Bs_063_545	RXN1G-27
S_S2_Bs_063_545	4.2.1.59-RXN
S_S2_Bs_063_545	RXN1G-214
S_S2_Bs_063_545	RXN1G-294
S_S2_Bs_063_545	RXN-11481
S_S2_Bs_063_545	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
S_S2_Bs_063_545	RXN1G-279
S_S2_Bs_063_545	RXN1G-1004
S_S2_Bs_063_545	RXN1G-912
S_S2_Bs_063_545	RXN-10660
S_S2_Bs_063_545	RXN-16627
S_S2_Bs_063_545	RXN-9520
S_S2_Bs_063_545	RXN1G-266
S_S2_Bs_063_545	RXN1G-1081
S_S2_Bs_063_545	RXN1G-1084
S_S2_Bs_063_545	RXN1G-420
S_S2_Bs_063_545	RXN1G-425
S_S2_Bs_063_545	RXN1G-1278
S_S2_Bs_063_545	RXN0-2144
S_S2_Bs_063_545	RXN1G-440
S_S2_Bs_063_545	RXN1G-127
S_S2_Bs_063_545	RXN1G-464
S_S2_Bs_063_545	RXN-16631
S_S2_Bs_063_545	RXN-16619
S_S2_Bs_063_545	RXN1G-363
S_S2_Bs_063_545	RXN1G-554
S_S2_Bs_063_545	RXN1G-309
S_S2_Bs_063_545	RXN1G-308
S_S2_Bs_063_545	RXN1G-320
S_S2_Bs_063_545	RXN1G-188
S_S2_Bs_063_545	RXN1G-517
S_S2_Bs_063_545	RXN-11477
S_S2_Bs_063_545	4.2.1.58-RXN
S_S2_Bs_063_545	RXN-9634
S_S2_Bs_063_546	RXN-10781
S_S2_Bs_063_546	RXN-5424
S_S2_Bs_063_546	METHANOL-DEHYDROGENASE-RXN
S_S2_Bs_063_546	RXN-15818
S_S2_Bs_063_546	RXN3O-4113
S_S2_Bs_063_546	RXN-12448
S_S2_Bs_063_546	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S2_Bs_063_546	RXN-7694
S_S2_Bs_063_546	RXN-7693
S_S2_Bs_063_546	RXN-7657
S_S2_Bs_063_546	ALCOHOL-DEHYDROG-RXN
S_S2_Bs_063_546	RXN-7700
S_S2_Bs_063_546	RXN-7706
S_S2_Bs_063_546	RXN-10911
S_S2_Bs_063_546	RXN-10915
S_S2_Bs_063_546	RXN66-478
S_S2_Bs_063_546	RXN-15823
S_S2_Bs_063_546	RXN-13198
S_S2_Bs_063_547	RXN-10781
S_S2_Bs_063_547	RXN-5424
S_S2_Bs_063_547	METHANOL-DEHYDROGENASE-RXN
S_S2_Bs_063_547	RXN-15818
S_S2_Bs_063_547	RXN3O-4113
S_S2_Bs_063_547	RXN-12448
S_S2_Bs_063_547	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S2_Bs_063_547	RXN-7694
S_S2_Bs_063_547	RXN-7693
S_S2_Bs_063_547	RXN-7657
S_S2_Bs_063_547	ALCOHOL-DEHYDROG-RXN
S_S2_Bs_063_547	RXN-7700
S_S2_Bs_063_547	RXN-7706
S_S2_Bs_063_547	RXN-10911
S_S2_Bs_063_547	RXN-10915
S_S2_Bs_063_547	RXN66-478
S_S2_Bs_063_547	RXN-15823
S_S2_Bs_063_547	RXN-13198
S_S2_Bs_063_548	RXN-10781
S_S2_Bs_063_548	RXN-5424
S_S2_Bs_063_548	METHANOL-DEHYDROGENASE-RXN
S_S2_Bs_063_548	RXN-15818
S_S2_Bs_063_548	RXN3O-4113
