S_S2_Cc_069_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_354	RXN-11833
S_S2_Cc_069_355	ABC-14-RXN
S_S2_Cc_069_355	ABC-12-RXN
S_S2_Cc_069_355	RXN0-3
S_S2_Cc_069_355	ABC-4-RXN
S_S2_Cc_069_355	TRANS-RXN-265
S_S2_Cc_069_355	ABC-3-RXN
S_S2_Cc_069_355	TRANS-RXN0-222
S_S2_Cc_069_355	ABC-13-RXN
S_S2_Cc_069_355	TRANS-RXN0-593
S_S2_Cc_069_355	3.6.3.21-RXN
S_S2_Cc_069_355	ABC-37-RXN
S_S2_Cc_069_356	ABC-14-RXN
S_S2_Cc_069_356	ABC-12-RXN
S_S2_Cc_069_356	RXN0-3
S_S2_Cc_069_356	ABC-4-RXN
S_S2_Cc_069_356	TRANS-RXN-265
S_S2_Cc_069_356	ABC-3-RXN
S_S2_Cc_069_356	TRANS-RXN0-222
S_S2_Cc_069_356	ABC-13-RXN
S_S2_Cc_069_356	TRANS-RXN0-593
S_S2_Cc_069_356	3.6.3.21-RXN
S_S2_Cc_069_356	ABC-37-RXN
S_S2_Cc_069_357	ABC-14-RXN
S_S2_Cc_069_357	ABC-12-RXN
S_S2_Cc_069_357	RXN0-3
S_S2_Cc_069_357	ABC-4-RXN
S_S2_Cc_069_357	TRANS-RXN-265
S_S2_Cc_069_357	ABC-3-RXN
S_S2_Cc_069_357	TRANS-RXN0-222
S_S2_Cc_069_357	ABC-13-RXN
S_S2_Cc_069_357	TRANS-RXN0-593
S_S2_Cc_069_357	3.6.3.21-RXN
S_S2_Cc_069_357	ABC-37-RXN
S_S2_Cc_069_358	RXN-15006
S_S2_Cc_069_358	N-ACETYLGLUTPREDUCT-RXN
S_S2_Cc_069_359	RXN-11598
S_S2_Cc_069_360	DIHYDROFOLATEREDUCT-RXN
S_S2_Cc_069_361	THIAZOLSYN3-RXN
S_S2_Cc_069_362	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_363	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_364	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_365	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_366	RXN-16076
S_S2_Cc_069_366	RXN-16077
S_S2_Cc_069_366	RXN-16032
S_S2_Cc_069_366	RXN-16118
S_S2_Cc_069_366	RXN-15043
S_S2_Cc_069_366	RXN0-6705
S_S2_Cc_069_366	RXN-16067
S_S2_Cc_069_366	RXN-16066
S_S2_Cc_069_366	RXN-16025
S_S2_Cc_069_366	RXN0-5514
S_S2_Cc_069_366	RXN-1623
S_S2_Cc_069_366	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S2_Cc_069_367	3.1.26.3-RXN
S_S2_Cc_069_368	RXN-11637
S_S2_Cc_069_369	RXN-11048
S_S2_Cc_069_369	RXN0-1922
S_S2_Cc_069_370	NAD-SYNTH-GLN-RXN
S_S2_Cc_069_371	RXN-14569
S_S2_Cc_069_372	RXN0-1321
S_S2_Cc_069_372	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S2_Cc_069_373	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S2_Cc_069_374	VALINE--TRNA-LIGASE-RXN
S_S2_Cc_069_375	3PGAREARR-RXN
S_S2_Cc_069_376	DXS-RXN
S_S2_Cc_069_377	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S2_Cc_069_378	PREPHENATEDEHYDROG-RXN
S_S2_Cc_069_379	DCMP-DEAMINASE-RXN
S_S2_Cc_069_380	RXN-7913
S_S2_Cc_069_380	RXN-11832
S_S2_Cc_069_381	RXN-7913
S_S2_Cc_069_381	RXN-11832
S_S2_Cc_069_382	THREDEHYD-RXN
S_S2_Cc_069_383	THREDEHYD-RXN
S_S2_Cc_069_384	R345-RXN
S_S2_Cc_069_385	COBALAMINSYN-RXN
S_S2_Cc_069_385	COBALAMIN5PSYN-RXN
S_S2_Cc_069_386	DMBPPRIBOSYLTRANS-RXN
S_S2_Cc_069_387	RXN-6261
S_S2_Cc_069_387	6.3.1.10-RXN
S_S2_Cc_069_388	SERINE-O-ACETTRAN-RXN
S_S2_Cc_069_389	GLUTSEMIALDEHYDROG-RXN
S_S2_Cc_069_390	GLUTKIN-RXN
S_S2_Cc_069_391	2TRANSKETO-RXN
S_S2_Cc_069_391	1TRANSKETO-RXN
S_S2_Cc_069_392	SAICARSYN-RXN
S_S2_Cc_069_393	4.2.99.18-RXN
S_S2_Cc_069_393	RXN0-2601
S_S2_Cc_069_394	4.2.99.18-RXN
S_S2_Cc_069_394	RXN0-2601
S_S2_Cc_069_395	ARGSUCCINSYN-RXN
S_S2_Cc_069_395	RXN-10
S_S2_Cc_069_396	TRIOSEPISOMERIZATION-RXN
S_S2_Cc_069_397	TRIOSEPISOMERIZATION-RXN
S_S2_Cc_069_398	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_399	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_400	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_401	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_402	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_403	AMPSYN-RXN
S_S2_Cc_069_403	AICARSYN-RXN
S_S2_Cc_069_404	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S2_Cc_069_405	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S2_Cc_069_405	RXN0-748
S_S2_Cc_069_405	RXN0-747
S_S2_Cc_069_405	GDPREDUCT-RXN
S_S2_Cc_069_405	ADPREDUCT-RXN
S_S2_Cc_069_405	RXN0-722
S_S2_Cc_069_405	CDPREDUCT-RXN
S_S2_Cc_069_405	UDPREDUCT-RXN
S_S2_Cc_069_405	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S2_Cc_069_406	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S2_Cc_069_406	RXN0-748
S_S2_Cc_069_406	RXN0-747
S_S2_Cc_069_406	GDPREDUCT-RXN
S_S2_Cc_069_406	ADPREDUCT-RXN
S_S2_Cc_069_406	RXN0-722
S_S2_Cc_069_406	CDPREDUCT-RXN
S_S2_Cc_069_406	UDPREDUCT-RXN
S_S2_Cc_069_406	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S2_Cc_069_407	ASPARTATEKIN-RXN
S_S2_Cc_069_408	HOMOSERDEHYDROG-RXN
S_S2_Cc_069_409	HOMOSERDEHYDROG-RXN
S_S2_Cc_069_410	HOMOCYSMETB12-RXN
S_S2_Cc_069_411	HOMOCYSMETB12-RXN
S_S2_Cc_069_412	3.4.11.4-RXN
S_S2_Cc_069_413	3.4.11.4-RXN
S_S2_Cc_069_414	2.7.7.8-RXN
S_S2_Cc_069_415	GUANPRIBOSYLTRAN-RXN
S_S2_Cc_069_415	HYPOXANPRIBOSYLTRAN-RXN
S_S2_Cc_069_416	RXN-9382
S_S2_Cc_069_417	RXN-9655
S_S2_Cc_069_417	RXN-10061
S_S2_Cc_069_417	RXN1G-760
S_S2_Cc_069_417	RXN-10656
S_S2_Cc_069_417	RXN1G-220
S_S2_Cc_069_417	RXN-9537
S_S2_Cc_069_417	RXN-9533
S_S2_Cc_069_417	RXN-9557
S_S2_Cc_069_417	4.2.1.61-RXN
S_S2_Cc_069_417	RXN1G-884
S_S2_Cc_069_417	RXN1G-648
S_S2_Cc_069_417	RXN1G-645
S_S2_Cc_069_417	RXN-16623
S_S2_Cc_069_417	RXN1G-355
S_S2_Cc_069_417	RXN1G-377
S_S2_Cc_069_417	RXN1G-27
S_S2_Cc_069_417	4.2.1.59-RXN
S_S2_Cc_069_417	RXN1G-214
S_S2_Cc_069_417	RXN1G-294
S_S2_Cc_069_417	RXN-11481
S_S2_Cc_069_417	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
S_S2_Cc_069_417	RXN1G-279
S_S2_Cc_069_417	RXN1G-1004
S_S2_Cc_069_417	RXN1G-912
S_S2_Cc_069_417	RXN-10660
S_S2_Cc_069_417	RXN-16627
S_S2_Cc_069_417	RXN-9520
S_S2_Cc_069_417	RXN1G-266
S_S2_Cc_069_417	RXN1G-1081
S_S2_Cc_069_417	RXN1G-1084
S_S2_Cc_069_417	RXN1G-420
S_S2_Cc_069_417	RXN1G-425
S_S2_Cc_069_417	RXN1G-1278
S_S2_Cc_069_417	RXN0-2144
S_S2_Cc_069_417	RXN1G-440
S_S2_Cc_069_417	RXN1G-127
S_S2_Cc_069_417	RXN1G-464
S_S2_Cc_069_417	RXN-16631
S_S2_Cc_069_417	RXN-16619
S_S2_Cc_069_417	RXN1G-363
S_S2_Cc_069_417	RXN1G-554
S_S2_Cc_069_417	RXN1G-309
S_S2_Cc_069_417	RXN1G-308
S_S2_Cc_069_417	RXN1G-320
S_S2_Cc_069_417	RXN1G-188
S_S2_Cc_069_417	RXN1G-517
S_S2_Cc_069_417	RXN-11477
S_S2_Cc_069_417	4.2.1.58-RXN
S_S2_Cc_069_417	RXN-9634
S_S2_Cc_069_418	GLURS-RXN
S_S2_Cc_069_419	CHORISMATE-SYNTHASE-RXN
S_S2_Cc_069_420	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S2_Cc_069_421	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S2_Cc_069_422	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_S2_Cc_069_423	PGLUCISOM-RXN
S_S2_Cc_069_423	RXN-6182
S_S2_Cc_069_423	RXN-13720
S_S2_Cc_069_424	RXN66-546
S_S2_Cc_069_424	PYRROLINECARBREDUCT-RXN
S_S2_Cc_069_425	DGTPTRIPHYDRO-RXN
S_S2_Cc_069_426	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S2_Cc_069_427	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S2_Cc_069_428	NICONUCADENYLYLTRAN-RXN
S_S2_Cc_069_429	NICONUCADENYLYLTRAN-RXN
S_S2_Cc_069_430	DETHIOBIOTIN-SYN-RXN
S_S2_Cc_069_431	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_432	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_433	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_434	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_435	FORMATETHFLIG-RXN
S_S2_Cc_069_436	GLYRIBONUCSYN-RXN
S_S2_Cc_069_437	RXN0-4301
S_S2_Cc_069_438	GLUTAMINE--TRNA-LIGASE-RXN
S_S2_Cc_069_439	DIOHBUTANONEPSYN-RXN
S_S2_Cc_069_440	GTP-CYCLOHYDRO-II-RXN
S_S2_Cc_069_441	LUMAZINESYN-RXN
S_S2_Cc_069_442	RXN-11586
S_S2_Cc_069_443	RXN-11586
S_S2_Cc_069_444	RXN-11586
S_S2_Cc_069_445	RXN0-5189
S_S2_Cc_069_446	DAPASYN-RXN
S_S2_Cc_069_447	2.8.1.6-RXN
S_S2_Cc_069_448	RXN-11601
S_S2_Cc_069_449	RXN-11601
S_S2_Cc_069_450	RXN-11601
S_S2_Cc_069_451	RXN-11601
S_S2_Cc_069_452	RIBOFLAVIN-SYN-RXN
S_S2_Cc_069_453	PROLINE--TRNA-LIGASE-RXN
S_S2_Cc_069_454	RXN-14992
S_S2_Cc_069_455	DIAMINOPIMEPIM-RXN
S_S2_Cc_069_456	ARGSUCCINLYA-RXN
S_S2_Cc_069_456	RXN-22
S_S2_Cc_069_457	RXN-14354
S_S2_Cc_069_457	RXN-14261
S_S2_Cc_069_457	RXN-14260
S_S2_Cc_069_457	AMYLOMALT-RXN
S_S2_Cc_069_457	RXN-9023
S_S2_Cc_069_457	RXN-12193
S_S2_Cc_069_457	RXN-1828
S_S2_Cc_069_457	RXN-12391
S_S2_Cc_069_458	3.1.21.2-RXN
S_S2_Cc_069_459	RXN0-5063
S_S2_Cc_069_460	RXN0-6366
S_S2_Cc_069_461	CYSTEINE--TRNA-LIGASE-RXN
S_S2_Cc_069_462	3.4.21.102-RXN
S_S2_Cc_069_463	SUCCINYLDIAMINOPIMTRANS-RXN
S_S2_Cc_069_464	RXN-15007
S_S2_Cc_069_464	ACETYLORNTRANSAM-RXN
S_S2_Cc_069_465	RXN0-5515
S_S2_Cc_069_465	CDPDIGLYSYN-RXN
S_S2_Cc_069_466	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN
S_S2_Cc_069_467	RXN-13403
S_S2_Cc_069_468	PHOSPHAGLYPSYN-RXN
S_S2_Cc_069_469	DNA-LIGASE-NAD+-RXN
S_S2_Cc_069_470	PREPHENATEDEHYDRAT-RXN
S_S2_Cc_069_471	RXN-11860
S_S2_Cc_069_471	RXN-11865
S_S2_Cc_069_472	2.5.1.19-RXN
S_S2_Cc_069_473	THREONINE-ALDOLASE-RXN
S_S2_Cc_069_473	LTAA-RXN
S_S2_Cc_069_474	ACETOOHBUTREDUCTOISOM-RXN
S_S2_Cc_069_474	ACETOLACTREDUCTOISOM-RXN
S_S2_Cc_069_475	RXN-11737
S_S2_Cc_069_475	ASPAMINOTRANS-RXN
S_S2_Cc_069_475	RXN-13697
S_S2_Cc_069_475	RXN-10814
S_S2_Cc_069_476	RXN-11737
S_S2_Cc_069_476	ASPAMINOTRANS-RXN
S_S2_Cc_069_476	RXN-13697
S_S2_Cc_069_476	RXN-10814
S_S2_Cc_069_477	RXN-8999
S_S2_Cc_069_478	2.7.1.148-RXN
S_S2_Cc_069_479	RXN-15005
S_S2_Cc_069_479	ACETYLGLUTKIN-RXN
S_S2_Cc_069_480	IMPCYCLOHYDROLASE-RXN
S_S2_Cc_069_481	AICARTRANSFORM-RXN
S_S2_Cc_069_482	ENTDB-RXN
S_S2_Cc_069_482	HOLO-ACP-SYNTH-RXN
S_S2_Cc_069_482	RXN-15889
S_S2_Cc_069_482	RXN-16759
S_S2_Cc_069_482	RXN-10994
S_S2_Cc_069_483	ARGININE--TRNA-LIGASE-RXN
S_S2_Cc_069_485	RXN0-1441
S_S2_Cc_069_486	RXN0-1441
S_S2_Cc_069_487	CHORISMATEMUT-RXN
S_S2_Cc_069_488	CHORISMATEMUT-RXN
S_S2_Cc_069_489	5.99.1.2-RXN
S_S2_Cc_069_490	5.99.1.2-RXN
S_S2_Cc_069_491	5.99.1.2-RXN
S_S2_Cc_069_492	5.99.1.2-RXN
S_S2_Cc_069_493	5.99.1.2-RXN
S_S2_Cc_069_494	METHYLENETHFDEHYDROG-NADP-RXN
S_S2_Cc_069_495	RXN-11588
S_S2_Cc_069_496	LEUCINE--TRNA-LIGASE-RXN
S_S2_Cc_069_497	S-ADENMETSYN-RXN
S_S2_Cc_069_498	3.4.21.92-RXN
S_S2_Cc_069_499	3.4.21.92-RXN
S_S2_Cc_069_500	RXN-14570
S_S2_Cc_069_501	RXN0-6274
S_S2_Cc_069_502	4.99.1.3-RXN
S_S2_Cc_069_502	RXN-8759
S_S2_Cc_069_503	RXN-9380
S_S2_Cc_069_504	ARGDECARBOX-RXN
S_S2_Cc_069_505	ARGDECARBOX-RXN
S_S2_Cc_069_506	RXN-14063
S_S2_Cc_069_506	COBINAMIDEKIN-RXN
S_S2_Cc_069_506	2.7.1.156-RXN
S_S2_Cc_069_507	COBINPGUANYLYLTRANS-RXN
S_S2_Cc_069_508	RXN-8976
S_S2_Cc_069_508	RXN-11029
S_S2_Cc_069_508	NACGLCTRANS-RXN
S_S2_Cc_069_508	RXN-11346
S_S2_Cc_069_509	UDP-NACMURALA-GLU-LIG-RXN
S_S2_Cc_069_510	RXN-8975
S_S2_Cc_069_510	RXN-11347
S_S2_Cc_069_510	PHOSNACMURPENTATRANS-RXN
S_S2_Cc_069_511	UDP-NACMURALGLDAPAALIG-RXN
S_S2_Cc_069_511	6.3.2.10-RXN
S_S2_Cc_069_512	UDP-NACMURALGLDAPLIG-RXN
S_S2_Cc_069_513	RXN-11638
S_S2_Cc_069_514	RXN-11638
S_S2_Cc_069_516	RXN-10060
S_S2_Cc_069_516	RXN-9518
S_S2_Cc_069_516	RXN-9514
S_S2_Cc_069_516	RXN-10655
S_S2_Cc_069_516	RXN-10659
S_S2_Cc_069_516	RXN-9536
S_S2_Cc_069_516	RXN1G-240
S_S2_Cc_069_516	RXN1G-203
S_S2_Cc_069_516	RXN-13008
S_S2_Cc_069_516	RXN-9556
S_S2_Cc_069_516	RXN-9552
S_S2_Cc_069_516	RXN1G-1247
S_S2_Cc_069_516	RXN1G-881
S_S2_Cc_069_516	RXN-16622
S_S2_Cc_069_516	RXN-16626
S_S2_Cc_069_516	RXN1G-358
S_S2_Cc_069_516	RXN1G-157
S_S2_Cc_069_516	RXN1G-508
S_S2_Cc_069_516	RXN-9532
S_S2_Cc_069_516	RXN0-2142
S_S2_Cc_069_516	RXN1G-717
S_S2_Cc_069_516	RXN-11480
S_S2_Cc_069_516	RXN1G-481
S_S2_Cc_069_516	RXN1G-252
S_S2_Cc_069_516	3-OXOACYL-ACP-REDUCT-RXN
S_S2_Cc_069_516	RXN-9524
S_S2_Cc_069_516	RXN-9528
S_S2_Cc_069_516	RXN1G-637
S_S2_Cc_069_516	RXN1G-951
S_S2_Cc_069_516	RXN-9540
S_S2_Cc_069_516	RXN1G-408
S_S2_Cc_069_516	RXN1G-409
S_S2_Cc_069_516	RXN1G-617
S_S2_Cc_069_516	RXN1G-613
S_S2_Cc_069_516	RXN1G-384
S_S2_Cc_069_516	RXN1G-469
S_S2_Cc_069_516	RXN-16630
S_S2_Cc_069_516	RXN1G-72
S_S2_Cc_069_516	RXN1G-349
S_S2_Cc_069_516	RXN1G-163
S_S2_Cc_069_516	RXN-16616
S_S2_Cc_069_516	RXN1G-853
S_S2_Cc_069_516	RXN-11476
S_S2_Cc_069_516	RXN1G-184
S_S2_Cc_069_516	RXN1G-182
S_S2_Cc_069_516	RXN1G-364
S_S2_Cc_069_516	RXN1G-287
S_S2_Cc_069_516	RXN1G-1053
S_S2_Cc_069_516	RXN1G-1050
S_S2_Cc_069_516	RXN-9633
S_S2_Cc_069_516	RXN1G-262
S_S2_Cc_069_516	RXN1G-260
S_S2_Cc_069_517	RXN-10060
S_S2_Cc_069_517	RXN-9518
S_S2_Cc_069_517	RXN-9514
S_S2_Cc_069_517	RXN-10655
S_S2_Cc_069_517	RXN-10659
S_S2_Cc_069_517	RXN-9536
S_S2_Cc_069_517	RXN1G-240
S_S2_Cc_069_517	RXN1G-203
S_S2_Cc_069_517	RXN-13008
S_S2_Cc_069_517	RXN-9556
S_S2_Cc_069_517	RXN-9552
S_S2_Cc_069_517	RXN1G-1247
S_S2_Cc_069_517	RXN1G-881
S_S2_Cc_069_517	RXN-16622
S_S2_Cc_069_517	RXN-16626
S_S2_Cc_069_517	RXN1G-358
S_S2_Cc_069_517	RXN1G-157
S_S2_Cc_069_517	RXN1G-508
S_S2_Cc_069_517	RXN-9532
S_S2_Cc_069_517	RXN0-2142
S_S2_Cc_069_517	RXN1G-717
S_S2_Cc_069_517	RXN-11480
S_S2_Cc_069_517	RXN1G-481
S_S2_Cc_069_517	RXN1G-252
S_S2_Cc_069_517	3-OXOACYL-ACP-REDUCT-RXN
S_S2_Cc_069_517	RXN-9524
S_S2_Cc_069_517	RXN-9528
S_S2_Cc_069_517	RXN1G-637
S_S2_Cc_069_517	RXN1G-951
S_S2_Cc_069_517	RXN-9540
S_S2_Cc_069_517	RXN1G-408
S_S2_Cc_069_517	RXN1G-409
S_S2_Cc_069_517	RXN1G-617
S_S2_Cc_069_517	RXN1G-613
S_S2_Cc_069_517	RXN1G-384
S_S2_Cc_069_517	RXN1G-469
S_S2_Cc_069_517	RXN-16630
S_S2_Cc_069_517	RXN1G-72
S_S2_Cc_069_517	RXN1G-349
S_S2_Cc_069_517	RXN1G-163
S_S2_Cc_069_517	RXN-16616
S_S2_Cc_069_517	RXN1G-853
S_S2_Cc_069_517	RXN-11476
S_S2_Cc_069_517	RXN1G-184
S_S2_Cc_069_517	RXN1G-182
S_S2_Cc_069_517	RXN1G-364
S_S2_Cc_069_517	RXN1G-287
S_S2_Cc_069_517	RXN1G-1053
S_S2_Cc_069_517	RXN1G-1050
S_S2_Cc_069_517	RXN-9633
S_S2_Cc_069_517	RXN1G-262
S_S2_Cc_069_517	RXN1G-260
S_S2_Cc_069_518	RXN-10060
S_S2_Cc_069_518	RXN-9518
S_S2_Cc_069_518	RXN-9514
S_S2_Cc_069_518	RXN-10655
S_S2_Cc_069_518	RXN-10659
S_S2_Cc_069_518	RXN-9536
S_S2_Cc_069_518	RXN1G-240
S_S2_Cc_069_518	RXN1G-203
S_S2_Cc_069_518	RXN-13008
S_S2_Cc_069_518	RXN-9556
S_S2_Cc_069_518	RXN-9552
S_S2_Cc_069_518	RXN1G-1247
S_S2_Cc_069_518	RXN1G-881
S_S2_Cc_069_518	RXN-16622
S_S2_Cc_069_518	RXN-16626
S_S2_Cc_069_518	RXN1G-358
S_S2_Cc_069_518	RXN1G-157
S_S2_Cc_069_518	RXN1G-508
S_S2_Cc_069_518	RXN-9532
S_S2_Cc_069_518	RXN0-2142
S_S2_Cc_069_518	RXN1G-717
S_S2_Cc_069_518	RXN-11480
S_S2_Cc_069_518	RXN1G-481
S_S2_Cc_069_518	RXN1G-252
S_S2_Cc_069_518	3-OXOACYL-ACP-REDUCT-RXN
S_S2_Cc_069_518	RXN-9524
S_S2_Cc_069_518	RXN-9528
S_S2_Cc_069_518	RXN1G-637
S_S2_Cc_069_518	RXN1G-951
S_S2_Cc_069_518	RXN-9540
S_S2_Cc_069_518	RXN1G-408
S_S2_Cc_069_518	RXN1G-409
S_S2_Cc_069_518	RXN1G-617
S_S2_Cc_069_518	RXN1G-613
S_S2_Cc_069_518	RXN1G-384
S_S2_Cc_069_518	RXN1G-469
S_S2_Cc_069_518	RXN-16630
S_S2_Cc_069_518	RXN1G-72
S_S2_Cc_069_518	RXN1G-349
S_S2_Cc_069_518	RXN1G-163
S_S2_Cc_069_518	RXN-16616
S_S2_Cc_069_518	RXN1G-853
S_S2_Cc_069_518	RXN-11476
S_S2_Cc_069_518	RXN1G-184
S_S2_Cc_069_518	RXN1G-182
S_S2_Cc_069_518	RXN1G-364
S_S2_Cc_069_518	RXN1G-287
S_S2_Cc_069_518	RXN1G-1053
S_S2_Cc_069_518	RXN1G-1050
S_S2_Cc_069_518	RXN-9633
S_S2_Cc_069_518	RXN1G-262
S_S2_Cc_069_518	RXN1G-260
S_S2_Cc_069_519	RIBULP3EPIM-RXN
S_S2_Cc_069_520	RIBULP3EPIM-RXN
S_S2_Cc_069_521	METHENYLTHFCYCLOHYDRO-RXN
S_S2_Cc_069_522	CTPSYN-RXN
S_S2_Cc_069_523	RXN66-532
S_S2_Cc_069_523	PHOSPHOGLUCMUT-RXN
S_S2_Cc_069_524	1.5.1.7-RXN
S_S2_Cc_069_525	TYROSINE--TRNA-LIGASE-RXN
S_S2_Cc_069_526	3.4.21.116-RXN
S_S2_Cc_069_527	AGMATINE-DEIMINASE-RXN
S_S2_Cc_069_528	RXN0-743
S_S2_Cc_069_529	ASPCARBTRANS-RXN
S_S2_Cc_069_530	RXN-9659
S_S2_Cc_069_530	RXN-9658
S_S2_Cc_069_530	RXN-9657
S_S2_Cc_069_530	RXN1G-248
S_S2_Cc_069_530	RXN-10062
S_S2_Cc_069_530	RXN-10657
S_S2_Cc_069_530	RXN1G-962
S_S2_Cc_069_530	RXN1G-37
S_S2_Cc_069_530	RXN-9558
S_S2_Cc_069_530	RXN1G-607
S_S2_Cc_069_530	RXN1G-471
S_S2_Cc_069_530	RXN1G-1117
S_S2_Cc_069_530	RXN1G-396
S_S2_Cc_069_530	RXN1G-1325
S_S2_Cc_069_530	RXN1G-1130
S_S2_Cc_069_530	RXN-16628
S_S2_Cc_069_530	RXN-16624
S_S2_Cc_069_530	ENOYL-ACP-REDUCT-NADH-RXN
S_S2_Cc_069_530	RXN1G-820
S_S2_Cc_069_530	RXN1G-686
S_S2_Cc_069_530	RXN1G-171
S_S2_Cc_069_530	RXN1G-526
S_S2_Cc_069_530	RXN1G-395
S_S2_Cc_069_530	RXN1G-509
S_S2_Cc_069_530	RXN1G-337
S_S2_Cc_069_530	RXN1G-339
S_S2_Cc_069_530	RXN1G-193
S_S2_Cc_069_530	RXN1G-196
S_S2_Cc_069_530	RXN1G-299
S_S2_Cc_069_530	RXN-11482
S_S2_Cc_069_530	RXN1G-276
S_S2_Cc_069_530	RXN1G-488
S_S2_Cc_069_530	RXN-9662
S_S2_Cc_069_530	RXN-9663
S_S2_Cc_069_530	RXN-9660
S_S2_Cc_069_530	RXN-9661
S_S2_Cc_069_530	RXN1G-915
S_S2_Cc_069_530	RXN-10661
S_S2_Cc_069_530	RXN-16620
S_S2_Cc_069_530	RXN1G-210
S_S2_Cc_069_530	1.3.1.9-RXN
S_S2_Cc_069_530	RXN0-2145
S_S2_Cc_069_530	RXN1G-679
S_S2_Cc_069_530	RXN1G-468
S_S2_Cc_069_530	RXN-16632
S_S2_Cc_069_530	RXN1G-285
S_S2_Cc_069_530	RXN-11478
S_S2_Cc_069_530	RXN1G-1057
S_S2_Cc_069_530	RXN-9635
S_S2_Cc_069_533	DIHYDROXYMETVALDEHYDRAT-RXN
S_S2_Cc_069_533	DIHYDROXYISOVALDEHYDRAT-RXN
S_S2_Cc_069_534	DIHYDROXYMETVALDEHYDRAT-RXN
S_S2_Cc_069_534	DIHYDROXYISOVALDEHYDRAT-RXN
S_S2_Cc_069_535	DIHYDROXYMETVALDEHYDRAT-RXN
S_S2_Cc_069_535	DIHYDROXYISOVALDEHYDRAT-RXN
S_S2_Cc_069_536	3.4.11.9-RXN
S_S2_Cc_069_537	RXN-13997
S_S2_Cc_069_538	RXN-13997
S_S2_Cc_069_539	UROGENIIISYN-RXN
S_S2_Cc_069_540	ABC-2-RXN
S_S2_Cc_069_540	ABC-28-RXN
S_S2_Cc_069_540	3.6.3.17-RXN
S_S2_Cc_069_540	ABC-33-RXN
S_S2_Cc_069_540	ABC-18-RXN
S_S2_Cc_069_541	ABC-2-RXN
S_S2_Cc_069_541	ABC-28-RXN
S_S2_Cc_069_541	3.6.3.17-RXN
S_S2_Cc_069_541	ABC-33-RXN
S_S2_Cc_069_541	ABC-18-RXN
S_S2_Cc_069_542	ABC-2-RXN
S_S2_Cc_069_542	ABC-28-RXN
S_S2_Cc_069_542	3.6.3.17-RXN
S_S2_Cc_069_542	ABC-33-RXN
S_S2_Cc_069_542	ABC-18-RXN
S_S2_Cc_069_543	ABC-2-RXN
S_S2_Cc_069_543	ABC-28-RXN
S_S2_Cc_069_543	3.6.3.17-RXN
S_S2_Cc_069_543	ABC-33-RXN
S_S2_Cc_069_543	ABC-18-RXN
S_S2_Cc_069_544	ABC-2-RXN
S_S2_Cc_069_544	ABC-28-RXN
S_S2_Cc_069_544	3.6.3.17-RXN
S_S2_Cc_069_544	ABC-33-RXN
S_S2_Cc_069_544	ABC-18-RXN
S_S2_Cc_069_545	ABC-2-RXN
S_S2_Cc_069_545	ABC-28-RXN
S_S2_Cc_069_545	3.6.3.17-RXN
S_S2_Cc_069_545	ABC-33-RXN
S_S2_Cc_069_545	ABC-18-RXN
S_S2_Cc_069_546	ABC-2-RXN
S_S2_Cc_069_546	ABC-28-RXN
S_S2_Cc_069_546	3.6.3.17-RXN
S_S2_Cc_069_546	ABC-33-RXN
S_S2_Cc_069_546	ABC-18-RXN
S_S2_Cc_069_547	RIBOKIN-RXN
S_S2_Cc_069_547	RXN-14223
S_S2_Cc_069_548	RIBOKIN-RXN
S_S2_Cc_069_548	RXN-14223
