S_S2_Cc_069_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_212	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Cc_069_213	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Cc_069_214	4.3.1.17-RXN
S_S2_Cc_069_215	4.3.1.17-RXN
S_S2_Cc_069_216	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S2_Cc_069_217	FARNESYLTRANSTRANSFERASE-RXN
S_S2_Cc_069_218	FPPSYN-RXN
S_S2_Cc_069_219	GPPSYN-RXN
S_S2_Cc_069_220	RXN0-6480
S_S2_Cc_069_220	3.1.26.5-RXN
S_S2_Cc_069_221	RXN0-6727
S_S2_Cc_069_221	RXN-13141
S_S2_Cc_069_222	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Cc_069_223	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Cc_069_224	GLUTAMATESYN-RXN
S_S2_Cc_069_225	GLUTAMATESYN-RXN
S_S2_Cc_069_226	RXN-11290
S_S2_Cc_069_227	RXN-11290
S_S2_Cc_069_228	RXN0-302
S_S2_Cc_069_229	RXN-11592
S_S2_Cc_069_230	RXN-12752
S_S2_Cc_069_230	RXN-13142
S_S2_Cc_069_231	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Cc_069_232	1.11.1.15-RXN
S_S2_Cc_069_232	RXN0-5468
S_S2_Cc_069_233	PPPGPPHYDRO-RXN
S_S2_Cc_069_234	3.4.23.36-RXN
S_S2_Cc_069_235	3.4.23.36-RXN
S_S2_Cc_069_236	ISOLEUCINE--TRNA-LIGASE-RXN
S_S2_Cc_069_237	PANTOTHENATE-KIN-RXN
S_S2_Cc_069_238	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S2_Cc_069_239	GALACTOKIN-RXN
S_S2_Cc_069_240	3.1.11.2-RXN
S_S2_Cc_069_241	NAG6PDEACET-RXN
S_S2_Cc_069_241	3.5.1.80-RXN
S_S2_Cc_069_243	POLYPHOSPHATE-KINASE-RXN
S_S2_Cc_069_244	EXOPOLYPHOSPHATASE-RXN
S_S2_Cc_069_245	3.4.11.18-RXN
S_S2_Cc_069_246	3.4.11.18-RXN
S_S2_Cc_069_247	NAD-KIN-RXN
S_S2_Cc_069_248	RXN-14025
S_S2_Cc_069_248	RXN-14026
S_S2_Cc_069_248	RXN-7607
S_S2_Cc_069_248	RXN-7609
S_S2_Cc_069_248	AMP-DEPHOSPHORYLATION-RXN
S_S2_Cc_069_248	5-NUCLEOTID-RXN
S_S2_Cc_069_248	RXN-14227
S_S2_Cc_069_248	RXN-5841
S_S2_Cc_069_248	XMPXAN-RXN
S_S2_Cc_069_249	RXN0-2921
S_S2_Cc_069_249	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S2_Cc_069_249	FORMYLTHFGLUSYNTH-RXN
S_S2_Cc_069_250	DIHYDROFOLATESYNTH-RXN
S_S2_Cc_069_251	GLUTDEHYD-RXN
S_S2_Cc_069_252	PYRUVFORMLY-RXN
S_S2_Cc_069_254	ALDOSE1EPIM-RXN
