S_S5_Ea_103_1	NADH-DEHYDROG-A-RXN
S_S5_Ea_103_338	RXN-9365
S_S5_Ea_103_339	RXN-11047
S_S5_Ea_103_339	RXN-9217
S_S5_Ea_103_339	DMK-RXN
S_S5_Ea_103_339	RXN-9358
S_S5_Ea_103_339	RXN-9359
S_S5_Ea_103_339	RXN-9204
S_S5_Ea_103_339	RXN-9190
S_S5_Ea_103_339	RXN-9360
S_S5_Ea_103_339	RXN-9365
S_S5_Ea_103_340	RXN-11047
S_S5_Ea_103_340	RXN-9217
S_S5_Ea_103_340	DMK-RXN
S_S5_Ea_103_340	RXN-9358
S_S5_Ea_103_340	RXN-9359
S_S5_Ea_103_340	RXN-9204
S_S5_Ea_103_340	RXN-9190
S_S5_Ea_103_340	RXN-9360
S_S5_Ea_103_340	RXN-9365
S_S5_Ea_103_341	RXN-11047
S_S5_Ea_103_341	RXN-9217
S_S5_Ea_103_341	DMK-RXN
S_S5_Ea_103_341	RXN-9358
S_S5_Ea_103_341	RXN-9359
S_S5_Ea_103_341	RXN-9204
S_S5_Ea_103_341	RXN-9190
S_S5_Ea_103_341	RXN-9360
S_S5_Ea_103_341	RXN-9365
S_S5_Ea_103_342	RXN0-5462
S_S5_Ea_103_343	SERINE--TRNA-LIGASE-RXN
S_S5_Ea_103_343	RXN0-2161
S_S5_Ea_103_344	FUMHYDR-RXN
S_S5_Ea_103_345	DIHYDRODIPICSYN-RXN
S_S5_Ea_103_346	DIHYDRODIPICSYN-RXN
S_S5_Ea_103_347	DIHYDRODIPICSYN-RXN
S_S5_Ea_103_348	RXN-14014
S_S5_Ea_103_349	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
S_S5_Ea_103_349	RXN-15635
S_S5_Ea_103_350	THREONINE--TRNA-LIGASE-RXN
S_S5_Ea_103_351	THREONINE--TRNA-LIGASE-RXN
S_S5_Ea_103_352	RXN-14712
S_S5_Ea_103_352	RXN-15521
S_S5_Ea_103_352	2.4.1.129-RXN
S_S5_Ea_103_352	RXN-11350
S_S5_Ea_103_352	RXN-11291
S_S5_Ea_103_352	RXN-16650
S_S5_Ea_103_352	RXN-11348
S_S5_Ea_103_353	RXN-14712
S_S5_Ea_103_353	RXN-15521
S_S5_Ea_103_353	2.4.1.129-RXN
S_S5_Ea_103_353	RXN-11350
S_S5_Ea_103_353	RXN-11291
S_S5_Ea_103_353	RXN-16650
S_S5_Ea_103_353	RXN-11348
S_S5_Ea_103_354	RXN-14712
S_S5_Ea_103_354	RXN-15521
S_S5_Ea_103_354	2.4.1.129-RXN
S_S5_Ea_103_354	RXN-11350
S_S5_Ea_103_354	RXN-11291
S_S5_Ea_103_354	RXN-16650
S_S5_Ea_103_354	RXN-11348
S_S5_Ea_103_355	GLYC3PDEHYDROGBIOSYN-RXN
S_S5_Ea_103_356	LYSINE--TRNA-LIGASE-RXN
S_S5_Ea_103_357	GMP-SYN-GLUT-RXN
S_S5_Ea_103_358	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S5_Ea_103_358	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S5_Ea_103_358	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S5_Ea_103_359	F16ALDOLASE-RXN
S_S5_Ea_103_359	RXN-8631
S_S5_Ea_103_360	F16ALDOLASE-RXN
S_S5_Ea_103_360	RXN-8631
S_S5_Ea_103_361	F16ALDOLASE-RXN
S_S5_Ea_103_361	RXN-8631
S_S5_Ea_103_362	F16ALDOLASE-RXN
S_S5_Ea_103_362	RXN-8631
S_S5_Ea_103_363	F16ALDOLASE-RXN
S_S5_Ea_103_363	RXN-8631
S_S5_Ea_103_364	F16ALDOLASE-RXN
S_S5_Ea_103_364	RXN-8631
S_S5_Ea_103_365	F16ALDOLASE-RXN
S_S5_Ea_103_365	RXN-8631
S_S5_Ea_103_366	DIAMINOPIMDECARB-RXN
S_S5_Ea_103_367	RXN0-1342
S_S5_Ea_103_368	PGLYCDEHYDROG-RXN
S_S5_Ea_103_369	PGLYCDEHYDROG-RXN
S_S5_Ea_103_370	PGLYCDEHYDROG-RXN
S_S5_Ea_103_374	ASPARAGINE--TRNA-LIGASE-RXN
S_S5_Ea_103_375	IMP-DEHYDROG-RXN
S_S5_Ea_103_376	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S5_Ea_103_377	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S5_Ea_103_378	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S5_Ea_103_379	PYRUFLAVREDUCT-RXN
S_S5_Ea_103_379	2-OXOBUTYRATE-SYNTHASE-RXN
S_S5_Ea_103_380	PYRUFLAVREDUCT-RXN
S_S5_Ea_103_380	2-OXOBUTYRATE-SYNTHASE-RXN
S_S5_Ea_103_381	DAHPSYN-RXN
S_S5_Ea_103_382	FADSYN-RXN
S_S5_Ea_103_383	RIBOFLAVINKIN-RXN
S_S5_Ea_103_384	RXN-11839
S_S5_Ea_103_385	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S5_Ea_103_387	RXN-1961
S_S5_Ea_103_388	RXN-1961
S_S5_Ea_103_389	PHOSACETYLTRANS-RXN
S_S5_Ea_103_390	IMIDPHOSDEHYD-RXN
S_S5_Ea_103_391	PRPPSYN-RXN
S_S5_Ea_103_392	PRPPSYN-RXN
S_S5_Ea_103_393	RIBOFLAVINSYNDEAM-RXN
S_S5_Ea_103_394	RIBOFLAVINSYNREDUC-RXN
S_S5_Ea_103_395	ORNITHINE-CYCLODEAMINASE-RXN
S_S5_Ea_103_396	4.1.1.81-RXN
S_S5_Ea_103_397	HISTAMINOTRANS-RXN
S_S5_Ea_103_398	RXN-7669
S_S5_Ea_103_398	GLYCOGEN-BRANCH-RXN
S_S5_Ea_103_398	RXN-7710
S_S5_Ea_103_398	RXN-14371
S_S5_Ea_103_398	RXN-14372
S_S5_Ea_103_399	RXN-13482
S_S5_Ea_103_399	ORNCARBAMTRANSFER-RXN
S_S5_Ea_103_400	2.7.3.9-RXN
S_S5_Ea_103_401	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S5_Ea_103_402	GLYCINE--TRNA-LIGASE-RXN
S_S5_Ea_103_403	GLYCINE--TRNA-LIGASE-RXN
S_S5_Ea_103_404	RXN-11833
S_S5_Ea_103_405	RXN-11833
S_S5_Ea_103_406	ABC-14-RXN
S_S5_Ea_103_406	ABC-12-RXN
S_S5_Ea_103_406	RXN0-3
S_S5_Ea_103_406	ABC-4-RXN
S_S5_Ea_103_406	TRANS-RXN-265
S_S5_Ea_103_406	ABC-3-RXN
S_S5_Ea_103_406	TRANS-RXN0-222
S_S5_Ea_103_406	ABC-13-RXN
S_S5_Ea_103_406	TRANS-RXN0-593
S_S5_Ea_103_406	3.6.3.21-RXN
S_S5_Ea_103_406	ABC-37-RXN
S_S5_Ea_103_407	ABC-14-RXN
S_S5_Ea_103_407	ABC-12-RXN
S_S5_Ea_103_407	RXN0-3
S_S5_Ea_103_407	ABC-4-RXN
S_S5_Ea_103_407	TRANS-RXN-265
S_S5_Ea_103_407	ABC-3-RXN
S_S5_Ea_103_407	TRANS-RXN0-222
S_S5_Ea_103_407	ABC-13-RXN
S_S5_Ea_103_407	TRANS-RXN0-593
S_S5_Ea_103_407	3.6.3.21-RXN
S_S5_Ea_103_407	ABC-37-RXN
S_S5_Ea_103_408	ABC-14-RXN
S_S5_Ea_103_408	ABC-12-RXN
S_S5_Ea_103_408	RXN0-3
S_S5_Ea_103_408	ABC-4-RXN
S_S5_Ea_103_408	TRANS-RXN-265
S_S5_Ea_103_408	ABC-3-RXN
S_S5_Ea_103_408	TRANS-RXN0-222
S_S5_Ea_103_408	ABC-13-RXN
S_S5_Ea_103_408	TRANS-RXN0-593
S_S5_Ea_103_408	3.6.3.21-RXN
S_S5_Ea_103_408	ABC-37-RXN
S_S5_Ea_103_409	ABC-14-RXN
S_S5_Ea_103_409	ABC-12-RXN
S_S5_Ea_103_409	RXN0-3
S_S5_Ea_103_409	ABC-4-RXN
S_S5_Ea_103_409	TRANS-RXN-265
S_S5_Ea_103_409	ABC-3-RXN
S_S5_Ea_103_409	TRANS-RXN0-222
S_S5_Ea_103_409	ABC-13-RXN
S_S5_Ea_103_409	TRANS-RXN0-593
S_S5_Ea_103_409	3.6.3.21-RXN
S_S5_Ea_103_409	ABC-37-RXN
S_S5_Ea_103_410	ABC-14-RXN
S_S5_Ea_103_410	ABC-12-RXN
S_S5_Ea_103_410	RXN0-3
S_S5_Ea_103_410	ABC-4-RXN
S_S5_Ea_103_410	TRANS-RXN-265
S_S5_Ea_103_410	ABC-3-RXN
S_S5_Ea_103_410	TRANS-RXN0-222
S_S5_Ea_103_410	ABC-13-RXN
S_S5_Ea_103_410	TRANS-RXN0-593
S_S5_Ea_103_410	3.6.3.21-RXN
S_S5_Ea_103_410	ABC-37-RXN
S_S5_Ea_103_411	ABC-14-RXN
S_S5_Ea_103_411	ABC-12-RXN
S_S5_Ea_103_411	RXN0-3
S_S5_Ea_103_411	ABC-4-RXN
S_S5_Ea_103_411	TRANS-RXN-265
S_S5_Ea_103_411	ABC-3-RXN
S_S5_Ea_103_411	TRANS-RXN0-222
S_S5_Ea_103_411	ABC-13-RXN
S_S5_Ea_103_411	TRANS-RXN0-593
S_S5_Ea_103_411	3.6.3.21-RXN
S_S5_Ea_103_411	ABC-37-RXN
S_S5_Ea_103_412	ABC-14-RXN
S_S5_Ea_103_412	ABC-12-RXN
S_S5_Ea_103_412	RXN0-3
S_S5_Ea_103_412	ABC-4-RXN
S_S5_Ea_103_412	TRANS-RXN-265
S_S5_Ea_103_412	ABC-3-RXN
S_S5_Ea_103_412	TRANS-RXN0-222
S_S5_Ea_103_412	ABC-13-RXN
S_S5_Ea_103_412	TRANS-RXN0-593
S_S5_Ea_103_412	3.6.3.21-RXN
S_S5_Ea_103_412	ABC-37-RXN
S_S5_Ea_103_413	RXN-15006
S_S5_Ea_103_413	N-ACETYLGLUTPREDUCT-RXN
S_S5_Ea_103_414	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_S5_Ea_103_415	PRIBFAICARPISOM-RXN
S_S5_Ea_103_416	RXN-11598
S_S5_Ea_103_417	DIHYDROFOLATEREDUCT-RXN
S_S5_Ea_103_418	THIAZOLSYN3-RXN
S_S5_Ea_103_419	SHIKIMATE-KINASE-RXN
S_S5_Ea_103_420	RXN-16076
S_S5_Ea_103_420	RXN-16077
S_S5_Ea_103_420	RXN-16032
S_S5_Ea_103_420	RXN-16118
S_S5_Ea_103_420	RXN-15043
S_S5_Ea_103_420	RXN0-6705
S_S5_Ea_103_420	RXN-16067
S_S5_Ea_103_420	RXN-16066
S_S5_Ea_103_420	RXN-16025
S_S5_Ea_103_420	RXN0-5514
S_S5_Ea_103_420	RXN-1623
S_S5_Ea_103_420	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S5_Ea_103_421	3.1.26.3-RXN
S_S5_Ea_103_422	RXN-11637
S_S5_Ea_103_423	HISTCYCLOHYD-RXN
S_S5_Ea_103_424	RXN-8001
S_S5_Ea_103_425	RXN-14569
S_S5_Ea_103_426	RXN0-1321
S_S5_Ea_103_426	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S5_Ea_103_427	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S5_Ea_103_428	VALINE--TRNA-LIGASE-RXN
S_S5_Ea_103_429	PREPHENATEDEHYDROG-RXN
S_S5_Ea_103_430	DCMP-DEAMINASE-RXN
S_S5_Ea_103_431	RXN-7913
S_S5_Ea_103_431	RXN-11832
S_S5_Ea_103_432	THREDEHYD-RXN
S_S5_Ea_103_433	THREDEHYD-RXN
S_S5_Ea_103_434	THREDEHYD-RXN
S_S5_Ea_103_435	DIAMINOPIMELATE-DEHYDROGENASE-RXN
S_S5_Ea_103_436	R345-RXN
S_S5_Ea_103_437	COBALAMINSYN-RXN
S_S5_Ea_103_437	COBALAMIN5PSYN-RXN
S_S5_Ea_103_438	DARAB5PISOM-RXN
S_S5_Ea_103_439	RXN-6261
S_S5_Ea_103_439	6.3.1.10-RXN
S_S5_Ea_103_440	SERINE-O-ACETTRAN-RXN
S_S5_Ea_103_441	GLUTSEMIALDEHYDROG-RXN
S_S5_Ea_103_442	GLUTKIN-RXN
S_S5_Ea_103_443	GLUTKIN-RXN
S_S5_Ea_103_444	2TRANSKETO-RXN
S_S5_Ea_103_444	1TRANSKETO-RXN
S_S5_Ea_103_445	2TRANSKETO-RXN
S_S5_Ea_103_445	1TRANSKETO-RXN
S_S5_Ea_103_446	2TRANSKETO-RXN
S_S5_Ea_103_446	1TRANSKETO-RXN
S_S5_Ea_103_447	2TRANSKETO-RXN
S_S5_Ea_103_447	1TRANSKETO-RXN
S_S5_Ea_103_448	2TRANSKETO-RXN
S_S5_Ea_103_448	1TRANSKETO-RXN
S_S5_Ea_103_449	SAICARSYN-RXN
S_S5_Ea_103_450	SAICARSYN-RXN
S_S5_Ea_103_451	4.2.99.18-RXN
S_S5_Ea_103_451	RXN0-2601
S_S5_Ea_103_452	ARGSUCCINSYN-RXN
S_S5_Ea_103_452	RXN-10
S_S5_Ea_103_453	1.8.1.4-RXN
S_S5_Ea_103_453	RXN0-1132
S_S5_Ea_103_453	RXN-7719
S_S5_Ea_103_453	RXN-8629
S_S5_Ea_103_453	RXN-7716
S_S5_Ea_103_454	1.8.1.4-RXN
S_S5_Ea_103_454	RXN0-1132
S_S5_Ea_103_454	RXN-7719
S_S5_Ea_103_454	RXN-8629
S_S5_Ea_103_454	RXN-7716
S_S5_Ea_103_455	TRIOSEPISOMERIZATION-RXN
S_S5_Ea_103_456	TRIOSEPISOMERIZATION-RXN
S_S5_Ea_103_457	TRIOSEPISOMERIZATION-RXN
S_S5_Ea_103_458	GLUTDECARBOX-RXN
S_S5_Ea_103_459	GLUTDECARBOX-RXN
S_S5_Ea_103_460	GLUTDECARBOX-RXN
S_S5_Ea_103_461	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_Ea_103_462	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_Ea_103_463	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_Ea_103_464	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S5_Ea_103_465	AMPSYN-RXN
S_S5_Ea_103_465	AICARSYN-RXN
S_S5_Ea_103_466	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S5_Ea_103_467	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S5_Ea_103_468	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S5_Ea_103_468	RXN0-748
S_S5_Ea_103_468	RXN0-747
S_S5_Ea_103_468	GDPREDUCT-RXN
S_S5_Ea_103_468	ADPREDUCT-RXN
S_S5_Ea_103_468	RXN0-722
S_S5_Ea_103_468	CDPREDUCT-RXN
S_S5_Ea_103_468	UDPREDUCT-RXN
S_S5_Ea_103_468	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S5_Ea_103_469	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S5_Ea_103_469	RXN0-748
S_S5_Ea_103_469	RXN0-747
S_S5_Ea_103_469	GDPREDUCT-RXN
S_S5_Ea_103_469	ADPREDUCT-RXN
S_S5_Ea_103_469	RXN0-722
S_S5_Ea_103_469	CDPREDUCT-RXN
S_S5_Ea_103_469	UDPREDUCT-RXN
S_S5_Ea_103_469	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S5_Ea_103_470	ASPARTATEKIN-RXN
S_S5_Ea_103_471	HOMOSERDEHYDROG-RXN
S_S5_Ea_103_472	HOMOCYSMETB12-RXN
S_S5_Ea_103_473	3.4.11.4-RXN
S_S5_Ea_103_474	3.4.11.4-RXN
S_S5_Ea_103_475	ISOCITDEH-RXN
S_S5_Ea_103_476	2.7.7.8-RXN
S_S5_Ea_103_477	GUANPRIBOSYLTRAN-RXN
S_S5_Ea_103_477	HYPOXANPRIBOSYLTRAN-RXN
S_S5_Ea_103_478	GUANPRIBOSYLTRAN-RXN
S_S5_Ea_103_478	HYPOXANPRIBOSYLTRAN-RXN
S_S5_Ea_103_479	RXN-9382
S_S5_Ea_103_480	RXN-9382
S_S5_Ea_103_481	DTMPKI-RXN
S_S5_Ea_103_482	RXN-9655
S_S5_Ea_103_482	RXN-10061
S_S5_Ea_103_482	RXN1G-760
S_S5_Ea_103_482	RXN-10656
S_S5_Ea_103_482	RXN1G-220
S_S5_Ea_103_482	RXN-9537
S_S5_Ea_103_482	RXN-9533
S_S5_Ea_103_482	RXN-9557
S_S5_Ea_103_482	4.2.1.61-RXN
S_S5_Ea_103_482	RXN1G-884
S_S5_Ea_103_482	RXN1G-648
S_S5_Ea_103_482	RXN1G-645
S_S5_Ea_103_482	RXN-16623
S_S5_Ea_103_482	RXN1G-355
S_S5_Ea_103_482	RXN1G-377
S_S5_Ea_103_482	RXN1G-27
S_S5_Ea_103_482	4.2.1.59-RXN
S_S5_Ea_103_482	RXN1G-214
S_S5_Ea_103_482	RXN1G-294
S_S5_Ea_103_482	RXN-11481
S_S5_Ea_103_482	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
S_S5_Ea_103_482	RXN1G-279
S_S5_Ea_103_482	RXN1G-1004
S_S5_Ea_103_482	RXN1G-912
S_S5_Ea_103_482	RXN-10660
S_S5_Ea_103_482	RXN-16627
S_S5_Ea_103_482	RXN-9520
S_S5_Ea_103_482	RXN1G-266
S_S5_Ea_103_482	RXN1G-1081
S_S5_Ea_103_482	RXN1G-1084
S_S5_Ea_103_482	RXN1G-420
S_S5_Ea_103_482	RXN1G-425
S_S5_Ea_103_482	RXN1G-1278
S_S5_Ea_103_482	RXN0-2144
S_S5_Ea_103_482	RXN1G-440
S_S5_Ea_103_482	RXN1G-127
S_S5_Ea_103_482	RXN1G-464
S_S5_Ea_103_482	RXN-16631
S_S5_Ea_103_482	RXN-16619
S_S5_Ea_103_482	RXN1G-363
S_S5_Ea_103_482	RXN1G-554
S_S5_Ea_103_482	RXN1G-309
S_S5_Ea_103_482	RXN1G-308
S_S5_Ea_103_482	RXN1G-320
S_S5_Ea_103_482	RXN1G-188
S_S5_Ea_103_482	RXN1G-517
S_S5_Ea_103_482	RXN-11477
S_S5_Ea_103_482	4.2.1.58-RXN
S_S5_Ea_103_482	RXN-9634
S_S5_Ea_103_483	RXN-9655
S_S5_Ea_103_483	RXN-10061
S_S5_Ea_103_483	RXN1G-760
S_S5_Ea_103_483	RXN-10656
S_S5_Ea_103_483	RXN1G-220
S_S5_Ea_103_483	RXN-9537
S_S5_Ea_103_483	RXN-9533
S_S5_Ea_103_483	RXN-9557
S_S5_Ea_103_483	4.2.1.61-RXN
S_S5_Ea_103_483	RXN1G-884
S_S5_Ea_103_483	RXN1G-648
S_S5_Ea_103_483	RXN1G-645
S_S5_Ea_103_483	RXN-16623
S_S5_Ea_103_483	RXN1G-355
S_S5_Ea_103_483	RXN1G-377
S_S5_Ea_103_483	RXN1G-27
S_S5_Ea_103_483	4.2.1.59-RXN
S_S5_Ea_103_483	RXN1G-214
S_S5_Ea_103_483	RXN1G-294
S_S5_Ea_103_483	RXN-11481
S_S5_Ea_103_483	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
S_S5_Ea_103_483	RXN1G-279
S_S5_Ea_103_483	RXN1G-1004
S_S5_Ea_103_483	RXN1G-912
S_S5_Ea_103_483	RXN-10660
S_S5_Ea_103_483	RXN-16627
S_S5_Ea_103_483	RXN-9520
S_S5_Ea_103_483	RXN1G-266
S_S5_Ea_103_483	RXN1G-1081
S_S5_Ea_103_483	RXN1G-1084
S_S5_Ea_103_483	RXN1G-420
S_S5_Ea_103_483	RXN1G-425
S_S5_Ea_103_483	RXN1G-1278
S_S5_Ea_103_483	RXN0-2144
S_S5_Ea_103_483	RXN1G-440
S_S5_Ea_103_483	RXN1G-127
S_S5_Ea_103_483	RXN1G-464
S_S5_Ea_103_483	RXN-16631
S_S5_Ea_103_483	RXN-16619
S_S5_Ea_103_483	RXN1G-363
S_S5_Ea_103_483	RXN1G-554
S_S5_Ea_103_483	RXN1G-309
S_S5_Ea_103_483	RXN1G-308
S_S5_Ea_103_483	RXN1G-320
S_S5_Ea_103_483	RXN1G-188
S_S5_Ea_103_483	RXN1G-517
S_S5_Ea_103_483	RXN-11477
S_S5_Ea_103_483	4.2.1.58-RXN
S_S5_Ea_103_483	RXN-9634
S_S5_Ea_103_484	RXN-10781
S_S5_Ea_103_484	RXN-5424
S_S5_Ea_103_484	METHANOL-DEHYDROGENASE-RXN
S_S5_Ea_103_484	RXN-15818
S_S5_Ea_103_484	RXN3O-4113
S_S5_Ea_103_484	RXN-12448
S_S5_Ea_103_484	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ea_103_484	RXN-7694
S_S5_Ea_103_484	RXN-7693
S_S5_Ea_103_484	RXN-7657
S_S5_Ea_103_484	ALCOHOL-DEHYDROG-RXN
S_S5_Ea_103_484	RXN-7700
S_S5_Ea_103_484	RXN-7706
S_S5_Ea_103_484	RXN-10911
S_S5_Ea_103_484	RXN-10915
S_S5_Ea_103_484	RXN66-478
S_S5_Ea_103_484	RXN-15823
S_S5_Ea_103_484	RXN-13198
S_S5_Ea_103_485	RXN-10781
S_S5_Ea_103_485	RXN-5424
S_S5_Ea_103_485	METHANOL-DEHYDROGENASE-RXN
S_S5_Ea_103_485	RXN-15818
S_S5_Ea_103_485	RXN3O-4113
S_S5_Ea_103_485	RXN-12448
S_S5_Ea_103_485	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ea_103_485	RXN-7694
S_S5_Ea_103_485	RXN-7693
S_S5_Ea_103_485	RXN-7657
S_S5_Ea_103_485	ALCOHOL-DEHYDROG-RXN
S_S5_Ea_103_485	RXN-7700
S_S5_Ea_103_485	RXN-7706
S_S5_Ea_103_485	RXN-10911
S_S5_Ea_103_485	RXN-10915
S_S5_Ea_103_485	RXN66-478
S_S5_Ea_103_485	RXN-15823
S_S5_Ea_103_485	RXN-13198
S_S5_Ea_103_486	RXN-10781
S_S5_Ea_103_486	RXN-5424
S_S5_Ea_103_486	METHANOL-DEHYDROGENASE-RXN
S_S5_Ea_103_486	RXN-15818
S_S5_Ea_103_486	RXN3O-4113
S_S5_Ea_103_486	RXN-12448
S_S5_Ea_103_486	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ea_103_486	RXN-7694
S_S5_Ea_103_486	RXN-7693
S_S5_Ea_103_486	RXN-7657
S_S5_Ea_103_486	ALCOHOL-DEHYDROG-RXN
S_S5_Ea_103_486	RXN-7700
S_S5_Ea_103_486	RXN-7706
S_S5_Ea_103_486	RXN-10911
S_S5_Ea_103_486	RXN-10915
S_S5_Ea_103_486	RXN66-478
S_S5_Ea_103_486	RXN-15823
S_S5_Ea_103_486	RXN-13198
S_S5_Ea_103_487	RXN-10781
S_S5_Ea_103_487	RXN-5424
S_S5_Ea_103_487	METHANOL-DEHYDROGENASE-RXN
S_S5_Ea_103_487	RXN-15818
S_S5_Ea_103_487	RXN3O-4113
S_S5_Ea_103_487	RXN-12448
S_S5_Ea_103_487	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ea_103_487	RXN-7694
S_S5_Ea_103_487	RXN-7693
S_S5_Ea_103_487	RXN-7657
S_S5_Ea_103_487	ALCOHOL-DEHYDROG-RXN
S_S5_Ea_103_487	RXN-7700
S_S5_Ea_103_487	RXN-7706
S_S5_Ea_103_487	RXN-10911
S_S5_Ea_103_487	RXN-10915
S_S5_Ea_103_487	RXN66-478
S_S5_Ea_103_487	RXN-15823
S_S5_Ea_103_487	RXN-13198
S_S5_Ea_103_488	RXN-10781
S_S5_Ea_103_488	RXN-5424
S_S5_Ea_103_488	METHANOL-DEHYDROGENASE-RXN
S_S5_Ea_103_488	RXN-15818
S_S5_Ea_103_488	RXN3O-4113
S_S5_Ea_103_488	RXN-12448
S_S5_Ea_103_488	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ea_103_488	RXN-7694
S_S5_Ea_103_488	RXN-7693
S_S5_Ea_103_488	RXN-7657
S_S5_Ea_103_488	ALCOHOL-DEHYDROG-RXN
S_S5_Ea_103_488	RXN-7700
S_S5_Ea_103_488	RXN-7706
S_S5_Ea_103_488	RXN-10911
S_S5_Ea_103_488	RXN-10915
S_S5_Ea_103_488	RXN66-478
S_S5_Ea_103_488	RXN-15823
S_S5_Ea_103_488	RXN-13198
S_S5_Ea_103_489	RXN-10781
S_S5_Ea_103_489	RXN-5424
S_S5_Ea_103_489	METHANOL-DEHYDROGENASE-RXN
S_S5_Ea_103_489	RXN-15818
S_S5_Ea_103_489	RXN3O-4113
S_S5_Ea_103_489	RXN-12448
S_S5_Ea_103_489	ALCOHOL-DEHYDROG-GENERIC-RXN
S_S5_Ea_103_489	RXN-7694
S_S5_Ea_103_489	RXN-7693
S_S5_Ea_103_489	RXN-7657
S_S5_Ea_103_489	ALCOHOL-DEHYDROG-RXN
S_S5_Ea_103_489	RXN-7700
S_S5_Ea_103_489	RXN-7706
S_S5_Ea_103_489	RXN-10911
S_S5_Ea_103_489	RXN-10915
S_S5_Ea_103_489	RXN66-478
S_S5_Ea_103_489	RXN-15823
S_S5_Ea_103_489	RXN-13198
S_S5_Ea_103_490	CHORISMATE-SYNTHASE-RXN
S_S5_Ea_103_491	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S5_Ea_103_492	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S5_Ea_103_493	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_S5_Ea_103_494	PGLUCISOM-RXN
S_S5_Ea_103_494	RXN-6182
S_S5_Ea_103_494	RXN-13720
S_S5_Ea_103_495	RXN66-546
S_S5_Ea_103_495	PYRROLINECARBREDUCT-RXN
S_S5_Ea_103_496	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S5_Ea_103_497	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S5_Ea_103_498	NICONUCADENYLYLTRAN-RXN
S_S5_Ea_103_499	TRNA-NUCLEOTIDYLTRANSFERASE-RXN
S_S5_Ea_103_499	RXN0-6482
S_S5_Ea_103_499	RXN0-6481
S_S5_Ea_103_500	PANTOATE-BETA-ALANINE-LIG-RXN
S_S5_Ea_103_501	2-DEHYDROPANTOATE-REDUCT-RXN
S_S5_Ea_103_502	FORMATETHFLIG-RXN
S_S5_Ea_103_503	GLYRIBONUCSYN-RXN
S_S5_Ea_103_504	DIOHBUTANONEPSYN-RXN
S_S5_Ea_103_505	GTP-CYCLOHYDRO-II-RXN
S_S5_Ea_103_506	LUMAZINESYN-RXN
S_S5_Ea_103_507	RXN-11586
S_S5_Ea_103_508	RXN0-5189
S_S5_Ea_103_509	RXN0-5189
S_S5_Ea_103_510	RXN-9939
S_S5_Ea_103_510	SPERMACTRAN-RXN
S_S5_Ea_103_510	DIAMACTRANS-RXN
S_S5_Ea_103_510	RXN-0
S_S5_Ea_103_511	RXN-9939
S_S5_Ea_103_511	SPERMACTRAN-RXN
S_S5_Ea_103_511	DIAMACTRANS-RXN
S_S5_Ea_103_511	RXN-0
S_S5_Ea_103_512	RXN-11601
S_S5_Ea_103_513	RXN-11601
S_S5_Ea_103_514	RIBOFLAVIN-SYN-RXN
S_S5_Ea_103_515	PROLINE--TRNA-LIGASE-RXN
S_S5_Ea_103_516	RXN-14992
S_S5_Ea_103_517	DIAMINOPIMEPIM-RXN
S_S5_Ea_103_518	ARGSUCCINLYA-RXN
S_S5_Ea_103_518	RXN-22
S_S5_Ea_103_519	3.1.21.2-RXN
