S_S5_Ea_103_1	NADH-DEHYDROG-A-RXN
S_S5_Ea_103_33	TRANS-RXN-2
S_S5_Ea_103_33	3.6.3.12-RXN
S_S5_Ea_103_34	TRANS-RXN-2
S_S5_Ea_103_34	3.6.3.12-RXN
S_S5_Ea_103_35	TRANS-RXN-2
S_S5_Ea_103_35	3.6.3.12-RXN
S_S5_Ea_103_36	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_Ea_103_37	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_Ea_103_38	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_Ea_103_39	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S5_Ea_103_40	2.7.13.3-RXN
S_S5_Ea_103_41	2.7.13.3-RXN
S_S5_Ea_103_42	2.7.13.3-RXN
S_S5_Ea_103_43	2.7.13.3-RXN
S_S5_Ea_103_44	2.7.13.3-RXN
S_S5_Ea_103_45	2.7.13.3-RXN
S_S5_Ea_103_46	2.7.13.3-RXN
S_S5_Ea_103_47	2.7.13.3-RXN
S_S5_Ea_103_48	2.7.13.3-RXN
S_S5_Ea_103_49	2.7.13.3-RXN
S_S5_Ea_103_50	2.7.13.3-RXN
S_S5_Ea_103_51	2.7.13.3-RXN
S_S5_Ea_103_52	2.7.13.3-RXN
S_S5_Ea_103_53	2.7.13.3-RXN
S_S5_Ea_103_54	RXN-14267
S_S5_Ea_103_54	RXN0-5225
S_S5_Ea_103_54	3.4.24.32-RXN
S_S5_Ea_103_55	GPH-RXN
S_S5_Ea_103_56	INORGPYROPHOSPHAT-RXN
S_S5_Ea_103_57	ANTHRANSYN-RXN
S_S5_Ea_103_58	ANTHRANSYN-RXN
S_S5_Ea_103_59	ANTHRANSYN-RXN
S_S5_Ea_103_60	PROTEIN-KINASE-RXN
S_S5_Ea_103_61	RXN-11065
S_S5_Ea_103_61	3.4.16.4-RXN
S_S5_Ea_103_61	RXN-16649
S_S5_Ea_103_61	RXN-11351
S_S5_Ea_103_61	RXN-16659
S_S5_Ea_103_61	RXN-11302
S_S5_Ea_103_62	RXN-11065
S_S5_Ea_103_62	3.4.16.4-RXN
S_S5_Ea_103_62	RXN-16649
S_S5_Ea_103_62	RXN-11351
S_S5_Ea_103_62	RXN-16659
S_S5_Ea_103_62	RXN-11302
S_S5_Ea_103_63	RXN-11065
S_S5_Ea_103_63	3.4.16.4-RXN
S_S5_Ea_103_63	RXN-16649
S_S5_Ea_103_63	RXN-11351
S_S5_Ea_103_63	RXN-16659
S_S5_Ea_103_63	RXN-11302
S_S5_Ea_103_64	RXN-11065
S_S5_Ea_103_64	3.4.16.4-RXN
S_S5_Ea_103_64	RXN-16649
S_S5_Ea_103_64	RXN-11351
S_S5_Ea_103_64	RXN-16659
S_S5_Ea_103_64	RXN-11302
S_S5_Ea_103_65	RXN-11109
S_S5_Ea_103_66	RXN-11109
S_S5_Ea_103_67	RXN-13202
S_S5_Ea_103_67	CARBPSYN-RXN
S_S5_Ea_103_68	RXN-13202
S_S5_Ea_103_68	CARBPSYN-RXN
S_S5_Ea_103_69	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_Ea_103_70	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_Ea_103_71	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_Ea_103_72	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_Ea_103_73	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S5_Ea_103_74	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ea_103_75	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ea_103_76	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ea_103_77	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S5_Ea_103_78	2-ISOPROPYLMALATESYN-RXN
S_S5_Ea_103_79	RXN-11602
S_S5_Ea_103_80	TRYPSYN-RXN
S_S5_Ea_103_81	TRYPSYN-RXN
S_S5_Ea_103_82	6.3.5.6-RXN
S_S5_Ea_103_83	6.3.5.6-RXN
S_S5_Ea_103_84	6.3.5.6-RXN
S_S5_Ea_103_85	6.3.5.7-RXN
S_S5_Ea_103_86	6.3.5.7-RXN
S_S5_Ea_103_87	6.3.5.7-RXN
S_S5_Ea_103_88	6PFRUCTPHOS-RXN
S_S5_Ea_103_89	RXN0-2584
S_S5_Ea_103_90	RXN0-2584
S_S5_Ea_103_91	RXN-11591
S_S5_Ea_103_92	ATPSYN-RXN
S_S5_Ea_103_93	ATPSYN-RXN
S_S5_Ea_103_94	ATPSYN-RXN
S_S5_Ea_103_96	RXN-12104
S_S5_Ea_103_97	1.5.1.20-RXN
S_S5_Ea_103_98	FGAMSYN-RXN
S_S5_Ea_103_99	FGAMSYN-RXN
S_S5_Ea_103_100	FGAMSYN-RXN
S_S5_Ea_103_101	3.1.26.4-RXN
S_S5_Ea_103_102	3.1.26.4-RXN
S_S5_Ea_103_103	3.1.26.4-RXN
S_S5_Ea_103_104	3.1.3.16-RXN
S_S5_Ea_103_105	3.1.3.16-RXN
S_S5_Ea_103_106	2.7.8.12-RXN
S_S5_Ea_103_106	TEICHOICSYN4-RXN
S_S5_Ea_103_107	RXN-16024
S_S5_Ea_103_107	RXN-16117
S_S5_Ea_103_107	RXN-10462
S_S5_Ea_103_107	RXN-13805
S_S5_Ea_103_107	RXN-1381
S_S5_Ea_103_107	RXN-15045
S_S5_Ea_103_108	RXN-16024
S_S5_Ea_103_108	RXN-16117
S_S5_Ea_103_108	RXN-10462
S_S5_Ea_103_108	RXN-13805
