sample	weighted_NSTI
Plate5_048R_S2_R_Female_week5_S61_L001	0.0008620062311315981
Plate5_048R_S2_R_Female_week9_S75_L001	0.0017556329014244854
Plate5_1050R_S2_L_Male_week5_S68_L001	0.000910923922897875
Plate5_1050R_S2_L_Male_week9_S82_L001	0.0011146095686477373
Plate5_1050R_S2_RR_Male_week5_S70_L001	0.0006896191064186674
Plate5_1050R_S2_RR_Male_week9_S84_L001	0.0011241333518243802
Plate5_1050R_S2_R_Male_week5_S69_L001	0.000760408278451358
Plate5_1050R_S2_R_Male_week9_S83_L001	0.001063468100472463
Plate5_1127R_S2_0_Female_week5_S62_L001	0.0008829570856023036
Plate5_1127R_S2_0_Female_week9_S76_L001	0.0010784448368995338
Plate5_1127R_S2_R_Female_week5_S63_L001	0.0012242242796186205
Plate5_1127R_S2_R_Female_week9_S77_L001	0.0010083786256412505
Plate5_2514R_S2_L_Male_week5_S71_L001	0.000788396250565169
Plate5_2514R_S2_L_Male_week9_S85_L001	0.001228663288543028
Plate5_2514R_S2_R_Male_week5_S72_L001	0.00048388945088401083
Plate5_2514R_S2_R_Male_week9_S86_L001	0.0019453929777917334
Plate5_3995R_S2_0_Female_week5_S64_L001	0.000863648024446483
Plate5_3995R_S2_0_Female_week9_S78_L001	0.0010700451171466346
Plate5_3995R_S2_L_Female_week5_S65_L001	0.0007804631558332991
Plate5_3995R_S2_L_Female_week9_S79_L001	0.0016171053213794972
Plate5_3995R_S2_RR_Female_week5_S67_L001	0.0007421513156263725
Plate5_3995R_S2_RR_Female_week9_S81_L001	0.0013634314285968798
Plate5_3995R_S2_R_Female_week5_S66_L001	0.0009153302294284629
Plate5_3995R_S2_R_Female_week9_S80_L001	0.0012760757509907722
Plate5_3997R_S2_L_Male_week5_S73_L001	0.000839740477456304
Plate5_3997R_S2_L_Male_week9_S87_L001	0.0017662671241044836
Plate5_3997R_S2_R_Male_week5_S74_L001	0.0007994090462402857
Plate5_3997R_S2_R_Male_week9_S88_L001	0.0012650593851057381
