"kingdom_final"	"phylum_final"	"class_final"	"order_final"	"family_final"	"genus_final"	"species_final"
"ASVp1_121"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp1_126"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Flavonifractor"	"plautii"
"ASVp1_128"	"Bacteria"	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Bifidobacteriaceae"	"Bifidobacterium"	"adolescentis"
"ASVp1_133"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"merdae"
"ASVp1_135"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"Instestinimonas_A"	"celer"
"ASVp3_1"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	"muciniphila"
"ASVp3_2"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"dorei"
"ASVp3_3"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Hungatella"	"effluvii"
"ASVp3_4"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp3_5"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp3_6"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"coli"
"ASVp3_7"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Phocaeicola"	"vulgatus"
"ASVp3_8"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Eisenbergiella"	"tayi"
"ASVp3_9"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	"finegoldii"
"ASVp3_10"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"distasonis"
"ASVp3_11"	"Bacteria"	"Bacillota_A"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Enterocloster"	"bolteae/clostridioformis"
