S_S2_Bs_063_70	3.5.1.28
S_S2_Bs_063_71	3.5.1.28
S_S2_Bs_063_72	3.5.1.28
S_S2_Bs_063_73	3.5.1.28
S_S2_Bs_063_74	3.6.1.1
S_S2_Bs_063_75	3.6.1.1
S_S2_Bs_063_76	4.1.3.27
S_S2_Bs_063_77	4.1.3.27
S_S2_Bs_063_78	2.7.11.1
S_S2_Bs_063_79	2.7.11.1
S_S2_Bs_063_80	2.7.11.1
S_S2_Bs_063_81	2.7.11.1
S_S2_Bs_063_82	2.7.11.1
S_S2_Bs_063_83	2.7.11.1
S_S2_Bs_063_84	3.4.16.4
S_S2_Bs_063_85	3.4.16.4
S_S2_Bs_063_86	3.4.16.4
S_S2_Bs_063_87	3.4.16.4
S_S2_Bs_063_88	3.4.16.4
S_S2_Bs_063_89	3.4.16.4
S_S2_Bs_063_90	3.4.16.4
S_S2_Bs_063_91	3.4.16.4
S_S2_Bs_063_92	3.4.16.4
S_S2_Bs_063_93	3.4.16.4
S_S2_Bs_063_94	3.1.21.3
S_S2_Bs_063_95	3.1.21.3
S_S2_Bs_063_96	3.6.4.13
S_S2_Bs_063_97	3.6.4.13
S_S2_Bs_063_98	3.6.4.13
S_S2_Bs_063_99	6.3.5.5
S_S2_Bs_063_100	6.3.5.5
S_S2_Bs_063_101	6.3.5.5
S_S2_Bs_063_102	6.3.5.5
S_S2_Bs_063_103	1.8.1.2
S_S2_Bs_063_104	1.8.1.2
S_S2_Bs_063_105	3.1.3.48
S_S2_Bs_063_106	3.1.3.48
S_S2_Bs_063_107	3.1.3.48
S_S2_Bs_063_108	2.7.7.6
S_S2_Bs_063_109	2.7.7.6
S_S2_Bs_063_110	2.7.7.6
S_S2_Bs_063_111	2.7.7.6
S_S2_Bs_063_112	2.3.3.13
S_S2_Bs_063_113	2.1.1.191
S_S2_Bs_063_114	4.2.1.20
S_S2_Bs_063_115	4.2.1.20
S_S2_Bs_063_116	6.3.5.6
S_S2_Bs_063_117	6.3.5.6
S_S2_Bs_063_118	6.3.5.6
S_S2_Bs_063_119	6.3.5.7
S_S2_Bs_063_120	6.3.5.7
S_S2_Bs_063_121	6.3.5.7
S_S2_Bs_063_122	2.7.1.11
S_S2_Bs_063_123	3.2.2.27
S_S2_Bs_063_124	2.1.1.176
S_S2_Bs_063_125	3.6.3.14
S_S2_Bs_063_126	3.6.3.14
S_S2_Bs_063_127	3.6.3.14
S_S2_Bs_063_128	3.6.1.66
S_S2_Bs_063_129	3.6.1.66
S_S2_Bs_063_130	3.6.1.66
S_S2_Bs_063_131	1.17.99.6
S_S2_Bs_063_132	1.5.1.20
S_S2_Bs_063_133	6.3.5.3
S_S2_Bs_063_134	6.3.5.3
S_S2_Bs_063_135	6.3.5.3
S_S2_Bs_063_136	3.1.26.4
S_S2_Bs_063_137	3.1.26.4
S_S2_Bs_063_138	3.1.26.4
S_S2_Bs_063_139	3.1.26.4
S_S2_Bs_063_140	3.1.3.16
S_S2_Bs_063_141	3.1.3.16
S_S2_Bs_063_142	3.1.3.16
S_S2_Bs_063_143	2.7.8.12
S_S2_Bs_063_144	2.3.1.15
S_S2_Bs_063_145	2.3.1.15
S_S2_Bs_063_146	2.5.1.3
S_S2_Bs_063_147	2.3.1.79
S_S2_Bs_063_148	2.3.1.79
S_S2_Bs_063_149	6.1.1.20
S_S2_Bs_063_150	6.1.1.20
S_S2_Bs_063_151	5.3.1.12
S_S2_Bs_063_152	4.1.3.38
S_S2_Bs_063_153	1.3.5.1
S_S2_Bs_063_154	1.3.5.1
S_S2_Bs_063_155	3.6.3.34
S_S2_Bs_063_156	3.6.3.34
S_S2_Bs_063_157	3.6.3.34
S_S2_Bs_063_158	3.6.3.34
S_S2_Bs_063_159	3.6.3.34
S_S2_Bs_063_160	3.6.3.34
S_S2_Bs_063_161	6.3.2.4
S_S2_Bs_063_162	5.99.1.3
S_S2_Bs_063_163	5.99.1.3
S_S2_Bs_063_164	4.2.1.33
S_S2_Bs_063_165	4.2.1.33
S_S2_Bs_063_166	4.4.1.8
S_S2_Bs_063_167	4.4.1.8
S_S2_Bs_063_168	4.4.1.8
S_S2_Bs_063_169	2.5.1.47
S_S2_Bs_063_170	2.5.1.47
S_S2_Bs_063_171	2.5.1.47
S_S2_Bs_063_172	2.7.1.49
S_S2_Bs_063_173	2.7.1.49
S_S2_Bs_063_174	2.7.4.7
S_S2_Bs_063_175	2.7.4.7
S_S2_Bs_063_176	4.1.99.17
S_S2_Bs_063_177	6.3.1.2
S_S2_Bs_063_178	2.4.2.7
S_S2_Bs_063_179	2.7.4.3
S_S2_Bs_063_180	3.4.21.89
S_S2_Bs_063_181	3.4.21.89
S_S2_Bs_063_182	3.4.21.89
S_S2_Bs_063_183	3.4.21.89
S_S2_Bs_063_184	3.4.21.89
S_S2_Bs_063_185	2.8.1.7
S_S2_Bs_063_186	2.8.1.7
S_S2_Bs_063_187	2.8.1.7
S_S2_Bs_063_188	2.8.1.7
S_S2_Bs_063_189	3.6.3.27
S_S2_Bs_063_190	3.6.3.27
S_S2_Bs_063_191	2.7.7.4
S_S2_Bs_063_192	2.7.7.4
S_S2_Bs_063_193	2.3.1.1
S_S2_Bs_063_194	5.4.99.23
S_S2_Bs_063_195	5.4.99.23
S_S2_Bs_063_196	5.4.99.23
S_S2_Bs_063_197	5.1.3.2
S_S2_Bs_063_198	4.2.1.11
S_S2_Bs_063_199	3.2.1.22
S_S2_Bs_063_200	3.2.1.22
S_S2_Bs_063_201	3.2.1.22
S_S2_Bs_063_202	3.6.3.54
S_S2_Bs_063_203	1.2.4.1
S_S2_Bs_063_204	1.2.4.1
S_S2_Bs_063_205	1.8.4.12
S_S2_Bs_063_206	1.8.4.12
S_S2_Bs_063_207	1.8.4.11
S_S2_Bs_063_208	3.5.2.3
S_S2_Bs_063_209	3.6.1.55
S_S2_Bs_063_210	3.6.1.55
S_S2_Bs_063_211	3.6.1.55
S_S2_Bs_063_212	2.7.1.2
S_S2_Bs_063_213	2.7.1.2
S_S2_Bs_063_214	4.2.3.4
S_S2_Bs_063_215	4.2.1.35
