S_S5_He_108_114	2.7.13.3
S_S5_He_108_115	2.7.13.3
S_S5_He_108_116	2.7.13.3
S_S5_He_108_117	2.7.13.3
S_S5_He_108_118	2.7.13.3
S_S5_He_108_119	2.7.13.3
S_S5_He_108_120	2.7.13.3
S_S5_He_108_121	2.7.13.3
S_S5_He_108_122	2.7.13.3
S_S5_He_108_123	2.7.13.3
S_S5_He_108_124	2.7.13.3
S_S5_He_108_125	2.7.13.3
S_S5_He_108_126	2.7.13.3
S_S5_He_108_127	2.7.13.3
S_S5_He_108_128	3.5.1.28
S_S5_He_108_129	3.5.1.28
S_S5_He_108_130	3.5.1.28
S_S5_He_108_131	3.5.1.28
S_S5_He_108_132	3.5.1.28
S_S5_He_108_133	3.5.1.28
S_S5_He_108_134	3.5.1.28
S_S5_He_108_135	3.2.1.51
S_S5_He_108_136	3.2.1.51
S_S5_He_108_137	3.1.3.18
S_S5_He_108_138	3.1.3.18
S_S5_He_108_139	3.6.1.1
S_S5_He_108_140	3.6.1.1
S_S5_He_108_141	3.6.1.1
S_S5_He_108_142	3.6.1.1
S_S5_He_108_143	3.6.1.1
S_S5_He_108_144	4.1.3.27
S_S5_He_108_145	4.1.3.27
S_S5_He_108_146	4.1.3.27
S_S5_He_108_147	3.2.1.18
S_S5_He_108_148	2.7.11.1
S_S5_He_108_149	2.7.11.1
S_S5_He_108_150	2.7.11.1
S_S5_He_108_151	2.7.11.1
S_S5_He_108_152	2.7.11.1
S_S5_He_108_153	2.7.11.1
S_S5_He_108_154	2.7.11.1
S_S5_He_108_155	3.4.16.4
S_S5_He_108_156	3.4.16.4
S_S5_He_108_157	3.4.16.4
S_S5_He_108_158	3.4.16.4
S_S5_He_108_159	3.4.16.4
S_S5_He_108_160	3.4.16.4
S_S5_He_108_161	3.4.16.4
S_S5_He_108_162	3.4.16.4
S_S5_He_108_163	3.4.16.4
S_S5_He_108_164	3.4.16.4
S_S5_He_108_165	3.4.16.4
S_S5_He_108_166	3.4.16.4
S_S5_He_108_167	3.4.16.4
S_S5_He_108_168	3.4.16.4
S_S5_He_108_169	3.1.21.3
S_S5_He_108_170	3.6.4.13
S_S5_He_108_171	3.6.4.13
S_S5_He_108_172	3.6.4.13
S_S5_He_108_173	6.3.5.5
S_S5_He_108_174	6.3.5.5
S_S5_He_108_175	6.3.5.5
S_S5_He_108_176	6.3.5.5
S_S5_He_108_177	3.1.3.48
S_S5_He_108_178	3.1.3.48
S_S5_He_108_179	3.1.3.48
S_S5_He_108_180	2.7.7.6
S_S5_He_108_181	2.7.7.6
S_S5_He_108_182	2.7.7.6
S_S5_He_108_183	2.7.7.6
S_S5_He_108_184	2.3.3.13
S_S5_He_108_185	2.1.1.191
S_S5_He_108_186	4.2.1.20
S_S5_He_108_187	4.2.1.20
S_S5_He_108_188	4.2.1.20
S_S5_He_108_189	6.3.5.6
S_S5_He_108_190	6.3.5.6
S_S5_He_108_191	6.3.5.6
S_S5_He_108_192	6.3.5.7
S_S5_He_108_193	6.3.5.7
S_S5_He_108_194	6.3.5.7
S_S5_He_108_195	2.7.1.11
S_S5_He_108_196	2.7.1.11
S_S5_He_108_197	2.7.1.11
S_S5_He_108_198	2.7.1.11
S_S5_He_108_199	2.7.1.11
S_S5_He_108_200	2.7.1.11
S_S5_He_108_201	2.1.1.176
S_S5_He_108_202	3.6.3.14
S_S5_He_108_203	3.6.3.14
S_S5_He_108_204	3.6.3.14
S_S5_He_108_205	3.6.3.14
S_S5_He_108_206	3.6.3.14
S_S5_He_108_207	3.6.3.14
S_S5_He_108_208	3.6.1.66
S_S5_He_108_209	3.6.1.66
S_S5_He_108_210	1.17.99.6
S_S5_He_108_211	1.5.1.20
S_S5_He_108_212	1.5.1.20
S_S5_He_108_213	6.3.5.3
S_S5_He_108_214	3.1.26.4
S_S5_He_108_215	3.1.26.4
S_S5_He_108_216	3.1.26.4
S_S5_He_108_217	3.1.3.16
S_S5_He_108_218	3.1.3.16
S_S5_He_108_219	3.1.3.16
S_S5_He_108_220	3.1.3.16
S_S5_He_108_221	2.7.8.12
S_S5_He_108_222	2.3.1.15
S_S5_He_108_223	2.3.1.15
S_S5_He_108_224	2.5.1.3
S_S5_He_108_225	2.3.1.79
S_S5_He_108_226	2.3.1.79
S_S5_He_108_227	6.1.1.20
S_S5_He_108_228	6.1.1.20
S_S5_He_108_229	5.3.1.12
S_S5_He_108_230	5.3.1.12
S_S5_He_108_231	4.1.3.38
S_S5_He_108_232	3.6.3.34
S_S5_He_108_233	3.6.3.34
S_S5_He_108_234	3.6.3.34
S_S5_He_108_235	3.6.3.34
S_S5_He_108_236	2.7.7.13
S_S5_He_108_237	6.3.2.4
S_S5_He_108_238	6.3.2.4
S_S5_He_108_239	5.99.1.3
S_S5_He_108_240	5.99.1.3
S_S5_He_108_241	5.99.1.3
S_S5_He_108_242	5.99.1.3
S_S5_He_108_243	4.2.1.33
S_S5_He_108_244	4.2.1.33
S_S5_He_108_245	4.4.1.8
S_S5_He_108_246	4.4.1.8
S_S5_He_108_247	4.4.1.8
S_S5_He_108_248	4.4.1.8
S_S5_He_108_249	2.7.1.180
S_S5_He_108_250	2.5.1.49
S_S5_He_108_251	2.5.1.49
S_S5_He_108_252	2.5.1.49
S_S5_He_108_253	2.7.1.49
S_S5_He_108_254	2.7.4.7
S_S5_He_108_255	4.1.1.3
S_S5_He_108_256	4.1.1.3
S_S5_He_108_257	4.1.1.3
S_S5_He_108_258	6.3.1.2
S_S5_He_108_259	6.3.1.2
S_S5_He_108_260	6.3.1.2
S_S5_He_108_261	2.4.2.7
S_S5_He_108_262	2.4.2.7
S_S5_He_108_263	2.7.4.3
S_S5_He_108_264	3.4.21.89
S_S5_He_108_265	3.4.21.89
S_S5_He_108_266	3.4.21.89
S_S5_He_108_267	3.4.21.89
S_S5_He_108_268	3.4.21.89
S_S5_He_108_269	3.4.21.89
S_S5_He_108_270	3.4.21.89
S_S5_He_108_271	2.8.1.7
S_S5_He_108_272	2.8.1.7
S_S5_He_108_273	2.8.1.7
S_S5_He_108_274	3.6.3.27
S_S5_He_108_275	2.3.1.1
S_S5_He_108_276	2.3.1.1
S_S5_He_108_277	5.4.99.23
S_S5_He_108_278	5.4.99.23
S_S5_He_108_279	5.4.99.23
S_S5_He_108_280	5.1.3.2
S_S5_He_108_281	5.1.3.2
S_S5_He_108_282	5.1.3.2
S_S5_He_108_283	5.1.3.2
S_S5_He_108_284	4.2.1.11
S_S5_He_108_285	4.2.1.11
S_S5_He_108_286	3.2.1.22
S_S5_He_108_287	3.2.1.22
S_S5_He_108_288	3.2.1.22
S_S5_He_108_289	3.2.1.22
S_S5_He_108_290	3.2.1.22
S_S5_He_108_291	3.2.1.22
S_S5_He_108_292	1.1.98.6
S_S5_He_108_293	1.1.98.6
S_S5_He_108_294	1.1.98.6
S_S5_He_108_295	1.1.98.6
S_S5_He_108_296	3.6.3.54
S_S5_He_108_297	1.8.4.12
S_S5_He_108_298	1.8.4.11
S_S5_He_108_299	3.5.2.3
S_S5_He_108_300	3.6.1.55
S_S5_He_108_301	3.6.1.55
S_S5_He_108_302	3.6.1.55
S_S5_He_108_303	2.7.1.2
S_S5_He_108_304	2.7.1.2
S_S5_He_108_305	2.7.1.2
S_S5_He_108_306	2.7.1.2
S_S5_He_108_307	2.7.1.2
S_S5_He_108_308	2.7.1.2
S_S5_He_108_309	2.7.1.2
S_S5_He_108_310	4.2.3.4
S_S5_He_108_311	4.2.1.35
S_S5_He_108_312	4.2.1.35
S_S5_He_108_313	3.1.1.53
S_S5_He_108_314	3.5.1.88
S_S5_He_108_315	3.5.1.88
S_S5_He_108_316	3.5.1.88
