S_S2_Cc_069_48	3.5.1.28
S_S2_Cc_069_49	3.1.3.18
S_S2_Cc_069_50	3.1.3.18
S_S2_Cc_069_51	3.6.1.1
S_S2_Cc_069_52	2.7.11.1
S_S2_Cc_069_53	2.7.11.1
S_S2_Cc_069_54	2.7.11.1
S_S2_Cc_069_55	2.7.11.1
S_S2_Cc_069_56	2.7.11.1
S_S2_Cc_069_57	2.7.11.1
S_S2_Cc_069_58	2.7.11.1
S_S2_Cc_069_59	2.7.11.1
S_S2_Cc_069_60	3.4.16.4
S_S2_Cc_069_61	3.4.16.4
S_S2_Cc_069_62	3.4.16.4
S_S2_Cc_069_63	3.4.16.4
S_S2_Cc_069_64	3.4.16.4
S_S2_Cc_069_65	3.4.16.4
S_S2_Cc_069_66	3.4.16.4
S_S2_Cc_069_67	3.4.16.4
S_S2_Cc_069_68	3.4.16.4
S_S2_Cc_069_69	3.4.16.4
S_S2_Cc_069_70	3.1.21.3
S_S2_Cc_069_71	3.1.21.3
S_S2_Cc_069_72	3.6.4.13
S_S2_Cc_069_73	6.3.5.5
S_S2_Cc_069_74	6.3.5.5
S_S2_Cc_069_75	3.1.3.48
S_S2_Cc_069_76	2.7.7.6
S_S2_Cc_069_77	2.7.7.6
S_S2_Cc_069_78	2.7.7.6
S_S2_Cc_069_79	2.7.7.6
S_S2_Cc_069_80	2.3.3.13
S_S2_Cc_069_81	2.1.1.191
S_S2_Cc_069_82	4.2.1.20
S_S2_Cc_069_83	4.2.1.20
S_S2_Cc_069_84	6.3.5.6
S_S2_Cc_069_85	6.3.5.6
S_S2_Cc_069_86	6.3.5.6
S_S2_Cc_069_87	6.3.5.7
S_S2_Cc_069_88	6.3.5.7
S_S2_Cc_069_89	6.3.5.7
S_S2_Cc_069_90	2.7.1.11
S_S2_Cc_069_91	2.7.1.11
S_S2_Cc_069_92	2.7.1.11
S_S2_Cc_069_93	2.7.1.11
S_S2_Cc_069_94	3.2.2.27
S_S2_Cc_069_95	2.1.1.176
S_S2_Cc_069_96	3.6.3.14
S_S2_Cc_069_97	3.6.3.14
S_S2_Cc_069_98	3.6.3.14
S_S2_Cc_069_99	3.6.3.14
S_S2_Cc_069_100	3.6.1.66
S_S2_Cc_069_101	3.6.1.66
S_S2_Cc_069_102	1.17.99.6
S_S2_Cc_069_103	1.17.99.6
S_S2_Cc_069_104	1.5.1.20
S_S2_Cc_069_105	6.3.5.3
S_S2_Cc_069_106	3.1.26.4
S_S2_Cc_069_107	3.1.26.4
S_S2_Cc_069_108	3.1.3.16
S_S2_Cc_069_109	3.1.3.16
S_S2_Cc_069_110	3.1.3.16
S_S2_Cc_069_111	2.3.1.15
S_S2_Cc_069_112	2.3.1.15
S_S2_Cc_069_113	2.5.1.3
S_S2_Cc_069_114	6.1.1.20
S_S2_Cc_069_115	6.1.1.20
S_S2_Cc_069_116	4.1.3.38
S_S2_Cc_069_117	3.6.3.34
S_S2_Cc_069_118	3.6.3.34
S_S2_Cc_069_119	6.3.2.4
S_S2_Cc_069_120	5.99.1.3
S_S2_Cc_069_121	5.99.1.3
S_S2_Cc_069_122	5.99.1.3
S_S2_Cc_069_123	5.99.1.3
S_S2_Cc_069_124	4.2.1.33
S_S2_Cc_069_125	4.2.1.33
S_S2_Cc_069_126	4.2.1.33
S_S2_Cc_069_127	4.2.1.33
S_S2_Cc_069_128	4.4.1.8
S_S2_Cc_069_129	4.4.1.8
S_S2_Cc_069_130	4.4.1.8
S_S2_Cc_069_131	4.4.1.8
S_S2_Cc_069_132	4.4.1.8
S_S2_Cc_069_133	2.7.1.180
S_S2_Cc_069_134	2.5.1.49
S_S2_Cc_069_135	2.5.1.49
S_S2_Cc_069_136	2.5.1.47
S_S2_Cc_069_137	2.7.1.49
S_S2_Cc_069_138	2.7.4.7
S_S2_Cc_069_139	4.1.1.3
S_S2_Cc_069_140	4.1.1.3
S_S2_Cc_069_141	4.1.1.3
S_S2_Cc_069_142	4.1.1.3
S_S2_Cc_069_143	6.3.1.2
S_S2_Cc_069_144	6.3.1.2
S_S2_Cc_069_145	2.4.2.7
S_S2_Cc_069_146	2.7.4.3
S_S2_Cc_069_147	3.4.21.89
S_S2_Cc_069_148	3.4.21.89
S_S2_Cc_069_149	3.4.21.89
S_S2_Cc_069_150	2.8.1.7
S_S2_Cc_069_151	2.8.1.7
S_S2_Cc_069_152	3.6.3.27
S_S2_Cc_069_153	5.4.99.23
S_S2_Cc_069_154	5.4.99.23
S_S2_Cc_069_155	5.4.99.23
S_S2_Cc_069_156	5.1.3.2
S_S2_Cc_069_157	5.1.3.2
S_S2_Cc_069_158	4.2.1.11
S_S2_Cc_069_159	1.1.98.6
S_S2_Cc_069_160	3.6.3.54
S_S2_Cc_069_161	3.6.3.54
S_S2_Cc_069_162	3.5.2.3
S_S2_Cc_069_163	3.5.2.3
S_S2_Cc_069_164	3.6.1.55
S_S2_Cc_069_165	3.6.1.55
S_S2_Cc_069_166	2.7.1.2
S_S2_Cc_069_167	2.7.1.2
S_S2_Cc_069_168	2.7.1.2
S_S2_Cc_069_169	4.2.3.4
S_S2_Cc_069_170	4.2.1.35
S_S2_Cc_069_171	4.2.1.35
S_S2_Cc_069_172	4.2.1.35
S_S2_Cc_069_173	4.2.1.35
S_S2_Cc_069_174	3.5.1.88
S_S2_Cc_069_175	3.5.1.88
S_S2_Cc_069_176	1.97.1.4
S_S2_Cc_069_177	1.97.1.4
S_S2_Cc_069_178	1.97.1.4
S_S2_Cc_069_179	1.97.1.4
S_S2_Cc_069_180	5.4.99.22
S_S2_Cc_069_181	2.7.1.90
S_S2_Cc_069_182	2.7.1.90
S_S2_Cc_069_183	2.7.1.90
S_S2_Cc_069_184	2.2.1.6
S_S2_Cc_069_185	2.2.1.6
S_S2_Cc_069_186	2.2.1.6
S_S2_Cc_069_187	2.2.1.6
S_S2_Cc_069_188	5.1.1.1
S_S2_Cc_069_189	3.1.11.6
S_S2_Cc_069_190	3.1.11.6
S_S2_Cc_069_191	3.5.1.2
S_S2_Cc_069_192	3.5.1.2
S_S2_Cc_069_193	2.1.1.63
