S_NS6_Ca_028_104	2.8.1.7
S_NS6_Ca_028_105	2.8.1.7
S_NS6_Ca_028_106	3.6.3.27
S_NS6_Ca_028_107	3.6.3.27
S_NS6_Ca_028_108	2.3.1.1
S_NS6_Ca_028_109	5.4.99.23
S_NS6_Ca_028_110	5.4.99.23
S_NS6_Ca_028_111	5.1.3.2
S_NS6_Ca_028_112	5.1.3.2
S_NS6_Ca_028_113	4.2.1.11
S_NS6_Ca_028_114	1.1.98.6
S_NS6_Ca_028_115	3.5.2.3
S_NS6_Ca_028_116	2.7.1.2
S_NS6_Ca_028_117	2.7.1.2
S_NS6_Ca_028_118	4.2.3.4
S_NS6_Ca_028_119	4.2.3.4
S_NS6_Ca_028_120	3.5.1.88
S_NS6_Ca_028_121	3.5.1.88
S_NS6_Ca_028_122	3.5.1.88
S_NS6_Ca_028_123	1.97.1.4
S_NS6_Ca_028_124	1.97.1.4
S_NS6_Ca_028_125	1.97.1.4
S_NS6_Ca_028_126	5.4.99.22
S_NS6_Ca_028_127	2.7.1.90
S_NS6_Ca_028_128	5.1.1.1
S_NS6_Ca_028_129	3.1.11.6
S_NS6_Ca_028_130	3.1.11.6
S_NS6_Ca_028_131	2.1.1.63
S_NS6_Ca_028_132	2.2.1.9
S_NS6_Ca_028_133	2.2.1.9
S_NS6_Ca_028_134	3.4.23.43
S_NS6_Ca_028_135	6.1.1.10
S_NS6_Ca_028_136	6.1.1.10
S_NS6_Ca_028_137	1.2.7.3
S_NS6_Ca_028_138	1.1.1.133
S_NS6_Ca_028_139	3.5.99.6
S_NS6_Ca_028_140	2.1.1.227
S_NS6_Ca_028_141	2.1.1.226
S_NS6_Ca_028_142	3.2.2.10
S_NS6_Ca_028_143	3.2.2.10
S_NS6_Ca_028_144	2.4.2.10
S_NS6_Ca_028_145	3.6.1.27
S_NS6_Ca_028_146	4.1.1.23
S_NS6_Ca_028_147	6.1.1.12
S_NS6_Ca_028_148	1.8.1.9
S_NS6_Ca_028_149	4.3.1.17
S_NS6_Ca_028_150	1.2.1.11
S_NS6_Ca_028_151	2.5.1.29
S_NS6_Ca_028_152	2.5.1.29
S_NS6_Ca_028_153	2.5.1.10
S_NS6_Ca_028_154	2.5.1.10
S_NS6_Ca_028_155	2.5.1.1
S_NS6_Ca_028_156	2.5.1.1
S_NS6_Ca_028_157	2.4.2.19
S_NS6_Ca_028_158	3.1.26.5
S_NS6_Ca_028_159	4.2.1.136
S_NS6_Ca_028_160	1.4.1.14
S_NS6_Ca_028_161	1.4.1.13
S_NS6_Ca_028_162	5.3.1.8
S_NS6_Ca_028_163	4.6.1.12
S_NS6_Ca_028_164	2.1.1.177
S_NS6_Ca_028_165	5.1.99.6
S_NS6_Ca_028_166	3.6.1.40
S_NS6_Ca_028_167	3.4.23.36
S_NS6_Ca_028_168	6.1.1.5
S_NS6_Ca_028_169	2.7.1.33
S_NS6_Ca_028_170	2.7.1.33
S_NS6_Ca_028_171	2.1.2.9
S_NS6_Ca_028_172	2.7.1.6
S_NS6_Ca_028_173	3.1.11.2
S_NS6_Ca_028_174	3.5.1.25
S_NS6_Ca_028_175	3.5.1.124
S_NS6_Ca_028_176	2.7.4.1
S_NS6_Ca_028_177	3.6.1.11
S_NS6_Ca_028_178	3.4.11.18
S_NS6_Ca_028_179	3.4.11.18
S_NS6_Ca_028_180	2.7.1.23
S_NS6_Ca_028_181	6.3.2.17
S_NS6_Ca_028_182	6.3.2.12
S_NS6_Ca_028_183	1.4.1.4
S_NS6_Ca_028_184	2.7.1.202
S_NS6_Ca_028_185	2.7.1.202
S_NS6_Ca_028_186	2.7.1.202
S_NS6_Ca_028_187	2.3.1.54
S_NS6_Ca_028_188	2.1.1.45
S_NS6_Ca_028_189	4.4.1.16
S_NS6_Ca_028_190	5.1.3.3
S_NS6_Ca_028_191	5.1.3.3
S_NS6_Ca_028_192	2.7.4.22
S_NS6_Ca_028_193	1.2.1.12
S_NS6_Ca_028_194	2.7.7.60
S_NS6_Ca_028_195	6.1.1.2
S_NS6_Ca_028_196	6.1.1.2
S_NS6_Ca_028_197	2.7.1.4
S_NS6_Ca_028_198	2.1.1.228
S_NS6_Ca_028_199	1.20.4.1
S_NS6_Ca_028_200	2.4.1.1
S_NS6_Ca_028_201	2.4.1.1
S_NS6_Ca_028_202	3.6.3.8
S_NS6_Ca_028_203	4.2.1.46
S_NS6_Ca_028_204	4.2.1.46
S_NS6_Ca_028_205	2.7.7.24
S_NS6_Ca_028_206	6.1.1.21
S_NS6_Ca_028_207	2.7.2.3
S_NS6_Ca_028_208	6.3.4.4
S_NS6_Ca_028_209	2.1.2.2
S_NS6_Ca_028_210	3.5.1.42
S_NS6_Ca_028_211	2.7.1.40
S_NS6_Ca_028_212	1.17.7.3
S_NS6_Ca_028_213	1.17.7.1
S_NS6_Ca_028_214	3.1.1.29
S_NS6_Ca_028_215	6.1.1.7
S_NS6_Ca_028_216	2.1.1.182
S_NS6_Ca_028_217	6.3.3.1
S_NS6_Ca_028_218	2.4.2.14
S_NS6_Ca_028_219	4.1.1.36
S_NS6_Ca_028_220	6.3.2.5
S_NS6_Ca_028_221	3.1.3.100
S_NS6_Ca_028_222	3.1.3.15
S_NS6_Ca_028_223	2.7.4.8
S_NS6_Ca_028_224	1.1.1.267
S_NS6_Ca_028_225	2.7.7.3
S_NS6_Ca_028_226	2.7.7.9
S_NS6_Ca_028_227	2.5.1.72
