S_S5_Ca_088_v1v9_204	EC:4.1.1.36
S_S5_Ca_088_v1v9_205	EC:6.3.2.5
S_S5_Ca_088_v1v9_206	EC:3.1.3.100
S_S5_Ca_088_v1v9_207	EC:3.1.3.15
S_S5_Ca_088_v1v9_208	EC:2.7.4.8
S_S5_Ca_088_v1v9_209	EC:1.1.1.267
S_S5_Ca_088_v1v9_210	EC:2.7.7.3
S_S5_Ca_088_v1v9_211	EC:2.7.7.9
S_S5_Ca_088_v1v9_212	EC:2.5.1.72
S_S5_Ca_088_v1v9_213	EC:3.6.5.4
S_S5_Ca_088_v1v9_214	EC:6.1.1.11
S_S5_Ca_088_v1v9_215	EC:4.3.3.7
S_S5_Ca_088_v1v9_216	EC:1.17.1.8
S_S5_Ca_088_v1v9_217	EC:6.1.1.3
S_S5_Ca_088_v1v9_218	EC:2.4.1.129
S_S5_Ca_088_v1v9_219	EC:1.1.1.94
S_S5_Ca_088_v1v9_220	EC:6.1.1.6
S_S5_Ca_088_v1v9_221	EC:6.3.5.2
S_S5_Ca_088_v1v9_222	EC:2.6.1.42
S_S5_Ca_088_v1v9_223	EC:4.1.2.13
S_S5_Ca_088_v1v9_224	EC:4.1.2.13
S_S5_Ca_088_v1v9_225	EC:4.1.1.20
S_S5_Ca_088_v1v9_226	EC:2.4.99.17
S_S5_Ca_088_v1v9_227	EC:1.1.1.95
S_S5_Ca_088_v1v9_228	EC:1.1.1.399
S_S5_Ca_088_v1v9_229	EC:6.1.1.22
S_S5_Ca_088_v1v9_230	EC:1.1.1.205
S_S5_Ca_088_v1v9_231	EC:4.2.1.10
S_S5_Ca_088_v1v9_232	EC:1.2.7.1
S_S5_Ca_088_v1v9_233	EC:1.2.7.1
S_S5_Ca_088_v1v9_234	EC:2.5.1.54
S_S5_Ca_088_v1v9_235	EC:2.5.1.54
S_S5_Ca_088_v1v9_236	EC:2.7.7.2
S_S5_Ca_088_v1v9_237	EC:2.7.1.26
S_S5_Ca_088_v1v9_238	EC:5.4.99.25
S_S5_Ca_088_v1v9_239	EC:3.1.3.7
S_S5_Ca_088_v1v9_240	EC:3.1.13.3
S_S5_Ca_088_v1v9_241	EC:3.1.22.4
S_S5_Ca_088_v1v9_242	EC:6.3.4.19
S_S5_Ca_088_v1v9_243	EC:2.3.1.8
S_S5_Ca_088_v1v9_244	EC:4.2.1.19
S_S5_Ca_088_v1v9_245	EC:2.7.6.1
S_S5_Ca_088_v1v9_246	EC:2.6.1.9
S_S5_Ca_088_v1v9_247	EC:2.4.1.18
S_S5_Ca_088_v1v9_248	EC:2.1.3.3
S_S5_Ca_088_v1v9_249	EC:2.7.3.9
S_S5_Ca_088_v1v9_250	EC:6.3.3.2
S_S5_Ca_088_v1v9_251	EC:6.1.1.14
S_S5_Ca_088_v1v9_252	EC:6.1.1.14
S_S5_Ca_088_v1v9_253	EC:3.6.3.21
S_S5_Ca_088_v1v9_254	EC:3.6.3.21
S_S5_Ca_088_v1v9_255	EC:1.2.1.38
S_S5_Ca_088_v1v9_256	EC:2.3.1.35
S_S5_Ca_088_v1v9_257	EC:5.3.1.16
S_S5_Ca_088_v1v9_258	EC:1.5.1.3
S_S5_Ca_088_v1v9_259	EC:2.7.1.50
