S_NS6_Pm_056_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS6_Pm_056_v1v9_238	3.1.11.6-RXN
S_NS6_Pm_056_v1v9_239	3.1.11.6-RXN
S_NS6_Pm_056_v1v9_240	RXN0-5266
S_NS6_Pm_056_v1v9_241	RXN0-5266
S_NS6_Pm_056_v1v9_242	ALPHA-AMYL-RXN
S_NS6_Pm_056_v1v9_242	RXN0-5181
S_NS6_Pm_056_v1v9_242	3.2.1.1-RXN
S_NS6_Pm_056_v1v9_242	RXN-1823
S_NS6_Pm_056_v1v9_243	GLUTAMIN-RXN
S_NS6_Pm_056_v1v9_244	2.1.1.63-RXN
S_NS6_Pm_056_v1v9_245	2.5.1.64-RXN
S_NS6_Pm_056_v1v9_246	METHIONINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_246	RXN-16165
S_NS6_Pm_056_v1v9_247	MALIC-NADP-RXN
S_NS6_Pm_056_v1v9_248	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_249	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_250	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_251	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_252	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_253	2-OXOGLUTARATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_254	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_NS6_Pm_056_v1v9_255	4-CARBOXYMUCONOLACTONE-DECARBOXYLASE-RXN
S_NS6_Pm_056_v1v9_256	DTDPDEHYRHAMREDUCT-RXN
S_NS6_Pm_056_v1v9_257	DTDPDEHYRHAMREDUCT-RXN
S_NS6_Pm_056_v1v9_258	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS6_Pm_056_v1v9_259	GLUCOSAMINE-6-P-DEAMIN-RXN
S_NS6_Pm_056_v1v9_260	FUCULOKIN-RXN
S_NS6_Pm_056_v1v9_261	RXN-14065
S_NS6_Pm_056_v1v9_262	ADENYLYLSULFKIN-RXN
S_NS6_Pm_056_v1v9_263	ADENYLYLSULFKIN-RXN
S_NS6_Pm_056_v1v9_264	OROPRIBTRANS-RXN
S_NS6_Pm_056_v1v9_265	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS6_Pm_056_v1v9_266	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_NS6_Pm_056_v1v9_267	OROTPDECARB-RXN
S_NS6_Pm_056_v1v9_268	OROTPDECARB-RXN
S_NS6_Pm_056_v1v9_269	ASPARTATE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_270	7KAPSYN-RXN
S_NS6_Pm_056_v1v9_270	RXN-11484
S_NS6_Pm_056_v1v9_271	7KAPSYN-RXN
S_NS6_Pm_056_v1v9_271	RXN-11484
S_NS6_Pm_056_v1v9_272	THIOREDOXIN-REDUCT-NADPH-RXN
S_NS6_Pm_056_v1v9_273	4.3.1.17-RXN
S_NS6_Pm_056_v1v9_274	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_NS6_Pm_056_v1v9_275	FARNESYLTRANSTRANSFERASE-RXN
S_NS6_Pm_056_v1v9_276	FPPSYN-RXN
S_NS6_Pm_056_v1v9_277	GPPSYN-RXN
S_NS6_Pm_056_v1v9_278	QUINOPRIBOTRANS-RXN
S_NS6_Pm_056_v1v9_279	RXN0-6480
S_NS6_Pm_056_v1v9_279	3.1.26.5-RXN
S_NS6_Pm_056_v1v9_280	RXN0-6727
S_NS6_Pm_056_v1v9_280	RXN-13141
S_NS6_Pm_056_v1v9_281	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS6_Pm_056_v1v9_282	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS6_Pm_056_v1v9_283	GLUTAMATE-SYNTHASE-NADH-RXN
S_NS6_Pm_056_v1v9_284	GLUTAMATESYN-RXN
S_NS6_Pm_056_v1v9_285	GLUTAMATESYN-RXN
S_NS6_Pm_056_v1v9_286	GLUTAMATESYN-RXN
S_NS6_Pm_056_v1v9_287	GDPMANDEHYDRA-RXN
S_NS6_Pm_056_v1v9_288	1.1.1.271-RXN
S_NS6_Pm_056_v1v9_289	MANNPISOM-RXN
S_NS6_Pm_056_v1v9_290	RXN0-302
S_NS6_Pm_056_v1v9_291	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_NS6_Pm_056_v1v9_291	RXN-10949
S_NS6_Pm_056_v1v9_291	RXN-7253
S_NS6_Pm_056_v1v9_291	RXN0-5408
S_NS6_Pm_056_v1v9_291	RXN-10954
S_NS6_Pm_056_v1v9_291	RXN-10953
S_NS6_Pm_056_v1v9_291	RXN-10952
S_NS6_Pm_056_v1v9_292	RXN-11592
S_NS6_Pm_056_v1v9_293	RXN-12752
S_NS6_Pm_056_v1v9_293	RXN-13142
S_NS6_Pm_056_v1v9_294	MALONYL-COA-ACP-TRANSACYL-RXN
S_NS6_Pm_056_v1v9_295	1.11.1.15-RXN
S_NS6_Pm_056_v1v9_295	RXN0-5468
S_NS6_Pm_056_v1v9_296	1.11.1.15-RXN
S_NS6_Pm_056_v1v9_296	RXN0-5468
S_NS6_Pm_056_v1v9_297	1.11.1.15-RXN
S_NS6_Pm_056_v1v9_297	RXN0-5468
S_NS6_Pm_056_v1v9_298	PPPGPPHYDRO-RXN
S_NS6_Pm_056_v1v9_299	3.4.23.36-RXN
S_NS6_Pm_056_v1v9_300	ISOLEUCINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_301	BETA-LACTAMASE-RXN
S_NS6_Pm_056_v1v9_302	PANTOTHENATE-KIN-RXN
S_NS6_Pm_056_v1v9_303	PANTOTHENATE-KIN-RXN
S_NS6_Pm_056_v1v9_304	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_NS6_Pm_056_v1v9_305	GALACTOKIN-RXN
S_NS6_Pm_056_v1v9_306	3.1.11.2-RXN
S_NS6_Pm_056_v1v9_307	NAG6PDEACET-RXN
S_NS6_Pm_056_v1v9_307	3.5.1.80-RXN
S_NS6_Pm_056_v1v9_308	NAG6PDEACET-RXN
S_NS6_Pm_056_v1v9_308	3.5.1.80-RXN
S_NS6_Pm_056_v1v9_310	POLYPHOSPHATE-KINASE-RXN
S_NS6_Pm_056_v1v9_311	EXOPOLYPHOSPHATASE-RXN
S_NS6_Pm_056_v1v9_313	3.4.11.18-RXN
S_NS6_Pm_056_v1v9_314	3.4.11.18-RXN
S_NS6_Pm_056_v1v9_315	LAUROYLACYLTRAN-RXN
S_NS6_Pm_056_v1v9_316	NAD-KIN-RXN
S_NS6_Pm_056_v1v9_317	RXN-14025
S_NS6_Pm_056_v1v9_317	RXN-14026
S_NS6_Pm_056_v1v9_317	RXN-7607
S_NS6_Pm_056_v1v9_317	RXN-7609
S_NS6_Pm_056_v1v9_317	AMP-DEPHOSPHORYLATION-RXN
S_NS6_Pm_056_v1v9_317	5-NUCLEOTID-RXN
S_NS6_Pm_056_v1v9_317	RXN-14227
S_NS6_Pm_056_v1v9_317	RXN-5841
S_NS6_Pm_056_v1v9_317	XMPXAN-RXN
S_NS6_Pm_056_v1v9_318	RXN0-2921
S_NS6_Pm_056_v1v9_318	FOLYLPOLYGLUTAMATESYNTH-RXN
S_NS6_Pm_056_v1v9_318	FORMYLTHFGLUSYNTH-RXN
S_NS6_Pm_056_v1v9_319	DIHYDROFOLATESYNTH-RXN
S_NS6_Pm_056_v1v9_320	LIPIDADISACCHARIDESYNTH-RXN
S_NS6_Pm_056_v1v9_321	GLUTDEHYD-RXN
S_NS6_Pm_056_v1v9_322	GLUTDEHYD-RXN
S_NS6_Pm_056_v1v9_323	PYRUVFORMLY-RXN
S_NS6_Pm_056_v1v9_324	PYRUVFORMLY-RXN
S_NS6_Pm_056_v1v9_325	THYMIDYLATESYN-RXN
S_NS6_Pm_056_v1v9_326	THYMIDYLATESYN-RXN
S_NS6_Pm_056_v1v9_327	PRAISOM-RXN
S_NS6_Pm_056_v1v9_328	PRAISOM-RXN
S_NS6_Pm_056_v1v9_329	SELENOCYSTEINE-LYASE-RXN
S_NS6_Pm_056_v1v9_330	RXN-16391
S_NS6_Pm_056_v1v9_330	METHYLMALONYL-COA-EPIM-RXN
S_NS6_Pm_056_v1v9_332	ALDOSE1EPIM-RXN
S_NS6_Pm_056_v1v9_332	ALDOSE-1-EPIMERASE-RXN
S_NS6_Pm_056_v1v9_333	ALDOSE1EPIM-RXN
S_NS6_Pm_056_v1v9_333	ALDOSE-1-EPIMERASE-RXN
S_NS6_Pm_056_v1v9_334	RXN-12002
S_NS6_Pm_056_v1v9_335	GAPOXNPHOSPHN-RXN
S_NS6_Pm_056_v1v9_336	RXN1G-94
S_NS6_Pm_056_v1v9_336	RXN1G-1015
S_NS6_Pm_056_v1v9_336	RXN1G-202
S_NS6_Pm_056_v1v9_336	RXN1G-883
S_NS6_Pm_056_v1v9_336	RXN1G-660
S_NS6_Pm_056_v1v9_336	RXN1G-374
S_NS6_Pm_056_v1v9_336	RXN1G-334
S_NS6_Pm_056_v1v9_336	RXN-8391
S_NS6_Pm_056_v1v9_336	RXN1G-582
S_NS6_Pm_056_v1v9_336	RXN1G-580
S_NS6_Pm_056_v1v9_336	RXN1G-89
S_NS6_Pm_056_v1v9_336	2.3.1.179-RXN
S_NS6_Pm_056_v1v9_336	RXN1G-1212
S_NS6_Pm_056_v1v9_336	RXN1G-424
S_NS6_Pm_056_v1v9_336	RXN1G-818
S_NS6_Pm_056_v1v9_336	RXN1G-79
S_NS6_Pm_056_v1v9_336	RXN1G-172
S_NS6_Pm_056_v1v9_336	RXN1G-557
S_NS6_Pm_056_v1v9_336	RXN1G-32
S_NS6_Pm_056_v1v9_337	3.2.1.50-RXN
S_NS6_Pm_056_v1v9_338	3.2.1.50-RXN
S_NS6_Pm_056_v1v9_339	3.1.21.4-RXN
S_NS6_Pm_056_v1v9_340	2.7.7.60-RXN
S_NS6_Pm_056_v1v9_341	TRYPTOPHAN--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_342	FRUCTOKINASE-RXN
S_NS6_Pm_056_v1v9_343	FRUCTOKINASE-RXN
S_NS6_Pm_056_v1v9_344	FRUCTOKINASE-RXN
S_NS6_Pm_056_v1v9_345	AKBLIG-RXN
S_NS6_Pm_056_v1v9_346	AKBLIG-RXN
S_NS6_Pm_056_v1v9_347	AKBLIG-RXN
S_NS6_Pm_056_v1v9_348	RXN-14517
S_NS6_Pm_056_v1v9_348	RXN-12458
S_NS6_Pm_056_v1v9_349	RXN-982
S_NS6_Pm_056_v1v9_350	RXN-982
S_NS6_Pm_056_v1v9_351	RXN-14285
S_NS6_Pm_056_v1v9_351	RXN-14284
S_NS6_Pm_056_v1v9_351	RXN-14286
S_NS6_Pm_056_v1v9_351	RXN-14353
S_NS6_Pm_056_v1v9_351	RXN-9025
S_NS6_Pm_056_v1v9_351	RXN0-5182
S_NS6_Pm_056_v1v9_351	RXN0-5184
S_NS6_Pm_056_v1v9_351	GLYCOPHOSPHORYL-RXN
S_NS6_Pm_056_v1v9_351	RXN-12171
S_NS6_Pm_056_v1v9_351	GLYMALTOPHOSPHORYL-RXN
S_NS6_Pm_056_v1v9_351	RXN-1826
S_NS6_Pm_056_v1v9_351	RXN-12392
S_NS6_Pm_056_v1v9_352	RXN-14285
S_NS6_Pm_056_v1v9_352	RXN-14284
S_NS6_Pm_056_v1v9_352	RXN-14286
S_NS6_Pm_056_v1v9_352	RXN-14353
S_NS6_Pm_056_v1v9_352	RXN-9025
S_NS6_Pm_056_v1v9_352	RXN0-5182
S_NS6_Pm_056_v1v9_352	RXN0-5184
S_NS6_Pm_056_v1v9_352	GLYCOPHOSPHORYL-RXN
S_NS6_Pm_056_v1v9_352	RXN-12171
S_NS6_Pm_056_v1v9_352	GLYMALTOPHOSPHORYL-RXN
S_NS6_Pm_056_v1v9_352	RXN-1826
S_NS6_Pm_056_v1v9_352	RXN-12392
S_NS6_Pm_056_v1v9_353	3.6.3.8-RXN
S_NS6_Pm_056_v1v9_354	PRTRANS-RXN
S_NS6_Pm_056_v1v9_355	DTDPGLUCDEHYDRAT-RXN
S_NS6_Pm_056_v1v9_356	DTDPGLUCOSEPP-RXN
S_NS6_Pm_056_v1v9_357	BIOTINLIG-RXN
S_NS6_Pm_056_v1v9_358	RXN1G-4355
S_NS6_Pm_056_v1v9_358	PROPIONYL-COA-CARBOXY-RXN
S_NS6_Pm_056_v1v9_359	RXN1G-4355
S_NS6_Pm_056_v1v9_359	PROPIONYL-COA-CARBOXY-RXN
S_NS6_Pm_056_v1v9_360	HISTIDINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_361	RXN-13158
S_NS6_Pm_056_v1v9_361	RXN-14986
S_NS6_Pm_056_v1v9_362	PHOSGLYPHOS-RXN
S_NS6_Pm_056_v1v9_363	H2PTEROATESYNTH-RXN
S_NS6_Pm_056_v1v9_364	ADENYLOSUCCINATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_365	GART-RXN
S_NS6_Pm_056_v1v9_366	GART-RXN
S_NS6_Pm_056_v1v9_367	RXN66-542
S_NS6_Pm_056_v1v9_367	RXN-14903
S_NS6_Pm_056_v1v9_367	RXN0-7008
S_NS6_Pm_056_v1v9_368	RXN-14116
S_NS6_Pm_056_v1v9_369	NMNAMIDOHYDRO-RXN
S_NS6_Pm_056_v1v9_370	RXN-14207
S_NS6_Pm_056_v1v9_370	PEPDEPHOS-RXN
S_NS6_Pm_056_v1v9_370	RXN-14117
S_NS6_Pm_056_v1v9_370	RXN-14192
S_NS6_Pm_056_v1v9_371	GCVT-RXN
S_NS6_Pm_056_v1v9_372	GCVP-RXN
S_NS6_Pm_056_v1v9_373	RXN-15878
S_NS6_Pm_056_v1v9_374	RXN0-882
S_NS6_Pm_056_v1v9_375	PHOSPHASERSYN-RXN
S_NS6_Pm_056_v1v9_376	RXN-12460
S_NS6_Pm_056_v1v9_376	AMINOCYL-TRNA-HYDROLASE-RXN
S_NS6_Pm_056_v1v9_376	RXN-16637
S_NS6_Pm_056_v1v9_377	ALANINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_378	RXN-11633
S_NS6_Pm_056_v1v9_379	AIRS-RXN
S_NS6_Pm_056_v1v9_380	PRPPAMIDOTRANS-RXN
S_NS6_Pm_056_v1v9_381	PRPPAMIDOTRANS-RXN
S_NS6_Pm_056_v1v9_382	PRPPAMIDOTRANS-RXN
S_NS6_Pm_056_v1v9_383	P-PANTOCYSDECARB-RXN
S_NS6_Pm_056_v1v9_384	P-PANTOCYSLIG-RXN
S_NS6_Pm_056_v1v9_386	RXN-11327
S_NS6_Pm_056_v1v9_386	RXN-11326
S_NS6_Pm_056_v1v9_387	RXN-11323
S_NS6_Pm_056_v1v9_388	KDOTRANS2-RXN
S_NS6_Pm_056_v1v9_389	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
S_NS6_Pm_056_v1v9_390	HISTIDPHOS-RXN
S_NS6_Pm_056_v1v9_391	HISTIDPHOS-RXN
S_NS6_Pm_056_v1v9_392	4.2.3.12-RXN
S_NS6_Pm_056_v1v9_393	GUANYL-KIN-RXN
S_NS6_Pm_056_v1v9_394	GUANYL-KIN-RXN
S_NS6_Pm_056_v1v9_395	2.3.1.180-RXN
S_NS6_Pm_056_v1v9_396	2.3.1.180-RXN
S_NS6_Pm_056_v1v9_397	DXPREDISOM-RXN
S_NS6_Pm_056_v1v9_398	PANTEPADENYLYLTRAN-RXN
S_NS6_Pm_056_v1v9_399	RXN-11475
S_NS6_Pm_056_v1v9_400	2.7.7.39-RXN
S_NS6_Pm_056_v1v9_401	RXN-11047
S_NS6_Pm_056_v1v9_401	RXN-9217
S_NS6_Pm_056_v1v9_401	DMK-RXN
S_NS6_Pm_056_v1v9_401	RXN-9358
S_NS6_Pm_056_v1v9_401	RXN-9359
S_NS6_Pm_056_v1v9_401	RXN-9204
S_NS6_Pm_056_v1v9_401	RXN-9190
S_NS6_Pm_056_v1v9_401	RXN-9360
S_NS6_Pm_056_v1v9_401	RXN-9365
S_NS6_Pm_056_v1v9_402	QUINOLINATE-SYNTHA-RXN
S_NS6_Pm_056_v1v9_403	RXN0-5462
S_NS6_Pm_056_v1v9_404	RXN0-5507
S_NS6_Pm_056_v1v9_405	SERINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_405	RXN0-2161
S_NS6_Pm_056_v1v9_406	FUMHYDR-RXN
S_NS6_Pm_056_v1v9_407	O-SUCCINYLBENZOATE-COA-LIG-RXN
S_NS6_Pm_056_v1v9_407	RXN-7614
S_NS6_Pm_056_v1v9_408	DIHYDRODIPICSYN-RXN
S_NS6_Pm_056_v1v9_409	DIHYDRODIPICSYN-RXN
S_NS6_Pm_056_v1v9_410	RXN-14014
S_NS6_Pm_056_v1v9_411	RXN-15733
S_NS6_Pm_056_v1v9_411	H2PTERIDINEPYROPHOSPHOKIN-RXN
S_NS6_Pm_056_v1v9_412	RXN-15733
S_NS6_Pm_056_v1v9_412	H2PTERIDINEPYROPHOSPHOKIN-RXN
S_NS6_Pm_056_v1v9_413	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
S_NS6_Pm_056_v1v9_413	RXN-15635
S_NS6_Pm_056_v1v9_414	THREONINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_415	RXN-14712
S_NS6_Pm_056_v1v9_415	RXN-15521
S_NS6_Pm_056_v1v9_415	2.4.1.129-RXN
S_NS6_Pm_056_v1v9_415	RXN-11350
S_NS6_Pm_056_v1v9_415	RXN-11291
S_NS6_Pm_056_v1v9_415	RXN-16650
S_NS6_Pm_056_v1v9_415	RXN-11348
S_NS6_Pm_056_v1v9_416	RXN-14712
S_NS6_Pm_056_v1v9_416	RXN-15521
S_NS6_Pm_056_v1v9_416	2.4.1.129-RXN
S_NS6_Pm_056_v1v9_416	RXN-11350
S_NS6_Pm_056_v1v9_416	RXN-11291
S_NS6_Pm_056_v1v9_416	RXN-16650
S_NS6_Pm_056_v1v9_416	RXN-11348
S_NS6_Pm_056_v1v9_417	RXN-14712
S_NS6_Pm_056_v1v9_417	RXN-15521
S_NS6_Pm_056_v1v9_417	2.4.1.129-RXN
S_NS6_Pm_056_v1v9_417	RXN-11350
S_NS6_Pm_056_v1v9_417	RXN-11291
S_NS6_Pm_056_v1v9_417	RXN-16650
S_NS6_Pm_056_v1v9_417	RXN-11348
S_NS6_Pm_056_v1v9_418	UDPNACETYLGLUCOSAMACYLTRANS-RXN
S_NS6_Pm_056_v1v9_419	UDPNACETYLGLUCOSAMACYLTRANS-RXN
S_NS6_Pm_056_v1v9_420	KDOTRANS-RXN
S_NS6_Pm_056_v1v9_421	GLYC3PDEHYDROGBIOSYN-RXN
S_NS6_Pm_056_v1v9_422	LYSINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_423	GMP-SYN-GLUT-RXN
S_NS6_Pm_056_v1v9_424	GMP-SYN-GLUT-RXN
S_NS6_Pm_056_v1v9_425	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_NS6_Pm_056_v1v9_425	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_NS6_Pm_056_v1v9_425	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_NS6_Pm_056_v1v9_426	F16ALDOLASE-RXN
S_NS6_Pm_056_v1v9_426	RXN-8631
S_NS6_Pm_056_v1v9_427	F16ALDOLASE-RXN
S_NS6_Pm_056_v1v9_427	RXN-8631
S_NS6_Pm_056_v1v9_428	F16ALDOLASE-RXN
S_NS6_Pm_056_v1v9_428	RXN-8631
S_NS6_Pm_056_v1v9_429	DIAMINOPIMDECARB-RXN
S_NS6_Pm_056_v1v9_430	RXN0-1342
S_NS6_Pm_056_v1v9_431	RXN0-1342
S_NS6_Pm_056_v1v9_432	RXN0-6575
S_NS6_Pm_056_v1v9_433	PGLYCDEHYDROG-RXN
S_NS6_Pm_056_v1v9_435	ASPARAGINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_436	IMP-DEHYDROG-RXN
S_NS6_Pm_056_v1v9_437	IMP-DEHYDROG-RXN
S_NS6_Pm_056_v1v9_438	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_NS6_Pm_056_v1v9_439	PYRUFLAVREDUCT-RXN
S_NS6_Pm_056_v1v9_439	2-OXOBUTYRATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_440	ASPDECARBOX-RXN
S_NS6_Pm_056_v1v9_441	FADSYN-RXN
S_NS6_Pm_056_v1v9_442	RIBOFLAVINKIN-RXN
S_NS6_Pm_056_v1v9_443	RXN-11839
S_NS6_Pm_056_v1v9_444	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_NS6_Pm_056_v1v9_445	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_NS6_Pm_056_v1v9_447	3.1.22.4-RXN
S_NS6_Pm_056_v1v9_448	RXN-1961
S_NS6_Pm_056_v1v9_449	PHOSACETYLTRANS-RXN
S_NS6_Pm_056_v1v9_450	RXN-13179
S_NS6_Pm_056_v1v9_451	IMIDPHOSDEHYD-RXN
S_NS6_Pm_056_v1v9_452	PRPPSYN-RXN
S_NS6_Pm_056_v1v9_453	RIBOFLAVINSYNDEAM-RXN
S_NS6_Pm_056_v1v9_454	RIBOFLAVINSYNREDUC-RXN
S_NS6_Pm_056_v1v9_455	2.7.7.15-RXN
S_NS6_Pm_056_v1v9_456	ORNITHINE-CYCLODEAMINASE-RXN
S_NS6_Pm_056_v1v9_457	4.1.1.81-RXN
S_NS6_Pm_056_v1v9_458	HISTAMINOTRANS-RXN
S_NS6_Pm_056_v1v9_459	RXN-7669
S_NS6_Pm_056_v1v9_459	GLYCOGEN-BRANCH-RXN
S_NS6_Pm_056_v1v9_459	RXN-7710
S_NS6_Pm_056_v1v9_459	RXN-14371
S_NS6_Pm_056_v1v9_459	RXN-14372
S_NS6_Pm_056_v1v9_460	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_NS6_Pm_056_v1v9_461	GLYCINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_462	UGD-RXN
S_NS6_Pm_056_v1v9_463	MALATE-DEH-RXN
S_NS6_Pm_056_v1v9_464	MALATE-DEH-RXN
S_NS6_Pm_056_v1v9_465	RXN-15006
S_NS6_Pm_056_v1v9_465	N-ACETYLGLUTPREDUCT-RXN
S_NS6_Pm_056_v1v9_466	PRIBFAICARPISOM-RXN
S_NS6_Pm_056_v1v9_467	RXN-11598
S_NS6_Pm_056_v1v9_468	DIHYDROFOLATEREDUCT-RXN
S_NS6_Pm_056_v1v9_469	SHIKIMATE-KINASE-RXN
S_NS6_Pm_056_v1v9_470	RXN-16076
S_NS6_Pm_056_v1v9_470	RXN-16077
S_NS6_Pm_056_v1v9_470	RXN-16032
S_NS6_Pm_056_v1v9_470	RXN-16118
S_NS6_Pm_056_v1v9_470	RXN-15043
S_NS6_Pm_056_v1v9_470	RXN0-6705
S_NS6_Pm_056_v1v9_470	RXN-16067
S_NS6_Pm_056_v1v9_470	RXN-16066
S_NS6_Pm_056_v1v9_470	RXN-16025
S_NS6_Pm_056_v1v9_470	RXN0-5514
S_NS6_Pm_056_v1v9_470	RXN-1623
S_NS6_Pm_056_v1v9_470	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_NS6_Pm_056_v1v9_471	3.1.26.3-RXN
S_NS6_Pm_056_v1v9_472	RXN-11637
S_NS6_Pm_056_v1v9_473	RXN-11637
S_NS6_Pm_056_v1v9_474	HISTCYCLOHYD-RXN
S_NS6_Pm_056_v1v9_475	RXN-15294
S_NS6_Pm_056_v1v9_476	RXN-15294
S_NS6_Pm_056_v1v9_477	RXN-15294
S_NS6_Pm_056_v1v9_478	NAD-SYNTH-GLN-RXN
S_NS6_Pm_056_v1v9_479	RXN-8001
S_NS6_Pm_056_v1v9_480	RXN-14569
S_NS6_Pm_056_v1v9_481	RXN0-1321
S_NS6_Pm_056_v1v9_481	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_NS6_Pm_056_v1v9_482	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_NS6_Pm_056_v1v9_483	VALINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_484	3PGAREARR-RXN
S_NS6_Pm_056_v1v9_485	3PGAREARR-RXN
S_NS6_Pm_056_v1v9_486	3PGAREARR-RXN
S_NS6_Pm_056_v1v9_487	DXS-RXN
S_NS6_Pm_056_v1v9_488	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_NS6_Pm_056_v1v9_489	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_NS6_Pm_056_v1v9_490	PREPHENATEDEHYDROG-RXN
S_NS6_Pm_056_v1v9_491	DCMP-DEAMINASE-RXN
S_NS6_Pm_056_v1v9_492	NAPHTHOATE-SYN-RXN
S_NS6_Pm_056_v1v9_493	RXN-7913
S_NS6_Pm_056_v1v9_493	RXN-11832
S_NS6_Pm_056_v1v9_494	THI-P-KIN-RXN
S_NS6_Pm_056_v1v9_495	DIAMINOPIMELATE-DEHYDROGENASE-RXN
S_NS6_Pm_056_v1v9_496	R345-RXN
S_NS6_Pm_056_v1v9_497	COBALAMINSYN-RXN
S_NS6_Pm_056_v1v9_497	COBALAMIN5PSYN-RXN
S_NS6_Pm_056_v1v9_498	DARAB5PISOM-RXN
S_NS6_Pm_056_v1v9_499	DMBPPRIBOSYLTRANS-RXN
S_NS6_Pm_056_v1v9_500	RXN-6261
S_NS6_Pm_056_v1v9_500	6.3.1.10-RXN
S_NS6_Pm_056_v1v9_501	SERINE-O-ACETTRAN-RXN
S_NS6_Pm_056_v1v9_502	SERINE-O-ACETTRAN-RXN
S_NS6_Pm_056_v1v9_503	SERINE-O-ACETTRAN-RXN
S_NS6_Pm_056_v1v9_504	GLUTSEMIALDEHYDROG-RXN
S_NS6_Pm_056_v1v9_505	GLUTKIN-RXN
S_NS6_Pm_056_v1v9_506	2TRANSKETO-RXN
S_NS6_Pm_056_v1v9_506	1TRANSKETO-RXN
S_NS6_Pm_056_v1v9_507	SAICARSYN-RXN
S_NS6_Pm_056_v1v9_508	S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN
S_NS6_Pm_056_v1v9_509	4.2.99.18-RXN
S_NS6_Pm_056_v1v9_509	RXN0-2601
S_NS6_Pm_056_v1v9_510	RXN-10035
S_NS6_Pm_056_v1v9_511	ARGSUCCINSYN-RXN
S_NS6_Pm_056_v1v9_511	RXN-10
S_NS6_Pm_056_v1v9_512	1.8.1.4-RXN
S_NS6_Pm_056_v1v9_512	RXN0-1132
S_NS6_Pm_056_v1v9_512	RXN-7719
S_NS6_Pm_056_v1v9_512	RXN-8629
S_NS6_Pm_056_v1v9_512	RXN-7716
S_NS6_Pm_056_v1v9_513	1.8.1.4-RXN
S_NS6_Pm_056_v1v9_513	RXN0-1132
S_NS6_Pm_056_v1v9_513	RXN-7719
S_NS6_Pm_056_v1v9_513	RXN-8629
S_NS6_Pm_056_v1v9_513	RXN-7716
S_NS6_Pm_056_v1v9_514	TRIOSEPISOMERIZATION-RXN
S_NS6_Pm_056_v1v9_515	RXN0-1147
S_NS6_Pm_056_v1v9_516	TETRAACYLDISACC4KIN-RXN
S_NS6_Pm_056_v1v9_517	GLUTDECARBOX-RXN
S_NS6_Pm_056_v1v9_518	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_NS6_Pm_056_v1v9_519	AMPSYN-RXN
S_NS6_Pm_056_v1v9_519	AICARSYN-RXN
