S_NS6_Pm_056_v1v9_1	NADH-DEHYDROG-A-RXN
S_NS6_Pm_056_v1v9_59	2.1.1.72-RXN
S_NS6_Pm_056_v1v9_60	TRANS-RXN-2
S_NS6_Pm_056_v1v9_60	3.6.3.12-RXN
S_NS6_Pm_056_v1v9_61	TRANS-RXN-2
S_NS6_Pm_056_v1v9_61	3.6.3.12-RXN
S_NS6_Pm_056_v1v9_62	TRANS-RXN-2
S_NS6_Pm_056_v1v9_62	3.6.3.12-RXN
S_NS6_Pm_056_v1v9_63	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_64	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_65	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_66	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_67	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_68	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_69	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_70	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_71	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Pm_056_v1v9_72	2.7.13.3-RXN
S_NS6_Pm_056_v1v9_73	2.7.13.3-RXN
S_NS6_Pm_056_v1v9_74	2.7.13.3-RXN
S_NS6_Pm_056_v1v9_75	2.7.13.3-RXN
S_NS6_Pm_056_v1v9_76	2.7.13.3-RXN
S_NS6_Pm_056_v1v9_77	2.7.13.3-RXN
S_NS6_Pm_056_v1v9_78	RXN-14267
S_NS6_Pm_056_v1v9_78	RXN0-5225
S_NS6_Pm_056_v1v9_78	3.4.24.32-RXN
S_NS6_Pm_056_v1v9_79	RXN-14267
S_NS6_Pm_056_v1v9_79	RXN0-5225
S_NS6_Pm_056_v1v9_79	3.4.24.32-RXN
S_NS6_Pm_056_v1v9_80	RXN-14267
S_NS6_Pm_056_v1v9_80	RXN0-5225
S_NS6_Pm_056_v1v9_80	3.4.24.32-RXN
S_NS6_Pm_056_v1v9_81	RXN-14267
S_NS6_Pm_056_v1v9_81	RXN0-5225
S_NS6_Pm_056_v1v9_81	3.4.24.32-RXN
S_NS6_Pm_056_v1v9_82	RXN-14267
S_NS6_Pm_056_v1v9_82	RXN0-5225
S_NS6_Pm_056_v1v9_82	3.4.24.32-RXN
S_NS6_Pm_056_v1v9_83	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_v1v9_84	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_v1v9_85	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_v1v9_86	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_v1v9_87	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_v1v9_88	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_v1v9_89	ALPHA-L-FUCOSIDASE-RXN
S_NS6_Pm_056_v1v9_90	GPH-RXN
S_NS6_Pm_056_v1v9_91	GPH-RXN
S_NS6_Pm_056_v1v9_92	INORGPYROPHOSPHAT-RXN
S_NS6_Pm_056_v1v9_93	INORGPYROPHOSPHAT-RXN
S_NS6_Pm_056_v1v9_94	ANTHRANSYN-RXN
S_NS6_Pm_056_v1v9_95	ANTHRANSYN-RXN
S_NS6_Pm_056_v1v9_96	ANTHRANSYN-RXN
S_NS6_Pm_056_v1v9_97	3.2.1.18-RXN
S_NS6_Pm_056_v1v9_98	PROTEIN-KINASE-RXN
S_NS6_Pm_056_v1v9_99	PROTEIN-KINASE-RXN
S_NS6_Pm_056_v1v9_100	RXN-11065
S_NS6_Pm_056_v1v9_100	3.4.16.4-RXN
S_NS6_Pm_056_v1v9_100	RXN-16649
S_NS6_Pm_056_v1v9_100	RXN-11351
S_NS6_Pm_056_v1v9_100	RXN-16659
S_NS6_Pm_056_v1v9_100	RXN-11302
S_NS6_Pm_056_v1v9_101	RXN-11065
S_NS6_Pm_056_v1v9_101	3.4.16.4-RXN
S_NS6_Pm_056_v1v9_101	RXN-16649
S_NS6_Pm_056_v1v9_101	RXN-11351
S_NS6_Pm_056_v1v9_101	RXN-16659
S_NS6_Pm_056_v1v9_101	RXN-11302
S_NS6_Pm_056_v1v9_102	RXN-11065
S_NS6_Pm_056_v1v9_102	3.4.16.4-RXN
S_NS6_Pm_056_v1v9_102	RXN-16649
S_NS6_Pm_056_v1v9_102	RXN-11351
S_NS6_Pm_056_v1v9_102	RXN-16659
S_NS6_Pm_056_v1v9_102	RXN-11302
S_NS6_Pm_056_v1v9_103	RXN-11065
S_NS6_Pm_056_v1v9_103	3.4.16.4-RXN
S_NS6_Pm_056_v1v9_103	RXN-16649
S_NS6_Pm_056_v1v9_103	RXN-11351
S_NS6_Pm_056_v1v9_103	RXN-16659
S_NS6_Pm_056_v1v9_103	RXN-11302
S_NS6_Pm_056_v1v9_104	RXN-11065
S_NS6_Pm_056_v1v9_104	3.4.16.4-RXN
S_NS6_Pm_056_v1v9_104	RXN-16649
S_NS6_Pm_056_v1v9_104	RXN-11351
S_NS6_Pm_056_v1v9_104	RXN-16659
S_NS6_Pm_056_v1v9_104	RXN-11302
S_NS6_Pm_056_v1v9_105	3.1.21.3-RXN
S_NS6_Pm_056_v1v9_106	3.1.21.3-RXN
S_NS6_Pm_056_v1v9_107	3.1.21.3-RXN
S_NS6_Pm_056_v1v9_108	3.1.21.3-RXN
S_NS6_Pm_056_v1v9_109	3.1.21.3-RXN
S_NS6_Pm_056_v1v9_110	3.1.21.3-RXN
S_NS6_Pm_056_v1v9_111	RXN-11109
S_NS6_Pm_056_v1v9_112	RXN-11109
S_NS6_Pm_056_v1v9_113	RXN-11109
S_NS6_Pm_056_v1v9_114	RXN-13202
S_NS6_Pm_056_v1v9_114	CARBPSYN-RXN
S_NS6_Pm_056_v1v9_115	RXN-13202
S_NS6_Pm_056_v1v9_115	CARBPSYN-RXN
S_NS6_Pm_056_v1v9_116	RXN-13202
S_NS6_Pm_056_v1v9_116	CARBPSYN-RXN
S_NS6_Pm_056_v1v9_117	RXN-13202
S_NS6_Pm_056_v1v9_117	CARBPSYN-RXN
S_NS6_Pm_056_v1v9_118	3.4.24.70-RXN
S_NS6_Pm_056_v1v9_119	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS6_Pm_056_v1v9_120	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_NS6_Pm_056_v1v9_121	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Pm_056_v1v9_122	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Pm_056_v1v9_123	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_NS6_Pm_056_v1v9_124	2-ISOPROPYLMALATESYN-RXN
S_NS6_Pm_056_v1v9_125	RXN-11602
S_NS6_Pm_056_v1v9_126	TRYPSYN-RXN
S_NS6_Pm_056_v1v9_127	TRYPSYN-RXN
S_NS6_Pm_056_v1v9_128	TRYPSYN-RXN
S_NS6_Pm_056_v1v9_129	6PFRUCTPHOS-RXN
S_NS6_Pm_056_v1v9_130	6PFRUCTPHOS-RXN
S_NS6_Pm_056_v1v9_131	6PFRUCTPHOS-RXN
S_NS6_Pm_056_v1v9_132	6PFRUCTPHOS-RXN
S_NS6_Pm_056_v1v9_133	RXN0-2584
S_NS6_Pm_056_v1v9_134	RXN0-2584
S_NS6_Pm_056_v1v9_135	ATPSYN-RXN
S_NS6_Pm_056_v1v9_136	ATPSYN-RXN
S_NS6_Pm_056_v1v9_137	ATPSYN-RXN
S_NS6_Pm_056_v1v9_140	RXN-12104
S_NS6_Pm_056_v1v9_141	1.5.1.20-RXN
S_NS6_Pm_056_v1v9_142	FGAMSYN-RXN
S_NS6_Pm_056_v1v9_143	3.1.26.4-RXN
S_NS6_Pm_056_v1v9_144	3.1.26.4-RXN
S_NS6_Pm_056_v1v9_145	3.1.3.16-RXN
S_NS6_Pm_056_v1v9_146	THI-P-SYN-RXN
S_NS6_Pm_056_v1v9_146	RXN-12610
S_NS6_Pm_056_v1v9_146	RXN-12611
S_NS6_Pm_056_v1v9_147	THI-P-SYN-RXN
S_NS6_Pm_056_v1v9_147	RXN-12610
S_NS6_Pm_056_v1v9_147	RXN-12611
S_NS6_Pm_056_v1v9_148	MALTACETYLTRAN-RXN
S_NS6_Pm_056_v1v9_149	MALTACETYLTRAN-RXN
S_NS6_Pm_056_v1v9_150	MALTACETYLTRAN-RXN
S_NS6_Pm_056_v1v9_151	RXN-11618
S_NS6_Pm_056_v1v9_151	RXN-11620
S_NS6_Pm_056_v1v9_151	3.2.1.35-RXN
S_NS6_Pm_056_v1v9_152	RXN-11618
S_NS6_Pm_056_v1v9_152	RXN-11620
S_NS6_Pm_056_v1v9_152	3.2.1.35-RXN
S_NS6_Pm_056_v1v9_153	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_154	PHENYLALANINE--TRNA-LIGASE-RXN
S_NS6_Pm_056_v1v9_155	METHYLMALONYL-COA-MUT-RXN
S_NS6_Pm_056_v1v9_156	METHYLMALONYL-COA-MUT-RXN
S_NS6_Pm_056_v1v9_157	GLUCUROISOM-RXN
S_NS6_Pm_056_v1v9_157	GALACTUROISOM-RXN
S_NS6_Pm_056_v1v9_158	ADCLY-RXN
S_NS6_Pm_056_v1v9_159	RXN-14971
S_NS6_Pm_056_v1v9_159	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS6_Pm_056_v1v9_159	RXN-15378
S_NS6_Pm_056_v1v9_160	RXN-14971
S_NS6_Pm_056_v1v9_160	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
S_NS6_Pm_056_v1v9_160	RXN-15378
S_NS6_Pm_056_v1v9_161	ABC-9-RXN
S_NS6_Pm_056_v1v9_161	ABC-10-RXN
S_NS6_Pm_056_v1v9_161	3.6.3.34-RXN
S_NS6_Pm_056_v1v9_161	ABC-11-RXN
S_NS6_Pm_056_v1v9_162	ABC-9-RXN
S_NS6_Pm_056_v1v9_162	ABC-10-RXN
S_NS6_Pm_056_v1v9_162	3.6.3.34-RXN
S_NS6_Pm_056_v1v9_162	ABC-11-RXN
S_NS6_Pm_056_v1v9_163	2.7.7.13-RXN
S_NS6_Pm_056_v1v9_164	2.7.7.13-RXN
S_NS6_Pm_056_v1v9_165	DALADALALIG-RXN
S_NS6_Pm_056_v1v9_166	DALADALALIG-RXN
S_NS6_Pm_056_v1v9_167	5.99.1.3-RXN
S_NS6_Pm_056_v1v9_168	5.99.1.3-RXN
S_NS6_Pm_056_v1v9_169	RXN-13163
S_NS6_Pm_056_v1v9_170	RXN-13163
S_NS6_Pm_056_v1v9_171	CYSTATHIONINE-BETA-LYASE-RXN
S_NS6_Pm_056_v1v9_171	RXN-12729
S_NS6_Pm_056_v1v9_172	CYSTATHIONINE-BETA-LYASE-RXN
S_NS6_Pm_056_v1v9_172	RXN-12729
S_NS6_Pm_056_v1v9_173	RXN-14461
S_NS6_Pm_056_v1v9_174	RXN-14461
S_NS6_Pm_056_v1v9_175	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS6_Pm_056_v1v9_175	ACETYLHOMOSER-CYS-RXN
S_NS6_Pm_056_v1v9_176	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_NS6_Pm_056_v1v9_176	ACETYLHOMOSER-CYS-RXN
S_NS6_Pm_056_v1v9_177	SULFOCYS-RXN
S_NS6_Pm_056_v1v9_177	RXN-12726
S_NS6_Pm_056_v1v9_177	ACSERLY-RXN
S_NS6_Pm_056_v1v9_178	OHMETPYRKIN-RXN
S_NS6_Pm_056_v1v9_179	OHMETPYRKIN-RXN
S_NS6_Pm_056_v1v9_180	PYRIMSYN3-RXN
S_NS6_Pm_056_v1v9_181	PYRIMSYN3-RXN
S_NS6_Pm_056_v1v9_182	PYRIMSYN1-RXN
S_NS6_Pm_056_v1v9_183	OXALODECARB-RXN
S_NS6_Pm_056_v1v9_184	OXALODECARB-RXN
S_NS6_Pm_056_v1v9_185	OXALODECARB-RXN
S_NS6_Pm_056_v1v9_186	OXALODECARB-RXN
S_NS6_Pm_056_v1v9_187	GLUTAMINESYN-RXN
S_NS6_Pm_056_v1v9_188	GLUTAMINESYN-RXN
S_NS6_Pm_056_v1v9_189	GLUTAMINESYN-RXN
S_NS6_Pm_056_v1v9_190	ADENYL-KIN-RXN
S_NS6_Pm_056_v1v9_191	3.4.21.89-RXN
S_NS6_Pm_056_v1v9_192	3.4.21.89-RXN
S_NS6_Pm_056_v1v9_193	3.4.21.89-RXN
S_NS6_Pm_056_v1v9_194	3.4.21.89-RXN
S_NS6_Pm_056_v1v9_195	3.4.21.89-RXN
S_NS6_Pm_056_v1v9_196	RXN-15881
S_NS6_Pm_056_v1v9_196	RXN-14384
S_NS6_Pm_056_v1v9_196	RXN-14385
S_NS6_Pm_056_v1v9_196	RXN-14386
S_NS6_Pm_056_v1v9_196	RXN-12587
S_NS6_Pm_056_v1v9_196	RXN-9787
S_NS6_Pm_056_v1v9_196	RXN-12588
S_NS6_Pm_056_v1v9_196	RXN0-308
S_NS6_Pm_056_v1v9_197	ABC-27-RXN
S_NS6_Pm_056_v1v9_198	RXN-12720
S_NS6_Pm_056_v1v9_198	SULFATE-ADENYLYLTRANS-RXN
S_NS6_Pm_056_v1v9_199	RXN-12720
S_NS6_Pm_056_v1v9_199	SULFATE-ADENYLYLTRANS-RXN
S_NS6_Pm_056_v1v9_200	RXN-11837
S_NS6_Pm_056_v1v9_201	RXN-11837
S_NS6_Pm_056_v1v9_202	RXN-11837
S_NS6_Pm_056_v1v9_203	UDPGLUCEPIM-RXN
S_NS6_Pm_056_v1v9_204	UDPGLUCEPIM-RXN
S_NS6_Pm_056_v1v9_205	2PGADEHYDRAT-RXN
S_NS6_Pm_056_v1v9_206	ALPHAGALACTOSID-RXN
S_NS6_Pm_056_v1v9_206	RXN-11501
S_NS6_Pm_056_v1v9_206	RXN-12088
S_NS6_Pm_056_v1v9_208	RXN-14455
S_NS6_Pm_056_v1v9_209	1.8.4.12-RXN
S_NS6_Pm_056_v1v9_210	RXN-8668
S_NS6_Pm_056_v1v9_211	DIHYDROOROT-RXN
S_NS6_Pm_056_v1v9_212	RXN-11396
S_NS6_Pm_056_v1v9_213	GLUCOKIN-RXN
S_NS6_Pm_056_v1v9_213	RXN66-521
S_NS6_Pm_056_v1v9_213	RXN-1685
S_NS6_Pm_056_v1v9_214	GLUCOKIN-RXN
S_NS6_Pm_056_v1v9_214	RXN66-521
S_NS6_Pm_056_v1v9_214	RXN-1685
S_NS6_Pm_056_v1v9_215	ADENOSYLHOMOCYSTEINASE-RXN
S_NS6_Pm_056_v1v9_216	3-DEHYDROQUINATE-SYNTHASE-RXN
S_NS6_Pm_056_v1v9_217	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS6_Pm_056_v1v9_218	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_NS6_Pm_056_v1v9_219	RXN-13182
S_NS6_Pm_056_v1v9_219	SIALATE-O-ACETYLESTERASE-RXN
S_NS6_Pm_056_v1v9_219	RXN-13181
S_NS6_Pm_056_v1v9_220	RXN-14970
S_NS6_Pm_056_v1v9_220	RXN-14963
S_NS6_Pm_056_v1v9_220	R601-RXN
S_NS6_Pm_056_v1v9_221	RXN-14970
S_NS6_Pm_056_v1v9_221	RXN-14963
S_NS6_Pm_056_v1v9_221	R601-RXN
S_NS6_Pm_056_v1v9_222	3.5.1.88-RXN
S_NS6_Pm_056_v1v9_222	3.5.1.27-RXN
S_NS6_Pm_056_v1v9_223	TDCEACT-RXN
S_NS6_Pm_056_v1v9_224	TDCEACT-RXN
S_NS6_Pm_056_v1v9_225	TDCEACT-RXN
S_NS6_Pm_056_v1v9_226	RXN-14283
S_NS6_Pm_056_v1v9_226	RXN-14282
S_NS6_Pm_056_v1v9_226	RXN-14350
S_NS6_Pm_056_v1v9_226	RXN-15910
S_NS6_Pm_056_v1v9_226	RXN0-5183
S_NS6_Pm_056_v1v9_226	RXN-14349
S_NS6_Pm_056_v1v9_226	MALTODEXGLUCOSID-RXN
S_NS6_Pm_056_v1v9_226	RXN-14281
S_NS6_Pm_056_v1v9_226	RXN-2141
