S_S2_Cc_069_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_v1v9_64	RXN-11302
S_S2_Cc_069_v1v9_65	RXN-11065
S_S2_Cc_069_v1v9_65	3.4.16.4-RXN
S_S2_Cc_069_v1v9_65	RXN-16649
S_S2_Cc_069_v1v9_65	RXN-11351
S_S2_Cc_069_v1v9_65	RXN-16659
S_S2_Cc_069_v1v9_65	RXN-11302
S_S2_Cc_069_v1v9_66	RXN-11065
S_S2_Cc_069_v1v9_66	3.4.16.4-RXN
S_S2_Cc_069_v1v9_66	RXN-16649
S_S2_Cc_069_v1v9_66	RXN-11351
S_S2_Cc_069_v1v9_66	RXN-16659
S_S2_Cc_069_v1v9_66	RXN-11302
S_S2_Cc_069_v1v9_67	RXN-11065
S_S2_Cc_069_v1v9_67	3.4.16.4-RXN
S_S2_Cc_069_v1v9_67	RXN-16649
S_S2_Cc_069_v1v9_67	RXN-11351
S_S2_Cc_069_v1v9_67	RXN-16659
S_S2_Cc_069_v1v9_67	RXN-11302
S_S2_Cc_069_v1v9_68	RXN-11065
S_S2_Cc_069_v1v9_68	3.4.16.4-RXN
S_S2_Cc_069_v1v9_68	RXN-16649
S_S2_Cc_069_v1v9_68	RXN-11351
S_S2_Cc_069_v1v9_68	RXN-16659
S_S2_Cc_069_v1v9_68	RXN-11302
S_S2_Cc_069_v1v9_69	RXN-11065
S_S2_Cc_069_v1v9_69	3.4.16.4-RXN
S_S2_Cc_069_v1v9_69	RXN-16649
S_S2_Cc_069_v1v9_69	RXN-11351
S_S2_Cc_069_v1v9_69	RXN-16659
S_S2_Cc_069_v1v9_69	RXN-11302
S_S2_Cc_069_v1v9_70	3.1.21.3-RXN
S_S2_Cc_069_v1v9_71	3.1.21.3-RXN
S_S2_Cc_069_v1v9_72	RXN-11109
S_S2_Cc_069_v1v9_73	RXN-13202
S_S2_Cc_069_v1v9_73	CARBPSYN-RXN
S_S2_Cc_069_v1v9_74	RXN-13202
S_S2_Cc_069_v1v9_74	CARBPSYN-RXN
S_S2_Cc_069_v1v9_75	PROTEIN-TYROSINE-PHOSPHATASE-RXN
S_S2_Cc_069_v1v9_76	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Cc_069_v1v9_77	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Cc_069_v1v9_78	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Cc_069_v1v9_79	DNA-DIRECTED-RNA-POLYMERASE-RXN
S_S2_Cc_069_v1v9_80	2-ISOPROPYLMALATESYN-RXN
S_S2_Cc_069_v1v9_81	RXN-11602
S_S2_Cc_069_v1v9_82	TRYPSYN-RXN
S_S2_Cc_069_v1v9_83	TRYPSYN-RXN
S_S2_Cc_069_v1v9_84	6.3.5.6-RXN
S_S2_Cc_069_v1v9_85	6.3.5.6-RXN
S_S2_Cc_069_v1v9_86	6.3.5.6-RXN
S_S2_Cc_069_v1v9_87	6.3.5.7-RXN
S_S2_Cc_069_v1v9_88	6.3.5.7-RXN
S_S2_Cc_069_v1v9_89	6.3.5.7-RXN
S_S2_Cc_069_v1v9_90	6PFRUCTPHOS-RXN
S_S2_Cc_069_v1v9_91	6PFRUCTPHOS-RXN
S_S2_Cc_069_v1v9_92	6PFRUCTPHOS-RXN
S_S2_Cc_069_v1v9_93	6PFRUCTPHOS-RXN
S_S2_Cc_069_v1v9_94	RXN0-2584
S_S2_Cc_069_v1v9_95	RXN-11591
S_S2_Cc_069_v1v9_96	ATPSYN-RXN
S_S2_Cc_069_v1v9_97	ATPSYN-RXN
S_S2_Cc_069_v1v9_98	ATPSYN-RXN
S_S2_Cc_069_v1v9_99	ATPSYN-RXN
S_S2_Cc_069_v1v9_102	RXN-12104
S_S2_Cc_069_v1v9_103	RXN-12104
S_S2_Cc_069_v1v9_104	1.5.1.20-RXN
S_S2_Cc_069_v1v9_105	FGAMSYN-RXN
S_S2_Cc_069_v1v9_106	3.1.26.4-RXN
S_S2_Cc_069_v1v9_107	3.1.26.4-RXN
S_S2_Cc_069_v1v9_108	3.1.3.16-RXN
S_S2_Cc_069_v1v9_109	3.1.3.16-RXN
S_S2_Cc_069_v1v9_110	3.1.3.16-RXN
S_S2_Cc_069_v1v9_111	RXN-16024
S_S2_Cc_069_v1v9_111	RXN-16117
S_S2_Cc_069_v1v9_111	RXN-10462
S_S2_Cc_069_v1v9_111	RXN-13805
S_S2_Cc_069_v1v9_111	RXN-1381
S_S2_Cc_069_v1v9_111	RXN-15045
S_S2_Cc_069_v1v9_112	RXN-16024
S_S2_Cc_069_v1v9_112	RXN-16117
S_S2_Cc_069_v1v9_112	RXN-10462
S_S2_Cc_069_v1v9_112	RXN-13805
S_S2_Cc_069_v1v9_112	RXN-1381
S_S2_Cc_069_v1v9_112	RXN-15045
S_S2_Cc_069_v1v9_113	THI-P-SYN-RXN
S_S2_Cc_069_v1v9_113	RXN-12610
S_S2_Cc_069_v1v9_113	RXN-12611
S_S2_Cc_069_v1v9_114	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_115	PHENYLALANINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_116	ADCLY-RXN
S_S2_Cc_069_v1v9_117	ABC-9-RXN
S_S2_Cc_069_v1v9_117	ABC-10-RXN
S_S2_Cc_069_v1v9_117	3.6.3.34-RXN
S_S2_Cc_069_v1v9_117	ABC-11-RXN
S_S2_Cc_069_v1v9_118	ABC-9-RXN
S_S2_Cc_069_v1v9_118	ABC-10-RXN
S_S2_Cc_069_v1v9_118	3.6.3.34-RXN
S_S2_Cc_069_v1v9_118	ABC-11-RXN
S_S2_Cc_069_v1v9_119	DALADALALIG-RXN
S_S2_Cc_069_v1v9_120	5.99.1.3-RXN
S_S2_Cc_069_v1v9_121	5.99.1.3-RXN
S_S2_Cc_069_v1v9_122	5.99.1.3-RXN
S_S2_Cc_069_v1v9_123	5.99.1.3-RXN
S_S2_Cc_069_v1v9_124	RXN-13163
S_S2_Cc_069_v1v9_125	RXN-13163
S_S2_Cc_069_v1v9_126	RXN-13163
S_S2_Cc_069_v1v9_127	RXN-13163
S_S2_Cc_069_v1v9_128	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Cc_069_v1v9_128	RXN-12729
S_S2_Cc_069_v1v9_129	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Cc_069_v1v9_129	RXN-12729
S_S2_Cc_069_v1v9_130	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Cc_069_v1v9_130	RXN-12729
S_S2_Cc_069_v1v9_131	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Cc_069_v1v9_131	RXN-12729
S_S2_Cc_069_v1v9_132	CYSTATHIONINE-BETA-LYASE-RXN
S_S2_Cc_069_v1v9_132	RXN-12729
S_S2_Cc_069_v1v9_133	RXN-14461
S_S2_Cc_069_v1v9_134	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S2_Cc_069_v1v9_134	ACETYLHOMOSER-CYS-RXN
S_S2_Cc_069_v1v9_135	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
S_S2_Cc_069_v1v9_135	ACETYLHOMOSER-CYS-RXN
S_S2_Cc_069_v1v9_136	SULFOCYS-RXN
S_S2_Cc_069_v1v9_136	RXN-12726
S_S2_Cc_069_v1v9_136	ACSERLY-RXN
S_S2_Cc_069_v1v9_137	OHMETPYRKIN-RXN
S_S2_Cc_069_v1v9_138	PYRIMSYN3-RXN
S_S2_Cc_069_v1v9_139	OXALODECARB-RXN
S_S2_Cc_069_v1v9_140	OXALODECARB-RXN
S_S2_Cc_069_v1v9_141	OXALODECARB-RXN
S_S2_Cc_069_v1v9_142	OXALODECARB-RXN
S_S2_Cc_069_v1v9_143	GLUTAMINESYN-RXN
S_S2_Cc_069_v1v9_144	GLUTAMINESYN-RXN
S_S2_Cc_069_v1v9_145	ADENPRIBOSYLTRAN-RXN
S_S2_Cc_069_v1v9_145	RXN-14270
S_S2_Cc_069_v1v9_146	ADENYL-KIN-RXN
S_S2_Cc_069_v1v9_147	3.4.21.89-RXN
S_S2_Cc_069_v1v9_148	3.4.21.89-RXN
S_S2_Cc_069_v1v9_149	3.4.21.89-RXN
S_S2_Cc_069_v1v9_150	RXN-15881
S_S2_Cc_069_v1v9_150	RXN-14384
S_S2_Cc_069_v1v9_150	RXN-14385
S_S2_Cc_069_v1v9_150	RXN-14386
S_S2_Cc_069_v1v9_150	RXN-12587
S_S2_Cc_069_v1v9_150	RXN-9787
S_S2_Cc_069_v1v9_150	RXN-12588
S_S2_Cc_069_v1v9_150	RXN0-308
S_S2_Cc_069_v1v9_151	RXN-15881
S_S2_Cc_069_v1v9_151	RXN-14384
S_S2_Cc_069_v1v9_151	RXN-14385
S_S2_Cc_069_v1v9_151	RXN-14386
S_S2_Cc_069_v1v9_151	RXN-12587
S_S2_Cc_069_v1v9_151	RXN-9787
S_S2_Cc_069_v1v9_151	RXN-12588
S_S2_Cc_069_v1v9_151	RXN0-308
S_S2_Cc_069_v1v9_152	ABC-27-RXN
S_S2_Cc_069_v1v9_153	RXN-11837
S_S2_Cc_069_v1v9_154	RXN-11837
S_S2_Cc_069_v1v9_155	RXN-11837
S_S2_Cc_069_v1v9_156	UDPGLUCEPIM-RXN
S_S2_Cc_069_v1v9_157	UDPGLUCEPIM-RXN
S_S2_Cc_069_v1v9_158	2PGADEHYDRAT-RXN
S_S2_Cc_069_v1v9_160	RXN-14455
S_S2_Cc_069_v1v9_161	RXN-14455
S_S2_Cc_069_v1v9_162	DIHYDROOROT-RXN
S_S2_Cc_069_v1v9_163	DIHYDROOROT-RXN
S_S2_Cc_069_v1v9_164	RXN-11396
S_S2_Cc_069_v1v9_165	RXN-11396
S_S2_Cc_069_v1v9_166	GLUCOKIN-RXN
S_S2_Cc_069_v1v9_166	RXN66-521
S_S2_Cc_069_v1v9_166	RXN-1685
S_S2_Cc_069_v1v9_167	GLUCOKIN-RXN
S_S2_Cc_069_v1v9_167	RXN66-521
S_S2_Cc_069_v1v9_167	RXN-1685
S_S2_Cc_069_v1v9_168	GLUCOKIN-RXN
S_S2_Cc_069_v1v9_168	RXN66-521
S_S2_Cc_069_v1v9_168	RXN-1685
S_S2_Cc_069_v1v9_169	3-DEHYDROQUINATE-SYNTHASE-RXN
S_S2_Cc_069_v1v9_170	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Cc_069_v1v9_171	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Cc_069_v1v9_172	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Cc_069_v1v9_173	R-2-METHYLMALATE-DEHYDRATASE-RXN
S_S2_Cc_069_v1v9_174	3.5.1.88-RXN
S_S2_Cc_069_v1v9_174	3.5.1.27-RXN
S_S2_Cc_069_v1v9_175	3.5.1.88-RXN
S_S2_Cc_069_v1v9_175	3.5.1.27-RXN
S_S2_Cc_069_v1v9_176	TDCEACT-RXN
S_S2_Cc_069_v1v9_177	TDCEACT-RXN
S_S2_Cc_069_v1v9_178	TDCEACT-RXN
S_S2_Cc_069_v1v9_179	TDCEACT-RXN
S_S2_Cc_069_v1v9_180	RXN-11836
S_S2_Cc_069_v1v9_181	2.7.1.90-RXN
S_S2_Cc_069_v1v9_182	2.7.1.90-RXN
S_S2_Cc_069_v1v9_183	2.7.1.90-RXN
S_S2_Cc_069_v1v9_184	ACETOLACTSYN-RXN
S_S2_Cc_069_v1v9_184	ACETOOHBUTSYN-RXN
S_S2_Cc_069_v1v9_185	ACETOLACTSYN-RXN
S_S2_Cc_069_v1v9_185	ACETOOHBUTSYN-RXN
S_S2_Cc_069_v1v9_186	ACETOLACTSYN-RXN
S_S2_Cc_069_v1v9_186	ACETOOHBUTSYN-RXN
S_S2_Cc_069_v1v9_187	ACETOLACTSYN-RXN
S_S2_Cc_069_v1v9_187	ACETOOHBUTSYN-RXN
S_S2_Cc_069_v1v9_188	ALARACECAT-RXN
S_S2_Cc_069_v1v9_189	3.1.11.6-RXN
S_S2_Cc_069_v1v9_190	3.1.11.6-RXN
S_S2_Cc_069_v1v9_191	GLUTAMIN-RXN
S_S2_Cc_069_v1v9_192	GLUTAMIN-RXN
S_S2_Cc_069_v1v9_193	2.1.1.63-RXN
S_S2_Cc_069_v1v9_194	3.4.23.43-RXN
S_S2_Cc_069_v1v9_195	3.4.23.43-RXN
S_S2_Cc_069_v1v9_196	3.4.23.43-RXN
S_S2_Cc_069_v1v9_197	3.4.23.43-RXN
S_S2_Cc_069_v1v9_198	3.4.23.43-RXN
S_S2_Cc_069_v1v9_199	METHIONINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_199	RXN-16165
S_S2_Cc_069_v1v9_200	DTDPDEHYRHAMREDUCT-RXN
S_S2_Cc_069_v1v9_201	GLUCOSAMINE-6-P-DEAMIN-RXN
S_S2_Cc_069_v1v9_202	RXN-12462
S_S2_Cc_069_v1v9_203	RXN-12463
S_S2_Cc_069_v1v9_204	OROPRIBTRANS-RXN
S_S2_Cc_069_v1v9_205	OROPRIBTRANS-RXN
S_S2_Cc_069_v1v9_206	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Cc_069_v1v9_207	OROTPDECARB-RXN
S_S2_Cc_069_v1v9_208	ASPARTATE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_209	ASPARTATE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_210	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Cc_069_v1v9_211	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Cc_069_v1v9_212	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Cc_069_v1v9_213	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Cc_069_v1v9_214	4.3.1.17-RXN
S_S2_Cc_069_v1v9_215	4.3.1.17-RXN
S_S2_Cc_069_v1v9_216	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S2_Cc_069_v1v9_217	FARNESYLTRANSTRANSFERASE-RXN
S_S2_Cc_069_v1v9_218	FPPSYN-RXN
S_S2_Cc_069_v1v9_219	GPPSYN-RXN
S_S2_Cc_069_v1v9_220	RXN0-6480
S_S2_Cc_069_v1v9_220	3.1.26.5-RXN
S_S2_Cc_069_v1v9_221	RXN0-6727
S_S2_Cc_069_v1v9_221	RXN-13141
S_S2_Cc_069_v1v9_222	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Cc_069_v1v9_223	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Cc_069_v1v9_224	GLUTAMATESYN-RXN
S_S2_Cc_069_v1v9_225	GLUTAMATESYN-RXN
S_S2_Cc_069_v1v9_226	RXN-11290
S_S2_Cc_069_v1v9_227	RXN-11290
S_S2_Cc_069_v1v9_228	RXN0-302
S_S2_Cc_069_v1v9_229	RXN-11592
S_S2_Cc_069_v1v9_230	RXN-12752
S_S2_Cc_069_v1v9_230	RXN-13142
