S_S2_Cc_069_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Cc_069_v1v9_285	ALANINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_286	ALANINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_287	RXN-11633
S_S2_Cc_069_v1v9_288	AIRS-RXN
S_S2_Cc_069_v1v9_289	PRPPAMIDOTRANS-RXN
S_S2_Cc_069_v1v9_290	P-PANTOCYSDECARB-RXN
S_S2_Cc_069_v1v9_291	P-PANTOCYSLIG-RXN
S_S2_Cc_069_v1v9_293	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
S_S2_Cc_069_v1v9_294	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
S_S2_Cc_069_v1v9_295	GUANYL-KIN-RXN
S_S2_Cc_069_v1v9_296	GUANYL-KIN-RXN
S_S2_Cc_069_v1v9_297	2.3.1.180-RXN
S_S2_Cc_069_v1v9_298	DXPREDISOM-RXN
S_S2_Cc_069_v1v9_299	PANTEPADENYLYLTRAN-RXN
S_S2_Cc_069_v1v9_300	RXN0-5462
S_S2_Cc_069_v1v9_301	SERINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_301	RXN0-2161
S_S2_Cc_069_v1v9_302	FUMHYDR-RXN
S_S2_Cc_069_v1v9_303	FUMHYDR-RXN
S_S2_Cc_069_v1v9_304	FUMHYDR-RXN
S_S2_Cc_069_v1v9_305	DIHYDRODIPICSYN-RXN
S_S2_Cc_069_v1v9_306	RXN-14014
S_S2_Cc_069_v1v9_307	THREONINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_308	RXN-14712
S_S2_Cc_069_v1v9_308	RXN-15521
S_S2_Cc_069_v1v9_308	2.4.1.129-RXN
S_S2_Cc_069_v1v9_308	RXN-11350
S_S2_Cc_069_v1v9_308	RXN-11291
S_S2_Cc_069_v1v9_308	RXN-16650
S_S2_Cc_069_v1v9_308	RXN-11348
S_S2_Cc_069_v1v9_309	GLYC3PDEHYDROGBIOSYN-RXN
S_S2_Cc_069_v1v9_310	LYSINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_311	LYSINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_312	GMP-SYN-GLUT-RXN
S_S2_Cc_069_v1v9_313	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S2_Cc_069_v1v9_313	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S2_Cc_069_v1v9_313	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S2_Cc_069_v1v9_314	F16ALDOLASE-RXN
S_S2_Cc_069_v1v9_314	RXN-8631
S_S2_Cc_069_v1v9_315	DIAMINOPIMDECARB-RXN
S_S2_Cc_069_v1v9_316	RXN0-1342
S_S2_Cc_069_v1v9_317	PGLYCDEHYDROG-RXN
S_S2_Cc_069_v1v9_318	PGLYCDEHYDROG-RXN
S_S2_Cc_069_v1v9_319	PGLYCDEHYDROG-RXN
S_S2_Cc_069_v1v9_320	PGLYCDEHYDROG-RXN
S_S2_Cc_069_v1v9_321	PGLYCDEHYDROG-RXN
S_S2_Cc_069_v1v9_327	ASPARAGINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_328	IMP-DEHYDROG-RXN
S_S2_Cc_069_v1v9_329	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S2_Cc_069_v1v9_330	PYRUFLAVREDUCT-RXN
S_S2_Cc_069_v1v9_330	2-OXOBUTYRATE-SYNTHASE-RXN
S_S2_Cc_069_v1v9_331	DAHPSYN-RXN
S_S2_Cc_069_v1v9_332	DAHPSYN-RXN
S_S2_Cc_069_v1v9_333	FADSYN-RXN
S_S2_Cc_069_v1v9_334	RIBOFLAVINKIN-RXN
S_S2_Cc_069_v1v9_335	RXN-11839
S_S2_Cc_069_v1v9_336	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S2_Cc_069_v1v9_338	RXN-1961
S_S2_Cc_069_v1v9_339	PHOSACETYLTRANS-RXN
S_S2_Cc_069_v1v9_340	PRPPSYN-RXN
S_S2_Cc_069_v1v9_341	PRPPSYN-RXN
S_S2_Cc_069_v1v9_342	S-2-HYDROXY-ACID-OXIDASE-RXN
S_S2_Cc_069_v1v9_342	RXN-969
S_S2_Cc_069_v1v9_343	RIBOFLAVINSYNDEAM-RXN
S_S2_Cc_069_v1v9_344	RIBOFLAVINSYNREDUC-RXN
S_S2_Cc_069_v1v9_345	4.1.1.81-RXN
S_S2_Cc_069_v1v9_346	RXN-11877
S_S2_Cc_069_v1v9_347	HISTAMINOTRANS-RXN
S_S2_Cc_069_v1v9_348	RXN-7669
S_S2_Cc_069_v1v9_348	GLYCOGEN-BRANCH-RXN
S_S2_Cc_069_v1v9_348	RXN-7710
S_S2_Cc_069_v1v9_348	RXN-14371
S_S2_Cc_069_v1v9_348	RXN-14372
S_S2_Cc_069_v1v9_349	RXN-7669
S_S2_Cc_069_v1v9_349	GLYCOGEN-BRANCH-RXN
S_S2_Cc_069_v1v9_349	RXN-7710
S_S2_Cc_069_v1v9_349	RXN-14371
S_S2_Cc_069_v1v9_349	RXN-14372
S_S2_Cc_069_v1v9_350	RXN-13482
S_S2_Cc_069_v1v9_350	ORNCARBAMTRANSFER-RXN
S_S2_Cc_069_v1v9_351	2.7.3.9-RXN
S_S2_Cc_069_v1v9_352	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S2_Cc_069_v1v9_353	GLYCINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_354	RXN-11833
S_S2_Cc_069_v1v9_355	ABC-14-RXN
S_S2_Cc_069_v1v9_355	ABC-12-RXN
S_S2_Cc_069_v1v9_355	RXN0-3
S_S2_Cc_069_v1v9_355	ABC-4-RXN
S_S2_Cc_069_v1v9_355	TRANS-RXN-265
S_S2_Cc_069_v1v9_355	ABC-3-RXN
S_S2_Cc_069_v1v9_355	TRANS-RXN0-222
S_S2_Cc_069_v1v9_355	ABC-13-RXN
S_S2_Cc_069_v1v9_355	TRANS-RXN0-593
S_S2_Cc_069_v1v9_355	3.6.3.21-RXN
S_S2_Cc_069_v1v9_355	ABC-37-RXN
S_S2_Cc_069_v1v9_356	ABC-14-RXN
S_S2_Cc_069_v1v9_356	ABC-12-RXN
S_S2_Cc_069_v1v9_356	RXN0-3
S_S2_Cc_069_v1v9_356	ABC-4-RXN
S_S2_Cc_069_v1v9_356	TRANS-RXN-265
S_S2_Cc_069_v1v9_356	ABC-3-RXN
S_S2_Cc_069_v1v9_356	TRANS-RXN0-222
S_S2_Cc_069_v1v9_356	ABC-13-RXN
S_S2_Cc_069_v1v9_356	TRANS-RXN0-593
S_S2_Cc_069_v1v9_356	3.6.3.21-RXN
S_S2_Cc_069_v1v9_356	ABC-37-RXN
S_S2_Cc_069_v1v9_357	ABC-14-RXN
S_S2_Cc_069_v1v9_357	ABC-12-RXN
S_S2_Cc_069_v1v9_357	RXN0-3
S_S2_Cc_069_v1v9_357	ABC-4-RXN
S_S2_Cc_069_v1v9_357	TRANS-RXN-265
S_S2_Cc_069_v1v9_357	ABC-3-RXN
S_S2_Cc_069_v1v9_357	TRANS-RXN0-222
S_S2_Cc_069_v1v9_357	ABC-13-RXN
S_S2_Cc_069_v1v9_357	TRANS-RXN0-593
S_S2_Cc_069_v1v9_357	3.6.3.21-RXN
S_S2_Cc_069_v1v9_357	ABC-37-RXN
S_S2_Cc_069_v1v9_358	RXN-15006
S_S2_Cc_069_v1v9_358	N-ACETYLGLUTPREDUCT-RXN
S_S2_Cc_069_v1v9_359	RXN-11598
S_S2_Cc_069_v1v9_360	DIHYDROFOLATEREDUCT-RXN
S_S2_Cc_069_v1v9_361	THIAZOLSYN3-RXN
S_S2_Cc_069_v1v9_362	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_v1v9_363	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_v1v9_364	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_v1v9_365	SHIKIMATE-KINASE-RXN
S_S2_Cc_069_v1v9_366	RXN-16076
S_S2_Cc_069_v1v9_366	RXN-16077
S_S2_Cc_069_v1v9_366	RXN-16032
S_S2_Cc_069_v1v9_366	RXN-16118
S_S2_Cc_069_v1v9_366	RXN-15043
S_S2_Cc_069_v1v9_366	RXN0-6705
S_S2_Cc_069_v1v9_366	RXN-16067
S_S2_Cc_069_v1v9_366	RXN-16066
S_S2_Cc_069_v1v9_366	RXN-16025
S_S2_Cc_069_v1v9_366	RXN0-5514
S_S2_Cc_069_v1v9_366	RXN-1623
S_S2_Cc_069_v1v9_366	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S2_Cc_069_v1v9_367	3.1.26.3-RXN
S_S2_Cc_069_v1v9_368	RXN-11637
S_S2_Cc_069_v1v9_369	RXN-11048
S_S2_Cc_069_v1v9_369	RXN0-1922
S_S2_Cc_069_v1v9_370	NAD-SYNTH-GLN-RXN
S_S2_Cc_069_v1v9_371	RXN-14569
S_S2_Cc_069_v1v9_372	RXN0-1321
S_S2_Cc_069_v1v9_372	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_373	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_374	VALINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_375	3PGAREARR-RXN
S_S2_Cc_069_v1v9_376	DXS-RXN
S_S2_Cc_069_v1v9_377	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_378	PREPHENATEDEHYDROG-RXN
S_S2_Cc_069_v1v9_379	DCMP-DEAMINASE-RXN
S_S2_Cc_069_v1v9_380	RXN-7913
S_S2_Cc_069_v1v9_380	RXN-11832
S_S2_Cc_069_v1v9_381	RXN-7913
S_S2_Cc_069_v1v9_381	RXN-11832
S_S2_Cc_069_v1v9_382	THREDEHYD-RXN
S_S2_Cc_069_v1v9_383	THREDEHYD-RXN
S_S2_Cc_069_v1v9_384	R345-RXN
S_S2_Cc_069_v1v9_385	COBALAMINSYN-RXN
S_S2_Cc_069_v1v9_385	COBALAMIN5PSYN-RXN
S_S2_Cc_069_v1v9_386	DMBPPRIBOSYLTRANS-RXN
S_S2_Cc_069_v1v9_387	RXN-6261
S_S2_Cc_069_v1v9_387	6.3.1.10-RXN
S_S2_Cc_069_v1v9_388	SERINE-O-ACETTRAN-RXN
S_S2_Cc_069_v1v9_389	GLUTSEMIALDEHYDROG-RXN
S_S2_Cc_069_v1v9_390	GLUTKIN-RXN
S_S2_Cc_069_v1v9_391	2TRANSKETO-RXN
S_S2_Cc_069_v1v9_391	1TRANSKETO-RXN
S_S2_Cc_069_v1v9_392	SAICARSYN-RXN
S_S2_Cc_069_v1v9_393	4.2.99.18-RXN
S_S2_Cc_069_v1v9_393	RXN0-2601
S_S2_Cc_069_v1v9_394	4.2.99.18-RXN
S_S2_Cc_069_v1v9_394	RXN0-2601
S_S2_Cc_069_v1v9_395	ARGSUCCINSYN-RXN
S_S2_Cc_069_v1v9_395	RXN-10
S_S2_Cc_069_v1v9_396	TRIOSEPISOMERIZATION-RXN
S_S2_Cc_069_v1v9_397	TRIOSEPISOMERIZATION-RXN
S_S2_Cc_069_v1v9_398	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_399	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_400	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_401	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_402	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_403	AMPSYN-RXN
S_S2_Cc_069_v1v9_403	AICARSYN-RXN
S_S2_Cc_069_v1v9_404	SHIKIMATE-5-DEHYDROGENASE-RXN
S_S2_Cc_069_v1v9_405	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S2_Cc_069_v1v9_405	RXN0-748
S_S2_Cc_069_v1v9_405	RXN0-747
S_S2_Cc_069_v1v9_405	GDPREDUCT-RXN
S_S2_Cc_069_v1v9_405	ADPREDUCT-RXN
S_S2_Cc_069_v1v9_405	RXN0-722
S_S2_Cc_069_v1v9_405	CDPREDUCT-RXN
S_S2_Cc_069_v1v9_405	UDPREDUCT-RXN
S_S2_Cc_069_v1v9_405	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S2_Cc_069_v1v9_406	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
S_S2_Cc_069_v1v9_406	RXN0-748
S_S2_Cc_069_v1v9_406	RXN0-747
S_S2_Cc_069_v1v9_406	GDPREDUCT-RXN
S_S2_Cc_069_v1v9_406	ADPREDUCT-RXN
S_S2_Cc_069_v1v9_406	RXN0-722
S_S2_Cc_069_v1v9_406	CDPREDUCT-RXN
S_S2_Cc_069_v1v9_406	UDPREDUCT-RXN
S_S2_Cc_069_v1v9_406	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
S_S2_Cc_069_v1v9_407	ASPARTATEKIN-RXN
S_S2_Cc_069_v1v9_408	HOMOSERDEHYDROG-RXN
S_S2_Cc_069_v1v9_409	HOMOSERDEHYDROG-RXN
S_S2_Cc_069_v1v9_410	HOMOCYSMETB12-RXN
S_S2_Cc_069_v1v9_411	HOMOCYSMETB12-RXN
S_S2_Cc_069_v1v9_412	3.4.11.4-RXN
S_S2_Cc_069_v1v9_413	3.4.11.4-RXN
S_S2_Cc_069_v1v9_414	2.7.7.8-RXN
S_S2_Cc_069_v1v9_415	GUANPRIBOSYLTRAN-RXN
S_S2_Cc_069_v1v9_415	HYPOXANPRIBOSYLTRAN-RXN
S_S2_Cc_069_v1v9_416	RXN-9382
S_S2_Cc_069_v1v9_417	RXN-9655
S_S2_Cc_069_v1v9_417	RXN-10061
S_S2_Cc_069_v1v9_417	RXN1G-760
S_S2_Cc_069_v1v9_417	RXN-10656
S_S2_Cc_069_v1v9_417	RXN1G-220
S_S2_Cc_069_v1v9_417	RXN-9537
S_S2_Cc_069_v1v9_417	RXN-9533
S_S2_Cc_069_v1v9_417	RXN-9557
S_S2_Cc_069_v1v9_417	4.2.1.61-RXN
S_S2_Cc_069_v1v9_417	RXN1G-884
S_S2_Cc_069_v1v9_417	RXN1G-648
S_S2_Cc_069_v1v9_417	RXN1G-645
S_S2_Cc_069_v1v9_417	RXN-16623
S_S2_Cc_069_v1v9_417	RXN1G-355
S_S2_Cc_069_v1v9_417	RXN1G-377
S_S2_Cc_069_v1v9_417	RXN1G-27
S_S2_Cc_069_v1v9_417	4.2.1.59-RXN
S_S2_Cc_069_v1v9_417	RXN1G-214
S_S2_Cc_069_v1v9_417	RXN1G-294
S_S2_Cc_069_v1v9_417	RXN-11481
S_S2_Cc_069_v1v9_417	3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
S_S2_Cc_069_v1v9_417	RXN1G-279
S_S2_Cc_069_v1v9_417	RXN1G-1004
S_S2_Cc_069_v1v9_417	RXN1G-912
S_S2_Cc_069_v1v9_417	RXN-10660
S_S2_Cc_069_v1v9_417	RXN-16627
S_S2_Cc_069_v1v9_417	RXN-9520
S_S2_Cc_069_v1v9_417	RXN1G-266
S_S2_Cc_069_v1v9_417	RXN1G-1081
S_S2_Cc_069_v1v9_417	RXN1G-1084
S_S2_Cc_069_v1v9_417	RXN1G-420
S_S2_Cc_069_v1v9_417	RXN1G-425
S_S2_Cc_069_v1v9_417	RXN1G-1278
S_S2_Cc_069_v1v9_417	RXN0-2144
S_S2_Cc_069_v1v9_417	RXN1G-440
S_S2_Cc_069_v1v9_417	RXN1G-127
S_S2_Cc_069_v1v9_417	RXN1G-464
S_S2_Cc_069_v1v9_417	RXN-16631
S_S2_Cc_069_v1v9_417	RXN-16619
S_S2_Cc_069_v1v9_417	RXN1G-363
S_S2_Cc_069_v1v9_417	RXN1G-554
S_S2_Cc_069_v1v9_417	RXN1G-309
S_S2_Cc_069_v1v9_417	RXN1G-308
S_S2_Cc_069_v1v9_417	RXN1G-320
S_S2_Cc_069_v1v9_417	RXN1G-188
S_S2_Cc_069_v1v9_417	RXN1G-517
S_S2_Cc_069_v1v9_417	RXN-11477
S_S2_Cc_069_v1v9_417	4.2.1.58-RXN
S_S2_Cc_069_v1v9_417	RXN-9634
S_S2_Cc_069_v1v9_418	GLURS-RXN
S_S2_Cc_069_v1v9_419	CHORISMATE-SYNTHASE-RXN
S_S2_Cc_069_v1v9_420	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S2_Cc_069_v1v9_421	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
S_S2_Cc_069_v1v9_422	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
S_S2_Cc_069_v1v9_423	PGLUCISOM-RXN
S_S2_Cc_069_v1v9_423	RXN-6182
S_S2_Cc_069_v1v9_423	RXN-13720
S_S2_Cc_069_v1v9_424	RXN66-546
S_S2_Cc_069_v1v9_424	PYRROLINECARBREDUCT-RXN
S_S2_Cc_069_v1v9_425	DGTPTRIPHYDRO-RXN
S_S2_Cc_069_v1v9_426	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S2_Cc_069_v1v9_427	TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN
S_S2_Cc_069_v1v9_428	NICONUCADENYLYLTRAN-RXN
S_S2_Cc_069_v1v9_429	NICONUCADENYLYLTRAN-RXN
S_S2_Cc_069_v1v9_430	DETHIOBIOTIN-SYN-RXN
S_S2_Cc_069_v1v9_431	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_v1v9_432	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_v1v9_433	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_v1v9_434	2-DEHYDROPANTOATE-REDUCT-RXN
S_S2_Cc_069_v1v9_435	FORMATETHFLIG-RXN
S_S2_Cc_069_v1v9_436	GLYRIBONUCSYN-RXN
S_S2_Cc_069_v1v9_437	RXN0-4301
S_S2_Cc_069_v1v9_438	GLUTAMINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_439	DIOHBUTANONEPSYN-RXN
S_S2_Cc_069_v1v9_440	GTP-CYCLOHYDRO-II-RXN
S_S2_Cc_069_v1v9_441	LUMAZINESYN-RXN
S_S2_Cc_069_v1v9_442	RXN-11586
S_S2_Cc_069_v1v9_443	RXN-11586
S_S2_Cc_069_v1v9_444	RXN-11586
S_S2_Cc_069_v1v9_445	RXN0-5189
S_S2_Cc_069_v1v9_446	DAPASYN-RXN
S_S2_Cc_069_v1v9_447	2.8.1.6-RXN
S_S2_Cc_069_v1v9_448	RXN-11601
S_S2_Cc_069_v1v9_449	RXN-11601
S_S2_Cc_069_v1v9_450	RXN-11601
S_S2_Cc_069_v1v9_451	RXN-11601
S_S2_Cc_069_v1v9_452	RIBOFLAVIN-SYN-RXN
S_S2_Cc_069_v1v9_453	PROLINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_454	RXN-14992
S_S2_Cc_069_v1v9_455	DIAMINOPIMEPIM-RXN
S_S2_Cc_069_v1v9_456	ARGSUCCINLYA-RXN
S_S2_Cc_069_v1v9_456	RXN-22
S_S2_Cc_069_v1v9_457	RXN-14354
S_S2_Cc_069_v1v9_457	RXN-14261
S_S2_Cc_069_v1v9_457	RXN-14260
S_S2_Cc_069_v1v9_457	AMYLOMALT-RXN
S_S2_Cc_069_v1v9_457	RXN-9023
S_S2_Cc_069_v1v9_457	RXN-12193
S_S2_Cc_069_v1v9_457	RXN-1828
S_S2_Cc_069_v1v9_457	RXN-12391
S_S2_Cc_069_v1v9_458	3.1.21.2-RXN
S_S2_Cc_069_v1v9_459	RXN0-5063
S_S2_Cc_069_v1v9_460	RXN0-6366
S_S2_Cc_069_v1v9_461	CYSTEINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_462	3.4.21.102-RXN
S_S2_Cc_069_v1v9_463	SUCCINYLDIAMINOPIMTRANS-RXN
S_S2_Cc_069_v1v9_464	RXN-15007
S_S2_Cc_069_v1v9_464	ACETYLORNTRANSAM-RXN
S_S2_Cc_069_v1v9_465	RXN0-5515
S_S2_Cc_069_v1v9_465	CDPDIGLYSYN-RXN
S_S2_Cc_069_v1v9_466	POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN
S_S2_Cc_069_v1v9_467	RXN-13403
S_S2_Cc_069_v1v9_468	PHOSPHAGLYPSYN-RXN
S_S2_Cc_069_v1v9_469	DNA-LIGASE-NAD+-RXN
S_S2_Cc_069_v1v9_470	PREPHENATEDEHYDRAT-RXN
S_S2_Cc_069_v1v9_471	RXN-11860
S_S2_Cc_069_v1v9_471	RXN-11865
S_S2_Cc_069_v1v9_472	2.5.1.19-RXN
S_S2_Cc_069_v1v9_473	THREONINE-ALDOLASE-RXN
S_S2_Cc_069_v1v9_473	LTAA-RXN
S_S2_Cc_069_v1v9_474	ACETOOHBUTREDUCTOISOM-RXN
S_S2_Cc_069_v1v9_474	ACETOLACTREDUCTOISOM-RXN
S_S2_Cc_069_v1v9_475	RXN-11737
S_S2_Cc_069_v1v9_475	ASPAMINOTRANS-RXN
S_S2_Cc_069_v1v9_475	RXN-13697
S_S2_Cc_069_v1v9_475	RXN-10814
S_S2_Cc_069_v1v9_476	RXN-11737
S_S2_Cc_069_v1v9_476	ASPAMINOTRANS-RXN
S_S2_Cc_069_v1v9_476	RXN-13697
S_S2_Cc_069_v1v9_476	RXN-10814
S_S2_Cc_069_v1v9_477	RXN-8999
S_S2_Cc_069_v1v9_478	2.7.1.148-RXN
S_S2_Cc_069_v1v9_479	RXN-15005
S_S2_Cc_069_v1v9_479	ACETYLGLUTKIN-RXN
S_S2_Cc_069_v1v9_480	IMPCYCLOHYDROLASE-RXN
S_S2_Cc_069_v1v9_481	AICARTRANSFORM-RXN
S_S2_Cc_069_v1v9_482	ENTDB-RXN
S_S2_Cc_069_v1v9_482	HOLO-ACP-SYNTH-RXN
S_S2_Cc_069_v1v9_482	RXN-15889
S_S2_Cc_069_v1v9_482	RXN-16759
S_S2_Cc_069_v1v9_482	RXN-10994
S_S2_Cc_069_v1v9_483	ARGININE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_485	RXN0-1441
S_S2_Cc_069_v1v9_486	RXN0-1441
S_S2_Cc_069_v1v9_487	CHORISMATEMUT-RXN
S_S2_Cc_069_v1v9_488	CHORISMATEMUT-RXN
S_S2_Cc_069_v1v9_489	5.99.1.2-RXN
S_S2_Cc_069_v1v9_490	5.99.1.2-RXN
S_S2_Cc_069_v1v9_491	5.99.1.2-RXN
S_S2_Cc_069_v1v9_492	5.99.1.2-RXN
S_S2_Cc_069_v1v9_493	5.99.1.2-RXN
S_S2_Cc_069_v1v9_494	METHYLENETHFDEHYDROG-NADP-RXN
S_S2_Cc_069_v1v9_495	RXN-11588
S_S2_Cc_069_v1v9_496	LEUCINE--TRNA-LIGASE-RXN
S_S2_Cc_069_v1v9_497	S-ADENMETSYN-RXN
S_S2_Cc_069_v1v9_498	3.4.21.92-RXN
S_S2_Cc_069_v1v9_499	3.4.21.92-RXN
S_S2_Cc_069_v1v9_500	RXN-14570
S_S2_Cc_069_v1v9_501	RXN0-6274
S_S2_Cc_069_v1v9_502	4.99.1.3-RXN
S_S2_Cc_069_v1v9_502	RXN-8759
S_S2_Cc_069_v1v9_503	RXN-9380
S_S2_Cc_069_v1v9_504	ARGDECARBOX-RXN
S_S2_Cc_069_v1v9_505	ARGDECARBOX-RXN
S_S2_Cc_069_v1v9_506	RXN-14063
S_S2_Cc_069_v1v9_506	COBINAMIDEKIN-RXN
S_S2_Cc_069_v1v9_506	2.7.1.156-RXN
S_S2_Cc_069_v1v9_507	COBINPGUANYLYLTRANS-RXN
S_S2_Cc_069_v1v9_508	RXN-8976
S_S2_Cc_069_v1v9_508	RXN-11029
S_S2_Cc_069_v1v9_508	NACGLCTRANS-RXN
S_S2_Cc_069_v1v9_508	RXN-11346
S_S2_Cc_069_v1v9_509	UDP-NACMURALA-GLU-LIG-RXN
S_S2_Cc_069_v1v9_510	RXN-8975
S_S2_Cc_069_v1v9_510	RXN-11347
S_S2_Cc_069_v1v9_510	PHOSNACMURPENTATRANS-RXN
S_S2_Cc_069_v1v9_511	UDP-NACMURALGLDAPAALIG-RXN
S_S2_Cc_069_v1v9_511	6.3.2.10-RXN
S_S2_Cc_069_v1v9_512	UDP-NACMURALGLDAPLIG-RXN
S_S2_Cc_069_v1v9_513	RXN-11638
S_S2_Cc_069_v1v9_514	RXN-11638
S_S2_Cc_069_v1v9_516	RXN-10060
S_S2_Cc_069_v1v9_516	RXN-9518
S_S2_Cc_069_v1v9_516	RXN-9514
S_S2_Cc_069_v1v9_516	RXN-10655
S_S2_Cc_069_v1v9_516	RXN-10659
S_S2_Cc_069_v1v9_516	RXN-9536
S_S2_Cc_069_v1v9_516	RXN1G-240
S_S2_Cc_069_v1v9_516	RXN1G-203
S_S2_Cc_069_v1v9_516	RXN-13008
S_S2_Cc_069_v1v9_516	RXN-9556
S_S2_Cc_069_v1v9_516	RXN-9552
S_S2_Cc_069_v1v9_516	RXN1G-1247
S_S2_Cc_069_v1v9_516	RXN1G-881
S_S2_Cc_069_v1v9_516	RXN-16622
S_S2_Cc_069_v1v9_516	RXN-16626
S_S2_Cc_069_v1v9_516	RXN1G-358
S_S2_Cc_069_v1v9_516	RXN1G-157
S_S2_Cc_069_v1v9_516	RXN1G-508
S_S2_Cc_069_v1v9_516	RXN-9532
S_S2_Cc_069_v1v9_516	RXN0-2142
S_S2_Cc_069_v1v9_516	RXN1G-717
S_S2_Cc_069_v1v9_516	RXN-11480
S_S2_Cc_069_v1v9_516	RXN1G-481
S_S2_Cc_069_v1v9_516	RXN1G-252
S_S2_Cc_069_v1v9_516	3-OXOACYL-ACP-REDUCT-RXN
S_S2_Cc_069_v1v9_516	RXN-9524
S_S2_Cc_069_v1v9_516	RXN-9528
S_S2_Cc_069_v1v9_516	RXN1G-637
S_S2_Cc_069_v1v9_516	RXN1G-951
S_S2_Cc_069_v1v9_516	RXN-9540
S_S2_Cc_069_v1v9_516	RXN1G-408
S_S2_Cc_069_v1v9_516	RXN1G-409
S_S2_Cc_069_v1v9_516	RXN1G-617
S_S2_Cc_069_v1v9_516	RXN1G-613
S_S2_Cc_069_v1v9_516	RXN1G-384
S_S2_Cc_069_v1v9_516	RXN1G-469
S_S2_Cc_069_v1v9_516	RXN-16630
S_S2_Cc_069_v1v9_516	RXN1G-72
S_S2_Cc_069_v1v9_516	RXN1G-349
S_S2_Cc_069_v1v9_516	RXN1G-163
S_S2_Cc_069_v1v9_516	RXN-16616
S_S2_Cc_069_v1v9_516	RXN1G-853
S_S2_Cc_069_v1v9_516	RXN-11476
S_S2_Cc_069_v1v9_516	RXN1G-184
S_S2_Cc_069_v1v9_516	RXN1G-182
S_S2_Cc_069_v1v9_516	RXN1G-364
S_S2_Cc_069_v1v9_516	RXN1G-287
S_S2_Cc_069_v1v9_516	RXN1G-1053
S_S2_Cc_069_v1v9_516	RXN1G-1050
S_S2_Cc_069_v1v9_516	RXN-9633
S_S2_Cc_069_v1v9_516	RXN1G-262
S_S2_Cc_069_v1v9_516	RXN1G-260
S_S2_Cc_069_v1v9_517	RXN-10060
S_S2_Cc_069_v1v9_517	RXN-9518
S_S2_Cc_069_v1v9_517	RXN-9514
S_S2_Cc_069_v1v9_517	RXN-10655
S_S2_Cc_069_v1v9_517	RXN-10659
S_S2_Cc_069_v1v9_517	RXN-9536
S_S2_Cc_069_v1v9_517	RXN1G-240
