S_S2_Bs_063_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_v1v9_26	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_S2_Bs_063_v1v9_27	2.1.1.72-RXN
S_S2_Bs_063_v1v9_28	2.1.1.72-RXN
S_S2_Bs_063_v1v9_29	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Bs_063_v1v9_30	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Bs_063_v1v9_31	PEPTIDYLPROLYL-ISOMERASE-RXN
S_S2_Bs_063_v1v9_32	2.7.13.3-RXN
S_S2_Bs_063_v1v9_33	2.7.13.3-RXN
S_S2_Bs_063_v1v9_34	2.7.13.3-RXN
S_S2_Bs_063_v1v9_35	2.7.13.3-RXN
S_S2_Bs_063_v1v9_36	2.7.13.3-RXN
S_S2_Bs_063_v1v9_37	2.7.13.3-RXN
S_S2_Bs_063_v1v9_38	2.7.13.3-RXN
S_S2_Bs_063_v1v9_39	2.7.13.3-RXN
S_S2_Bs_063_v1v9_40	2.7.13.3-RXN
S_S2_Bs_063_v1v9_41	2.7.13.3-RXN
S_S2_Bs_063_v1v9_42	2.7.13.3-RXN
S_S2_Bs_063_v1v9_43	2.7.13.3-RXN
S_S2_Bs_063_v1v9_44	2.7.13.3-RXN
S_S2_Bs_063_v1v9_45	2.7.13.3-RXN
S_S2_Bs_063_v1v9_46	2.7.13.3-RXN
S_S2_Bs_063_v1v9_47	2.7.13.3-RXN
S_S2_Bs_063_v1v9_48	2.7.13.3-RXN
S_S2_Bs_063_v1v9_49	2.7.13.3-RXN
S_S2_Bs_063_v1v9_50	2.7.13.3-RXN
S_S2_Bs_063_v1v9_51	2.7.13.3-RXN
S_S2_Bs_063_v1v9_52	2.7.13.3-RXN
S_S2_Bs_063_v1v9_53	2.7.13.3-RXN
S_S2_Bs_063_v1v9_54	2.7.13.3-RXN
S_S2_Bs_063_v1v9_55	2.7.13.3-RXN
S_S2_Bs_063_v1v9_56	2.7.13.3-RXN
S_S2_Bs_063_v1v9_57	2.7.13.3-RXN
S_S2_Bs_063_v1v9_58	2.7.13.3-RXN
S_S2_Bs_063_v1v9_59	RXN-14267
S_S2_Bs_063_v1v9_59	RXN0-5225
S_S2_Bs_063_v1v9_59	3.4.24.32-RXN
S_S2_Bs_063_v1v9_60	RXN-14267
S_S2_Bs_063_v1v9_60	RXN0-5225
S_S2_Bs_063_v1v9_60	3.4.24.32-RXN
S_S2_Bs_063_v1v9_61	RXN-14267
S_S2_Bs_063_v1v9_61	RXN0-5225
S_S2_Bs_063_v1v9_61	3.4.24.32-RXN
S_S2_Bs_063_v1v9_62	RXN-14267
S_S2_Bs_063_v1v9_62	RXN0-5225
S_S2_Bs_063_v1v9_62	3.4.24.32-RXN
S_S2_Bs_063_v1v9_63	RXN-14267
S_S2_Bs_063_v1v9_63	RXN0-5225
S_S2_Bs_063_v1v9_63	3.4.24.32-RXN
S_S2_Bs_063_v1v9_64	RXN-14267
S_S2_Bs_063_v1v9_64	RXN0-5225
S_S2_Bs_063_v1v9_64	3.4.24.32-RXN
S_S2_Bs_063_v1v9_65	RXN-14267
S_S2_Bs_063_v1v9_65	RXN0-5225
S_S2_Bs_063_v1v9_65	3.4.24.32-RXN
S_S2_Bs_063_v1v9_66	RXN-14267
S_S2_Bs_063_v1v9_66	RXN0-5225
S_S2_Bs_063_v1v9_66	3.4.24.32-RXN
S_S2_Bs_063_v1v9_67	RXN-14267
S_S2_Bs_063_v1v9_67	RXN0-5225
S_S2_Bs_063_v1v9_67	3.4.24.32-RXN
S_S2_Bs_063_v1v9_68	RXN-14267
S_S2_Bs_063_v1v9_68	RXN0-5225
S_S2_Bs_063_v1v9_68	3.4.24.32-RXN
S_S2_Bs_063_v1v9_69	RXN-14267
S_S2_Bs_063_v1v9_69	RXN0-5225
S_S2_Bs_063_v1v9_69	3.4.24.32-RXN
S_S2_Bs_063_v1v9_70	RXN-14267
S_S2_Bs_063_v1v9_70	RXN0-5225
S_S2_Bs_063_v1v9_70	3.4.24.32-RXN
S_S2_Bs_063_v1v9_71	RXN-14267
S_S2_Bs_063_v1v9_71	RXN0-5225
S_S2_Bs_063_v1v9_71	3.4.24.32-RXN
S_S2_Bs_063_v1v9_72	RXN-14267
S_S2_Bs_063_v1v9_72	RXN0-5225
S_S2_Bs_063_v1v9_72	3.4.24.32-RXN
S_S2_Bs_063_v1v9_73	RXN-14267
S_S2_Bs_063_v1v9_73	RXN0-5225
S_S2_Bs_063_v1v9_73	3.4.24.32-RXN
S_S2_Bs_063_v1v9_74	INORGPYROPHOSPHAT-RXN
S_S2_Bs_063_v1v9_75	INORGPYROPHOSPHAT-RXN
S_S2_Bs_063_v1v9_76	ANTHRANSYN-RXN
S_S2_Bs_063_v1v9_77	ANTHRANSYN-RXN
S_S2_Bs_063_v1v9_78	PROTEIN-KINASE-RXN
S_S2_Bs_063_v1v9_79	PROTEIN-KINASE-RXN
S_S2_Bs_063_v1v9_80	PROTEIN-KINASE-RXN
S_S2_Bs_063_v1v9_81	PROTEIN-KINASE-RXN
S_S2_Bs_063_v1v9_82	PROTEIN-KINASE-RXN
S_S2_Bs_063_v1v9_83	PROTEIN-KINASE-RXN
S_S2_Bs_063_v1v9_84	RXN-11065
S_S2_Bs_063_v1v9_84	3.4.16.4-RXN
S_S2_Bs_063_v1v9_84	RXN-16649
S_S2_Bs_063_v1v9_84	RXN-11351
S_S2_Bs_063_v1v9_84	RXN-16659
S_S2_Bs_063_v1v9_84	RXN-11302
S_S2_Bs_063_v1v9_85	RXN-11065
