S_S2_Bs_063_v1v9_1	NADH-DEHYDROG-A-RXN
S_S2_Bs_063_v1v9_260	UNDECAPRENYL-DIPHOSPHATASE-RXN
S_S2_Bs_063_v1v9_261	OROTPDECARB-RXN
S_S2_Bs_063_v1v9_262	ASPARTATE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_263	7KAPSYN-RXN
S_S2_Bs_063_v1v9_263	RXN-11484
S_S2_Bs_063_v1v9_264	7KAPSYN-RXN
S_S2_Bs_063_v1v9_264	RXN-11484
S_S2_Bs_063_v1v9_265	CARBOXYLESTERASE-RXN
S_S2_Bs_063_v1v9_265	RXN-12575
S_S2_Bs_063_v1v9_265	RXN-10711
S_S2_Bs_063_v1v9_265	3.1.1.64-RXN
S_S2_Bs_063_v1v9_265	RXN-10767
S_S2_Bs_063_v1v9_265	RXN-12252
S_S2_Bs_063_v1v9_265	RETINYL-PALMITATE-ESTERASE-RXN
S_S2_Bs_063_v1v9_265	RXNQT-4366
S_S2_Bs_063_v1v9_266	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Bs_063_v1v9_267	THIOREDOXIN-REDUCT-NADPH-RXN
S_S2_Bs_063_v1v9_268	4.3.1.17-RXN
S_S2_Bs_063_v1v9_269	4.3.1.17-RXN
S_S2_Bs_063_v1v9_270	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
S_S2_Bs_063_v1v9_271	FARNESYLTRANSTRANSFERASE-RXN
S_S2_Bs_063_v1v9_272	FPPSYN-RXN
S_S2_Bs_063_v1v9_273	GPPSYN-RXN
S_S2_Bs_063_v1v9_274	QUINOPRIBOTRANS-RXN
S_S2_Bs_063_v1v9_275	RXN0-6480
S_S2_Bs_063_v1v9_275	3.1.26.5-RXN
S_S2_Bs_063_v1v9_276	RXN0-6727
S_S2_Bs_063_v1v9_276	RXN-13141
S_S2_Bs_063_v1v9_277	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Bs_063_v1v9_278	GLUTAMATE-SYNTHASE-NADH-RXN
S_S2_Bs_063_v1v9_279	GLUTAMATESYN-RXN
S_S2_Bs_063_v1v9_280	GLUTAMATESYN-RXN
S_S2_Bs_063_v1v9_281	RXN-11290
S_S2_Bs_063_v1v9_282	RXN-11290
S_S2_Bs_063_v1v9_283	MANNPISOM-RXN
S_S2_Bs_063_v1v9_284	MANNPISOM-RXN
S_S2_Bs_063_v1v9_285	MANNPISOM-RXN
S_S2_Bs_063_v1v9_286	RXN0-302
S_S2_Bs_063_v1v9_287	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN
S_S2_Bs_063_v1v9_287	RXN-10949
S_S2_Bs_063_v1v9_287	RXN-7253
S_S2_Bs_063_v1v9_287	RXN0-5408
S_S2_Bs_063_v1v9_287	RXN-10954
S_S2_Bs_063_v1v9_287	RXN-10953
S_S2_Bs_063_v1v9_287	RXN-10952
S_S2_Bs_063_v1v9_288	RXN-11592
S_S2_Bs_063_v1v9_289	1.8.4.8-RXN
S_S2_Bs_063_v1v9_290	1.8.4.8-RXN
S_S2_Bs_063_v1v9_291	RXN-12752
S_S2_Bs_063_v1v9_291	RXN-13142
S_S2_Bs_063_v1v9_292	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Bs_063_v1v9_293	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Bs_063_v1v9_294	MALONYL-COA-ACP-TRANSACYL-RXN
S_S2_Bs_063_v1v9_295	1.11.1.15-RXN
S_S2_Bs_063_v1v9_295	RXN0-5468
S_S2_Bs_063_v1v9_296	1.11.1.15-RXN
S_S2_Bs_063_v1v9_296	RXN0-5468
S_S2_Bs_063_v1v9_297	1.11.1.15-RXN
S_S2_Bs_063_v1v9_297	RXN0-5468
S_S2_Bs_063_v1v9_298	RXN-12019
S_S2_Bs_063_v1v9_299	RXN-12019
S_S2_Bs_063_v1v9_300	3.4.23.36-RXN
S_S2_Bs_063_v1v9_301	ISOLEUCINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_302	BETA-LACTAMASE-RXN
S_S2_Bs_063_v1v9_303	BETA-LACTAMASE-RXN
S_S2_Bs_063_v1v9_304	PANTOTHENATE-KIN-RXN
S_S2_Bs_063_v1v9_305	PANTOTHENATE-KIN-RXN
S_S2_Bs_063_v1v9_306	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
S_S2_Bs_063_v1v9_307	GALACTOKIN-RXN
S_S2_Bs_063_v1v9_308	3.1.11.2-RXN
S_S2_Bs_063_v1v9_309	NAG6PDEACET-RXN
S_S2_Bs_063_v1v9_309	3.5.1.80-RXN
S_S2_Bs_063_v1v9_314	3.4.11.18-RXN
S_S2_Bs_063_v1v9_315	3.4.11.18-RXN
S_S2_Bs_063_v1v9_316	NAD-KIN-RXN
S_S2_Bs_063_v1v9_317	NAD-KIN-RXN
S_S2_Bs_063_v1v9_318	RXN-14025
S_S2_Bs_063_v1v9_318	RXN-14026
S_S2_Bs_063_v1v9_318	RXN-7607
S_S2_Bs_063_v1v9_318	RXN-7609
S_S2_Bs_063_v1v9_318	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_v1v9_318	5-NUCLEOTID-RXN
S_S2_Bs_063_v1v9_318	RXN-14227
S_S2_Bs_063_v1v9_318	RXN-5841
S_S2_Bs_063_v1v9_318	XMPXAN-RXN
S_S2_Bs_063_v1v9_319	RXN-14025
S_S2_Bs_063_v1v9_319	RXN-14026
S_S2_Bs_063_v1v9_319	RXN-7607
S_S2_Bs_063_v1v9_319	RXN-7609
S_S2_Bs_063_v1v9_319	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_v1v9_319	5-NUCLEOTID-RXN
S_S2_Bs_063_v1v9_319	RXN-14227
S_S2_Bs_063_v1v9_319	RXN-5841
S_S2_Bs_063_v1v9_319	XMPXAN-RXN
S_S2_Bs_063_v1v9_320	RXN-14025
S_S2_Bs_063_v1v9_320	RXN-14026
S_S2_Bs_063_v1v9_320	RXN-7607
S_S2_Bs_063_v1v9_320	RXN-7609
S_S2_Bs_063_v1v9_320	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_v1v9_320	5-NUCLEOTID-RXN
S_S2_Bs_063_v1v9_320	RXN-14227
S_S2_Bs_063_v1v9_320	RXN-5841
S_S2_Bs_063_v1v9_320	XMPXAN-RXN
S_S2_Bs_063_v1v9_321	RXN-14025
S_S2_Bs_063_v1v9_321	RXN-14026
S_S2_Bs_063_v1v9_321	RXN-7607
S_S2_Bs_063_v1v9_321	RXN-7609
S_S2_Bs_063_v1v9_321	AMP-DEPHOSPHORYLATION-RXN
S_S2_Bs_063_v1v9_321	5-NUCLEOTID-RXN
S_S2_Bs_063_v1v9_321	RXN-14227
S_S2_Bs_063_v1v9_321	RXN-5841
S_S2_Bs_063_v1v9_321	XMPXAN-RXN
S_S2_Bs_063_v1v9_322	RXN0-2921
S_S2_Bs_063_v1v9_322	FOLYLPOLYGLUTAMATESYNTH-RXN
S_S2_Bs_063_v1v9_322	FORMYLTHFGLUSYNTH-RXN
S_S2_Bs_063_v1v9_323	DIHYDROFOLATESYNTH-RXN
S_S2_Bs_063_v1v9_328	THYMIDYLATESYN-RXN
S_S2_Bs_063_v1v9_329	PRAISOM-RXN
S_S2_Bs_063_v1v9_330	PRAISOM-RXN
S_S2_Bs_063_v1v9_331	PRAISOM-RXN
S_S2_Bs_063_v1v9_332	SELENOCYSTEINE-LYASE-RXN
S_S2_Bs_063_v1v9_333	RXN-16391
S_S2_Bs_063_v1v9_333	METHYLMALONYL-COA-EPIM-RXN
S_S2_Bs_063_v1v9_337	ALDOSE1EPIM-RXN
S_S2_Bs_063_v1v9_337	ALDOSE-1-EPIMERASE-RXN
S_S2_Bs_063_v1v9_338	RXN-12002
S_S2_Bs_063_v1v9_339	GAPOXNPHOSPHN-RXN
S_S2_Bs_063_v1v9_340	GAPOXNPHOSPHN-RXN
S_S2_Bs_063_v1v9_341	RXN1G-94
S_S2_Bs_063_v1v9_341	RXN1G-1015
S_S2_Bs_063_v1v9_341	RXN1G-202
S_S2_Bs_063_v1v9_341	RXN1G-883
S_S2_Bs_063_v1v9_341	RXN1G-660
S_S2_Bs_063_v1v9_341	RXN1G-374
S_S2_Bs_063_v1v9_341	RXN1G-334
S_S2_Bs_063_v1v9_341	RXN-8391
S_S2_Bs_063_v1v9_341	RXN1G-582
S_S2_Bs_063_v1v9_341	RXN1G-580
S_S2_Bs_063_v1v9_341	RXN1G-89
S_S2_Bs_063_v1v9_341	2.3.1.179-RXN
S_S2_Bs_063_v1v9_341	RXN1G-1212
S_S2_Bs_063_v1v9_341	RXN1G-424
S_S2_Bs_063_v1v9_341	RXN1G-818
S_S2_Bs_063_v1v9_341	RXN1G-79
S_S2_Bs_063_v1v9_341	RXN1G-172
S_S2_Bs_063_v1v9_341	RXN1G-557
S_S2_Bs_063_v1v9_341	RXN1G-32
S_S2_Bs_063_v1v9_342	RXN1G-94
S_S2_Bs_063_v1v9_342	RXN1G-1015
S_S2_Bs_063_v1v9_342	RXN1G-202
S_S2_Bs_063_v1v9_342	RXN1G-883
S_S2_Bs_063_v1v9_342	RXN1G-660
S_S2_Bs_063_v1v9_342	RXN1G-374
S_S2_Bs_063_v1v9_342	RXN1G-334
S_S2_Bs_063_v1v9_342	RXN-8391
S_S2_Bs_063_v1v9_342	RXN1G-582
S_S2_Bs_063_v1v9_342	RXN1G-580
S_S2_Bs_063_v1v9_342	RXN1G-89
S_S2_Bs_063_v1v9_342	2.3.1.179-RXN
S_S2_Bs_063_v1v9_342	RXN1G-1212
S_S2_Bs_063_v1v9_342	RXN1G-424
S_S2_Bs_063_v1v9_342	RXN1G-818
S_S2_Bs_063_v1v9_342	RXN1G-79
S_S2_Bs_063_v1v9_342	RXN1G-172
S_S2_Bs_063_v1v9_342	RXN1G-557
S_S2_Bs_063_v1v9_342	RXN1G-32
S_S2_Bs_063_v1v9_343	RXN8J2-140
S_S2_Bs_063_v1v9_344	2.7.7.60-RXN
S_S2_Bs_063_v1v9_345	2.7.7.60-RXN
S_S2_Bs_063_v1v9_346	2.7.7.60-RXN
S_S2_Bs_063_v1v9_347	TRYPTOPHAN--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_348	FRUCTOKINASE-RXN
S_S2_Bs_063_v1v9_349	FRUCTOKINASE-RXN
S_S2_Bs_063_v1v9_350	AKBLIG-RXN
S_S2_Bs_063_v1v9_351	AKBLIG-RXN
S_S2_Bs_063_v1v9_352	RXN-14517
S_S2_Bs_063_v1v9_352	RXN-12458
S_S2_Bs_063_v1v9_353	RXN-982
S_S2_Bs_063_v1v9_354	RXN-982
S_S2_Bs_063_v1v9_355	RXN-14285
S_S2_Bs_063_v1v9_355	RXN-14284
S_S2_Bs_063_v1v9_355	RXN-14286
S_S2_Bs_063_v1v9_355	RXN-14353
S_S2_Bs_063_v1v9_355	RXN-9025
S_S2_Bs_063_v1v9_355	RXN0-5182
S_S2_Bs_063_v1v9_355	RXN0-5184
S_S2_Bs_063_v1v9_355	GLYCOPHOSPHORYL-RXN
S_S2_Bs_063_v1v9_355	RXN-12171
S_S2_Bs_063_v1v9_355	GLYMALTOPHOSPHORYL-RXN
S_S2_Bs_063_v1v9_355	RXN-1826
S_S2_Bs_063_v1v9_355	RXN-12392
S_S2_Bs_063_v1v9_356	RXN-14249
S_S2_Bs_063_v1v9_356	THREODEHYD-RXN
S_S2_Bs_063_v1v9_357	3.6.3.8-RXN
S_S2_Bs_063_v1v9_358	1.2.3.3-RXN
S_S2_Bs_063_v1v9_359	PRTRANS-RXN
S_S2_Bs_063_v1v9_360	DTDPGLUCDEHYDRAT-RXN
S_S2_Bs_063_v1v9_361	DTDPGLUCDEHYDRAT-RXN
S_S2_Bs_063_v1v9_362	DTDPGLUCOSEPP-RXN
S_S2_Bs_063_v1v9_363	BIOTINLIG-RXN
S_S2_Bs_063_v1v9_364	RXN1G-4355
S_S2_Bs_063_v1v9_364	PROPIONYL-COA-CARBOXY-RXN
S_S2_Bs_063_v1v9_365	HISTIDINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_366	RXN-13158
S_S2_Bs_063_v1v9_366	RXN-14986
S_S2_Bs_063_v1v9_367	PHOSGLYPHOS-RXN
S_S2_Bs_063_v1v9_368	H2PTEROATESYNTH-RXN
S_S2_Bs_063_v1v9_369	ADENYLOSUCCINATE-SYNTHASE-RXN
S_S2_Bs_063_v1v9_370	GART-RXN
S_S2_Bs_063_v1v9_371	RXN-14116
S_S2_Bs_063_v1v9_372	RXN-14116
S_S2_Bs_063_v1v9_373	RXN66-1
S_S2_Bs_063_v1v9_373	RXN-14189
S_S2_Bs_063_v1v9_373	CATAL-RXN
S_S2_Bs_063_v1v9_374	RXN66-1
S_S2_Bs_063_v1v9_374	RXN-14189
S_S2_Bs_063_v1v9_374	CATAL-RXN
S_S2_Bs_063_v1v9_375	RXN66-1
S_S2_Bs_063_v1v9_375	RXN-14189
S_S2_Bs_063_v1v9_375	CATAL-RXN
S_S2_Bs_063_v1v9_376	NMNAMIDOHYDRO-RXN
S_S2_Bs_063_v1v9_377	RXN-14207
S_S2_Bs_063_v1v9_377	PEPDEPHOS-RXN
S_S2_Bs_063_v1v9_377	RXN-14117
S_S2_Bs_063_v1v9_377	RXN-14192
S_S2_Bs_063_v1v9_378	GCVT-RXN
S_S2_Bs_063_v1v9_379	GCVP-RXN
S_S2_Bs_063_v1v9_380	GCVP-RXN
S_S2_Bs_063_v1v9_381	RXN-15878
S_S2_Bs_063_v1v9_382	RXN0-882
S_S2_Bs_063_v1v9_383	PHOSPHASERSYN-RXN
S_S2_Bs_063_v1v9_384	RXN-12460
S_S2_Bs_063_v1v9_384	AMINOCYL-TRNA-HYDROLASE-RXN
S_S2_Bs_063_v1v9_384	RXN-16637
S_S2_Bs_063_v1v9_385	ALANINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_386	RXN-11633
S_S2_Bs_063_v1v9_387	AIRS-RXN
S_S2_Bs_063_v1v9_388	PRPPAMIDOTRANS-RXN
S_S2_Bs_063_v1v9_389	P-PANTOCYSDECARB-RXN
S_S2_Bs_063_v1v9_390	P-PANTOCYSLIG-RXN
S_S2_Bs_063_v1v9_392	HISTIDPHOS-RXN
S_S2_Bs_063_v1v9_393	4.2.3.12-RXN
S_S2_Bs_063_v1v9_394	GUANYL-KIN-RXN
S_S2_Bs_063_v1v9_395	2.3.1.180-RXN
S_S2_Bs_063_v1v9_396	2.3.1.180-RXN
S_S2_Bs_063_v1v9_397	DXPREDISOM-RXN
S_S2_Bs_063_v1v9_398	PANTEPADENYLYLTRAN-RXN
S_S2_Bs_063_v1v9_399	GLUC1PURIDYLTRANS-RXN
S_S2_Bs_063_v1v9_400	GLUC1PURIDYLTRANS-RXN
S_S2_Bs_063_v1v9_401	GLUC1PURIDYLTRANS-RXN
S_S2_Bs_063_v1v9_402	2.7.7.39-RXN
S_S2_Bs_063_v1v9_403	RXN-11047
S_S2_Bs_063_v1v9_403	RXN-9217
S_S2_Bs_063_v1v9_403	DMK-RXN
S_S2_Bs_063_v1v9_403	RXN-9358
S_S2_Bs_063_v1v9_403	RXN-9359
S_S2_Bs_063_v1v9_403	RXN-9204
S_S2_Bs_063_v1v9_403	RXN-9190
S_S2_Bs_063_v1v9_403	RXN-9360
S_S2_Bs_063_v1v9_403	RXN-9365
S_S2_Bs_063_v1v9_404	QUINOLINATE-SYNTHA-RXN
S_S2_Bs_063_v1v9_405	RXN0-5462
S_S2_Bs_063_v1v9_406	RXN0-5507
S_S2_Bs_063_v1v9_407	SERINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_407	RXN0-2161
S_S2_Bs_063_v1v9_408	FUMHYDR-RXN
S_S2_Bs_063_v1v9_409	O-SUCCINYLBENZOATE-COA-LIG-RXN
S_S2_Bs_063_v1v9_409	RXN-7614
S_S2_Bs_063_v1v9_410	DIHYDRODIPICSYN-RXN
S_S2_Bs_063_v1v9_411	DIHYDRODIPICSYN-RXN
S_S2_Bs_063_v1v9_412	RXN-14014
S_S2_Bs_063_v1v9_413	RXN-15733
S_S2_Bs_063_v1v9_413	H2PTERIDINEPYROPHOSPHOKIN-RXN
S_S2_Bs_063_v1v9_414	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
S_S2_Bs_063_v1v9_414	RXN-15635
S_S2_Bs_063_v1v9_415	PORPHOBILSYNTH-RXN
S_S2_Bs_063_v1v9_416	THREONINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_417	THREONINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_418	RXN-14712
S_S2_Bs_063_v1v9_418	RXN-15521
S_S2_Bs_063_v1v9_418	2.4.1.129-RXN
S_S2_Bs_063_v1v9_418	RXN-11350
S_S2_Bs_063_v1v9_418	RXN-11291
S_S2_Bs_063_v1v9_418	RXN-16650
S_S2_Bs_063_v1v9_418	RXN-11348
S_S2_Bs_063_v1v9_419	RXN-14712
S_S2_Bs_063_v1v9_419	RXN-15521
S_S2_Bs_063_v1v9_419	2.4.1.129-RXN
S_S2_Bs_063_v1v9_419	RXN-11350
S_S2_Bs_063_v1v9_419	RXN-11291
S_S2_Bs_063_v1v9_419	RXN-16650
S_S2_Bs_063_v1v9_419	RXN-11348
S_S2_Bs_063_v1v9_420	RXN-14712
S_S2_Bs_063_v1v9_420	RXN-15521
S_S2_Bs_063_v1v9_420	2.4.1.129-RXN
S_S2_Bs_063_v1v9_420	RXN-11350
S_S2_Bs_063_v1v9_420	RXN-11291
S_S2_Bs_063_v1v9_420	RXN-16650
S_S2_Bs_063_v1v9_420	RXN-11348
S_S2_Bs_063_v1v9_421	RXN-14712
S_S2_Bs_063_v1v9_421	RXN-15521
S_S2_Bs_063_v1v9_421	2.4.1.129-RXN
S_S2_Bs_063_v1v9_421	RXN-11350
S_S2_Bs_063_v1v9_421	RXN-11291
S_S2_Bs_063_v1v9_421	RXN-16650
S_S2_Bs_063_v1v9_421	RXN-11348
S_S2_Bs_063_v1v9_422	GLYC3PDEHYDROGBIOSYN-RXN
S_S2_Bs_063_v1v9_423	LYSINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_424	GMP-SYN-GLUT-RXN
S_S2_Bs_063_v1v9_425	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S2_Bs_063_v1v9_425	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S2_Bs_063_v1v9_425	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S2_Bs_063_v1v9_426	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
S_S2_Bs_063_v1v9_426	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
S_S2_Bs_063_v1v9_426	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
S_S2_Bs_063_v1v9_427	F16ALDOLASE-RXN
S_S2_Bs_063_v1v9_427	RXN-8631
S_S2_Bs_063_v1v9_428	F16ALDOLASE-RXN
S_S2_Bs_063_v1v9_428	RXN-8631
S_S2_Bs_063_v1v9_429	DIAMINOPIMDECARB-RXN
S_S2_Bs_063_v1v9_430	THIAZOLSYN2-RXN
S_S2_Bs_063_v1v9_431	RXN0-1342
S_S2_Bs_063_v1v9_432	RXN0-6575
S_S2_Bs_063_v1v9_433	PGLYCDEHYDROG-RXN
S_S2_Bs_063_v1v9_434	PGLYCDEHYDROG-RXN
S_S2_Bs_063_v1v9_437	ASPARAGINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_438	IMP-DEHYDROG-RXN
S_S2_Bs_063_v1v9_439	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S2_Bs_063_v1v9_440	3-DEHYDROQUINATE-DEHYDRATASE-RXN
S_S2_Bs_063_v1v9_441	DAHPSYN-RXN
S_S2_Bs_063_v1v9_442	ASPDECARBOX-RXN
S_S2_Bs_063_v1v9_443	FADSYN-RXN
S_S2_Bs_063_v1v9_444	FADSYN-RXN
S_S2_Bs_063_v1v9_445	FADSYN-RXN
S_S2_Bs_063_v1v9_446	RIBOFLAVINKIN-RXN
S_S2_Bs_063_v1v9_447	RIBOFLAVINKIN-RXN
S_S2_Bs_063_v1v9_448	RIBOFLAVINKIN-RXN
S_S2_Bs_063_v1v9_449	RXN-11839
S_S2_Bs_063_v1v9_450	325-BISPHOSPHATE-NUCLEOTIDASE-RXN
S_S2_Bs_063_v1v9_452	RXN-1961
S_S2_Bs_063_v1v9_453	RXN-1961
S_S2_Bs_063_v1v9_454	PHOSACETYLTRANS-RXN
S_S2_Bs_063_v1v9_455	IMIDPHOSDEHYD-RXN
S_S2_Bs_063_v1v9_456	PRPPSYN-RXN
S_S2_Bs_063_v1v9_457	S-2-HYDROXY-ACID-OXIDASE-RXN
S_S2_Bs_063_v1v9_457	RXN-969
S_S2_Bs_063_v1v9_458	RIBOFLAVINSYNDEAM-RXN
S_S2_Bs_063_v1v9_459	RIBOFLAVINSYNREDUC-RXN
S_S2_Bs_063_v1v9_460	HISTAMINOTRANS-RXN
S_S2_Bs_063_v1v9_461	RXN-7669
S_S2_Bs_063_v1v9_461	GLYCOGEN-BRANCH-RXN
S_S2_Bs_063_v1v9_461	RXN-7710
S_S2_Bs_063_v1v9_461	RXN-14371
S_S2_Bs_063_v1v9_461	RXN-14372
S_S2_Bs_063_v1v9_462	RXN-13482
S_S2_Bs_063_v1v9_462	ORNCARBAMTRANSFER-RXN
S_S2_Bs_063_v1v9_463	2.7.3.9-RXN
S_S2_Bs_063_v1v9_464	5-FORMYL-THF-CYCLO-LIGASE-RXN
S_S2_Bs_063_v1v9_465	GLYCINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_466	GLYCINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_467	UGD-RXN
S_S2_Bs_063_v1v9_468	UGD-RXN
S_S2_Bs_063_v1v9_469	UGD-RXN
S_S2_Bs_063_v1v9_470	MALATE-DEH-RXN
S_S2_Bs_063_v1v9_471	RXN-11833
S_S2_Bs_063_v1v9_472	ABC-14-RXN
S_S2_Bs_063_v1v9_472	ABC-12-RXN
S_S2_Bs_063_v1v9_472	RXN0-3
S_S2_Bs_063_v1v9_472	ABC-4-RXN
S_S2_Bs_063_v1v9_472	TRANS-RXN-265
S_S2_Bs_063_v1v9_472	ABC-3-RXN
S_S2_Bs_063_v1v9_472	TRANS-RXN0-222
S_S2_Bs_063_v1v9_472	ABC-13-RXN
S_S2_Bs_063_v1v9_472	TRANS-RXN0-593
S_S2_Bs_063_v1v9_472	3.6.3.21-RXN
S_S2_Bs_063_v1v9_472	ABC-37-RXN
S_S2_Bs_063_v1v9_473	ABC-14-RXN
S_S2_Bs_063_v1v9_473	ABC-12-RXN
S_S2_Bs_063_v1v9_473	RXN0-3
S_S2_Bs_063_v1v9_473	ABC-4-RXN
S_S2_Bs_063_v1v9_473	TRANS-RXN-265
S_S2_Bs_063_v1v9_473	ABC-3-RXN
S_S2_Bs_063_v1v9_473	TRANS-RXN0-222
S_S2_Bs_063_v1v9_473	ABC-13-RXN
S_S2_Bs_063_v1v9_473	TRANS-RXN0-593
S_S2_Bs_063_v1v9_473	3.6.3.21-RXN
S_S2_Bs_063_v1v9_473	ABC-37-RXN
S_S2_Bs_063_v1v9_474	ABC-14-RXN
S_S2_Bs_063_v1v9_474	ABC-12-RXN
S_S2_Bs_063_v1v9_474	RXN0-3
S_S2_Bs_063_v1v9_474	ABC-4-RXN
S_S2_Bs_063_v1v9_474	TRANS-RXN-265
S_S2_Bs_063_v1v9_474	ABC-3-RXN
S_S2_Bs_063_v1v9_474	TRANS-RXN0-222
S_S2_Bs_063_v1v9_474	ABC-13-RXN
S_S2_Bs_063_v1v9_474	TRANS-RXN0-593
S_S2_Bs_063_v1v9_474	3.6.3.21-RXN
S_S2_Bs_063_v1v9_474	ABC-37-RXN
S_S2_Bs_063_v1v9_475	RXN-15006
S_S2_Bs_063_v1v9_475	N-ACETYLGLUTPREDUCT-RXN
S_S2_Bs_063_v1v9_476	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
S_S2_Bs_063_v1v9_477	PRIBFAICARPISOM-RXN
S_S2_Bs_063_v1v9_478	RXN-11598
S_S2_Bs_063_v1v9_479	RXN1F-144
S_S2_Bs_063_v1v9_480	RXN-13323
S_S2_Bs_063_v1v9_481	DIHYDROFOLATEREDUCT-RXN
S_S2_Bs_063_v1v9_482	THIAZOLSYN3-RXN
S_S2_Bs_063_v1v9_483	SHIKIMATE-KINASE-RXN
S_S2_Bs_063_v1v9_484	RXN-16076
S_S2_Bs_063_v1v9_484	RXN-16077
S_S2_Bs_063_v1v9_484	RXN-16032
S_S2_Bs_063_v1v9_484	RXN-16118
S_S2_Bs_063_v1v9_484	RXN-15043
S_S2_Bs_063_v1v9_484	RXN0-6705
S_S2_Bs_063_v1v9_484	RXN-16067
S_S2_Bs_063_v1v9_484	RXN-16066
S_S2_Bs_063_v1v9_484	RXN-16025
S_S2_Bs_063_v1v9_484	RXN0-5514
S_S2_Bs_063_v1v9_484	RXN-1623
S_S2_Bs_063_v1v9_484	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S2_Bs_063_v1v9_485	RXN-16076
S_S2_Bs_063_v1v9_485	RXN-16077
S_S2_Bs_063_v1v9_485	RXN-16032
S_S2_Bs_063_v1v9_485	RXN-16118
S_S2_Bs_063_v1v9_485	RXN-15043
S_S2_Bs_063_v1v9_485	RXN0-6705
S_S2_Bs_063_v1v9_485	RXN-16067
S_S2_Bs_063_v1v9_485	RXN-16066
S_S2_Bs_063_v1v9_485	RXN-16025
S_S2_Bs_063_v1v9_485	RXN0-5514
S_S2_Bs_063_v1v9_485	RXN-1623
S_S2_Bs_063_v1v9_485	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
S_S2_Bs_063_v1v9_486	3.1.26.3-RXN
S_S2_Bs_063_v1v9_487	RXN-11637
S_S2_Bs_063_v1v9_488	HISTCYCLOHYD-RXN
S_S2_Bs_063_v1v9_489	RXN-8001
S_S2_Bs_063_v1v9_490	RXN-14569
S_S2_Bs_063_v1v9_491	RXN0-1321
S_S2_Bs_063_v1v9_491	QUEUOSINE-TRNA-RIBOSYLTRANSFERASE-RXN
S_S2_Bs_063_v1v9_492	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
S_S2_Bs_063_v1v9_493	VALINE--TRNA-LIGASE-RXN
S_S2_Bs_063_v1v9_494	3PGAREARR-RXN
S_S2_Bs_063_v1v9_495	3PGAREARR-RXN
S_S2_Bs_063_v1v9_496	DXS-RXN
S_S2_Bs_063_v1v9_497	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
S_S2_Bs_063_v1v9_498	PREPHENATEDEHYDROG-RXN
S_S2_Bs_063_v1v9_499	DCMP-DEAMINASE-RXN
S_S2_Bs_063_v1v9_500	NAPHTHOATE-SYN-RXN
S_S2_Bs_063_v1v9_501	RXN-7913
S_S2_Bs_063_v1v9_501	RXN-11832
S_S2_Bs_063_v1v9_502	THI-P-KIN-RXN
S_S2_Bs_063_v1v9_503	THREDEHYD-RXN
S_S2_Bs_063_v1v9_504	SERINE-O-ACETTRAN-RXN
S_S2_Bs_063_v1v9_505	GLUTSEMIALDEHYDROG-RXN
S_S2_Bs_063_v1v9_506	GLUTKIN-RXN
S_S2_Bs_063_v1v9_507	GLUTKIN-RXN
S_S2_Bs_063_v1v9_508	2TRANSKETO-RXN
S_S2_Bs_063_v1v9_508	1TRANSKETO-RXN
S_S2_Bs_063_v1v9_509	SAICARSYN-RXN
S_S2_Bs_063_v1v9_510	4.2.99.18-RXN
S_S2_Bs_063_v1v9_510	RXN0-2601
