S_NS6_Hh_054_v1v9_32	3.2.1.52-RXN
S_NS6_Hh_054_v1v9_32	RXN-12625
S_NS6_Hh_054_v1v9_32	RXN-12626
S_NS6_Hh_054_v1v9_33	RXN0-5226
S_NS6_Hh_054_v1v9_33	3.2.1.52-RXN
S_NS6_Hh_054_v1v9_33	RXN-12625
S_NS6_Hh_054_v1v9_33	RXN-12626
S_NS6_Hh_054_v1v9_34	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_35	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_36	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_37	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_38	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_39	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_40	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_41	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_42	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_43	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_44	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_45	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_46	DNA-DIRECTED-DNA-POLYMERASE-RXN
S_NS6_Hh_054_v1v9_47	2.1.1.72-RXN
S_NS6_Hh_054_v1v9_48	2.1.1.72-RXN
S_NS6_Hh_054_v1v9_49	2.1.1.72-RXN
S_NS6_Hh_054_v1v9_50	2.1.1.72-RXN
S_NS6_Hh_054_v1v9_51	2.1.1.72-RXN
S_NS6_Hh_054_v1v9_52	TRANS-RXN-2
S_NS6_Hh_054_v1v9_52	3.6.3.12-RXN
S_NS6_Hh_054_v1v9_53	TRANS-RXN-2
S_NS6_Hh_054_v1v9_53	3.6.3.12-RXN
S_NS6_Hh_054_v1v9_54	TRANS-RXN-2
S_NS6_Hh_054_v1v9_54	3.6.3.12-RXN
S_NS6_Hh_054_v1v9_55	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Hh_054_v1v9_56	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Hh_054_v1v9_57	PEPTIDYLPROLYL-ISOMERASE-RXN
S_NS6_Hh_054_v1v9_58	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_59	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_60	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_61	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_62	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_63	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_64	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_65	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_66	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_67	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_68	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_69	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_70	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_71	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_72	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_73	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_74	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_75	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_76	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_77	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_78	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_79	2.7.13.3-RXN
S_NS6_Hh_054_v1v9_80	2.7.13.3-RXN
