Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
1193R_L_F_NS1_week9_S73_L001_R1_001	25.061862514334	68.90277023356872
1193R_L_F_NS1_week9_S73_L001_R2_001	15.909228076528455	72.74126380590259
1193R_NS1_week24_S38_L001_R1_001	27.779266404668334	66.78873407169228
1193R_NS1_week24_S38_L001_R2_001	22.466357032273432	67.85012504465881
184R_0_M_NS6_week5_S7_L001_R1_001	33.13576916934325	60.43156531151847
184R_0_M_NS6_week5_S7_L001_R2_001	18.11970968715064	70.78061505155006
2402R_0_F_S5_week5_S15_L001_R1_001	51.149328150088735	43.19980844530832
2402R_0_F_S5_week5_S15_L001_R2_001	48.06473421786529	41.57300205639595
2402R_R_F_S5_week5_S16_L001_R1_001	33.6632183220714	60.60664952460682
2402R_R_F_S5_week5_S16_L001_R2_001	31.468636010285234	58.293966393589656
2403R_0_F_NS6_week5_S8_L001_R1_001	36.98432182979319	56.851624531907945
2403R_0_F_NS6_week5_S8_L001_R2_001	22.992059915782274	65.35108845968581
2433R_0_F_S5_week5_S17_L001_R1_001	29.499673809404324	64.62287348823205
2433R_0_F_S5_week5_S17_L001_R2_001	27.294625382646657	60.81397099412857
2475R_0_M_S5_week5_S18_L001_R1_001	28.61590143607151	65.63629488273108
2475R_0_M_S5_week5_S18_L001_R2_001	26.635477034288073	62.202210829016906
2475R_RL_M_S5_week5_S19_L001_R1_001	27.432432432432428	66.64934164934166
2475R_RL_M_S5_week5_S19_L001_R2_001	25.575190575190575	63.35585585585585
2476R_R_F_NS6_week5_S9_L001_R1_001	36.8795346309969	57.3145395851312
2476R_R_F_NS6_week5_S9_L001_R2_001	20.10100041550804	68.86406494710263
2518R_0_M_S5_week5_S20_L001_R1_001	32.46869524065334	61.285701495209956
2518R_0_M_S5_week5_S20_L001_R2_001	30.24826368903726	58.20318995177979
2529R_0_F_NS1_week5_S53_L001_R1_001	44.556529927608736	49.678064857865934
2529R_0_F_NS1_week5_S53_L001_R2_001	31.321287740568536	57.62462480136543
2529R_0_F_NS1_week9_S74_L001_R1_001	29.913952872650253	64.42017474185862
2529R_0_F_NS1_week9_S74_L001_R2_001	27.925602329891447	61.266878474980146
2529R_L_F_NS1_diabetes_S26_L001_R1_001	26.539063364364857	67.80571844031041
2529R_L_F_NS1_diabetes_S26_L001_R2_001	21.52396908438572	66.5871121718377
2529R_L_F_NS1_week5_S54_L001_R1_001	38.538973160580206	55.52067921293159
2529R_L_F_NS1_week5_S54_L001_R2_001	27.00396852832589	61.36838175306629
2529R_L_F_NS1_week9_S75_L001_R1_001	26.911025800259697	67.28532716084233
2529R_L_F_NS1_week9_S75_L001_R2_001	25.05645571049512	64.21978208095749
2529R_NS1_week22_S37_L001_R1_001	23.558246828143023	70.92639194715319
2529R_NS1_week22_S37_L001_R2_001	21.16231519345706	69.37060920624934
2529R_RL_F_NS1_week5_S55_L001_R1_001	40.019835120560344	54.42881051261389
2529R_RL_F_NS1_week5_S55_L001_R2_001	28.124961259530156	61.196305708795634
2529R_RL_F_NS1_week9_S76_L001_R1_001	29.59441102270522	64.23858501289125
2529R_RL_F_NS1_week9_S76_L001_R2_001	27.605278478556183	61.33597626902497
2562R_0_F_NS6_week5_S10_L001_R1_001	27.927520172303467	66.19168760632402
2562R_0_F_NS6_week5_S10_L001_R2_001	13.344154323974216	76.16936931312722
2562R_RL_F_NS6_week5_S11_L001_R1_001	36.81575315806235	57.543965181699164
2562R_RL_F_NS6_week5_S11_L001_R2_001	16.5634620147907	72.98220162060791
3861R_0_M_NS1_week5_S56_L001_R1_001	38.46355497883161	55.653860773596534
3861R_0_M_NS1_week5_S56_L001_R2_001	26.822906426539788	62.04369994625981
3861R_0_M_NS1_week9_S77_L001_R1_001	26.893686935226373	67.41633987941164
3861R_0_M_NS1_week9_S77_L001_R2_001	17.009470372149977	72.46307174853139
3861R_L_M_NS1_diabetes_S27_L001_R1_001	33.08007756620148	61.361541151413036
3861R_L_M_NS1_diabetes_S27_L001_R2_001	21.56753663731443	66.88336459293639
3861R_L_M_NS1_week5_S57_L001_R1_001	30.020191730485873	64.12602550342895
3861R_L_M_NS1_week5_S57_L001_R2_001	20.408200389282012	67.50950466592691
3861R_L_M_NS1_week9_S78_L001_R1_001	21.11899937315043	73.00756592853915
3861R_L_M_NS1_week9_S78_L001_R2_001	17.028441477032523	71.60079886875519
3861R_NS1_week28_S39_L001_R1_001	26.052025607935427	68.30385384245554
3861R_NS1_week28_S39_L001_R2_001	24.28705179786938	65.12184012753359
3861R_R_M_NS1_week5_S58_L001_R1_001	28.666675450963858	65.75046446971393
3861R_R_M_NS1_week5_S58_L001_R2_001	21.073089744772243	67.0035444639163
3924R_L_F_S5_week5_S21_L001_R1_001	31.740755148471667	62.95222265445416
3924R_L_F_S5_week5_S21_L001_R2_001	30.051514187030687	60.44488453513456
3929R_0_F_S5_week5_S22_L001_R1_001	39.90922960304743	54.3288651781345
3929R_0_F_S5_week5_S22_L001_R2_001	37.207227089110425	51.57888676728812
3971R_0_F_NS1_week5_S59_L001_R1_001	29.225659123936058	64.87440315549098
3971R_0_F_NS1_week5_S59_L001_R2_001	23.24683412912601	64.81904366479827
3971R_0_F_NS1_week9_S79_L001_R1_001	28.185500440270033	65.59201643674787
3971R_0_F_NS1_week9_S79_L001_R2_001	26.5336072791312	62.92104490754329
3971R_NS1_week30_S40_L001_R1_001	31.362694828347315	63.090993468935
3971R_NS1_week30_S40_L001_R2_001	29.513169660543088	60.94038280869752
3971R_RL_F_NS1_diabetes_S29_L001_R1_001	32.67293238612128	61.85265263498507
3971R_RL_F_NS1_diabetes_S29_L001_R2_001	20.781302857815234	67.09614790627896
3971R_RL_F_NS1_week9_S81_L001_R1_001	26.386415406916548	67.77248567681369
3971R_RL_F_NS1_week9_S81_L001_R2_001	24.129219300062125	64.65796921377787
3971R_R_F_NS1_diabetes_S28_L001_R1_001	26.050297299931767	67.8103778795854
