Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1121R_RR_M_NS1_week9_S70_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 39.0)	(21.0, 81.0)	(22.0, 112.0)	(23.0, 202.0)	(24.0, 281.0)	(25.0, 444.0)	(26.0, 742.0)	(27.0, 1029.0)	(28.0, 1252.0)	(29.0, 1450.0)	(30.0, 1514.0)	(31.0, 1620.0)	(32.0, 2032.0)	(33.0, 2498.0)	(34.0, 3344.0)	(35.0, 5493.0)	(36.0, 11337.0)	(37.0, 58445.0)				
1121R_RR_M_NS1_week9_S70_L001_R2_001	(14.0, 1.0)	(15.0, 4.0)	(16.0, 5.0)	(17.0, 7.0)	(18.0, 10.0)	(19.0, 12.0)	(20.0, 98.0)	(21.0, 297.0)	(22.0, 382.0)	(23.0, 398.0)	(24.0, 413.0)	(25.0, 482.0)	(26.0, 598.0)	(27.0, 863.0)	(28.0, 1421.0)	(29.0, 2051.0)	(30.0, 3091.0)	(31.0, 4242.0)	(32.0, 6705.0)	(33.0, 10502.0)	(34.0, 16208.0)	(35.0, 20444.0)	(36.0, 20678.0)	(37.0, 3012.0)	
1121R_R_M_NS1_week5_S47_L001_R1_001	(18.0, 3.0)	(19.0, 5.0)	(20.0, 28.0)	(21.0, 45.0)	(22.0, 95.0)	(23.0, 152.0)	(24.0, 218.0)	(25.0, 322.0)	(26.0, 530.0)	(27.0, 773.0)	(28.0, 824.0)	(29.0, 1017.0)	(30.0, 1120.0)	(31.0, 1283.0)	(32.0, 1457.0)	(33.0, 1811.0)	(34.0, 2537.0)	(35.0, 4250.0)	(36.0, 8989.0)	(37.0, 44148.0)	(38.0, 1.0)				
1121R_R_M_NS1_week5_S47_L001_R2_001	(14.0, 2.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 11.0)	(20.0, 91.0)	(21.0, 242.0)	(22.0, 334.0)	(23.0, 317.0)	(24.0, 328.0)	(25.0, 365.0)	(26.0, 480.0)	(27.0, 642.0)	(28.0, 995.0)	(29.0, 1312.0)	(30.0, 2086.0)	(31.0, 3042.0)	(32.0, 4835.0)	(33.0, 7744.0)	(34.0, 12213.0)	(35.0, 15659.0)	(36.0, 16434.0)	(37.0, 2459.0)	
1121R_R_M_NS1_week9_S68_L001_R1_001	(18.0, 4.0)	(19.0, 6.0)	(20.0, 39.0)	(21.0, 70.0)	(22.0, 115.0)	(23.0, 147.0)	(24.0, 254.0)	(25.0, 359.0)	(26.0, 579.0)	(27.0, 827.0)	(28.0, 978.0)	(29.0, 1170.0)	(30.0, 1299.0)	(31.0, 1363.0)	(32.0, 1610.0)	(33.0, 2024.0)	(34.0, 2911.0)	(35.0, 4795.0)	(36.0, 9764.0)	(37.0, 51853.0)					
1121R_R_M_NS1_week9_S68_L001_R2_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 5.0)	(19.0, 10.0)	(20.0, 78.0)	(21.0, 263.0)	(22.0, 313.0)	(23.0, 325.0)	(24.0, 347.0)	(25.0, 397.0)	(26.0, 518.0)	(27.0, 684.0)	(28.0, 1039.0)	(29.0, 1485.0)	(30.0, 2147.0)	(31.0, 3462.0)	(32.0, 5250.0)	(33.0, 8625.0)	(34.0, 13858.0)	(35.0, 18512.0)	(36.0, 19878.0)	(37.0, 2962.0)	
1136R_0_F_S5_week5_S14_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 11.0)	(20.0, 33.0)	(21.0, 76.0)	(22.0, 84.0)	(23.0, 152.0)	(24.0, 248.0)	(25.0, 405.0)	(26.0, 576.0)	(27.0, 756.0)	(28.0, 892.0)	(29.0, 1016.0)	(30.0, 1060.0)	(31.0, 1178.0)	(32.0, 1361.0)	(33.0, 1710.0)	(34.0, 2411.0)	(35.0, 3858.0)	(36.0, 7844.0)	(37.0, 39442.0)			
1136R_0_F_S5_week5_S14_L001_R2_001	(15.0, 2.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 11.0)	(20.0, 84.0)	(21.0, 222.0)	(22.0, 279.0)	(23.0, 270.0)	(24.0, 314.0)	(25.0, 333.0)	(26.0, 489.0)	(27.0, 646.0)	(28.0, 943.0)	(29.0, 1460.0)	(30.0, 2181.0)	(31.0, 2947.0)	(32.0, 4535.0)	(33.0, 7211.0)	(34.0, 10997.0)	(35.0, 14490.0)	(36.0, 13665.0)	(37.0, 2025.0)		
1151R_0_M_NS1_week5_S50_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 14.0)	(20.0, 31.0)	(21.0, 67.0)	(22.0, 100.0)	(23.0, 137.0)	(24.0, 202.0)	(25.0, 323.0)	(26.0, 470.0)	(27.0, 648.0)	(28.0, 862.0)	(29.0, 923.0)	(30.0, 1022.0)	(31.0, 1175.0)	(32.0, 1343.0)	(33.0, 1789.0)	(34.0, 2439.0)	(35.0, 4281.0)	(36.0, 8632.0)	(37.0, 47833.0)				
1151R_0_M_NS1_week5_S50_L001_R2_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 4.0)	(18.0, 8.0)	(19.0, 20.0)	(20.0, 104.0)	(21.0, 307.0)	(22.0, 363.0)	(23.0, 288.0)	(24.0, 332.0)	(25.0, 408.0)	(26.0, 450.0)	(27.0, 605.0)	(28.0, 875.0)	(29.0, 1278.0)	(30.0, 1908.0)	(31.0, 2784.0)	(32.0, 4315.0)	(33.0, 7196.0)	(34.0, 11690.0)	(35.0, 16833.0)	(36.0, 19713.0)	(37.0, 2801.0)	
1151R_0_M_NS1_week9_S71_L001_R1_001	(18.0, 1.0)	(19.0, 5.0)	(20.0, 41.0)	(21.0, 67.0)	(22.0, 91.0)	(23.0, 158.0)	(24.0, 215.0)	(25.0, 393.0)	(26.0, 587.0)	(27.0, 946.0)	(28.0, 1058.0)	(29.0, 1206.0)	(30.0, 1279.0)	(31.0, 1528.0)	(32.0, 1752.0)	(33.0, 2191.0)	(34.0, 3140.0)	(35.0, 5111.0)	(36.0, 10507.0)	(37.0, 54322.0)	(38.0, 5.0)				
1151R_0_M_NS1_week9_S71_L001_R2_001	(15.0, 2.0)	(16.0, 6.0)	(17.0, 6.0)	(18.0, 4.0)	(19.0, 12.0)	(20.0, 80.0)	(21.0, 262.0)	(22.0, 310.0)	(23.0, 354.0)	(24.0, 339.0)	(25.0, 471.0)	(26.0, 571.0)	(27.0, 792.0)	(28.0, 1156.0)	(29.0, 1778.0)	(30.0, 2563.0)	(31.0, 3844.0)	(32.0, 6075.0)	(33.0, 10141.0)	(34.0, 15668.0)	(35.0, 19456.0)	(36.0, 18183.0)	(37.0, 2530.0)		
1151R_NS1_week21_S36_L001_R1_001	(18.0, 3.0)	(19.0, 10.0)	(20.0, 30.0)	(21.0, 51.0)	(22.0, 99.0)	(23.0, 157.0)	(24.0, 225.0)	(25.0, 362.0)	(26.0, 611.0)	(27.0, 731.0)	(28.0, 1051.0)	(29.0, 1168.0)	(30.0, 1289.0)	(31.0, 1520.0)	(32.0, 1837.0)	(33.0, 2300.0)	(34.0, 3192.0)	(35.0, 5404.0)	(36.0, 11454.0)	(37.0, 62222.0)	(38.0, 2.0)				
1151R_NS1_week21_S36_L001_R2_001	(14.0, 2.0)	(15.0, 4.0)	(16.0, 1.0)	(17.0, 10.0)	(18.0, 9.0)	(19.0, 5.0)	(20.0, 74.0)	(21.0, 221.0)	(22.0, 319.0)	(23.0, 298.0)	(24.0, 344.0)	(25.0, 380.0)	(26.0, 575.0)	(27.0, 723.0)	(28.0, 1057.0)	(29.0, 1555.0)	(30.0, 2297.0)	(31.0, 3562.0)	(32.0, 5800.0)	(33.0, 9523.0)	(34.0, 15364.0)	(35.0, 22173.0)	(36.0, 25082.0)	(37.0, 4340.0)	
1151R_R_M_NS1_diabetes_S24_L001_R1_001	(18.0, 4.0)	(19.0, 7.0)	(20.0, 55.0)	(21.0, 74.0)	(22.0, 110.0)	(23.0, 200.0)	(24.0, 275.0)	(25.0, 465.0)	(26.0, 697.0)	(27.0, 987.0)	(28.0, 1341.0)	(29.0, 1458.0)	(30.0, 1618.0)	(31.0, 1869.0)	(32.0, 2153.0)	(33.0, 2752.0)	(34.0, 3866.0)	(35.0, 6490.0)	(36.0, 13192.0)	(37.0, 71985.0)	(38.0, 3.0)				
1151R_R_M_NS1_diabetes_S24_L001_R2_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 7.0)	(17.0, 11.0)	(18.0, 19.0)	(19.0, 25.0)	(20.0, 139.0)	(21.0, 363.0)	(22.0, 461.0)	(23.0, 479.0)	(24.0, 478.0)	(25.0, 559.0)	(26.0, 778.0)	(27.0, 1069.0)	(28.0, 1499.0)	(29.0, 2262.0)	(30.0, 3284.0)	(31.0, 4985.0)	(32.0, 7999.0)	(33.0, 12903.0)	(34.0, 19794.0)	(35.0, 25314.0)	(36.0, 24333.0)	(37.0, 2836.0)	
1184R_0_M_NS6_week5_S4_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 8.0)	(20.0, 30.0)	(21.0, 77.0)	(22.0, 114.0)	(23.0, 182.0)	(24.0, 258.0)	(25.0, 349.0)	(26.0, 530.0)	(27.0, 634.0)	(28.0, 827.0)	(29.0, 952.0)	(30.0, 995.0)	(31.0, 1115.0)	(32.0, 1360.0)	(33.0, 1662.0)	(34.0, 2530.0)	(35.0, 4214.0)	(36.0, 8788.0)	(37.0, 34824.0)	(38.0, 1.0)			
1184R_0_M_NS6_week5_S4_L001_R2_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 10.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 11.0)	(20.0, 88.0)	(21.0, 221.0)	(22.0, 275.0)	(23.0, 282.0)	(24.0, 298.0)	(25.0, 311.0)	(26.0, 418.0)	(27.0, 531.0)	(28.0, 832.0)	(29.0, 1145.0)	(30.0, 1826.0)	(31.0, 2776.0)	(32.0, 4425.0)	(33.0, 7294.0)	(34.0, 11238.0)	(35.0, 14562.0)	(36.0, 12082.0)	(37.0, 815.0)	
1186R_0_M_NS6_week5_S5_L001_R1_001	(18.0, 4.0)	(19.0, 13.0)	(20.0, 30.0)	(21.0, 59.0)	(22.0, 95.0)	(23.0, 122.0)	(24.0, 211.0)	(25.0, 328.0)	(26.0, 473.0)	(27.0, 614.0)	(28.0, 766.0)	(29.0, 819.0)	(30.0, 900.0)	(31.0, 990.0)	(32.0, 1155.0)	(33.0, 1535.0)	(34.0, 2182.0)	(35.0, 3695.0)	(36.0, 7560.0)	(37.0, 36795.0)					
1186R_0_M_NS6_week5_S5_L001_R2_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 11.0)	(18.0, 8.0)	(19.0, 13.0)	(20.0, 93.0)	(21.0, 250.0)	(22.0, 272.0)	(23.0, 256.0)	(24.0, 270.0)	(25.0, 310.0)	(26.0, 425.0)	(27.0, 572.0)	(28.0, 801.0)	(29.0, 1091.0)	(30.0, 1659.0)	(31.0, 2410.0)	(32.0, 3769.0)	(33.0, 5926.0)	(34.0, 9515.0)	(35.0, 13576.0)	(36.0, 15032.0)	(37.0, 2080.0)	
1186R_RR_M_NS6_week5_S6_L001_R1_001	(18.0, 1.0)	(19.0, 10.0)	(20.0, 45.0)	(21.0, 75.0)	(22.0, 127.0)	(23.0, 188.0)	(24.0, 241.0)	(25.0, 388.0)	(26.0, 513.0)	(27.0, 728.0)	(28.0, 858.0)	(29.0, 956.0)	(30.0, 1041.0)	(31.0, 1080.0)	(32.0, 1365.0)	(33.0, 1800.0)	(34.0, 2441.0)	(35.0, 4109.0)	(36.0, 8218.0)	(37.0, 42213.0)	(38.0, 1.0)				
1186R_RR_M_NS6_week5_S6_L001_R2_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 5.0)	(17.0, 7.0)	(18.0, 8.0)	(19.0, 14.0)	(20.0, 90.0)	(21.0, 261.0)	(22.0, 317.0)	(23.0, 335.0)	(24.0, 324.0)	(25.0, 402.0)	(26.0, 479.0)	(27.0, 581.0)	(28.0, 896.0)	(29.0, 1181.0)	(30.0, 1826.0)	(31.0, 2668.0)	(32.0, 3986.0)	(33.0, 6511.0)	(34.0, 10537.0)	(35.0, 15120.0)	(36.0, 18044.0)	(37.0, 2803.0)
1193R_0_F_NS1_week5_S51_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 30.0)	(21.0, 67.0)	(22.0, 109.0)	(23.0, 174.0)	(24.0, 203.0)	(25.0, 344.0)	(26.0, 539.0)	(27.0, 776.0)	(28.0, 933.0)	(29.0, 1098.0)	(30.0, 1158.0)	(31.0, 1328.0)	(32.0, 1565.0)	(33.0, 1934.0)	(34.0, 2733.0)	(35.0, 4691.0)	(36.0, 9449.0)	(37.0, 51278.0)	(38.0, 2.0)			
1193R_0_F_NS1_week5_S51_L001_R2_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 8.0)	(17.0, 10.0)	(18.0, 7.0)	(19.0, 11.0)	(20.0, 131.0)	(21.0, 360.0)	(22.0, 370.0)	(23.0, 373.0)	(24.0, 412.0)	(25.0, 459.0)	(26.0, 592.0)	(27.0, 741.0)	(28.0, 960.0)	(29.0, 1547.0)	(30.0, 2192.0)	(31.0, 3213.0)	(32.0, 4977.0)	(33.0, 8243.0)	(34.0, 13091.0)	(35.0, 18062.0)	(36.0, 19773.0)	(37.0, 2890.0)
1193R_0_F_NS1_week9_S72_L001_R1_001	(17.0, 1.0)	(18.0, 6.0)	(19.0, 4.0)	(20.0, 33.0)	(21.0, 67.0)	(22.0, 109.0)	(23.0, 166.0)	(24.0, 219.0)	(25.0, 343.0)	(26.0, 470.0)	(27.0, 702.0)	(28.0, 891.0)	(29.0, 972.0)	(30.0, 1065.0)	(31.0, 1201.0)	(32.0, 1472.0)	(33.0, 1889.0)	(34.0, 2705.0)	(35.0, 4366.0)	(36.0, 9004.0)	(37.0, 48950.0)	(38.0, 3.0)			
1193R_0_F_NS1_week9_S72_L001_R2_001	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 9.0)	(19.0, 12.0)	(20.0, 80.0)	(21.0, 261.0)	(22.0, 280.0)	(23.0, 328.0)	(24.0, 321.0)	(25.0, 368.0)	(26.0, 449.0)	(27.0, 646.0)	(28.0, 896.0)	(29.0, 1390.0)	(30.0, 2022.0)	(31.0, 3084.0)	(32.0, 4963.0)	(33.0, 8166.0)	(34.0, 12915.0)	(35.0, 17431.0)	(36.0, 18707.0)	(37.0, 2304.0)	
1193R_L_F_NS1_diabetes_S25_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 6.0)	(20.0, 28.0)	(21.0, 44.0)	(22.0, 72.0)	(23.0, 127.0)	(24.0, 175.0)	(25.0, 315.0)	(26.0, 412.0)	(27.0, 641.0)	(28.0, 793.0)	(29.0, 865.0)	(30.0, 946.0)	(31.0, 959.0)	(32.0, 1191.0)	(33.0, 1573.0)	(34.0, 2249.0)	(35.0, 3604.0)	(36.0, 7525.0)	(37.0, 37684.0)	(38.0, 4.0)			
1193R_L_F_NS1_diabetes_S25_L001_R2_001	(13.0, 2.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 7.0)	(17.0, 9.0)	(18.0, 9.0)	(19.0, 15.0)	(20.0, 124.0)	(21.0, 331.0)	(22.0, 384.0)	(23.0, 383.0)	(24.0, 407.0)	(25.0, 438.0)	(26.0, 500.0)	(27.0, 687.0)	(28.0, 998.0)	(29.0, 1373.0)	(30.0, 1855.0)	(31.0, 2701.0)	(32.0, 4043.0)	(33.0, 6616.0)	(34.0, 10103.0)	(35.0, 12865.0)	(36.0, 13570.0)	(37.0, 1794.0)
1193R_L_F_NS1_week5_S52_L001_R1_001	(18.0, 1.0)	(19.0, 9.0)	(20.0, 33.0)	(21.0, 75.0)	(22.0, 110.0)	(23.0, 169.0)	(24.0, 232.0)	(25.0, 337.0)	(26.0, 602.0)	(27.0, 803.0)	(28.0, 1015.0)	(29.0, 1108.0)	(30.0, 1152.0)	(31.0, 1319.0)	(32.0, 1611.0)	(33.0, 2014.0)	(34.0, 2697.0)	(35.0, 4644.0)	(36.0, 9458.0)	(37.0, 51178.0)	(38.0, 1.0)				
1193R_L_F_NS1_week5_S52_L001_R2_001	(15.0, 4.0)	(16.0, 9.0)	(17.0, 12.0)	(18.0, 17.0)	(19.0, 10.0)	(20.0, 117.0)	(21.0, 329.0)	(22.0, 421.0)	(23.0, 386.0)	(24.0, 372.0)	(25.0, 415.0)	(26.0, 543.0)	(27.0, 732.0)	(28.0, 955.0)	(29.0, 1418.0)	(30.0, 2155.0)	(31.0, 3173.0)	(32.0, 4783.0)	(33.0, 7868.0)	(34.0, 12375.0)	(35.0, 17679.0)	(36.0, 21111.0)	(37.0, 3684.0)		
1193R_L_F_NS1_week9_S73_L001_R1_001	(18.0, 2.0)	(19.0, 7.0)	(20.0, 30.0)	(21.0, 75.0)	(22.0, 110.0)	(23.0, 132.0)	(24.0, 226.0)	(25.0, 280.0)	(26.0, 511.0)	(27.0, 687.0)	(28.0, 840.0)	(29.0, 926.0)	(30.0, 991.0)	(31.0, 1108.0)	(32.0, 1350.0)	(33.0, 1676.0)	(34.0, 2437.0)	(35.0, 4095.0)	(36.0, 8262.0)	(37.0, 42531.0)					
1193R_L_F_NS1_week9_S73_L001_R2_001	(15.0, 2.0)	(16.0, 4.0)	(17.0, 5.0)	(18.0, 10.0)	(19.0, 11.0)	(20.0, 89.0)	(21.0, 232.0)	(22.0, 269.0)	(23.0, 326.0)	(24.0, 315.0)	(25.0, 375.0)	(26.0, 494.0)	(27.0, 596.0)	(28.0, 905.0)	(29.0, 1340.0)	(30.0, 1844.0)	(31.0, 2846.0)	(32.0, 4215.0)	(33.0, 7016.0)	(34.0, 11164.0)	(35.0, 15824.0)	(36.0, 16487.0)	(37.0, 1907.0)		
1193R_NS1_week24_S38_L001_R1_001	(17.0, 1.0)	(18.0, 1.0)	(19.0, 6.0)	(20.0, 22.0)	(21.0, 59.0)	(22.0, 71.0)	(23.0, 113.0)	(24.0, 165.0)	(25.0, 274.0)	(26.0, 429.0)	(27.0, 638.0)	(28.0, 790.0)	(29.0, 916.0)	(30.0, 1037.0)	(31.0, 1160.0)	(32.0, 1328.0)	(33.0, 1713.0)	(34.0, 2455.0)	(35.0, 4015.0)	(36.0, 8321.0)	(37.0, 43660.0)	(38.0, 2.0)			
1193R_NS1_week24_S38_L001_R2_001	(15.0, 3.0)	(16.0, 2.0)	(17.0, 5.0)	(18.0, 4.0)	(19.0, 5.0)	(20.0, 57.0)	(21.0, 197.0)	(22.0, 211.0)	(23.0, 236.0)	(24.0, 236.0)	(25.0, 307.0)	(26.0, 395.0)	(27.0, 549.0)	(28.0, 858.0)	(29.0, 1284.0)	(30.0, 1910.0)	(31.0, 2863.0)	(32.0, 4356.0)	(33.0, 7173.0)	(34.0, 11231.0)	(35.0, 15215.0)	(36.0, 17089.0)	(37.0, 2989.0)	(38.0, 1.0)	
184R_0_M_NS6_week5_S7_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 5.0)	(20.0, 22.0)	(21.0, 54.0)	(22.0, 93.0)	(23.0, 139.0)	(24.0, 230.0)	(25.0, 301.0)	(26.0, 484.0)	(27.0, 633.0)	(28.0, 730.0)	(29.0, 876.0)	(30.0, 925.0)	(31.0, 1005.0)	(32.0, 1197.0)	(33.0, 1521.0)	(34.0, 2249.0)	(35.0, 3832.0)	(36.0, 7866.0)	(37.0, 34185.0)	(38.0, 1.0)			
184R_0_M_NS6_week5_S7_L001_R2_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 11.0)	(18.0, 2.0)	(19.0, 12.0)	(20.0, 80.0)	(21.0, 194.0)	(22.0, 299.0)	(23.0, 265.0)	(24.0, 299.0)	(25.0, 329.0)	(26.0, 400.0)	(27.0, 540.0)	(28.0, 681.0)	(29.0, 994.0)	(30.0, 1561.0)	(31.0, 2339.0)	(32.0, 3754.0)	(33.0, 6221.0)	(34.0, 9818.0)	(35.0, 13408.0)	(36.0, 13508.0)	(37.0, 1630.0)	
2402R_0_F_S5_week5_S15_L001_R1_001	(15.0, 1.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 1.0)	(19.0, 7.0)	(20.0, 27.0)	(21.0, 52.0)	(22.0, 60.0)	(23.0, 112.0)	(24.0, 175.0)	(25.0, 336.0)	(26.0, 548.0)	(27.0, 797.0)	(28.0, 1052.0)	(29.0, 1121.0)	(30.0, 1224.0)	(31.0, 1289.0)	(32.0, 1537.0)	(33.0, 1933.0)	(34.0, 2742.0)	(35.0, 4264.0)	(36.0, 8804.0)	(37.0, 44909.0)	(38.0, 5.0)	
2402R_0_F_S5_week5_S15_L001_R2_001	(15.0, 4.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 7.0)	(19.0, 14.0)	(20.0, 69.0)	(21.0, 226.0)	(22.0, 290.0)	(23.0, 300.0)	(24.0, 308.0)	(25.0, 415.0)	(26.0, 525.0)	(27.0, 745.0)	(28.0, 1180.0)	(29.0, 1723.0)	(30.0, 2514.0)	(31.0, 3809.0)	(32.0, 5818.0)	(33.0, 9765.0)	(34.0, 14250.0)	(35.0, 15912.0)	(36.0, 11420.0)	(37.0, 1697.0)		
2402R_R_F_S5_week5_S16_L001_R1_001	(18.0, 5.0)	(19.0, 2.0)	(20.0, 15.0)	(21.0, 42.0)	(22.0, 57.0)	(23.0, 126.0)	(24.0, 183.0)	(25.0, 339.0)	(26.0, 548.0)	(27.0, 710.0)	(28.0, 871.0)	(29.0, 1007.0)	(30.0, 1072.0)	(31.0, 1243.0)	(32.0, 1433.0)	(33.0, 1839.0)	(34.0, 2558.0)	(35.0, 4289.0)	(36.0, 8563.0)	(37.0, 41989.0)	(38.0, 1.0)				
2402R_R_F_S5_week5_S16_L001_R2_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 6.0)	(19.0, 4.0)	(20.0, 41.0)	(21.0, 181.0)	(22.0, 236.0)	(23.0, 229.0)	(24.0, 271.0)	(25.0, 330.0)	(26.0, 450.0)	(27.0, 670.0)	(28.0, 1093.0)	(29.0, 1594.0)	(30.0, 2375.0)	(31.0, 3604.0)	(32.0, 5577.0)	(33.0, 8897.0)	(34.0, 13086.0)	(35.0, 15038.0)	(36.0, 11933.0)	(37.0, 1272.0)		
2403R_0_F_NS6_week5_S8_L001_R1_001	(18.0, 2.0)	(19.0, 7.0)	(20.0, 24.0)	(21.0, 68.0)	(22.0, 104.0)	(23.0, 120.0)	(24.0, 187.0)	(25.0, 297.0)	(26.0, 465.0)	(27.0, 639.0)	(28.0, 732.0)	(29.0, 735.0)	(30.0, 923.0)	(31.0, 1020.0)	(32.0, 1216.0)	(33.0, 1543.0)	(34.0, 2355.0)	(35.0, 3766.0)	(36.0, 8089.0)	(37.0, 42064.0)	(38.0, 1.0)				
2403R_0_F_NS6_week5_S8_L001_R2_001	(15.0, 3.0)	(16.0, 2.0)	(17.0, 6.0)	(18.0, 9.0)	(19.0, 8.0)	(20.0, 92.0)	(21.0, 249.0)	(22.0, 302.0)	(23.0, 301.0)	(24.0, 294.0)	(25.0, 363.0)	(26.0, 429.0)	(27.0, 607.0)	(28.0, 833.0)	(29.0, 1198.0)	(30.0, 1829.0)	(31.0, 2700.0)	(32.0, 4183.0)	(33.0, 6848.0)	(34.0, 11029.0)	(35.0, 15512.0)	(36.0, 15892.0)	(37.0, 1668.0)		
2433R_0_F_S5_week5_S17_L001_R1_001	(17.0, 1.0)	(18.0, 10.0)	(19.0, 15.0)	(20.0, 52.0)	(21.0, 93.0)	(22.0, 141.0)	(23.0, 223.0)	(24.0, 318.0)	(25.0, 533.0)	(26.0, 778.0)	(27.0, 1103.0)	(28.0, 1324.0)	(29.0, 1663.0)	(30.0, 1752.0)	(31.0, 1829.0)	(32.0, 2161.0)	(33.0, 2731.0)	(34.0, 3885.0)	(35.0, 6087.0)	(36.0, 12155.0)	(37.0, 62779.0)	(38.0, 2.0)			
2433R_0_F_S5_week5_S17_L001_R2_001	(14.0, 1.0)	(15.0, 5.0)	(16.0, 6.0)	(17.0, 9.0)	(18.0, 10.0)	(19.0, 22.0)	(20.0, 148.0)	(21.0, 383.0)	(22.0, 454.0)	(23.0, 460.0)	(24.0, 521.0)	(25.0, 538.0)	(26.0, 787.0)	(27.0, 1120.0)	(28.0, 1578.0)	(29.0, 2454.0)	(30.0, 3572.0)	(31.0, 5364.0)	(32.0, 8470.0)	(33.0, 13440.0)	(34.0, 19610.0)	(35.0, 22516.0)	(36.0, 16573.0)	(37.0, 1594.0)	
2475R_0_M_S5_week5_S18_L001_R1_001	(17.0, 5.0)	(18.0, 3.0)	(19.0, 16.0)	(20.0, 48.0)	(21.0, 105.0)	(22.0, 148.0)	(23.0, 198.0)	(24.0, 348.0)	(25.0, 570.0)	(26.0, 829.0)	(27.0, 1141.0)	(28.0, 1449.0)	(29.0, 1717.0)	(30.0, 1865.0)	(31.0, 2025.0)	(32.0, 2428.0)	(33.0, 3086.0)	(34.0, 4374.0)	(35.0, 6996.0)	(36.0, 13957.0)	(37.0, 72402.0)	(38.0, 3.0)			
2475R_0_M_S5_week5_S18_L001_R2_001	(14.0, 2.0)	(15.0, 3.0)	(16.0, 7.0)	(17.0, 10.0)	(18.0, 15.0)	(19.0, 14.0)	(20.0, 149.0)	(21.0, 367.0)	(22.0, 485.0)	(23.0, 503.0)	(24.0, 531.0)	(25.0, 629.0)	(26.0, 789.0)	(27.0, 1168.0)	(28.0, 1695.0)	(29.0, 2684.0)	(30.0, 3866.0)	(31.0, 5913.0)	(32.0, 9530.0)	(33.0, 15265.0)	(34.0, 22931.0)	(35.0, 26329.0)	(36.0, 19036.0)	(37.0, 1792.0)	
2475R_RL_M_S5_week5_S19_L001_R1_001	(16.0, 1.0)	(17.0, 1.0)	(18.0, 8.0)	(19.0, 10.0)	(20.0, 51.0)	(21.0, 105.0)	(22.0, 170.0)	(23.0, 226.0)	(24.0, 342.0)	(25.0, 559.0)	(26.0, 808.0)	(27.0, 1274.0)	(28.0, 1506.0)	(29.0, 1659.0)	(30.0, 1903.0)	(31.0, 2089.0)	(32.0, 2476.0)	(33.0, 3069.0)	(34.0, 4305.0)	(35.0, 7081.0)	(36.0, 14053.0)	(37.0, 73742.0)	(38.0, 2.0)		
2475R_RL_M_S5_week5_S19_L001_R2_001	(14.0, 2.0)	(15.0, 4.0)	(16.0, 8.0)	(17.0, 8.0)	(18.0, 14.0)	(19.0, 21.0)	(20.0, 154.0)	(21.0, 400.0)	(22.0, 503.0)	(23.0, 541.0)	(24.0, 578.0)	(25.0, 673.0)	(26.0, 901.0)	(27.0, 1156.0)	(28.0, 1747.0)	(29.0, 2606.0)	(30.0, 3944.0)	(31.0, 5711.0)	(32.0, 9151.0)	(33.0, 14886.0)	(34.0, 22531.0)	(35.0, 26924.0)	(36.0, 20808.0)	(37.0, 2169.0)	
2476R_R_F_NS6_week5_S9_L001_R1_001	(17.0, 1.0)	(18.0, 6.0)	(19.0, 6.0)	(20.0, 25.0)	(21.0, 63.0)	(22.0, 109.0)	(23.0, 144.0)	(24.0, 248.0)	(25.0, 358.0)	(26.0, 496.0)	(27.0, 574.0)	(28.0, 770.0)	(29.0, 879.0)	(30.0, 955.0)	(31.0, 1018.0)	(32.0, 1290.0)	(33.0, 1541.0)	(34.0, 2464.0)	(35.0, 4023.0)	(36.0, 7805.0)	(37.0, 39799.0)				
