Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
1030R_RR_M_NS1_week9_S66_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 24.0)	(21.0, 57.0)	(22.0, 99.0)	(23.0, 120.0)	(24.0, 203.0)	(25.0, 292.0)	(26.0, 493.0)	(27.0, 721.0)	(28.0, 843.0)	(29.0, 986.0)	(30.0, 1140.0)	(31.0, 1122.0)	(32.0, 1472.0)	(33.0, 1936.0)	(34.0, 2758.0)	(35.0, 4509.0)	(36.0, 9124.0)	(37.0, 46851.0)				
1030R_RR_M_NS1_week9_S66_L001_R2_001	(15.0, 4.0)	(16.0, 5.0)	(17.0, 3.0)	(18.0, 13.0)	(19.0, 8.0)	(20.0, 94.0)	(21.0, 214.0)	(22.0, 291.0)	(23.0, 266.0)	(24.0, 285.0)	(25.0, 364.0)	(26.0, 485.0)	(27.0, 618.0)	(28.0, 926.0)	(29.0, 1381.0)	(30.0, 2133.0)	(31.0, 3231.0)	(32.0, 4995.0)	(33.0, 8391.0)	(34.0, 13150.0)	(35.0, 17456.0)	(36.0, 16543.0)	(37.0, 1903.0)		
1060R_L_M_S5_week5_S12_L001_R1_001	(18.0, 2.0)	(19.0, 8.0)	(20.0, 25.0)	(21.0, 56.0)	(22.0, 79.0)	(23.0, 137.0)	(24.0, 211.0)	(25.0, 373.0)	(26.0, 603.0)	(27.0, 907.0)	(28.0, 1136.0)	(29.0, 1168.0)	(30.0, 1241.0)	(31.0, 1394.0)	(32.0, 1640.0)	(33.0, 1935.0)	(34.0, 2760.0)	(35.0, 4377.0)	(36.0, 8881.0)	(37.0, 45812.0)	(38.0, 3.0)				
1060R_L_M_S5_week5_S12_L001_R2_001	(13.0, 3.0)	(14.0, 0.0)	(15.0, 4.0)	(16.0, 1.0)	(17.0, 6.0)	(18.0, 11.0)	(19.0, 13.0)	(20.0, 77.0)	(21.0, 207.0)	(22.0, 259.0)	(23.0, 305.0)	(24.0, 334.0)	(25.0, 436.0)	(26.0, 484.0)	(27.0, 801.0)	(28.0, 1131.0)	(29.0, 1630.0)	(30.0, 2426.0)	(31.0, 3579.0)	(32.0, 5597.0)	(33.0, 8995.0)	(34.0, 13474.0)	(35.0, 16583.0)	(36.0, 14258.0)	(37.0, 2134.0)
1075R_0_M_NS6_week5_S2_L001_R1_001	(17.0, 1.0)	(18.0, 6.0)	(19.0, 5.0)	(20.0, 28.0)	(21.0, 78.0)	(22.0, 104.0)	(23.0, 158.0)	(24.0, 214.0)	(25.0, 312.0)	(26.0, 470.0)	(27.0, 568.0)	(28.0, 712.0)	(29.0, 803.0)	(30.0, 865.0)	(31.0, 1103.0)	(32.0, 1225.0)	(33.0, 1550.0)	(34.0, 2258.0)	(35.0, 3793.0)	(36.0, 7740.0)	(37.0, 36559.0)				
1075R_0_M_NS6_week5_S2_L001_R2_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 5.0)	(18.0, 4.0)	(19.0, 8.0)	(20.0, 66.0)	(21.0, 234.0)	(22.0, 272.0)	(23.0, 296.0)	(24.0, 286.0)	(25.0, 305.0)	(26.0, 429.0)	(27.0, 512.0)	(28.0, 753.0)	(29.0, 1086.0)	(30.0, 1695.0)	(31.0, 2666.0)	(32.0, 4011.0)	(33.0, 6771.0)	(34.0, 10676.0)	(35.0, 14469.0)	(36.0, 12964.0)	(37.0, 1038.0)	
1075R_RL_M_NS6_week5_S3_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 11.0)	(20.0, 31.0)	(21.0, 62.0)	(22.0, 97.0)	(23.0, 145.0)	(24.0, 234.0)	(25.0, 347.0)	(26.0, 471.0)	(27.0, 713.0)	(28.0, 807.0)	(29.0, 941.0)	(30.0, 1071.0)	(31.0, 1138.0)	(32.0, 1411.0)	(33.0, 1787.0)	(34.0, 2571.0)	(35.0, 4478.0)	(36.0, 9131.0)	(37.0, 47607.0)			
1075R_RL_M_NS6_week5_S3_L001_R2_001	(14.0, 1.0)	(15.0, 4.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 7.0)	(19.0, 16.0)	(20.0, 89.0)	(21.0, 312.0)	(22.0, 376.0)	(23.0, 313.0)	(24.0, 387.0)	(25.0, 413.0)	(26.0, 509.0)	(27.0, 635.0)	(28.0, 921.0)	(29.0, 1285.0)	(30.0, 1907.0)	(31.0, 2845.0)	(32.0, 4490.0)	(33.0, 7409.0)	(34.0, 12258.0)	(35.0, 17632.0)	(36.0, 18854.0)	(37.0, 2386.0)	
1076R_0_M_S5_week5_S13_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 12.0)	(20.0, 37.0)	(21.0, 84.0)	(22.0, 126.0)	(23.0, 167.0)	(24.0, 250.0)	(25.0, 415.0)	(26.0, 650.0)	(27.0, 855.0)	(28.0, 1095.0)	(29.0, 1190.0)	(30.0, 1276.0)	(31.0, 1394.0)	(32.0, 1614.0)	(33.0, 2081.0)	(34.0, 3004.0)	(35.0, 4781.0)	(36.0, 9662.0)	(37.0, 49336.0)	(38.0, 3.0)			
1076R_0_M_S5_week5_S13_L001_R2_001	(15.0, 3.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 5.0)	(19.0, 10.0)	(20.0, 78.0)	(21.0, 256.0)	(22.0, 328.0)	(23.0, 329.0)	(24.0, 377.0)	(25.0, 449.0)	(26.0, 579.0)	(27.0, 786.0)	(28.0, 1138.0)	(29.0, 1711.0)	(30.0, 2513.0)	(31.0, 3764.0)	(32.0, 5940.0)	(33.0, 9160.0)	(34.0, 14163.0)	(35.0, 17832.0)	(36.0, 16077.0)	(37.0, 2533.0)		
