.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
1121R_R_M_NS1_week9_S68_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1136R_0_F_S5_week5_S14_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1136R_0_F_S5_week5_S14_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_0_M_NS1_week5_S50_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_0_M_NS1_week5_S50_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_0_M_NS1_week9_S71_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_0_M_NS1_week9_S71_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_NS1_week21_S36_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_NS1_week21_S36_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_R_M_NS1_diabetes_S24_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1151R_R_M_NS1_diabetes_S24_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1184R_0_M_NS6_week5_S4_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1184R_0_M_NS6_week5_S4_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1186R_0_M_NS6_week5_S5_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1186R_0_M_NS6_week5_S5_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1186R_RR_M_NS6_week5_S6_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1186R_RR_M_NS6_week5_S6_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_0_F_NS1_week5_S51_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_0_F_NS1_week5_S51_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_0_F_NS1_week9_S72_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_0_F_NS1_week9_S72_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_L_F_NS1_diabetes_S25_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_L_F_NS1_diabetes_S25_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_L_F_NS1_week5_S52_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
1193R_L_F_NS1_week5_S52_L001_R2_001	1	0.5	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
