"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","S5_PPV","S5_TP","S5_FP","S5_Total_ASVs","S5_Unique_taxa","S5_Taxa_with_no_species_before_filtering","S5_Taxa_with_no_species_after_filtering"
200,250,0.15,36,6,90.1960784313726,46,5,51,23,36,0
200,250,0.2,36,8,93.6170212765958,44,3,47,21,36,0
200,300,0.001,36,1,83.9506172839506,68,13,81,31,36,0
200,300,0.005,36,1,83.9506172839506,68,13,81,31,36,0
200,300,0.01,36,1,83.9506172839506,68,13,81,31,36,0
200,300,0.05,36,2,88.5714285714286,62,8,70,31,36,0
200,300,0.1,36,4,91.2280701754386,52,5,57,26,36,0
200,300,0.15,36,6,90.1960784313726,46,5,51,23,36,0
200,300,0.2,36,8,93.6170212765958,44,3,47,21,36,0
200,350,0.001,36,1,83.9506172839506,68,13,81,31,36,0
200,350,0.005,36,1,83.9506172839506,68,13,81,31,36,0
200,350,0.01,36,1,83.9506172839506,68,13,81,31,36,0
200,350,0.05,36,2,88.5714285714286,62,8,70,31,36,0
200,350,0.1,36,4,91.2280701754386,52,5,57,26,36,0
200,350,0.15,36,6,90.1960784313726,46,5,51,23,36,0
200,350,0.2,36,8,93.6170212765958,44,3,47,21,36,0
200,400,0.001,36,1,83.9506172839506,68,13,81,31,36,0
200,400,0.005,36,1,83.9506172839506,68,13,81,31,36,0
200,400,0.01,36,1,83.9506172839506,68,13,81,31,36,0
200,400,0.05,36,2,88.5714285714286,62,8,70,31,36,0
200,400,0.1,36,4,91.2280701754386,52,5,57,26,36,0
200,400,0.15,36,6,90.1960784313726,46,5,51,23,36,0
200,400,0.2,36,8,93.6170212765958,44,3,47,21,36,0
250,200,0.001,36,1,86.4864864864865,64,10,74,31,36,0
250,200,0.005,36,1,86.4864864864865,64,10,74,31,36,0
250,200,0.01,36,1,86.4864864864865,64,10,74,31,36,0
250,200,0.05,36,2,88.0597014925373,59,8,67,31,36,0
250,200,0.1,36,4,91.0714285714286,51,5,56,26,36,0
250,200,0.15,36,6,90.1960784313726,46,5,51,23,36,0
250,200,0.2,36,8,93.6170212765958,44,3,47,21,36,0
250,250,0.001,36,1,86.4864864864865,64,10,74,31,36,0
250,250,0.005,36,1,86.4864864864865,64,10,74,31,36,0
250,250,0.01,36,1,86.4864864864865,64,10,74,31,36,0
250,250,0.05,36,2,88.0597014925373,59,8,67,31,36,0
250,250,0.1,36,4,91.0714285714286,51,5,56,26,36,0
250,250,0.15,36,6,90.1960784313726,46,5,51,23,36,0
250,250,0.2,36,8,93.6170212765958,44,3,47,21,36,0
250,300,0.001,36,1,86.4864864864865,64,10,74,31,36,0
250,300,0.005,36,1,86.4864864864865,64,10,74,31,36,0
250,300,0.01,36,1,86.4864864864865,64,10,74,31,36,0
250,300,0.05,36,2,88.0597014925373,59,8,67,31,36,0
250,300,0.1,36,4,91.0714285714286,51,5,56,26,36,0
250,300,0.15,36,6,90.1960784313726,46,5,51,23,36,0
250,300,0.2,36,8,93.6170212765958,44,3,47,21,36,0
250,350,0.001,36,1,86.4864864864865,64,10,74,31,36,0
250,350,0.005,36,1,86.4864864864865,64,10,74,31,36,0
250,350,0.01,36,1,86.4864864864865,64,10,74,31,36,0
250,350,0.05,36,2,88.0597014925373,59,8,67,31,36,0
250,350,0.1,36,4,91.0714285714286,51,5,56,26,36,0
250,350,0.15,36,6,90.1960784313726,46,5,51,23,36,0
250,350,0.2,36,8,93.6170212765958,44,3,47,21,36,0
250,400,0.001,36,1,86.4864864864865,64,10,74,31,36,0
250,400,0.005,36,1,86.4864864864865,64,10,74,31,36,0
250,400,0.01,36,1,86.4864864864865,64,10,74,31,36,0
250,400,0.05,36,2,88.0597014925373,59,8,67,31,36,0
250,400,0.1,36,4,91.0714285714286,51,5,56,26,36,0
250,400,0.15,36,6,90.1960784313726,46,5,51,23,36,0
250,400,0.2,36,8,93.6170212765958,44,3,47,21,36,0
300,200,0.001,36,1,86.7647058823529,59,9,68,30,36,0
300,200,0.005,36,1,86.7647058823529,59,9,68,30,36,0
300,200,0.01,36,1,86.7647058823529,59,9,68,30,36,0
300,200,0.05,36,2,89.0625,57,7,64,30,36,0
300,200,0.1,36,4,92.5925925925926,50,4,54,25,36,0
300,200,0.15,36,6,92,46,4,50,22,36,0
300,200,0.2,36,8,95.6521739130435,44,2,46,20,36,0
300,250,0.001,36,1,86.7647058823529,59,9,68,30,36,0
300,250,0.005,36,1,86.7647058823529,59,9,68,30,36,0
300,250,0.01,36,1,86.7647058823529,59,9,68,30,36,0
300,250,0.05,36,2,89.0625,57,7,64,30,36,0
300,250,0.1,36,4,92.5925925925926,50,4,54,25,36,0
300,250,0.15,36,6,92,46,4,50,22,36,0
