"ASV_count","ASV_length","Prevalence_threshold","Num_of_samples","Min_samples_for_prevalence","NS6_PPV","NS6_TP","NS6_FP","NS6_Total_ASVs","NS6_Unique_taxa","NS6_Taxa_with_no_species_before_filtering","NS6_Taxa_with_no_species_after_filtering"
150,350,0.01,35,1,95.5555555555556,86,4,90,32,36,0
150,350,0.05,35,2,98.780487804878,81,1,82,29,36,0
150,350,0.1,35,4,98.4375,63,1,64,25,36,0
150,350,0.15,35,6,98.3333333333333,59,1,60,25,36,0
150,350,0.2,35,7,98.2142857142857,55,1,56,25,36,0
150,400,0.001,35,1,95.5555555555556,86,4,90,32,36,0
150,400,0.005,35,1,95.5555555555556,86,4,90,32,36,0
150,400,0.01,35,1,95.5555555555556,86,4,90,32,36,0
150,400,0.05,35,2,98.780487804878,81,1,82,29,36,0
150,400,0.1,35,4,98.4375,63,1,64,25,36,0
150,400,0.15,35,6,98.3333333333333,59,1,60,25,36,0
150,400,0.2,35,7,98.2142857142857,55,1,56,25,36,0
200,200,0.001,35,1,97.6744186046512,84,2,86,30,36,0
200,200,0.005,35,1,97.6744186046512,84,2,86,30,36,0
200,200,0.01,35,1,97.6744186046512,84,2,86,30,36,0
200,200,0.05,35,2,100,80,0,80,28,36,0
200,200,0.1,35,4,100,63,0,63,24,36,0
200,200,0.15,35,6,100,59,0,59,24,36,0
200,200,0.2,35,7,100,55,0,55,24,36,0
200,250,0.001,35,1,97.6744186046512,84,2,86,30,36,0
200,250,0.005,35,1,97.6744186046512,84,2,86,30,36,0
200,250,0.01,35,1,97.6744186046512,84,2,86,30,36,0
200,250,0.05,35,2,100,80,0,80,28,36,0
200,250,0.1,35,4,100,63,0,63,24,36,0
200,250,0.15,35,6,100,59,0,59,24,36,0
200,250,0.2,35,7,100,55,0,55,24,36,0
200,300,0.001,35,1,97.6744186046512,84,2,86,30,36,0
200,300,0.005,35,1,97.6744186046512,84,2,86,30,36,0
200,300,0.01,35,1,97.6744186046512,84,2,86,30,36,0
200,300,0.05,35,2,100,80,0,80,28,36,0
200,300,0.1,35,4,100,63,0,63,24,36,0
200,300,0.15,35,6,100,59,0,59,24,36,0
200,300,0.2,35,7,100,55,0,55,24,36,0
200,350,0.001,35,1,97.6744186046512,84,2,86,30,36,0
200,350,0.005,35,1,97.6744186046512,84,2,86,30,36,0
