	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
21	PWY0-1415	Week_and_consortia	NS1_w9w10	2.31174507341782	0.129533980574589	72	52	9.318015460643819e-28	1.29605124134409e-26	PWY0-1415	superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
22	PWY-7371	Week_and_consortia	NS1_w9w10	-2.40626074848086	0.13483509983364	72	72	1.46344728048317e-27	1.94702116446892e-26	PWY-7371	5,8-dihydroxy-2-naphthoate biosynthesis II // modified futalosine pathway // 1,4-dihydroxy-6-naphthoate biosynthesis II	Biosynthesis						
23	UBISYN-PWY	Week_and_consortia	NS1_w9w10	-0.824895780864768	0.0468969582816541	72	72	2.14352330590167e-27	2.73299221502463e-26	UBISYN-PWY	superpathway of ubiquinol-8 biosynthesis (early decarboxylation) // superpathway of ubiquinone-8 biosynthesis (prokaryotic) // superpathway of ubiquinol-8 biosynthesis (prokaryotic)	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
24	PWY-5855	Week_and_consortia	NS1_w9w10	-0.884772382261492	0.0505071467678516	72	72	2.70852904140269e-27	2.96003530953293e-26	PWY-5855	ubiquinol-7 biosynthesis (early decarboxylation) // ubiquinone-7 biosynthesis (prokaryotic) // ubiquinol-7 biosynthesis (prokaryotic)	Biosynthesis						
25	PWY-5856	Week_and_consortia	NS1_w9w10	-0.884772382261492	0.0505071467678516	72	72	2.70852904140269e-27	2.96003530953293e-26	PWY-5856	ubiquinol-9 biosynthesis (early decarboxylation) // Q9 biosynthesis // ubiquinone-9 biosynthesis (prokaryotic) // ubiquinol-9 biosynthesis (prokaryotic)	Biosynthesis						
26	PWY-5857	Week_and_consortia	NS1_w9w10	-0.884772382261492	0.0505071467678516	72	72	2.70852904140269e-27	2.96003530953293e-26	PWY-5857	ubiquinol-10 biosynthesis (early decarboxylation) // Q10 biosynthesis // ubiquinone-10 biosynthesis (prokaryotic) // ubiquinol-10 biosynthesis (prokaryotic)	Biosynthesis						
27	PWY-6708	Week_and_consortia	NS1_w9w10	-0.884772382261492	0.0505071467678516	72	72	2.70852904140269e-27	2.96003530953293e-26	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)	Biosynthesis						
28	PWY-7374	Week_and_consortia	NS1_w9w10	-2.299187204883	0.131587552856625	72	72	4.8501578000759e-27	5.11775271318354e-26	PWY-7374	5,8-dihydroxy-2-naphthoate biosynthesis I // futalosine pathway // 1,4-dihydroxy-6-naphthoate biosynthesis I	Biosynthesis						
29	PWY-5920	Week_and_consortia	NS1_w9w10	2.23938392057024	0.129396075419181	72	52	5.4132916643270696e-27	5.52155749761361e-26	PWY-5920	superpathway of heme <i>b</i> biosynthesis from glycine	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis	Biosynthesis	Tetrapyrrole biosynthesis		
30	X3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	Week_and_consortia	NS1_w9w10	2.1516547567709	0.124432735895634	72	52	5.6818746144789e-27	5.60856010332433e-26									
