	feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	Pathways	Names	Level 1	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
30	PWY-3781	Week_and_consortia	NS6_w5w6	2.50206711152839	0.140992010303062	54	12	1.0250730587833301e-23	1.01515299692413e-22	PWY-3781	aerobic respiration I (cytochrome c)	Generation of precursor metabolites and energy						
31	TEICHOICACID-PWY	Week_and_consortia	NS6_w5w6	1.07816196156452	0.0639498308472442	54	54	9.99971532843081e-23	9.59347689321331e-22	TEICHOICACID-PWY	poly(glycerol phosphate) wall teichoic acid biosynthesis // major teichoic acid biosynthesis // glycerol teichoic acid biosynthesis	Biosynthesis						
32	PWY-6126	Week_and_consortia	NS6_w5w6	-0.337987239371722	0.0203258882123819	54	54	1.83568053158096e-22	1.70773916119805e-21	PWY-6126	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II (from IMP and L-aspartate)	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
33	PWY-6125	Week_and_consortia	NS6_w5w6	-0.38107938407839	0.0231067472876465	54	54	2.63373938048387e-22	2.3781117347310202e-21	PWY-6125	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
34	PWY-7228	Week_and_consortia	NS6_w5w6	-0.324164420626892	0.0197781457858639	54	54	3.45621369158911e-22	3.03159315233673e-21	PWY-7228	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
35	PWY-6676	Week_and_consortia	NS6_w5w6	-4.49641861614191	0.276406960488854	54	49	4.79789867503786e-22	4.09154137010173e-21	PWY-6676	superpathway of sulfide oxidation (phototrophic sulfur bacteria)	Degradation/utilization/assimilation	Superpathways					
36	PWY-7197	Week_and_consortia	NS6_w5w6	-0.504367131828614	0.0307461050711705	54	54	5.10802849124143e-22	4.23828309948951e-21	PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	Metabolic clusters	Biosynthesis	Nucleoside and nucleotide biosynthesis				
37	CRNFORCAT-PWY	Week_and_consortia	NS6_w5w6	-2.28739342983719	0.140613582365888	54	42	7.70747573923872e-22	6.2268290840691706e-21	CRNFORCAT-PWY	creatinine degradation I // creatinine catabolism	Degradation/utilization/assimilation						
38	PWY-7229	Week_and_consortia	NS6_w5w6	-0.25853070768096	0.0161244475469664	54	54	9.01115478185474e-22	7.0933962000754e-21	PWY-7229	superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I (from IMP and L-aspartate)	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
39	PWY-1622	Week_and_consortia	NS6_w5w6	5.96566508860703	0.386802558873455	54	46	4.80679905508037e-21	3.6892182747741803e-20	PWY-1622	formaldehyde assimilation I (serine pathway)	Degradation/utilization/assimilation						
40	RUMP-PWY	Week_and_consortia	NS6_w5w6	-2.27363564467295	0.149478061901998	54	54	1.34262829355427e-20	1.0053338685881999e-19	RUMP-PWY	formaldehyde oxidation I // dissimilatory RUMP cycle	Degradation/utilization/assimilation	Generation of precursor metabolites and energy					
41	PWY-1861	Week_and_consortia	NS6_w5w6	-2.35383207882569	0.155804783508842	54	54	1.78704866584611e-20	1.30624747717799e-19	PWY-1861	formaldehyde assimilation II (assimilatory RuMP Cycle) // ribulose monophosphate cycle // formaldehyde assimilation // assimilatory RuMP pathway	Degradation/utilization/assimilation						
42	PWY-6385	Week_and_consortia	NS6_w5w6	0.282478131573514	0.0190867807755628	54	54	2.7786807342896203e-20	1.98384880331841e-19	PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	Superpathways	Biosynthesis	Cell structure biosynthesis				
43	PEPTIDOGLYCANSYN-PWY	Week_and_consortia	NS6_w5w6	0.263368346459134	0.0178176894466958	54	54	2.9283496559821504e-20	2.0431894190602802e-19	PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	Superpathways	Biosynthesis	Cell structure biosynthesis				
44	PWY-5265	Week_and_consortia	NS6_w5w6	4.29183396077389	0.288486721614837	54	11	3.40583845880942e-20	2.32353868189887e-19	PWY-5265	peptidoglycan biosynthesis II (staphylococci)	Superpathways	Biosynthesis	Cell structure biosynthesis				
45	PWY-6387	Week_and_consortia	NS6_w5w6	0.324427852170969	0.0226457769719309	54	54	1.0868347732595301e-19	7.25344076936254e-19	PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Biosynthesis						
46	HEXITOLDEGSUPER-PWY	Week_and_consortia	NS6_w5w6	-1.10172725086843	0.0776553670599874	54	54	1.6295369543164701e-19	1.0643996701599001e-18	HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways			
47	PWY-6147	Week_and_consortia	NS6_w5w6	0.622070901139941	0.0437370779428272	54	54	2.10494399325907e-19	1.3462870956886099e-18	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	Biosynthesis						
48	PWY-5097	Week_and_consortia	NS6_w5w6	0.126864821590743	0.0090922472745032	54	54	3.24604304132445e-19	2.0337453340543e-18	PWY-5097	L-lysine biosynthesis VI	Biosynthesis						
49	PWY-7242	Week_and_consortia	NS6_w5w6	0.598179960554816	0.0429302615580464	54	54	3.43683884607969e-19	2.11021905149293e-18	PWY-7242	D-fructuronate degradation	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
50	PWY-7196	Week_and_consortia	NS6_w5w6	-0.186323827918966	0.0133952387364885	54	54	3.6904243161848503e-19	2.2214907158210798e-18	PWY-7196	superpathway of pyrimidine ribonucleosides salvage	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
51	PWY-6731	Week_and_consortia	NS6_w5w6	-0.873905000057609	0.0636152721908493	54	54	6.15927562328877e-19	3.63634156990318e-18	PWY-6731	starch degradation III	Degradation/utilization/assimilation	Degradation/utilization/assimilation	Carbohydrate degradation				
52	PWY-5188	Week_and_consortia	NS6_w5w6	-0.719500922528877	0.0526512541311584	54	54	7.635758340278951e-19	4.42297700087856e-18	PWY-5188	uroporphyrinogen-III I (from glutamate) // tetrapyrrole biosynthesis I (from glutamate)	Biosynthesis						
53	PWY-6612	Week_and_consortia	NS6_w5w6	0.169485323464925	0.0123518162685781	54	54	9.144483430568641e-19	5.19880817256402e-18	PWY-6612	superpathway of tetrahydrofolate biosynthesis // folic acid biosynthesis // folate biosynthesis // THF biosynthesis	Superpathways	Biosynthesis	Cofactor, carrier, and vitamin biosynthesis				
54	PWY-5189	Week_and_consortia	NS6_w5w6	-0.753338093205544	0.0554807233956536	54	54	9.91145017059917e-19	5.53239127704354e-18	PWY-5189	uroporphyrinogen-III II (from glycine) // tetrapyrrole biosynthesis II (from glycine) // Shemin pathway	Biosynthesis						
55	PYRIDNUCSAL-PWY	Week_and_consortia	NS6_w5w6	0.281455062473076	0.0212874155342603	54	54	4.10807563115186e-18	2.25210574779218e-17	PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle) // pyridine nucleotide cycling // nicotinamide adenine dinucleotide salvage	Biosynthesis						
56	PWY-6386	Week_and_consortia	NS6_w5w6	0.41746449967367	0.0321440998223981	54	54	5.97783233378498e-18	3.2196395201263e-17	PWY-6386	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	Biosynthesis						
57	PWY-841	Week_and_consortia	NS6_w5w6	-0.191689113809898	0.0150742233510837	54	54	1.3826750895864301e-17	7.31864228453506e-17	PWY-841	superpathway of purine nucleotides <i>de novo</i> biosynthesis I // purine biosynthesis 2	Superpathways	Biosynthesis	Nucleoside and nucleotide biosynthesis				
58	PWY-6148	Week_and_consortia	NS6_w5w6	-1.84021660356357	0.14572821683333	54	42	1.822758573025e-17	9.48452342235043e-17	PWY-6148	tetrahydromethanopterin biosynthesis // H<sub>4</sub>MPT biosynthesis	Biosynthesis						
