Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
048R_S2_R_Female_week5_S61_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 13.0)	(20.0, 41.0)	(21.0, 86.0)	(22.0, 142.0)	(23.0, 241.0)	(24.0, 384.0)	(25.0, 671.0)	(26.0, 1178.0)	(27.0, 1684.0)	(28.0, 2032.0)	(29.0, 2358.0)	(30.0, 2674.0)	(31.0, 3192.0)	(32.0, 3703.0)	(33.0, 4589.0)	(34.0, 6193.0)	(35.0, 8979.0)	(36.0, 16409.0)	(37.0, 70718.0)					
048R_S2_R_Female_week5_S61_L001_R2_001	(15.0, 2.0)	(16.0, 3.0)	(17.0, 3.0)	(18.0, 1.0)	(19.0, 10.0)	(20.0, 88.0)	(21.0, 284.0)	(22.0, 499.0)	(23.0, 616.0)	(24.0, 725.0)	(25.0, 875.0)	(26.0, 1287.0)	(27.0, 1875.0)	(28.0, 2783.0)	(29.0, 4123.0)	(30.0, 5755.0)	(31.0, 8274.0)	(32.0, 12381.0)	(33.0, 19078.0)	(34.0, 25025.0)	(35.0, 25458.0)	(36.0, 14933.0)	(37.0, 1214.0)			
048R_S2_R_Female_week9_S75_L001_R1_001	(18.0, 1.0)	(19.0, 5.0)	(20.0, 20.0)	(21.0, 58.0)	(22.0, 117.0)	(23.0, 223.0)	(24.0, 363.0)	(25.0, 604.0)	(26.0, 1088.0)	(27.0, 1388.0)	(28.0, 1909.0)	(29.0, 2012.0)	(30.0, 2346.0)	(31.0, 2749.0)	(32.0, 3159.0)	(33.0, 4021.0)	(34.0, 5295.0)	(35.0, 7849.0)	(36.0, 14416.0)	(37.0, 58217.0)						
048R_S2_R_Female_week9_S75_L001_R2_001	(15.0, 1.0)	(16.0, 3.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 4.0)	(20.0, 64.0)	(21.0, 205.0)	(22.0, 351.0)	(23.0, 499.0)	(24.0, 556.0)	(25.0, 745.0)	(26.0, 974.0)	(27.0, 1506.0)	(28.0, 2212.0)	(29.0, 3233.0)	(30.0, 4545.0)	(31.0, 6713.0)	(32.0, 10167.0)	(33.0, 14899.0)	(34.0, 21202.0)	(35.0, 22696.0)	(36.0, 14249.0)	(37.0, 1010.0)			
1050R_S2_L_Male_week5_S68_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 13.0)	(20.0, 58.0)	(21.0, 127.0)	(22.0, 243.0)	(23.0, 380.0)	(24.0, 659.0)	(25.0, 1118.0)	(26.0, 1828.0)	(27.0, 2541.0)	(28.0, 3129.0)	(29.0, 3528.0)	(30.0, 3888.0)	(31.0, 4497.0)	(32.0, 5259.0)	(33.0, 6597.0)	(34.0, 8821.0)	(35.0, 13141.0)	(36.0, 23733.0)	(37.0, 99416.0)	(38.0, 3.0)				
1050R_S2_L_Male_week5_S68_L001_R2_001	(15.0, 1.0)	(16.0, 8.0)	(17.0, 2.0)	(18.0, 14.0)	(19.0, 11.0)	(20.0, 99.0)	(21.0, 425.0)	(22.0, 751.0)	(23.0, 910.0)	(24.0, 1004.0)	(25.0, 1284.0)	(26.0, 1771.0)	(27.0, 2811.0)	(28.0, 4202.0)	(29.0, 6069.0)	(30.0, 8339.0)	(31.0, 11828.0)	(32.0, 17419.0)	(33.0, 26150.0)	(34.0, 34798.0)	(35.0, 36217.0)	(36.0, 22730.0)	(37.0, 2142.0)			
1050R_S2_L_Male_week9_S82_L001_R1_001	(17.0, 1.0)	(18.0, 5.0)	(19.0, 17.0)	(20.0, 57.0)	(21.0, 132.0)	(22.0, 221.0)	(23.0, 365.0)	(24.0, 575.0)	(25.0, 930.0)	(26.0, 1538.0)	(27.0, 2100.0)	(28.0, 2577.0)	(29.0, 2894.0)	(30.0, 3220.0)	(31.0, 3468.0)	(32.0, 4178.0)	(33.0, 5237.0)	(34.0, 7048.0)	(35.0, 10475.0)	(36.0, 19134.0)	(37.0, 68226.0)	(38.0, 1.0)				
1050R_S2_L_Male_week9_S82_L001_R2_001	(13.0, 1.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 66.0)	(21.0, 216.0)	(22.0, 428.0)	(23.0, 517.0)	(24.0, 643.0)	(25.0, 818.0)	(26.0, 1127.0)	(27.0, 1585.0)	(28.0, 2371.0)	(29.0, 3442.0)	(30.0, 4913.0)	(31.0, 7444.0)	(32.0, 11348.0)	(33.0, 17375.0)	(34.0, 25557.0)	(35.0, 29940.0)	(36.0, 22103.0)	(37.0, 2491.0)	
1050R_S2_RR_Male_week5_S70_L001_R1_001	(17.0, 2.0)	(18.0, 4.0)	(19.0, 16.0)	(20.0, 33.0)	(21.0, 123.0)	(22.0, 206.0)	(23.0, 279.0)	(24.0, 493.0)	(25.0, 969.0)	(26.0, 1574.0)	(27.0, 2143.0)	(28.0, 2535.0)	(29.0, 3000.0)	(30.0, 3117.0)	(31.0, 3653.0)	(32.0, 4323.0)	(33.0, 5386.0)	(34.0, 7151.0)	(35.0, 10654.0)	(36.0, 19444.0)	(37.0, 70351.0)	(38.0, 2.0)				
1050R_S2_RR_Male_week5_S70_L001_R2_001	(16.0, 1.0)	(17.0, 5.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 83.0)	(21.0, 225.0)	(22.0, 475.0)	(23.0, 621.0)	(24.0, 731.0)	(25.0, 893.0)	(26.0, 1142.0)	(27.0, 1790.0)	(28.0, 2686.0)	(29.0, 3906.0)	(30.0, 5604.0)	(31.0, 8153.0)	(32.0, 12358.0)	(33.0, 19133.0)	(34.0, 26719.0)	(35.0, 29323.0)	(36.0, 19525.0)	(37.0, 2077.0)				
