normalized	Plate1_1136R_RL_F_S5_week10_S58_L001	Plate1_1136R_R_F_S5_week10_S57_L001	Plate1_2518R_L_M_S5_week10_S61_L001	Plate1_2518R_R_M_S5_week10_S62_L001	Plate1_3752R_0_F_S5_week10_S59_L001	Plate1_3752R_L_F_S5_week10_S60_L001	Plate1_3893R_RL_M_S5_week10_S64_L001	Plate1_3893R_R_M_S5_week10_S63_L001	Plate2_096R_0_M_S5_week9_S74_L001	Plate2_1060R_L_M_S5_week9_S75_L001	Plate2_1076R_0_M_S5_week9_S76_L001	Plate2_1136R_0_F_S5_week9_S69_L001	Plate2_2402R_0_F_S5_week9_S70_L001	Plate2_2433R_0_F_S5_week9_S71_L001	Plate2_2475R_0_M_S5_week9_S77_L001	Plate2_2518R_0_M_S5_week9_S78_L001	Plate2_3924R_L_F_S5_week9_S72_L001	Plate2_3929R_0_F_S5_week9_S73_L001	Plate3_096R_0_M_S5_week5_S4_L001	Plate3_2402R_R_F_S5_Pellet_week9_S5_L001	Plate3_2475R_RL_M_S5_Pellet_week9_S6_L001	Plate4_1060R_L_M_S5_week5_S12_L001	Plate4_1076R_0_M_S5_week5_S13_L001	Plate4_1136R_0_F_S5_week5_S14_L001	Plate4_2402R_0_F_S5_week5_S15_L001	Plate4_2402R_R_F_S5_week5_S16_L001	Plate4_2433R_0_F_S5_week5_S17_L001	Plate4_2475R_0_M_S5_week5_S18_L001	Plate4_2475R_RL_M_S5_week5_S19_L001	Plate4_2518R_0_M_S5_week5_S20_L001	Plate4_3924R_L_F_S5_week5_S21_L001	Plate4_3929R_0_F_S5_week5_S22_L001
ASVp3_59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.25	201.75	387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp3_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	477.14	552.86	506.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp3_61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	89.67	76.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp3_66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.2	14.4	18.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp3_67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp3_7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259.71	204.0	407.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp3_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362.0	417.86	382.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp3_92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.5	56.5	110.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASVp4_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6134.33	4485.0	3552.0	8739.0	5217.33	6769.33	7570.33	7514.33	5995.67	6522.33	4926.0
ASVp4_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	476.29	413.14	98.29	94.86	433.57	253.86	262.29	691.71	153.29	113.0	347.86
ASVp4_103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71	15.43	7.14	1.29	4.71	11.43	10.57	15.86	7.43	6.71	8.43
ASVp4_11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86	11.71	0.0	0.0	0.0	0.0
ASVp4_117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	0.0	0.0	0.0	14.2	0.0	0.0	0.0	0.0
ASVp4_12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.86	1.29	1.86	0.0	3.29	3.57	0.0	0.0	0.0	0.0
ASVp4_13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.43	676.0	451.86	199.43	272.43	742.29	821.43	841.29	445.29	571.57	595.43
ASVp4_130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0
ASVp4_150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4	0.0	0.0	0.0
ASVp4_16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	10.71	8.57	0.0	5.43	0.0
ASVp4_17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.43	219.0	139.0	70.86	87.86	247.0	286.86	286.29	159.71	182.14	189.14
ASVp4_18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.43	0.0	0.0	0.0	0.0
