sample	weighted_NSTI
2824_NS1_0_Male_week5	0.001092544863068375
2824_NS1_0_Male_week9	0.000791740985269614
2824_NS1_L_Male_week5	0.0010894815276128826
2824_NS1_L_Male_week9	0.0006131465417210548
2824_NS1_R_Male_week5	0.0011079001378975694
2824_NS1_R_Male_week9	0.000658976304777668
2864_NS1_R_Male_week5	0.000952167264560912
2864_NS1_R_Male_week9	0.0006866714985276967
2893_NS1_0_Male_week5	0.0009344093319767617
2893_NS1_0_Male_week9	0.0006755741628888849
2893_NS1_R_Male_week5	0.001075194055478403
2893_NS1_R_Male_week9	0.0006708070392566588
2999_NS1_0_Female_week5	0.0010181208131700961
2999_NS1_0_Female_week9	0.0005970976749751346
2999_NS1_R_Female_week5	0.0008820877182679
2999_NS1_R_Female_week9	0.0006687918542006868
NS1_mouse_inoculum	0.0005562436339277346
