Unique	Level 1	Level 2	Level 1.1	Level 2.1	Level 1.2	Level 2.2	Level 1.3	Level 2.3
AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Aromatic compound biosynthesis	NA	NA	NA	NA	NA	NA
AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Aromatic compound biosynthesis	Biosynthesis	Secondary metabolite biosynthesis	NA	NA	NA	NA
AROMATIC-COMPOUNDS-DEGRADATION	Degradation/utilization/assimilation	Aromatic compound degradation	NA	NA	NA	NA	NA	NA
AROMATIC-COMPOUNDS-DEGRADATION // AROMATIC-COMPOUNDS-BIOSYN	Degradation/utilization/assimilation	Aromatic compound degradation	Biosynthesis	Aromatic compound biosynthesis	NA	NA	NA	NA
AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation/utilization/assimilation	Aromatic compound degradation	Degradation/utilization/assimilation	Chlorinated compound degradation	NA	NA	NA	NA
AROMATIC-COMPOUNDS-DEGRADATION // HORMONE-DEG	Degradation/utilization/assimilation	Aromatic compound degradation	Degradation/utilization/assimilation	"Hormone, neurotransmitter, and signaling molecule degradation"	NA	NA	NA	NA
AROMATIC-COMPOUNDS-DEGRADATION // Metabolic-Clusters	Degradation/utilization/assimilation	Aromatic compound degradation	Metabolic clusters	NA	NA	NA	NA	NA
AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation/utilization/assimilation	Aromatic compound degradation	Superpathways	NA	NA	NA	NA	NA
Arsenic-Detoxification	Detoxification	Arsenic detoxification	NA	NA	NA	NA	NA	NA
Arsenic-Detoxification // Energy-Metabolism	Detoxification	Arsenic detoxification	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
Bioluminescence	Bioluminescence/fluorescence/chromoprotein biosynthesis	NA	NA	NA	NA	NA	NA	NA
C1-COMPOUNDS	Degradation/utilization/assimilation	C1 Compound utilization and assimilation	NA	NA	NA	NA	NA	NA
C1-COMPOUNDS // Carbohydrates-Biosynthesis	Degradation/utilization/assimilation	C1 Compound utilization and assimilation	NA	NA	NA	NA	NA	NA
C1-COMPOUNDS // Energy-Metabolism	Degradation/utilization/assimilation	C1 Compound utilization and assimilation	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
C1-COMPOUNDS // Noncarbon-Nutrients	Degradation/utilization/assimilation	C1 Compound utilization and assimilation	Degradation/utilization/assimilation	Inorganic nutrient metabolism	NA	NA	NA	NA
C1-COMPOUNDS // Other-Degradation	Degradation/utilization/assimilation	C1 Compound utilization and assimilation	Degradation/utilization/assimilation	Other degradation	NA	NA	NA	NA
C1-COMPOUNDS // Super-Pathways	Degradation/utilization/assimilation	C1 Compound utilization and assimilation	Superpathways	NA	NA	NA	NA	NA
Carbohydrates-Biosynthesis	Biosynthesis	Carbohydrate biosynthesis	NA	NA	NA	NA	NA	NA
Carbohydrates-Biosynthesis // Metabolic-Regulators	Biosynthesis	Carbohydrate biosynthesis	Biosynthesis	Metabolic regulator biosynthesis	NA	NA	NA	NA
Carbohydrates-Degradation	Degradation/utilization/assimilation	Carbohydrate degradation	NA	NA	NA	NA	NA	NA
Carbohydrates-Degradation // Energy-Metabolism	Degradation/utilization/assimilation	Carbohydrate degradation	Generation of precursor metabolites and energy	NA	NA	NA	NA	NA
Carbohydrates-Degradation // Super-Pathways	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways	NA	NA	NA	NA	NA
Carbohydrates-Degradation // Super-Pathways // Energy-Metabolism	Degradation/utilization/assimilation	Carbohydrate degradation	Superpathways	NA	Generation of precursor metabolites and energy	NA	NA	NA
Carboxylate-Biosynthesis	Biosynthesis	Carboxylic acid biosynthesis	NA	NA	NA	NA	NA	NA
