Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-8324	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5439	BETALAIN-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-7543	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5951	Butanediol-Biosynthesis	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-5037	Caffeine-Biosynthesis	PURINE-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis
ARGDEGRAD-PWY	ARGININE-DEG // Super-Pathways	Proteinogenic-Amino-Acids-Degradation // Pathways	Amino-Acid-Degradation // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7198	Metabolic-Clusters // Pyrimid-Deoxyribonucleot-De-Novo-Biosyn	Pathways // Deoxyribonucleotide-Biosynthesis // Pyrimidine-De-Novo-Biosyn	Generalized-Reactions // Nucleotide-Biosynthesis // PYR-NUC-SYN	FRAMES // Biosynthesis // Nucleotide-Biosynthesis	THINGS // Pathways // Biosynthesis	 // Generalized-Reactions // Pathways
PRPP-PWY	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-1781	Beta-Alanine-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7227	Adenosine-Deoxy-Denovo-Bbiosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis	Deoxyribonucleotide-Biosynthesis // Purine-Nucleotide-De-Novo-Biosynthesis	Nucleotide-Biosynthesis // PUR-NUC-SYN	Biosynthesis // Nucleotide-Biosynthesis	Pathways // Biosynthesis
PWY-7151	FLAVONOL-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-6058	Sulfur-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6069	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6944	Androstenedione-Degradation	Steroids-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-6890	HMP-PP-Biosynthesis	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-8269	Methylarsonite-Detoxification	Arsenic-Detoxification	Detoxification	Pathways	Generalized-Reactions	FRAMES
