Pathways	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity	Ontology - direct parents of entity
PWY-7686	L-Malate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
TCA	TCA-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY4FS-17	Abscisic-Acid-Biosynthesis	Plant-Hormone-Biosynthesis // SESQUITERPENOID-SYN	Hormone-Biosynthesis // Terpenoid-Biosynthesis	HORMONE-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-8381	Beta-Lactam-Antibiotics-BioSynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6365	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8561	Nickel-Pincer-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5257	SUGAR-ALCOHOLS-DEG // Sugars-And-Polysaccharides-Degradation // Super-Pathways	Alcohol-Degradation // Carbohydrates-Degradation // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-8180	Acrylate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7847	Heme-Degradation	Tetrapyrrole-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions
THIOREDOX-PWY	Thioredoxin-Reduction	Reductants	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
SULFUROX-PWY	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfur-Oxidation	Energy-Metabolism // Sulfur-Metabolism	Pathways // Noncarbon-Nutrients	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions
PWY-7521	Sulfoaromatics-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-8510	Selenium-Metabolism	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6748	ANAEROBIC-RESPIRATION // Denitrification // Nitrate-Reduction	Respiration // NITROGEN-DEG	Energy-Metabolism // Noncarbon-Nutrients	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-6617	Adenosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions
PWY-8535	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-8464	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5741	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
PWY-7068	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-5155	Beta-Alanine-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis
PWY-3161	Auxin-Biosynthesis	Plant-Hormone-Biosynthesis	Hormone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways
PWY-6028	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7222	Guanosine-Deoxy-Denovo-Biosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis	Deoxyribonucleotide-Biosynthesis // Purine-Nucleotide-De-Novo-Biosynthesis	Nucleotide-Biosynthesis // PUR-NUC-SYN	Biosynthesis // Nucleotide-Biosynthesis	Pathways // Biosynthesis
PWY-4221	CoA-Biosynthesis // Super-Pathways	Carriers-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY18C3-23	Volatile-Benzenoids-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8520	TERPENOID-ALKALOIDS	ALKALOIDS-SYN // Terpenoid-Biosynthesis	N-CONTAINING-SECONDARY-CMPD-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-8547	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-7297	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
ORNDEG-PWY	Super-Pathways // AMINE-DEG	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES	 // THINGS
PWY-641	PROANTHOCYANIDIN-SYN	FLAVONOID-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways
PWY-5292	INDOLE-ALKALOIDS // TERPENOID-ALKALOIDS	ALKALOIDS-SYN // Terpenoid-Biosynthesis	N-CONTAINING-SECONDARY-CMPD-SYN // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-6605	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways
PWY4FS-7	PhosphatidylglycerolBiosynthesis // Super-Pathways	Phospholipid-Biosynthesis // Pathways	Lipid-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-6956	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-5515	L-Arabinose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8336	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8558	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6559	Spermidine-Biosynthesis	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6502	8-Oxo-GTP-Detoxification // Metabolic-Clusters	Detoxification // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-8231	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY1F-467	CINNAMATE-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-7970	Adenosylcobamide-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-8171	Molybdenum-Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-8600	GPI-Anchor-Biosynthese	Protein-Modification	Macromolecule-Modification	Pathways	Generalized-Reactions	FRAMES
PWY-5355	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5340	Activation // Sulfur-Metabolism	Activation-Inactivation-Interconversion // Noncarbon-Nutrients	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-5641	Nitro-Toluene-Degradation	Nitroaromatic-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
UDPNACETYLGALSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis
PWY-8056	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8271	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
PWY-7839	Sphingolipid-Biosynthesis	Glycan-Pathways // Lipid-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-5955	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8177	Aroma-Compound-Biosynthesis // MONOTERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Terpenoid-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-5488	p-Nitrophenol-Degradation	Nitrophenol-Degradation	Nitroaromatic-Degradation // Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways
PWY-8156	Antibiotic-Biosynthesis // CYCLOPEPTIDES	Toxin-Biosynthesis // Other-biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY0-1585	Electron-Transfer // ANAEROBIC-RESPIRATION	Energy-Metabolism // Respiration	Pathways // Energy-Metabolism	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-6986	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7069	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6891	Thiazole-Biosynthesis	Thiamine-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY-7432	PHENYLALANINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7977	Methionine-De-novo-Biosynthesis	METHIONINE-SYN	IND-AMINO-ACID-SYN	Amino-Acid-Biosynthesis	Biosynthesis	Pathways
P281-PWY	Phenolic-Compounds-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY-8120	Beta-Alanine-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-741	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY2SK3-2	Pigment-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY0-1586	Peptidoglycan-Biosynthesis	Cell-Wall-Biosynthesis	Cell-Structure-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY18C3-17	ACYLSUGAR-BIOSYNTHESIS // Super-Pathways	SUGAR-DERIVS // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-7882	Gamma-Butyrolactone-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8553	Electron-Transfer // Iron-Metabolism	Energy-Metabolism // Noncarbon-Nutrients	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-5645	Nitrobenzene-Degradation	Nitroaromatic-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-7786	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7082	Ammonia-oxidation // CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Super-Pathways	NITROGEN-DEG // Energy-Metabolism // Pathways	Noncarbon-Nutrients // Pathways // Generalized-Reactions	Degradation // Generalized-Reactions // FRAMES	Pathways // FRAMES // THINGS	Generalized-Reactions // THINGS // 
PWY-5114	Interconversion // Super-Pathways // UDP-Sugar-Biosynthesis	Activation-Inactivation-Interconversion // Pathways // SUGAR-NUCLEOTIDES	Pathways // Generalized-Reactions // CARBO-BIOSYNTHESIS	Generalized-Reactions // FRAMES // Carbohydrates-Biosynthesis	FRAMES // THINGS // Biosynthesis	THINGS //  // Pathways
PWY-8247	Kdo-lipid-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
FOLSYN-PWY	Folate-Biosynthesis // Super-Pathways	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis // Pathways	Carriers-Biosynthesis // Cofactor-Biosynthesis // Generalized-Reactions	Cofactor-Biosynthesis // Biosynthesis // FRAMES	Biosynthesis // Pathways // THINGS	Pathways // Generalized-Reactions // 
PWY-7943	Olefins-Biosynthesis // TETRATERPENOID-SYN	Hydrocarbon-Biosynthesis // Terpenoid-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-5420	Catechol-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
THISYN-PWY	Super-Pathways // Thiamine-Biosynthesis	Pathways // Enzyme-Cofactor-Biosynthesis // Vitamin-Biosynthesis	Generalized-Reactions // Cofactor-Biosynthesis	FRAMES // Biosynthesis	THINGS // Pathways	 // Generalized-Reactions
PWY-6733	Metabolic-Clusters // PLANT-CELL-STRUCTURE	Pathways // Cell-Structure-Biosynthesis	Generalized-Reactions // Biosynthesis	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES
LIPA-CORESYN-PWY	Lipid-A-core-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways // Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Pathways // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Generalized-Reactions // Biosynthesis	Generalized-Reactions // FRAMES // Pathways	FRAMES // THINGS // Generalized-Reactions
PWY-5983	Trehalose-biosynthesis	Disaccharide-Biosynthesis // Organic-solutes-Biosynthesis	CARBO-BIOSYNTHESIS // Metabolic-Regulators	Carbohydrates-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7076	AROMATIC-COMPOUNDS-BIOSYN // Aroma-Compound-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
SORBDEG-PWY	SUGAR-ALCOHOLS-DEG	Alcohol-Degradation // Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-2723	Trehalose-Degradation	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-7484	DITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS // Toxin-Biosynthesis	Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	Pathways // Biosynthesis	Generalized-Reactions // Pathways
PWY-5989	Stearate-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
P4-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWY1-2	ALANINE-DEG	Proteinogenic-Amino-Acids-Degradation	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-5924	Limonene-Degradation	TERPENOID-DEG	SECONDARY-METABOLITE-DEGRADATION	Degradation	Pathways	Generalized-Reactions
PWY-6102	Chloroaromatic-Compounds-Degradation	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-7194	Pyrimidine-Nucleotide-Salvage // Super-Pathways	PYR-NUC-SYN // Pathways	Nucleotide-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-5903	Siderophores-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 
PWYI-14	Lipid-IV-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY-7742	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-5655	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-7674	CMP-KDO-Biosynthesis // CMP-Sugar-Biosynthesis	CMP-Sugar-Biosynthesis // SUGAR-NUCLEOTIDES	SUGAR-NUCLEOTIDES // CARBO-BIOSYNTHESIS	CARBO-BIOSYNTHESIS // Carbohydrates-Biosynthesis	Carbohydrates-Biosynthesis // Biosynthesis	Biosynthesis // Pathways
PWY-8356	Specialized-Proresolving-Mediators-Biosysthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-8072	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7954	Beta-Lactam-Antibiotics-BioSynthesis	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY-6835	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-7058	COUMARIN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions
PWY-8534	Ubiquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
GALDEG-PWY	GALACTOSE-DEGRADATION	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions
PWY-8451	Opine-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY0-1337	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-2343	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN // Interconversion	PHYTOALEXIN-SYN // FLAVONOID-SYN // Activation-Inactivation-Interconversion	Toxin-Biosynthesis // PHENYLPROPANOID-SYN // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // AROMATIC-COMPOUNDS-BIOSYN // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS
PWY-6132	Sterol-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6497	D-Galactarate-Degradation	Aldaric-Acid-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions
PWY-7885	Glycolipids-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6802	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8217	O-Antigen-Biosynthesis	Lipopolysaccharide-Biosynthesis // Polysaccharides-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways // Carbohydrates-Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-5399	BETALAIN-ALKALOIDS	ALKALOIDS-SYN	N-CONTAINING-SECONDARY-CMPD-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways
PWY0-1601	Acid-Resistance // Polyamine-Biosynthesis	Detoxification // Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-1501	MANDELATE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-5853	Demethylmenaquinol-6-Biosynthesis	Demethylmenaquinone-Biosynthesis	Quinone-Biosynthesis	Electron-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis
PWY-8284	KDO-Lipid-IV-Transfer	Lipopolysaccharide-Biosynthesis	Cell-Structure-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
PWY-6366	Cyclitols-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6182	AROMATIC-COMPOUNDS-DEGRADATION // Super-Pathways	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
PWY-7002	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-8175	Branched-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-5159	Hydroxyprolines-Degradation	MISCELLANEOUS-DEG	Amino-Acid-Degradation	Degradation	Pathways	Generalized-Reactions
TRYPTOPHAN-DEGRADATION-1	Super-Pathways // TRYPTOPHAN-DEG	Pathways // Proteinogenic-Amino-Acids-Degradation	Generalized-Reactions // Amino-Acid-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions
PWY-6030	Neurotransmitter-Biosynthesis	HORMONE-SYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
PWY-6098	TRITERPENOID-SYN	Terpenoid-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8531	Herbicide-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-6696	Oxalate-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY2B4Q-4	Lipid-IV-A-Biosynthesis	Lipid-Biosynthesis // Lipopolysaccharide-Biosynthesis	Biosynthesis // Cell-Structure-Biosynthesis // Glycan-Pathways	Pathways // Biosynthesis	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
PWY66-429	Fatty-Acid-Biosyn-Initiation	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
PWY-7274	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8369	Antibiotic-Biosynthesis // Super-Pathways	Toxin-Biosynthesis // Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 
PWY-2161B	Folate-Biosynthesis	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7965	Adenosylcobamide-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis
PWY-6529	ANAEROBIC-RESPIRATION	Respiration	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
PWY-7564	Antibiotic-Biosynthesis	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions
PWY-8447	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-7868	CoB-CoM-Reduction	C1-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
PWY0-1568	Electron-Transfer // AEROBIC-RESPIRATION	Energy-Metabolism // Respiration	Pathways // Energy-Metabolism	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
PWY-5481	Pyruvate-Lactate-Fermentation	Fermentation-to-Lactate // Pyruvate-Degradation	Fermentation-to-Acids // Fermentation	Fermentation // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions
PWY-6591	Manganese-Oxidation	Noncarbon-Nutrients	Degradation	Pathways	Generalized-Reactions	FRAMES
P641-PWY	Mercury-Detoxification	Detoxification	Pathways	Generalized-Reactions	FRAMES	THINGS
PWY-6767	C30-Carotenoids-Biosynthesis // TRITERPENOID-SYN	CAROTENOID-SYN // TRITERPENOID-SYN // Terpenoid-Biosynthesis	Pigment-Biosynthesis // Terpenoid-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-BIOSYNTHESIS // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
PWY-7176	Pyrimid-Ribonucleot-De-Novo-Biosyn	Pyrimidine-De-Novo-Biosyn	PYR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways
SUCSYN-PWY	Sucrose-Biosynthesis // Super-Pathways	Disaccharide-Biosynthesis // Pathways	CARBO-BIOSYNTHESIS // Generalized-Reactions	Carbohydrates-Biosynthesis // FRAMES	Biosynthesis // THINGS	Pathways // 
PWY-7309	Acrylonitrile-Degradation	Other-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
PWY-6974	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
