Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1136R_RL_F_S5_week10_S58_L001_R2_001	(1.0, 5.43313708999159)	(2.0, 1.4782565675555335)	(3.0, 0.7688121505961509)	(4.0, 0.46702617127591156)	(5.0, 0.3314698461386237)	(6.0, 0.18997674763765893)	(7.0, 0.14545094741008263)	(8.0, 0.10290407163706526)	(9.0, 0.06233612031860684)	('>10', 0.9894622272794735)	('>50', 1.4485727007371494)	('>100', 19.652698758224904)	('>500', 22.992133775293127)	('>1k', 45.93776282590412)	('>5k', 0.0)	('>10k+', 0.0)
1136R_R_F_S5_week10_S57_L001_R1_001	(1.0, 2.9188839017167183)	(2.0, 1.0883346443940587)	(3.0, 0.6135764194160381)	(4.0, 0.4034982184998381)	(5.0, 0.3192818472074406)	(6.0, 0.2443200222109111)	(7.0, 0.25264911387719213)	(8.0, 0.20730183702743973)	(9.0, 0.15825274165934014)	('>10', 4.421822220165656)	('>50', 5.383369580306326)	('>100', 15.188561380778307)	('>500', 11.678311970755633)	('>1k', 57.1218361019851)	('>5k', 0.0)	('>10k+', 0.0)
1136R_R_F_S5_week10_S57_L001_R2_001	(1.0, 5.650825968256906)	(2.0, 1.6306510573319142)	(3.0, 0.8467909860719078)	(4.0, 0.5515709592337236)	(5.0, 0.3331636666512424)	(6.0, 0.26097820554347323)	(7.0, 0.2202582018416547)	(8.0, 0.11845819258710841)	(9.0, 0.0832909166628106)	('>10', 0.9856091805099255)	('>50', 1.9267965387996855)	('>100', 15.136735921521446)	('>500', 18.832076257461477)	('>1k', 53.42279394752673)	('>5k', 0.0)	('>10k+', 0.0)
1174R_0_M_S2_week9_S56_L001_R1_001	(1.0, 3.260869565217391)	(2.0, 1.143127439000355)	(3.0, 0.5883164492096653)	(4.0, 0.3705309629863219)	(5.0, 0.39418187551736367)	(6.0, 0.32520004730182506)	(7.0, 0.34490914107769327)	(8.0, 0.26016003784146)	(9.0, 0.24833458157593916)	('>10', 6.322677283298514)	('>50', 3.7072805392408057)	('>100', 22.451614174780243)	('>500', 19.691355591469904)	('>1k', 40.89144231148252)	('>5k', 0.0)	('>10k+', 0.0)
1174R_0_M_S2_week9_S56_L001_R2_001	(1.0, 4.658244313926446)	(2.0, 1.3421892861366236)	(3.0, 0.7213528321967756)	(4.0, 0.33111277543458556)	(5.0, 0.25129094564231935)	(6.0, 0.15373093145177186)	(7.0, 0.20004730182506206)	(8.0, 0.07883637510347274)	(9.0, 0.06208364539398479)	('>10', 1.7757893492057235)	('>50', 2.042847569868737)	('>100', 10.9001143127439)	('>500', 28.621545981315776)	('>1k', 48.86081437975482)	('>5k', 0.0)	('>10k+', 0.0)
160R_0_F_S2_week10_S49_L001_R1_001	(1.0, 2.9337151847825127)	(2.0, 1.1826787939858396)	(3.0, 0.575428919943783)	(4.0, 0.45256468050878174)	(5.0, 0.27843334835989497)	(6.0, 0.29699557158388795)	(7.0, 0.21037186320525397)	(8.0, 0.29699557158388795)	(9.0, 0.3182095409827371)	('>10', 5.290233618838005)	('>50', 4.627297075123969)	('>100', 17.64648687827601)	('>500', 13.522137660983091)	('>1k', 47.907330310342694)	('>5k', 4.461120981499651)	('>10k+', 0.0)
160R_0_F_S2_week10_S49_L001_R2_001	(1.0, 4.656466283047387)	(2.0, 1.3559262107431076)	(3.0, 0.8299965527299727)	(4.0, 0.5020639424394296)	(5.0, 0.3182095409827371)	(6.0, 0.20683620163877917)	(7.0, 0.18562223223993)	(8.0, 0.12728381639309486)	(9.0, 0.1750152475405054)	('>10', 1.1879822863355518)	('>50', 3.165301017386616)	('>100', 13.517718084024995)	('>500', 2.4334190731263203)	('>1k', 71.33815951137157)	('>5k', 0.0)	('>10k+', 0.0)
160R_L_F_S2_week10_S50_L001_R1_001	(1.0, 2.765915878199224)	(2.0, 0.9861657688836789)	(3.0, 0.5609980741857156)	(4.0, 0.48005805353205505)	(5.0, 0.40004837794337916)	(6.0, 0.39074492729353316)	(7.0, 0.3321331881995032)	(8.0, 0.2679393787155656)	(9.0, 0.3684166457339027)	('>10', 4.238652116069851)	('>50', 3.2189939248467256)	('>100', 26.443197782057364)	('>500', 12.525235609887709)	('>1k', 35.498246299552505)	('>5k', 11.52325397489929)	('>10k+', 0.0)
160R_L_F_S2_week10_S50_L001_R2_001	(1.0, 4.405183882702094)	(2.0, 1.257826527859183)	(3.0, 0.6726394819838678)	(4.0, 0.38330216677365636)	(5.0, 0.31166559676984196)	(6.0, 0.25677523793575036)	(7.0, 0.14978555546252106)	(8.0, 0.18606901299692058)	(9.0, 0.08373105584861425)	('>10', 1.7434666517811455)	('>50', 1.6904369830770234)	('>100', 18.016132183426834)	('>500', 14.429651957911188)	('>1k', 56.41333370547136)	('>5k', 0.0)	('>10k+', 0.0)
184R_0_F_NS6_week10_S65_L001_R1_001	(1.0, 2.9469938580635393)	(2.0, 1.1072520275961275)	(3.0, 0.7012596174775474)	(4.0, 0.4164024719164923)	(5.0, 0.2981063151220343)	(6.0, 0.31230185393736926)	(7.0, 0.21198671297566885)	(8.0, 0.1892738508711329)	(9.0, 0.15331181920561765)	('>10', 4.71481162519992)	('>50', 6.26023261756272)	('>100', 18.505304399670663)	('>500', 11.353591944504906)	('>1k', 52.82917088589626)	('>5k', 0.0)	('>10k+', 0.0)
