Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
3893R_RL_M_S5_week10_S64_L001_R1_001	(1.0, 3.6026821229685186)	(2.0, 1.4113174017708623)	(3.0, 0.7283885565508477)	(4.0, 0.4669952163985577)	(5.0, 0.34094783498124787)	(6.0, 0.2355639587143167)	(7.0, 0.3109857525131988)	(8.0, 0.19836964944363514)	(9.0, 0.2324644329417599)	('>10', 6.067838287408693)	('>50', 4.019051751748649)	('>100', 17.075287481015405)	('>500', 18.53413094463214)	('>1k', 46.77597660891217)	('>5k', 0.0)	('>10k+', 0.0)
3893R_RL_M_S5_week10_S64_L001_R2_001	(1.0, 6.105032596679375)	(2.0, 1.6448150099701413)	(3.0, 0.8554691132256764)	(4.0, 0.5868435462707539)	(5.0, 0.3512795875564372)	(6.0, 0.17357344326318075)	(7.0, 0.1663412164605482)	(8.0, 0.12398103090227196)	(9.0, 0.04649288658835198)	('>10', 0.7583506390188968)	('>50', 1.5352984326731343)	('>100', 18.214879790058788)	('>500', 38.026015352984324)	('>1k', 31.41162735434812)	('>5k', 0.0)	('>10k+', 0.0)
3893R_R_M_S5_week10_S63_L001_R1_001	(1.0, 2.964176593012443)	(2.0, 1.087543727582695)	(3.0, 0.5260594252313687)	(4.0, 0.4003011114555196)	(5.0, 0.26125846875968645)	(6.0, 0.1594119470398087)	(7.0, 0.16738254439179914)	(8.0, 0.17712438559978746)	(9.0, 0.11955896027985653)	('>10', 4.627374573794447)	('>50', 5.413806845857503)	('>100', 12.862772882256564)	('>500', 16.730283841827923)	('>1k', 54.502944692910596)	('>5k', 0.0)	('>10k+', 0.0)
3893R_R_M_S5_week10_S63_L001_R2_001	(1.0, 5.312845946065624)	(2.0, 1.3656290129743613)	(3.0, 0.7890891378470531)	(4.0, 0.5349156445113581)	(5.0, 0.37638931939954834)	(6.0, 0.17535314174378958)	(7.0, 0.16118319089580657)	(8.0, 0.12752955763184695)	(9.0, 0.08767657087189479)	('>10', 1.0547757162467344)	('>50', 0.6898994819111721)	('>100', 12.661736704600807)	('>500', 25.68037904618518)	('>1k', 50.98259752911483)	('>5k', 0.0)	('>10k+', 0.0)
3894R_0_M_NS6_week10_S71_L001_R1_001	(1.0, 3.239675047247127)	(2.0, 1.1464705724291742)	(3.0, 0.5320340000179136)	(4.0, 0.3475238922675934)	(5.0, 0.2507904377188818)	(6.0, 0.1612224242478526)	(7.0, 0.20063235017510547)	(8.0, 0.2436249966411995)	(9.0, 0.27407812122134945)	('>10', 6.294839986743934)	('>50', 4.44346914829776)	('>100', 15.329565505566652)	('>500', 33.5127679203203)	('>1k', 34.023305597105164)	('>5k', 0.0)	('>10k+', 0.0)
3894R_0_M_NS6_week10_S71_L001_R2_001	(1.0, 4.582299569177855)	(2.0, 1.2360385859002032)	(3.0, 0.5159117575931284)	(4.0, 0.29378308418497584)	(5.0, 0.18809282828916138)	(6.0, 0.11822977778175858)	(7.0, 0.11912545791646888)	(8.0, 0.10748161616523508)	(9.0, 0.09673345454871157)	('>10', 2.687040404130877)	('>50', 0.542782161634437)	('>100', 23.576988185979022)	('>500', 20.899800263329958)	('>1k', 45.035692853368204)	('>5k', 0.0)	('>10k+', 0.0)
3896R_0_M_S2_week10_S52_L001_R1_001	(1.0, 3.0618590281410705)	(2.0, 1.0778691356318661)	(3.0, 0.7402947360108971)	(4.0, 0.46194391527079987)	(5.0, 0.4491121398466109)	(6.0, 0.2961178944043589)	(7.0, 0.24182961376355971)	(8.0, 0.2842731786281845)	(9.0, 0.2576225681317922)	('>10', 5.262014983565457)	('>50', 5.808846028565506)	('>100', 21.413272004027203)	('>500', 12.126027775858494)	('>1k', 48.5189169981542)	('>5k', 0.0)	('>10k+', 0.0)
3896R_0_M_S2_week10_S52_L001_R2_001	(1.0, 4.40623426873686)	(2.0, 1.3108152125632953)	(3.0, 0.6396146519134152)	(4.0, 0.3908756206137537)	(5.0, 0.2566355084837777)	(6.0, 0.17174837875452814)	(7.0, 0.11746009811372901)	(8.0, 0.09475772620939484)	(9.0, 0.035534147328523065)	('>10', 1.84580154178717)	('>50', 2.666048109287244)	('>100', 13.829692728331572)	('>500', 15.249084502176466)	('>1k', 58.98569750570027)	('>5k', 0.0)	('>10k+', 0.0)
3896R_L_M_S2_week10_S53_L001_R1_001	(1.0, 2.8467036638870327)	(2.0, 1.0474474823488393)	(3.0, 0.5905511811023622)	(4.0, 0.42130342563268147)	(5.0, 0.27965830839410755)	(6.0, 0.26149867797890575)	(7.0, 0.27965830839410755)	(8.0, 0.13946596158874974)	(9.0, 0.14382427288839816)	('>10', 4.595112880262661)	('>50', 5.134817096202458)	('>100', 16.315338350233898)	('>500', 12.570822558619287)	('>1k', 55.37379783246651)	('>5k', 0.0)	('>10k+', 0.0)
3896R_L_M_S2_week10_S53_L001_R2_001	(1.0, 4.3161809570851615)	(2.0, 1.2973239968620158)	(3.0, 0.7125838974925182)	(4.0, 0.49975302902635327)	(5.0, 0.32324142139059187)	(6.0, 0.2832902344771479)	(7.0, 0.16271028852020802)	(8.0, 0.1278437981230206)	(9.0, 0.13074933898945287)	('>10', 1.186913443937589)	('>50', 2.4769735886335242)	('>100', 9.608623645291571)	('>500', 9.64639567655519)	('>1k', 69.22741668361564)	('>5k', 0.0)	('>10k+', 0.0)
3909R_R_M_S2_week10_S54_L001_R1_001	(1.0, 3.017122004463777)	(2.0, 1.076845380642849)	(3.0, 0.5767069058208298)	(4.0, 0.472443510418194)	(5.0, 0.30545916621865987)	(6.0, 0.2981281462294121)	(7.0, 0.22807617744326605)	(8.0, 0.21504325301793656)	(9.0, 0.2565856996236743)	('>10', 5.1879184790577195)	('>50', 4.577000146620399)	('>100', 20.65474154081749)	('>500', 12.212664744310315)	('>1k', 50.921264845315484)	('>5k', 0.0)	('>10k+', 0.0)
3909R_R_M_S2_week10_S54_L001_R2_001	(1.0, 4.425492400175945)	(2.0, 1.269081015916459)	(3.0, 0.7795317921900201)	(4.0, 0.4333447371422055)	(5.0, 0.27287685515533616)	(6.0, 0.210155906358438)	(7.0, 0.18246094195461282)	(8.0, 0.08471400876464168)	(9.0, 0.14662039978495675)	('>10', 1.076845380642849)	('>50', 2.4640372741638563)	('>100', 12.791815323460892)	('>500', 8.977241255722268)	('>1k', 66.88578270856752)	('>5k', 0.0)	('>10k+', 0.0)
3974R_0_M_NS1_week10_S79_L001_R1_001	(1.0, 3.0872061726179796)	(2.0, 1.0514982953525929)	(3.0, 0.5194688677552485)	(4.0, 0.40193791494706627)	(5.0, 0.27364076798851605)	(6.0, 0.24223936838327653)	(7.0, 0.2637717566840122)	(8.0, 0.20096895747353313)	(9.0, 0.2826125964471559)	('>10', 4.864525390274538)	('>50', 5.807464561277588)	('>100', 20.921406782702316)	('>500', 10.478198456845506)	('>1k', 51.60506011125068)	('>5k', 0.0)	('>10k+', 0.0)
3974R_0_M_NS1_week10_S79_L001_R2_001	(1.0, 5.439619594473354)	(2.0, 1.2847658352772295)	(3.0, 0.6459716490220707)	(4.0, 0.36963933249596265)	(5.0, 0.278126682217836)	(6.0, 0.15610981518033376)	(7.0, 0.10048447873676657)	(8.0, 0.09330701596985465)	(9.0, 0.08074645612775884)	('>10', 2.429571146599677)	('>50', 3.4236497398169745)	('>100', 18.94939888749327)	('>500', 16.19235600215324)	('>1k', 50.556253364435676)	('>5k', 0.0)	('>10k+', 0.0)
3974R_L_M_NS1_week10_S80_L001_R1_001	(1.0, 2.9688857400706796)	(2.0, 1.0576655449001797)	(3.0, 0.5541357759166013)	(4.0, 0.39135312028204416)	(5.0, 0.29098453986488193)	(6.0, 0.3188178436780446)	(7.0, 0.25387346811399847)	(8.0, 0.222666430505301)	(9.0, 0.28845423951823085)	('>10', 5.355802400411595)	('>50', 4.472727579430345)	('>100', 19.188954395553417)	('>500', 11.73300270742137)	('>1k', 52.90267621433331)	('>5k', 0.0)	('>10k+', 0.0)
3974R_L_M_NS1_week10_S80_L001_R2_001	(1.0, 5.263024721034387)	(2.0, 1.3326248492362711)	(3.0, 0.721135598795577)	(4.0, 0.3981005878731138)	(5.0, 0.30785320884255624)	(6.0, 0.16699982287897575)	(7.0, 0.14760085355465027)	(8.0, 0.10795948145711563)	(9.0, 0.12904531767920854)	('>10', 1.8235031164865936)	('>50', 4.059445189477325)	('>100', 18.1127333147778)	('>500', 16.176210116140783)	('>1k', 51.25376382176564)	('>5k', 0.0)	('>10k+', 0.0)
Positive_control_S89_L001_R1_001	(1.0, 2.6987014963576867)	(2.0, 1.0570663641206217)	(3.0, 0.5105464507336511)	(4.0, 0.3292955427496178)	(5.0, 0.18332630006018638)	(6.0, 0.17018215024455036)	(7.0, 0.13074970079764234)	(8.0, 0.09408444078560509)	(9.0, 0.16188058193993815)	('>10', 4.846040497817379)	('>50', 3.497727445676612)	('>100', 5.504631583316614)	('>500', 8.022773969048986)	('>1k', 72.79299347635092)	('>5k', 0.0)	('>10k+', 0.0)
Positive_control_S89_L001_R2_001	(1.0, 4.901384286514794)	(2.0, 1.2590711928661857)	(3.0, 0.5997883100082324)	(4.0, 0.3514330582285837)	(5.0, 0.23867008875760112)	(6.0, 0.195086855158387)	(7.0, 0.1113793747535472)	(8.0, 0.07194692530663918)	(9.0, 0.11829734834072404)	('>10', 0.9283920553991324)	('>50', 0.2116899917676114)	('>100', 8.748469398343838)	('>500', 46.43205512241354)	('>1k', 35.83233599214118)	('>5k', 0.0)	('>10k+', 0.0)
T1D_NS1_defined_mouse_inocula_S81_L001_R1_001	(1.0, 3.445064373981356)	(2.0, 1.1589903676172573)	(3.0, 0.5717340875969059)	(4.0, 0.3759819942567888)	(5.0, 0.3664962099980166)	(6.0, 0.3725326181626898)	(7.0, 0.3802937143744125)	(8.0, 0.3380388572217)	(9.0, 0.2949216560454628)	('>10', 6.215775721566362)	('>50', 2.8785043505255987)	('>100', 29.988013418073006)	('>500', 26.081594991505913)	('>1k', 27.53205763907453)	('>5k', 0.0)	('>10k+', 0.0)
T1D_NS1_defined_mouse_inocula_S81_L001_R2_001	(1.0, 5.775980269568741)	(2.0, 1.3124876038046618)	(3.0, 0.6131266007260936)	(4.0, 0.3794313703508878)	(5.0, 0.3147555685865319)	(6.0, 0.16039598837560257)	(7.0, 0.13883738778748395)	(8.0, 0.11038003501116736)	(9.0, 0.06984986590550434)	('>10', 1.9092296680837852)	('>50', 3.80379948776765)	('>100', 44.58059898415874)	('>500', 28.177953312694566)	('>1k', 12.653173857178581)	('>5k', 0.0)	('>10k+', 0.0)
T1D_NS6_defined_mouse_inocula_S82_L001_R1_001	(1.0, 3.668153841763301)	(2.0, 1.1586647767810427)	(3.0, 0.5536477012204982)	(4.0, 0.46803207732042124)	(5.0, 0.43283454305038954)	(6.0, 0.36529332864032876)	(7.0, 0.43283454305038954)	(8.0, 0.3576830509603219)	(9.0, 0.3595856203803236)	('>10', 6.975770778436279)	('>50', 3.741402764433367)	('>100', 35.32024999762179)	('>500', 28.260766164705437)	('>1k', 17.905080811636115)	('>5k', 0.0)	('>10k+', 0.0)
T1D_NS6_defined_mouse_inocula_S82_L001_R2_001	(1.0, 5.750516071955176)	(2.0, 1.2956497750211662)	(3.0, 0.4965706186204469)	(4.0, 0.2701648576402432)	(5.0, 0.13317985940011987)	(6.0, 0.125569581720113)	(7.0, 0.0865669086100779)	(8.0, 0.00761027768000685)	(9.0, 0.05136937434004624)	('>10', 1.797928101901618)	('>50', 2.0005517451318005)	('>100', 52.38344384090714)	('>500', 26.82147239847414)	('>1k', 8.779406588597901)	('>5k', 0.0)	('>10k+', 0.0)
T1D_S2_defined_mouse_inocula_S83_L001_R1_001	(1.0, 3.6545094973094794)	(2.0, 1.1093225405877754)	(3.0, 0.6953962194729337)	(4.0, 0.5519017614864554)	(5.0, 0.547302580140735)	(6.0, 0.5187876557972682)	(7.0, 0.4507197718806052)	(8.0, 0.4562387894954698)	(9.0, 0.438761900381732)	('>10', 6.6678931150255245)	('>50', 2.5037943246102192)	('>100', 41.60879363473302)	('>500', 25.21915099112358)	('>1k', 15.577427217955202)	('>5k', 0.0)	('>10k+', 0.0)
T1D_S2_defined_mouse_inocula_S83_L001_R2_001	(1.0, 5.3893207009152375)	(2.0, 1.2840914317251528)	(3.0, 0.6208894816722623)	(4.0, 0.2649128455134986)	(5.0, 0.24835579266890492)	(6.0, 0.1931656165202594)	(7.0, 0.0965828082601297)	(8.0, 0.06622821137837465)	(9.0, 0.049671158533780985)	('>10', 0.2253598859403026)	('>50', 4.388538840086465)	('>100', 33.855493722117465)	('>500', 35.842340063468704)	('>1k', 17.475049441199467)	('>5k', 0.0)	('>10k+', 0.0)
T1D_S5_defined_mouse_inocula_S84_L001_R1_001	(1.0, 3.616406234207281)	(2.0, 1.1764943702116477)	(3.0, 0.5276031454041925)	(4.0, 0.44876589379207177)	(5.0, 0.3436495583092442)	(6.0, 0.3577998342396248)	(7.0, 0.3325314843639451)	(8.0, 0.28300551860761286)	(9.0, 0.39115405607552206)	('>10', 7.057955487274858)	('>50', 4.28551213891528)	('>100', 27.26252804786836)	('>500', 24.442580201742505)	('>1k', 29.47401402898785)	('>5k', 0.0)	('>10k+', 0.0)
T1D_S5_defined_mouse_inocula_S84_L001_R2_001	(1.0, 5.344761365703774)	(2.0, 1.3988558491176293)	(3.0, 0.4912167215832137)	(4.0, 0.2870484545877216)	(5.0, 0.14655642927894236)	(6.0, 0.09096605955244699)	(7.0, 0.10612706947785483)	(8.0, 0.04851523176130506)	(9.0, 0.045483029776223496)	('>10', 3.111039236693687)	('>50', 5.163839980593908)	('>100', 26.60454021710566)	('>500', 44.46522064323111)	('>1k', 12.695829711536518)	('>5k', 0.0)	('>10k+', 0.0)
negative_control_S90_L001_R1_001	(1.0, 6.7114093959731544)	(2.0, 1.278363694471077)	(3.0, 0.33557046979865773)	(4.0, 0.1278363694471077)	(5.0, 0.5592841163310962)	(6.0, 0.6711409395973155)	(7.0, 0.33557046979865773)	(8.0, 1.1505273250239694)	(9.0, 0.14381591562799617)	('>10', 5.9284116331096195)	('>50', 0.0)	('>100', 72.93064876957494)	('>500', 9.827420901246404)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
negative_control_S90_L001_R2_001	(1.0, 9.859379993608181)	(2.0, 2.013422818791946)	(3.0, 0.9108341323106425)	(4.0, 0.31959092361776925)	(5.0, 0.15979546180888463)	(6.0, 0.09587727708533077)	(7.0, 0.11185682326621924)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 86.52924256951103)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
