Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
3894R_0_M_NS6_week10_S71_L001_R1_001	95.27260024899908	50.0	301.0	301	45.45454545454545	0.111647
3894R_0_M_NS6_week10_S71_L001_R2_001	94.21121928936738	51.0	301.0	301	45.45454545454545	0.111647
3896R_0_M_S2_week10_S52_L001_R1_001	95.34009140172341	51.0	301.0	301	45.45454545454545	0.101311
3896R_0_M_S2_week10_S52_L001_R2_001	94.30071759236411	52.0	301.0	301	45.45454545454545	0.101311
3896R_L_M_S2_week10_S53_L001_R1_001	95.75936310544208	50.0	301.0	301	45.45454545454545	0.13766799999999998
3896R_L_M_S2_week10_S53_L001_R2_001	94.33710085132347	52.0	301.0	301	45.45454545454545	0.13766799999999998
3909R_R_M_S2_week10_S54_L001_R1_001	95.50445563103791	51.0	301.0	301	45.45454545454545	0.122766
3909R_R_M_S2_week10_S54_L001_R2_001	94.24352019288727	53.0	301.0	301	45.45454545454545	0.122766
3974R_0_M_NS1_week10_S79_L001_R1_001	95.49973084514625	51.0	301.0	301	45.45454545454545	0.11145999999999999
3974R_0_M_NS1_week10_S79_L001_R2_001	93.20832585680962	52.0	301.0	301	45.45454545454545	0.11145999999999999
3974R_L_M_NS1_week10_S80_L001_R1_001	95.5871561954404	50.0	301.0	301	45.45454545454545	0.11856299999999999
3974R_L_M_NS1_week10_S80_L001_R2_001	93.33012828622758	52.0	301.0	301	45.45454545454545	0.11856299999999999
Positive_control_S89_L001_R1_001	96.09411211267995	53.0	301.0	301	36.36363636363637	0.14455099999999999
Positive_control_S89_L001_R2_001	93.8969637013926	54.0	301.0	301	45.45454545454545	0.14455099999999999
T1D_NS1_defined_mouse_inocula_S81_L001_R1_001	94.90354682096876	51.0	301.0	301	45.45454545454545	0.115963
T1D_NS1_defined_mouse_inocula_S81_L001_R2_001	92.79856505954486	53.0	301.0	301	45.45454545454545	0.115963
T1D_NS6_defined_mouse_inocula_S82_L001_R1_001	94.55294375053509	51.0	301.0	301	45.45454545454545	0.10512099999999999
T1D_NS6_defined_mouse_inocula_S82_L001_R2_001	92.95478543773366	52.0	301.0	301	45.45454545454545	0.10512099999999999
T1D_S2_defined_mouse_inocula_S83_L001_R1_001	94.4570666421377	52.0	301.0	301	45.45454545454545	0.10871499999999999
T1D_S2_defined_mouse_inocula_S83_L001_R2_001	93.28427539897898	53.0	301.0	301	45.45454545454545	0.10871499999999999
T1D_S5_defined_mouse_inocula_S84_L001_R1_001	94.67039964422163	53.0	301.0	301	45.45454545454545	0.098938
T1D_S5_defined_mouse_inocula_S84_L001_R2_001	93.2937799429946	54.0	301.0	301	45.45454545454545	0.098938
negative_control_S90_L001_R1_001	91.4189837008629	53.0	301.0	301	45.45454545454545	0.006258
negative_control_S90_L001_R2_001	88.30297219558965	56.0	301.0	301	54.54545454545454	0.006258
