Reaction	EC-Number	In-Pathway	Common-Name	Names
RXN-11597	EC-2.1.1.184			Chemical Reactions
NITRITE-REDUCTASE-CYTOCHROME-RXN	EC-1.7.2.1	PWY-6748 // PWY-7084 // P303-PWY // PWY-6523		Chemical Reactions
RXN-11181	EC-1.3.3.11	PWY-6420		Chemical Reactions
2.4.99.11-RXN	EC-2.4.3.1	PWY-7836		Chemical Reactions
MALTET-RXN				Chemical Reactions
RXN-14959	EC-2.8.1.8	PWY-7382		Chemical Reactions
4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	EC-1.1.1.61	PWY-5022 // PWY-5677		Chemical Reactions
RXN-5642	EC-2.1.1.103	PWY4FS-2 // PWY4FS-4 // PWY-3385		Chemical Reactions
RXN-23129	EC-2.4.1	PWY-8365		Chemical Reactions
RXN-15459		PWY-6540 // RXN-8971		Chemical Reactions
RXN-9162	EC-3.2.1	PWY-5821		Chemical Reactions
RXN-15951	EC-6.3.2	PWY-7571		Chemical Reactions
RXN-7481	EC-2.3.1.220	PWY-5001		Chemical Reactions
CHLOROGENATE-HYDROLASE-RXN	EC-3.1.1.42	PWY-6781		Chemical Reactions
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	EC-2.7.1.137	PWY-6352		Chemical Reactions
RXN-14420	EC-2.5.1.110	PWY-7526		Chemical Reactions
RXN-18597	EC-2.7.1.220	PWY-7872		Chemical Reactions
RXN66-332			Simvastatin hydrolysis	Chemical Reactions
RXN-23436		PWY-8397		Chemical Reactions
RXN-17265	EC-3.1.2.M1	PWY-7741		Chemical Reactions
RXN-19316	EC-2.4.2.21	PWY-7965		Chemical Reactions
RXN-16059	EC-1.3.99	PWY-6279		Chemical Reactions
RXN-21186	EC-6.2.2.2			Chemical Reactions
RXN-14686	EC-1.1.1.283			Chemical Reactions
RXN-18877		1.13.12.7-RXN // PWY-7913		Chemical Reactions
RXN-10455	EC-6.3.2.52	PWY-6233 // PWY-6220		Chemical Reactions
2.1.1.139-RXN	EC-2.1.1.139	PWY-6346		Chemical Reactions
DLACTDEHYDROGFAD-RXN	EC-1.1.5.12	PWY0-1565 // PWY-7425		Small-Molecule Reactions
RXN-20857	EC-2.4.1.M50	PWY-8081		Chemical Reactions
RXN-11939	EC-1.1.1.270	PWY-2541		Chemical Reactions
CHONDROITIN-GLUCURONATE-5-EPIMERASE-RXN	EC-5.1.3.19	PWY-6568		Chemical Reactions
RXN-24975		PWY-8558 // RXN-24976		Chemical Reactions
RXN-14693		PWY3DJ-35471 // PWY-4841 // PWY-5525 // PWY-7247		Chemical Reactions
RXN1G-364	EC-1.1.1.M9	PWYG-321	cis-delta7-3-oxo-C26:1-[acyl-carrier protein] reductase	Chemical Reactions
RXN-9396	EC-1.14.13.105			Chemical Reactions
RXN-18384	EC-1.3.1.85	PWY-7854		Chemical Reactions
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	EC-2.7.9.1	PWY-6549 // PWY-7117 // PWY-7115 // PWY-241		Chemical Reactions
RXNQT-4175	EC-2.3.3.17	PWYQT-4450		Chemical Reactions
1.14.11.10-RXN	EC-1.14.11.10			Chemical Reactions
RXN-9864	EC-1.14.11	PWY-6086		Chemical Reactions
RXN-21311	EC-1.1.1.423			Chemical Reactions
4.2.3.18-RXN	EC-4.2.3.18	PWY-5411 // PWY-5421		Chemical Reactions
RXN-15978	EC-4.2.99	PWY-5397		Chemical Reactions
RXN-9611	EC-2.1.1.315	PWY-5984		Chemical Reactions
RXN-9724	EC-1.3.1.77	PWY-6035		Chemical Reactions
RXN-5424	EC-1.1.1.1	PWY-3162	indole-3-glycol dehydrogenase	Chemical Reactions
RXN-10817	EC-1.4.3.21 // EC-1.4.3.4	2PHENDEG-PWY // PWY-5751 // PWY-6318	phenylethylamine oxidase	Chemical Reactions
RXN-21981	EC-1.14.15.4	PWY-8202		Chemical Reactions
RXN-24094				Chemical Reactions
RXN-23996	EC-2.4.1	PWY-8460		Chemical Reactions
1.97.1.1-RXN	EC-1.97.1.1	PWY-6529		Chemical Reactions
RXN-22869	EC-2.1.1			Chemical Reactions
GLYOXYLATE-OXIDASE-RXN	EC-1.1.3.15 // EC-1.2.3.5			Chemical Reactions
RXN-16922	EC-4.2.1	PWY-7695		Chemical Reactions
RXN-13170	EC-1.13.11	PWY-7009	2,2',3,3'-tetrahydroxybiphenyl dioxygenase	Chemical Reactions
PYRUFLAVREDUCT-RXN	EC-1.2.7.1	P142-PWY // GLUDEG-II-PWY // PWY-6587 // PWY-5483 // PWY-5497 // PWY-6863 // PWY-8275 // PWY-8377 // PWY-6142 // PWY-8303 // P23-PWY // CENTFERM-PWY // PWY-6583 // PWY-8189 // PWY-5392 // P42-PWY // NPGLUCAT-PWY // PWY-6876 // PWY-6588 // PWY-5493 // PWY-5600 // PWY-5538		Chemical Reactions
RXN-2203	EC-4.2.1.170			Small-Molecule Reactions
RXN-24679		PWY-8530		Unknown Conversions
1.1.3.37-RXN	EC-1.1.3.37	PWY3O-6		Chemical Reactions
1.5.1.7-RXN	EC-1.5.1.7	LYSINE-AMINOAD-PWY		Chemical Reactions
RXN-17120	EC-2.1.1.320			Small-Molecule Reactions
RXN-13955	EC-2.1.1.267			Chemical Reactions
RXN-25258	EC-1.10.3.18			Chemical Reactions
RXN-21763	EC-6.2.1.2	PWY-8182		Chemical Reactions
HYDGLUTSYN-RXN	EC-2.3.3.11			Chemical Reactions
2-METHYLCITRATE-SYNTHASE-RXN	EC-2.3.3.5	PWY-5747 // PWY0-42		Chemical Reactions
RXN-14616	EC-3.2.1.191			Small-Molecule Reactions
RXN-11277	EC-3.6.1.75	PWY-7039		Chemical Reactions
RXN-18986		RXN-18985		Chemical Reactions
2.4.1.167-RXN	EC-2.4.1.167			Chemical Reactions
RXN-15435	EC-2.1.1	PWY-7485	TcmO	Chemical Reactions
RXN-22228	EC-2.4.99.27	PWY-8244		Chemical Reactions
RXN-11428	EC-3.4.19.16	PWY-2821		Chemical Reactions
2.4.1.82-RXN	EC-2.4.1.82	PWY-6525 // PWY-6524 // PWY-5337		Chemical Reactions
RXN-20427	EC-2.3.1.dp			Chemical Reactions
RXN-7002		PWY-4202		Chemical Reactions
RXN-20944				Chemical Reactions
RXN-13166	EC-1.1.3	PWY-7000		Chemical Reactions
RXN-8388	EC-1.14.19.26	PWY-5362		Chemical Reactions
RXN-23982	EC-2.4.1.275	PWY-8459		Chemical Reactions
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	EC-1.3.1.43	PWY-6120		Chemical Reactions
RXN-16457		RXN-21601 // PWY-7639		Chemical Reactions
RXN-22885	EC-1.3.8	PWY-8339		Chemical Reactions
RXN-21535				Chemical Reactions
1.14.11.28-RXN	EC-1.14.11.28			Chemical Reactions
ILEDEAMINE-RXN	EC-1.4.1.9		isoleucine dehydrogenase	Chemical Reactions
RXN-25155	EC-1.14.15.46	PWY-8570		Chemical Reactions
RXN-11128	EC-1.14.13.195	PWY-6409 // PWY-7571		Chemical Reactions
RXN-22876	EC-2.4.1			Chemical Reactions
RXN-22489	EC-2.3.1.243	PWY-8285		Chemical Reactions
RXN-14505	EC-3.1.3			Chemical Reactions
RXN-24947	EC-7.1.1.8	PWY-8555 // PWY-8553 // PWY-8552		Chemical Reactions
KETOACYLCOATHIOL-RXN	EC-2.3.1.16	FAO-PWY // PWY-7288 // PWY66-391 // PWY-5136		Chemical Reactions
RXN-10892	EC-2.1.1.341	PWY-6339	tetrahydrofolate-dependent 3- <i>O</i>-methylgallate <i>O</i>-demethylase	Chemical Reactions
RXN-15349	EC-1.8.5.6	PWY-7457		Chemical Reactions
1.18.1.2-RXN	EC-1.18.1.2	PWY2PN3-7 // PWY-8271 // PWY-101		Chemical Reactions
RXN-14444	EC-2.3.1	PWY-7261	pelargonidin 3-<i>O</i>-glucoside 6"-<i>)</i>-malyltransferase	Chemical Reactions
RXN-16034	EC-1.1.1.201	PWY-8254 // PWY-7588		Chemical Reactions
RXN-13926	EC-1.1.1.170			Chemical Reactions
RXN-18978	EC-4.2.3.188			Chemical Reactions
RXN-25627	EC-3.2.1.22			Chemical Reactions
RXN-6547	EC-1.14.11			Chemical Reactions
RXN-16056		PWY-7591		Chemical Reactions
RXN-8474	EC-2.4.1.330	PWY-5398		Chemical Reactions
RXN-22806	EC-1.1.99.13			Chemical Reactions
RXN-18922		PWY-7919 // RXN-18911		Chemical Reactions
RXN-16332	EC-1.14.19.17	PWY3DJ-12		Chemical Reactions
RXN-21255	EC-2.4.1.M64	PWY-8122		Chemical Reactions
RXN-23494	EC-1.14.14	PWY-8399		Chemical Reactions
RXN-5109	EC-4.2.3.106	PWY-3041		Chemical Reactions
RXN-19702	EC-2.4.1.363			Chemical Reactions
RXN-16933	EC-2.3.1	PWY-7696		Chemical Reactions
RXN-23362	EC-2.1.1	PWY-7705		Chemical Reactions
RXN-19799	EC-4.1.99	PWY-8152 // PWY-6944		Chemical Reactions
SEDOHEPTULOKINASE-RXN	EC-2.7.1.14			Chemical Reactions
RXN-10017		PWY-6153		Chemical Reactions
RXN-19198				Chemical Reactions
RXN-19793	EC-3.2.1			Chemical Reactions
5.5.1.2-RXN	EC-5.5.1.2	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY		Chemical Reactions
RXN-10666	EC-1.14.99.M7	PWY-6286		Chemical Reactions
OXALATE-OXIDASE-RXN	EC-1.2.3.4	PWY-6697		Chemical Reactions
MANDELATE-DEHYDROGENASE-RXN	EC-1.1.99.31	PWY-1501		Chemical Reactions
RXN3O-3797		PWY-7282		Chemical Reactions
3.2.1.129-RXN	EC-3.2.1.129			Chemical Reactions
RXN-15000	EC-6.2.1	PWY-7620		Chemical Reactions
RXN-9647	EC-2.3.1		3-oxo-palmitoyl-CoA synthase	Chemical Reactions
RXN-24538				Chemical Reactions
RXN-19817	EC-2.5.1.152	PWY-8007		Chemical Reactions
RXN-12266				Chemical Reactions
11-CIS-RETINYL-PALMITATE-HYDROLASE-RXN	EC-3.1.1.63			Chemical Reactions
D-PINITOL-DEHYDROGENASE-RXN	EC-1.1.1.142	PWY-6739		Chemical Reactions
