Reaction	EC-Number	In-Pathway	Common-Name	Names
RXN-12052	EC-1.21.99	PWY-6688		Chemical Reactions
RXN-10834	EC-2.7.7.93	PWY-7769 // PWY-6322		Chemical Reactions
RXN-18258	EC-1.14.13.239			Chemical Reactions
RXN-19634	EC-1.14.19.59			Chemical Reactions
RXN-18900		WATASEMIA-LUCIFERIN-2-MONOOXYGENASE-RXN // PWY-7916		Chemical Reactions
RXN-18686	EC-2.7.8.M5			Chemical Reactions
RXN-14025	EC-3.1.3.5	PWY-7185 // PWY-7821		Chemical Reactions
RXN-3763	EC-1.14.19.63	PWY-2464		Chemical Reactions
OXALOMALATE-LYASE-RXN	EC-4.1.3.13			Chemical Reactions
RXN-21296	EC-2.10.1.M1	PWY-8167		Chemical Reactions
RXN-21759	EC-4.2.1.17	PWY-8179		Chemical Reactions
RXN-25003	EC-3.5.1.28			Chemical Reactions
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	EC-2.7.8.1	PWY4FS-6		Chemical Reactions
1.1.1.278-RXN	EC-1.1.1.278	PWY-6032		Chemical Reactions
RXN-24495		PWY-8514		Chemical Reactions
RXN-24510		PWY-8516		Chemical Reactions
METHYLACETOACETYLCOATHIOL-RXN	EC-2.3.1.16	PWY-5109 // ILEUDEG-PWY		Chemical Reactions
RXN-25141	EC-2.3.1.75			Chemical Reactions
RXN-8889	EC-2.8.3.M6	PWY-5022 // PWY-5677		Chemical Reactions
RXN-15269	EC-1.17.3			Chemical Reactions
RXN1G-2544	EC-2.1.1.79	PWYG-321	cis-cyclopropane-&Delta;19-37-hydroxy-38-methyl-C57:1-[acp] synthase	Chemical Reactions
RXN-14140	EC-3.6.1.9			Chemical Reactions
RXN-15072	EC-1.1.1			Chemical Reactions
RXN-12448	EC-1.1.1.1			Chemical Reactions
RXN-22527	EC-4.3.99.5	PWY-8295		Chemical Reactions
RXN0-5061	EC-2.4.99.24	PWY1R65-1 // LIPA-CORESYN-PWY		Chemical Reactions
RXN-16399	EC-1.14.14.80	PWY-6733		Chemical Reactions
RXN-17142	EC-2.6.1	PWY-7733		Chemical Reactions
DTMPKI-RXN	EC-2.7.4.12 // EC-2.7.4.13 // EC-2.7.4.9	PWY-7198 // PWY-7210 // PWY-7197 // PWY-7184 // PWY-6545 // PWY0-166 // PWY-7187		Chemical Reactions
3.2.1.59-RXN	EC-3.2.1.59			Chemical Reactions
RXN-21025		RXN-982		Chemical Reactions
RXN0-986	EC-1.14.11.33			Chemical Reactions
RXN-14538	EC-1.14.11.42			Chemical Reactions
RXN-23157		PWY-8368 // RXN-23156		Chemical Reactions
RXN-25408		RXN-25412		Chemical Reactions
RXN-7598	EC-2.1.1.159	PWY-5037 // PWY-5039		Chemical Reactions
RXN-13241	EC-5.1.99	PWY-7025	gentamicin C2 epimerase	Chemical Reactions
RXN-10444	EC-1.14.12.13			Chemical Reactions
RXN-17206	EC-2.3.1.295			Chemical Reactions
RXN-11036	EC-1.1.1.303	PWY-5938		Chemical Reactions
RXN0-5224	EC-4.2.1.1	PWY-6142 // PWY-5789 // PWY-7117 // PWY-7115 // PWY-241 // PWY-5744 // PWY-5743 // CYANCAT-PWY // PWYQT-4429		Chemical Reactions
RXN-17485	EC-1.3.7.7	PWY-7159 // PWY-5531		Chemical Reactions
RXN-22316				Chemical Reactions
RXN-10622	EC-4.1.99.29	PWY-7371 // PWY-7374		Chemical Reactions
RXN-18303	EC-2.8.2.11	PWY-7840		Chemical Reactions
RXN-23619		PWY-8424 // RXN-23633		Chemical Reactions
RXN3O-218	EC-1.14.19.20	PWY-2541 // PWY-8238 // PWY-6075		Chemical Reactions
RXN-13709	EC-1.14.18.9	PWY-8239 // PWY-6074	4-methylsterol monooxygenase	Small-Molecule Reactions
RXN-9995	EC-2.7.7.67	PWY-6349		Chemical Reactions
RXN-25241	EC-1.7.1.6			Chemical Reactions
RXN-25182		PWY-6327 // RXN-10852		Chemical Reactions
AGMATINE-N4-COUMAROYLTRANSFERASE-RXN	EC-2.3.1.64	PWY-6448		Chemical Reactions
RXN-15720				Chemical Reactions
RXN-23044		PWY-8358		Chemical Reactions
RXN-12559	EC-1.3.1.44	PWY-6863	trans-2-hexenoyl-CoA  reductase (NAD+)	Chemical Reactions
RXN-23316		PWY-8383		Chemical Reactions
RXN1A0-6312	EC-5.5.1	PWY1A0-6325		Chemical Reactions
RXN-8234	EC-2.4.1.298	PWY-5307		Chemical Reactions
RXN-3741	EC-3.4.19.9	PWY-2161B	Folatepolyglutamate<sub>(n)</sub>	Chemical Reactions
RXN-12833	EC-4.2.3.98			Chemical Reactions
2.3.1.148-RXN	EC-2.3.1.148			Chemical Reactions
RXN-18724	EC-2.4.1.360	PWY-7897		Chemical Reactions
KETOGLUCOSE-REDUCTASE-RXN	EC-1.1.1	SUCROSEUTIL2-PWY		Chemical Reactions
RXN-23642	EC-1.1.1.100	PWY-8427		Chemical Reactions
RXN-25498	EC-3.1.1.M30	PWY-8603		Chemical Reactions
RXN-13951	EC-2.3.1	PWY-7168	kaempferol 3-glucoside 6"-<i>O</i>-feruloyltransferase	Chemical Reactions
LYSINE-DEHYDROGENASE-RXN	EC-1.4.1.15			Chemical Reactions
RXN-17387	EC-1.1.1.393	PWY-7756		Chemical Reactions
RXN-8850	EC-2.1.1.148	PWY-6545		Chemical Reactions
RXN-9554	EC-1.3.1	PWY-5367	Petrosel-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific)	Chemical Reactions
RXN-8239	EC-2.1.1	PWY-5305		Chemical Reactions
RXN-18665	EC-2.8.5.1			Chemical Reactions
RXN-9223	EC-4.1.1.98	PWY-5855		Chemical Reactions
R247-RXN	EC-1.7.2	P282-PWY	nitrate reductase (cytochrome c)	Small-Molecule Reactions
RXN-20367	EC-2.3.1.291			Chemical Reactions
RXN-9904		PWY-6102		Chemical Reactions
RXN-14811				Chemical Reactions
RXN-18060	EC-2.4.1	PWY-7819		Chemical Reactions
RXN-20569	EC-1.11.1.12	PWY-8411 // PWY-8410 // PWY-8397		Chemical Reactions
RXN-11717	EC-4.2.1	PWY-6627		Chemical Reactions
RXN-15118	EC-2.4.1.315			Chemical Reactions
RXN18C3-61	EC-3.1.1.1	PWY18C3-24	acibenzolar-<i>S</i>-methyl esterase	Chemical Reactions
DIMESULFREDUCT-RXN	EC-1.8.5.3	PWY0-1577 // PWY0-1348 // PWY0-1356		Small-Molecule Reactions
RXN-24355	EC-6.2.1	PWY-8494		Chemical Reactions
RXN0-7319	EC-1.1.5.13	PWY0-461		Chemical Reactions
RXN-12763	EC-1.14.13.135			Chemical Reactions
RXN-11153		PWY-6415	L-galactono-1,4-lactone dehydrogenase	Chemical Reactions
RXN-12332	EC-1.2.1			Chemical Reactions
RXN-18201		PWYQT-4450 // RXNQT-4178		Chemical Reactions
RXN-18569	EC-1.1.1.412			Chemical Reactions
RXN-23292				Chemical Reactions
RXN-20105	EC-1.14.13.246			Small-Molecule Reactions
RXN-21192	EC-1.3.3.16	PWY-8118		Chemical Reactions
RXN-21047	EC-1.2.1			Chemical Reactions
RXN-24782	EC-1.3.1.38	PWY-8542		Chemical Reactions
RXN-11921	EC-2.3.1	PWY-6672	3-methylcrotonyl-CoA:acetyl-CoA C-acyltransferase	Chemical Reactions
2.6.1.58-RXN	EC-2.6.1.58	PWY-8529 // PWY-7275 // PWY-5079		Chemical Reactions
RXN-12610	EC-2.5.1.3	PWY-8457 // PWY-6907 // PWY-6893		Chemical Reactions
RXN1G-648	EC-4.2.1.M2	PWYG-321		Chemical Reactions
RXN-13186	EC-1.14.11.27			Small-Molecule Reactions
RXN-25200		PWY-5317		Chemical Reactions
RXN-14572	EC-5.1.3.26	PWY-8217 // PWY-8224 // PWY-8242 // PWY-8241 // PWY-8236 // PWY-8235 // PWY-8234 // PWY-8232 // PWY-8233 // PWY-8231 // PWY-7290 // PWY-8222 // PWY-8220 // PWY-8219 // PWY-7530 // PWY-8206		Chemical Reactions
RXN-25502	EC-3.1.1.4	PWY-8602		Chemical Reactions
2.3.2.13-RXN	EC-2.3.2.13			Chemical Reactions
RXN-16871		PWY-7690		Chemical Reactions
NICOTINATEPRIBOSYLTRANS-RXN	EC-6.3.4.21	PWY-8511 // PWY-5381 // PYRIDNUCSAL-PWY // PWY3O-4107		Chemical Reactions
RXN-13511	EC-2.4.1	PWY-7071	steviol UDP glucosyltransferase	Chemical Reactions
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	EC-3.6.1.29			Chemical Reactions
RXN-19875	EC-4.2.1.M24	PWY-8012		Chemical Reactions
RXN-21550	EC-2.8.1	PWY-8164		Chemical Reactions
RXN-14930	EC-2.6.1.105	PWY-7380		Chemical Reactions
RXN-24548	EC-5.1.1			Chemical Reactions
1.2.1.58-RXN	EC-1.2.1.58	PWY-1341		Chemical Reactions
RXN-15075	EC-5.4.99	PWY-7419		Chemical Reactions
RXN-21944	EC-2.4.1	PWY-8241		Chemical Reactions
RXN-24797	EC-1.14.14.M64			Chemical Reactions
DEHYDDEOXGALACTKIN-RXN	EC-2.7.1.178 // EC-2.7.1.58	PWY-7130 // GALACTCAT-PWY		Chemical Reactions
RXN-19882	EC-1.3.8.15	PWY-8014		Chemical Reactions
RXN-13607	EC-2.4.1.17			Chemical Reactions
RXN-18520	EC-1.8.7.3	PWY-7865		Chemical Reactions
PYRAMKIN-RXN	EC-2.7.1.35	PLPSAL-PWY // PWY-7204		Chemical Reactions
RXN-19288	EC-1.14.20.14			Chemical Reactions
2.4.1.234-RXN	EC-2.4.1.234	PWY-7191		Chemical Reactions
RXN-20068	EC-3.5.1.131			Chemical Reactions
RXN-14558	EC-2.4.1.303	PWY-8211		Chemical Reactions
RXN-25580	EC-1.10.3.M2			Chemical Reactions
RXN-23003	EC-4.4.1.20	PWY-8355		Chemical Reactions
RXN-8534		RXN-19786 // PWY-5421		Chemical Reactions
RXN-16721		PWY-7672		Small-Molecule Reactions
RXN1G-526	EC-2.3.1.86	PWYG-321	trans-tetracos-2-enoyl-[acyl-carrier protein] reductase	Chemical Reactions
RXN-25499	EC-2.1.1.406			Chemical Reactions
RXN2SK3-18		PWY2SK3-2		Chemical Reactions
RXN-7644	EC-1.1.1.14	PWY-4101	D-sorbitol 2-dehydrogenase	Chemical Reactions
RXN-16126	EC-2.5.1	PWY-7605		Chemical Reactions
RXN-20383	EC-2.3.1.199			Chemical Reactions
RXN-4221		RXN-20132		Chemical Reactions
R541-RXN	EC-1.14.15.1	P601-PWY		Chemical Reactions
RXN-7884	EC-1.13.11.71	PWY-6806		Chemical Reactions
RXN-9804	EC-1.11.2.3	PWY-321		Chemical Reactions
THIOCYANATE-ISOMERASE-RXN	EC-5.99.1.1			Chemical Reactions
PROPANEDIOL-DEHYDRATASE-RXN	EC-4.2.1.28	PWY-7013		Chemical Reactions
RXN66-353	EC-1.1.1.145	PWY-8200 // PWY-7299		Chemical Reactions
RXN-14526	EC-2.1.1	PWY-7285		Chemical Reactions
BETA-9-CYTOKININ-ALANINE-SYNTHASE-RXN	EC-2.5.1.50	PWY-5967		Chemical Reactions
RXN-11047	EC-2.5.1.74	PWY-8536		Chemical Reactions
2.8.3.17-RXN	EC-2.8.3.17	PWY-8014		Chemical Reactions
RXN-14735	EC-2.3.1	PWY-7318		Chemical Reactions
RXN-16281	EC-2.7.4.29			Chemical Reactions
RXN-24558				Chemical Reactions
ERYTHRULOSE-REDUCTASE-RXN	EC-1.1.1.403	PWY-7786		Chemical Reactions
RXN-8497	EC-1.13.11.58	PWY-8398 // PWY-6917 // PWY-5406 // PWY-5408 // PWY-5407		Chemical Reactions
RXN-9916	EC-5.4.99.35	PWY-7251 // PWY-6109		Chemical Reactions
RXN-24707		PWY-8532		Chemical Reactions
RXN-23505	EC-1.13.11.31	PWY-8400		Chemical Reactions
RXN-18575	EC-4.1.1.114			Chemical Reactions
RXN-24357	EC-6.2.1	PWY-8494		Chemical Reactions
6-OXOCINEOLE-DEHYDROGENASE-RXN	EC-1.14.13.51	6-HYDROXYCINEOLE-DEGRADATION-PWY		Chemical Reactions
RXN-19209	EC-4.1.1.106			Chemical Reactions
RXN-18711	EC-1.14.13	RXN-18720 // PWY-7895		Chemical Reactions
RXN-21569	EC-3.1.1.1	PWY-8454		Chemical Reactions
RXN-9949	EC-1.1.1.297	PWY-5923		Chemical Reactions
RXN-20878		RXN-20879		Chemical Reactions
RXN-13323	EC-2.5.1.32			Small-Molecule Reactions
RXN-21872	EC-2.4.1			Chemical Reactions
RXN0-1001	EC-3.1.3.62 // EC-3.1.3.8	PWY-4702		Chemical Reactions
1.10.99.2-RXN	EC-1.10.5.1			Chemical Reactions
RXN-6641	EC-3.4.19.13	PWY-6842 // PWY-4061		Chemical Reactions
23-DIHYDROXYINDOLE-23-DIOXYGENASE-RXN	EC-1.13.11.23			Chemical Reactions
RXN-25604	EC-4.2.1.186			Small-Molecule Reactions
RXN-17741	EC-3.1.4.39	PWY-7783		Chemical Reactions
RXN-19405	EC-2.4.1	PWY-7981		Chemical Reactions
RXN-19046	EC-4.4.1.37			Small-Molecule Reactions
2.4.1.198-RXN	EC-2.4.1.198	PWY-8601 // PWY-8600		Chemical Reactions
2.1.1.151-RXN	EC-2.1.1.151	PWY-7377		Chemical Reactions
RXN0-7362	EC-3.1.3			Chemical Reactions
RXN66-614	EC-2.3.1.85 // EC-2.3.1.86	PWY-5994		Chemical Reactions
INOPHOSPHOR-RXN	EC-2.4.2.1	PWY0-1296 // SALVADEHYPOX-PWY // PWY-6609		Chemical Reactions
RXN-11439	EC-4.4.1.M2	PWYQT-4471		Chemical Reactions
THIOSULFATE-DEHYDROGENASE-RXN	EC-1.8.2.2	THIOSULFOX-PWY		Chemical Reactions
RXN-10855		PWY66-425 // 1.2.1.31-RXN		Chemical Reactions
RXN-13398	EC-1.14.13.122			Small-Molecule Reactions
RXN-20898		PWY1QP9-2		Chemical Reactions
RXN-22538	EC-1.14.13.250	PWY-8298		Small-Molecule Reactions
RXN-7891	EC-1.13.11.71			Chemical Reactions
THIOETHER-S-METHYLTRANSFERASE-RXN	EC-2.1.1.96			Chemical Reactions
RXN-16116	EC-1.14.14.129	PWY-6453		Chemical Reactions
RXN-13546	EC-4.1.99			Chemical Reactions
RXN-25363	EC-6.2.1.5	PWY-8589		Chemical Reactions
RXN-18832	EC-4.2.3.174			Chemical Reactions
RXN-11093		PWY-6397		Chemical Reactions
RXN-6401	EC-4.3.3	PWY-3961		Chemical Reactions
RXN-16008	EC-1.1.1.387			Small-Molecule Reactions
RXN-10643	EC-4.2.1.131	PWY-6279 // PWY-7947 // PWY-6581		Chemical Reactions
RXN-24453	EC-2.1.1	PWY-8506		Chemical Reactions
RXN-15780	EC-1.3.8.14	PWY-7547		Chemical Reactions
RXN-21650	EC-1.1.1.100	PWY-8525 // PWY-8174		Chemical Reactions
RXN-23717	EC-3.2.1.137			Chemical Reactions
RXN-20615		RXN-21597		Chemical Reactions
RXN-24706		PWY-8532		Chemical Reactions
RXN-21921	EC-2.4.1			Chemical Reactions
RXN-21801	EC-1.13.12.1			Chemical Reactions
1.14.99.31-RXN	EC-1.14.19.24	PWY-7656		Chemical Reactions
RXN-16924	EC-1.14.13	PWY-7695		Chemical Reactions
RXN-14014	EC-1.17.1.8	DAPLYSINESYN-PWY // PWY-5097 // PWY-2942 // PWY-2941		Chemical Reactions
RXN-5821	EC-1.4.3.4	PWY-7431 // PWY-6802		Chemical Reactions
RXN-1744		PWY-804		Chemical Reactions
RXN-21910	EC-2.4.1			Chemical Reactions
RXN-7892	EC-1.13.11.71			Chemical Reactions
RXN0-3942	EC-3.5.1.94	PWY0-1221		Chemical Reactions
RXN-12271				Chemical Reactions
3.2.1.152-RXN	EC-3.2.1.152			Chemical Reactions
RXN-21955	EC-2.1.1.M84	PWY-7977		Chemical Reactions
RXN-23335	EC-1.11.2.3	PWY-5410		Chemical Reactions
RXN-25390		RXN-25384		Chemical Reactions
HYDROG-RXN	EC-1.12.7.2	GLUDEG-II-PWY // RXN-12907 // PWY-6759 // FHLMULTI-RXN // PWY-6780 // PWY-6785 // PWY4LZ-257	hydrogenase	Chemical Reactions
R463-RXN			<i>s</i>-triazine hydrolase	Chemical Reactions
RXN-17342	EC-1.3.1.56			Chemical Reactions
RXN-24410	EC-2.4.1	PWY-8501		Chemical Reactions
RXN-21956	EC-2.4.1	PWY-8236		Chemical Reactions
PHOSPHONOACETALDEHYDE-HYDROLASE-RXN	EC-3.11.1.1	PWY-8465 // PHOSPHONOTASE-PWY		Chemical Reactions
RXN-24423				Chemical Reactions
RXN-17700	EC-3.2.1.199	PWY-8351		Chemical Reactions
RXN-1804	EC-2.4.1.10	PWY-822		Chemical Reactions
RXN-10862		APYRASE-RXN		Chemical Reactions
RXN-9598	EC-1.4.3.4			Chemical Reactions
RXN-12030	EC-1.21.99	PWY-6260	3,3'-diiodothyronine 3'-deiodinase	Chemical Reactions
RXN-9494	EC-4.2.1.143	PWY-5955		Chemical Reactions
RXN-11272		PWY-6443		Chemical Reactions
RXN-17412	EC-1.1.1.392			Chemical Reactions
RXN-13958	EC-2.3.1.211			Chemical Reactions
RXN-9347				Chemical Reactions
HYPONITRITE-REDUCTASE-RXN	EC-1.7.1.5			Chemical Reactions
RXN0-6563	EC-4.1.2.48			Chemical Reactions
RXN-19764	EC-3.2.1.M18			Chemical Reactions
RXN-9279	EC-1.14.15.45	PWY-5872		Chemical Reactions
RXN-20268	EC-6.2.1.74	PWY-8035		Chemical Reactions
RXN-13872		NADNUCLEOSID-RXN		Chemical Reactions
MALATE--COA-LIGASE-RXN	EC-6.2.1.9	PWY-1622 // PWY-5741		Chemical Reactions
RXN-20624		RXN-20640		Chemical Reactions
2.3.1.105-RXN	EC-2.3.1.105			Chemical Reactions
3.4.13.22-RXN	EC-3.4.13.22	PWY-6455 // PWY-6454		Chemical Reactions
RXN-23100	EC-2.4.1.389			Chemical Reactions
RXN-8055		PWY-5195		Chemical Reactions
RXN-10615	EC-2.8.2.1	PWY-6261		Chemical Reactions
RXN-9910	EC-1.2.1.28	PWY-6104	Chlorobenzaldehyde dehydrogenase (NAD+)	Chemical Reactions
FERREDOXIN--NITRITE-REDUCTASE-RXN	EC-1.7.7.1	PWY490-3 // PWY-381		Chemical Reactions
RXN-16098	EC-2.3.1	PWY-7601		Chemical Reactions
RXN-25555		PWY-8610		Chemical Reactions
RXN-14668	EC-1.1.1	PWY-7301		Chemical Reactions
RXN-15220				Chemical Reactions
RXN-21682	EC-4.2.1.59	PWY-8175		Chemical Reactions
RXN-22319				Chemical Reactions
RXN-23965	EC-2.7.1.50	PWY-8457		Chemical Reactions
RXN-11184	EC-1.2.1.78			Chemical Reactions
RXN-23476	EC-1.11.1.12	PWY-8399		Chemical Reactions
L-RHAMNOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.173	PWY-6713 // PWY-6714		Chemical Reactions
ALKYLGLYCEROL-KINASE-RXN	EC-2.7.1.93			Chemical Reactions
RXN-22742	EC-1.5.3.24	PWY-3661		Chemical Reactions
RXN-13091		PWY-6995 // RXN-15851		Chemical Reactions
RXN-19386	EC-3.1.1.112			Chemical Reactions
RXN-19212		PWY-7951		Chemical Reactions
RXN-19693	EC-1.14.14.M30	PWY-6005		Chemical Reactions
RXN-12586	EC-1.20.2.1	PWY-4521		Chemical Reactions
RXN-19579	EC-2.1.1			Chemical Reactions
2.3.1.158-RXN	EC-2.3.1.158			Chemical Reactions
ASPAROXO-RXN	EC-2.6.1			Chemical Reactions
RXN-21556	EC-1.5.8			Chemical Reactions
R241-RXN	EC-6.2.1	PWY-8463 // PWY-5045 // P281-PWY		Chemical Reactions
RXN-18908	EC-3.2.1.207	PWY-7918 // PWY-7919		Chemical Reactions
RXN-22035	EC-2.4.99.27	PWY-8199		Chemical Reactions
RXN66-169	EC-1.14.14.1	PWY66-221		Chemical Reactions
CARNCOARACE-RXN	EC-5.1.1		carnitine racemase	Chemical Reactions
RXN-22245	EC-2.3.1.191	PWY-8245		Chemical Reactions
RXN-9535	EC-2.3.1.41 // EC-2.3.1.179	PWY-8279 // PWY-5971		Chemical Reactions
RXN1A0-6098	EC-1.17.1	PWY1A0-6120		Chemical Reactions
ACYLGLYCEROL-KINASE-RXN	EC-2.7.1.94			Chemical Reactions
RXN-9627	EC-3.1.2.2	PWY-6733		Chemical Reactions
RXN-22234		PWY-8286		Chemical Reactions
RXN-19425	EC-2.3.1.23	PWY-7618		Chemical Reactions
RXN-8753	EC-1.17.1.4	PWY-5497		Chemical Reactions
RXN0-5243				Chemical Reactions
RXN-23602	EC-1.14.14	PWY-8418		Chemical Reactions
RXN-18144		RXN-18101 // PWY-7088 // 1.14.13.68-RXN // PWY-861		Chemical Reactions
RXN-14688	EC-1.3.3.14	PWY-7354		Chemical Reactions
TRIOSEPISOMERIZATION-RXN	EC-5.3.1.1	PWY-1042 // PWY-8404 // PWY66-373 // PWY-6142 // GLYCOLYSIS // ANAGLYCOLYSIS-PWY // PWY-5484 // P341-PWY // GLUCONEO-PWY // PWY-7003 // PWY66-399 // CALVIN-PWY // P185-PWY		Chemical Reactions
RXN-24780	EC-1.1.1.36	PWY-8542		Chemical Reactions
RXNQT-4171	EC-1.1.1.85			Small-Molecule Reactions
RXN-16082	EC-2.3.1	PWY-7606		Chemical Reactions
RXN-19848	EC-2.3.1.M60	PWY-8012		Chemical Reactions
RXNQT-4310	EC-1.14.14.42	PWYQT-4472		Small-Molecule Reactions
2.4.1.96-RXN	EC-2.4.1.96			Chemical Reactions
RXN-14475	EC-3.1.3.90			Chemical Reactions
RXN-4243	EC-1.14.19.41	PWY-2541		Chemical Reactions
RXN-20117	EC-1.3.1.72	PWY-8026		Chemical Reactions
RXN-10608	EC-2.4.1.17	PWY-6261		Chemical Reactions
RXN-7698	EC-1.1.1.330	PWY-5080		Chemical Reactions
RXN-18923	EC-3.2.1.113	PWY-7919		Chemical Reactions
RXN-22203	EC-1.14.18.11	PWY-8238		Small-Molecule Reactions
RXN-18757		PWY-7901 // RXN-18758		Chemical Reactions
RXN-13521	EC-2.4.1	PWY-7071	19-<i>O</i>-&beta;-glucopyranosyl steviol 13-<i>O</i>-glucosyltransferase	Chemical Reactions
RXN-24697		PWY-8532		Chemical Reactions
RXN-11633	EC-2.1.1.182			Chemical Reactions
RXN-10065				Chemical Reactions
RXN-11270		RXN-24254		Chemical Reactions
CHOLINESTERASE-RXN	EC-3.1.1.8			Chemical Reactions
6-METHYLSALICYLATE-DECARBOXYLASE-RXN	EC-4.1.1.52	PWY-7490		Chemical Reactions
RXN-19038	EC-4.2.1.22	PWY-8359 // PWY66-426		Chemical Reactions
RXN-13689	EC-1.1.3.8			Small-Molecule Reactions
RXN-11907		RXN-13397 // PWY-2961	solavetivol monooxygenase	Chemical Reactions
RXN-20287	EC-2.3.1	PWY-8036		Chemical Reactions
RXN-11018	EC-2.5.1			Chemical Reactions
3.2.1.162-RXN	EC-3.2.1.162	PWY-6817		Chemical Reactions
RXN-15918	EC-6.3.2	PWY-7565	aspyridone A synthetase	Chemical Reactions
RXN1G-4	EC-2.3.1.189	PWY1G-0		Chemical Reactions
RXN-22977	EC-1.4.1.28			Chemical Reactions
RXN2DNV-28	EC-2.4.1.152	PWY2DNV-5		Chemical Reactions
RXN-12988	EC-4.2.3		13-epi-manool synthase	Chemical Reactions
RXN-20764	EC-4.2.1.80	TOLUENE-DEG-3-OH-PWY		Chemical Reactions
RXN-17526				Chemical Reactions
RXN-22839	EC-1.14.11.79			Chemical Reactions
DIMETHYLANILINE-N-OXIDE-ALDOLASE-RXN	EC-4.1.2.24			Chemical Reactions
2.4.1.100-RXN	EC-2.4.1.100			Chemical Reactions
RXN-18761	EC-2.4.1.195	PWY-7901		Chemical Reactions
MANNPDEHYDROG-RXN	EC-1.1.1.17	PWY-6531 // MANNIDEG-PWY		Chemical Reactions
RXN-20480	EC-4.1.1.124	PWY-8047		Chemical Reactions
RXN-25444	EC-2.4.1	PWY-5756		Chemical Reactions
RXN-20798	EC-2.1.1	PWY-8077	pyridoxine O-methylation	Chemical Reactions
RXN-21734	EC-6.2.1	PWY-8179		Chemical Reactions
RXN-11886	EC-2.1.1			Chemical Reactions
RXN-8898	EC-4.4.1.4	PWY-5706		Chemical Reactions
3.5.1.95-RXN	EC-3.5.1.95	PWY-6426		Chemical Reactions
RXN-19622	EC-1.1.1			Chemical Reactions
GST-RXN	EC-2.5.1.18			Chemical Reactions
RXNQT-4375	EC-3.1.3.106			Chemical Reactions
RXN-7063	EC-2.4.1	PWY-4421		Chemical Reactions
RXN-18974	EC-2.1.1.347			Chemical Reactions
RXN-24167	EC-2.3.1.314			Chemical Reactions
RXN-17021	EC-2.3.1.51			Chemical Reactions
RXN-12660		RXN-13751 // PWY-6915		Chemical Reactions
RXN-16923	EC-2.1.1	PWY-7695		Chemical Reactions
RXN-17932		RXN-14708		Chemical Reactions
RXN-21178	EC-1.14.19	PWY-6682		Chemical Reactions
RXN1F-13				Chemical Reactions
RXN-20706		RXN-20709 // RXN-12886 // RXN0-6444		Chemical Reactions
RXN-11247		PWY-6438		Chemical Reactions
RXN-15748	EC-6.3.2	PWY-7542		Chemical Reactions
DEOXYNUCLEOSIDE-PHOSPHATE-KINASE-RXN	EC-2.7.4.13			Chemical Reactions
RXN-17966	EC-1.1.3.49			Chemical Reactions
RXN-20469	EC-2.3.3.22	PWY-8047		Chemical Reactions
RXN-12959	EC-2.7.1.174	TRIGLSYN-PWY		Chemical Reactions
RXN-20946	EC-3.1.3.107			Chemical Reactions
RXN-11350	EC-2.4.99.28	PWY-6471		Chemical Reactions
WAX-ESTER-HYDROLASE-RXN	EC-3.1.1.50			Chemical Reactions
1.7.1.9-RXN	EC-1.7.1.9			Chemical Reactions
RXN-17333	EC-1.14.14.28			Chemical Reactions
RXN-8326	EC-1.14.19.25	PWY-762		Chemical Reactions
RXN-12136	EC-1.14.14.M33	PWY-6710		Chemical Reactions
RXN-20080		PWY490-4 // 6.3.5.6-RXN		Chemical Reactions
DEXTRIN-DEXTRANASE-RXN	EC-2.4.1.2			Chemical Reactions
RXN-22959	EC-1.4.1.28			Chemical Reactions
RXN-25552	EC-1.1.1			Chemical Reactions
RXN-23462		PWY-8395		Chemical Reactions
RXN-14756	EC-1.1.1.136			Chemical Reactions
RXN-10123				Chemical Reactions
RXN-11245	EC-1.1.1.35	PWY-6435		Chemical Reactions
RXN-18415	EC-1.17.98.2			Small-Molecule Reactions
RXN-92	EC-2.4.1	PWY-83		Chemical Reactions
RXN-25639				Chemical Reactions
RXN-7443		PWY-4961		Chemical Reactions
RXN-16966		RXN-25506 // PWY-6324		Chemical Reactions
RXN-16892		RXN-17120		Chemical Reactions
1.2.1.9-RXN	EC-1.2.1.9	PWY-1042		Chemical Reactions
RXN-18210		RXN-14986		Chemical Reactions
R621-RXN	EC-1.14.12.17			Chemical Reactions
RXN-3583	EC-2.3.1.115	PWY-2345		Chemical Reactions
RXN-11278		PWY-6446		Chemical Reactions
RXN-21620	EC-1.3.1.9	PWY-8173		Chemical Reactions
RXN-8316	EC-1.14.19.23	PWY-762		Chemical Reactions
RXN-11719	EC-4.2.1	PWY-6627		Chemical Reactions
RXN-15328	EC-2.4.2	PWY-7450		Chemical Reactions
RXN-23474	EC-1.11.1.12	PWY-8399		Chemical Reactions
RXN-15753	EC-1.1.1.377			Chemical Reactions
LACTATE-RACEMASE-RXN	EC-5.1.2.1			Chemical Reactions
RXN-14800	EC-5.3.3.8	PWY-7340		Chemical Reactions
RXN-22030	EC-2.4.99.27	PWY-8198		Chemical Reactions
RXN-21739		PWY-8179		Chemical Reactions
RXN-25278		PWY-8580		Chemical Reactions
RXN-24285	EC-1.1.1.438			Chemical Reactions
RXN-14796	EC-1.3.3.6	PWY-7340		Chemical Reactions
