.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
3893R_R_M_S5_week10_S63_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3894R_0_M_NS6_week10_S71_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3894R_0_M_NS6_week10_S71_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_0_M_S2_week10_S52_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_0_M_S2_week10_S52_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_L_M_S2_week10_S53_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3896R_L_M_S2_week10_S53_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_R_M_S2_week10_S54_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3909R_R_M_S2_week10_S54_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3974R_0_M_NS1_week10_S79_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3974R_0_M_NS1_week10_S79_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3974R_L_M_NS1_week10_S80_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
3974R_L_M_NS1_week10_S80_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Positive_control_S89_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Positive_control_S89_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_NS1_defined_mouse_inocula_S81_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_NS1_defined_mouse_inocula_S81_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_NS6_defined_mouse_inocula_S82_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_NS6_defined_mouse_inocula_S82_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_S2_defined_mouse_inocula_S83_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_S2_defined_mouse_inocula_S83_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_S5_defined_mouse_inocula_S84_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
T1D_S5_defined_mouse_inocula_S84_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
negative_control_S90_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
negative_control_S90_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
