Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1136R_RL_F_S5_week10_S58_L001_R1_001	1136R_RL_F_S5_week10_S58_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100553.0	0.0	54-301	50.0	1.8268972581623621	278.4935804998359	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1136R_RL_F_S5_week10_S58_L001_R2_001	1136R_RL_F_S5_week10_S58_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	100553.0	0.0	50-301	52.0	4.1162372082384415	257.7226935049178	272	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
1136R_R_F_S5_week10_S57_L001_R1_001	1136R_R_F_S5_week10_S57_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107380.0	0.0	51-301	50.0	1.804805364127398	277.6347830135966	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1136R_R_F_S5_week10_S57_L001_R2_001	1136R_R_F_S5_week10_S57_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107380.0	0.0	50-301	52.0	4.6125907990314765	257.51582231327995	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
1174R_0_M_S2_week9_S56_L001_R1_001	1174R_0_M_S2_week9_S56_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101044.0	0.0	52-301	49.0	2.038715806975179	278.75746209572065	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
1174R_0_M_S2_week9_S56_L001_R2_001	1174R_0_M_S2_week9_S56_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101044.0	0.0	50-301	52.0	3.7191718459285066	260.3997565417046	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
160R_0_F_S2_week10_S49_L001_R1_001	160R_0_F_S2_week10_S49_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112524.0	0.0	51-301	49.0	1.8413849489886602	278.12964345384097	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
160R_0_F_S2_week10_S49_L001_R2_001	160R_0_F_S2_week10_S49_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	112524.0	0.0	50-301	52.0	3.8276278838292273	258.5108599054424	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
160R_L_F_S2_week10_S50_L001_R1_001	160R_L_F_S2_week10_S50_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107043.0	0.0	55-301	51.0	1.7581719495903516	278.25941911194565	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
160R_L_F_S2_week10_S50_L001_R2_001	160R_L_F_S2_week10_S50_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107043.0	0.0	50-301	53.0	3.6387246246835385	256.2923124351896	272	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
184R_0_F_NS6_week10_S65_L001_R1_001	184R_0_F_NS6_week10_S65_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105178.0	0.0	51-301	49.0	1.953830648995037	278.34382665576453	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
184R_0_F_NS6_week10_S65_L001_R2_001	184R_0_F_NS6_week10_S65_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105178.0	0.0	50-301	51.0	4.187187434634619	262.54683488942555	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
184R_L_F_NS6_week10_S66_L001_R1_001	184R_L_F_NS6_week10_S66_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115085.0	0.0	58-301	48.0	1.791719164096103	279.3948385975583	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
184R_L_F_NS6_week10_S66_L001_R2_001	184R_L_F_NS6_week10_S66_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115085.0	0.0	50-301	50.0	3.703349698049268	265.15734457140377	277	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
2403R_L_F_NS6_week10_S67_L001_R1_001	2403R_L_F_NS6_week10_S67_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119486.0	0.0	51-301	48.0	1.658771738948496	279.4215221866997	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
2403R_L_F_NS6_week10_S67_L001_R2_001	2403R_L_F_NS6_week10_S67_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	119486.0	0.0	50-301	50.0	3.3644108933264145	265.45691545453025	277	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
2446R_0_F_S2_week9_S55_L001_R1_001	2446R_0_F_S2_week9_S55_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113560.0	0.0	53-301	49.0	1.9452271926734765	278.2852412821416	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
2446R_0_F_S2_week9_S55_L001_R2_001	2446R_0_F_S2_week9_S55_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113560.0	0.0	50-301	52.0	3.6297992250792532	260.33048608665024	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
2472R_0_F_NS1_week10_S73_L001_R1_001	2472R_0_F_NS1_week10_S73_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121575.0	0.0	52-301	49.0	1.8482418260333127	277.7158379601069	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
2472R_0_F_NS1_week10_S73_L001_R2_001	2472R_0_F_NS1_week10_S73_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121575.0	0.0	50-301	52.0	4.837343203783673	257.57779971211187	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
2472R_R_F_NS1_week10_S74_L001_R1_001	2472R_R_F_NS1_week10_S74_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108445.0	0.0	54-301	49.0	1.8949698003596294	278.76853704642906	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
2472R_R_F_NS1_week10_S74_L001_R2_001	2472R_R_F_NS1_week10_S74_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	108445.0	0.0	50-301	52.0	4.569136428604362	258.0664760938725	272	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
2506R_0_F_NS6_week10_S68_L001_R1_001	2506R_0_F_NS6_week10_S68_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101566.0	0.0	55-301	50.0	1.9199338361262628	278.5202429947029	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
2506R_0_F_NS6_week10_S68_L001_R2_001	2506R_0_F_NS6_week10_S68_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101566.0	0.0	51-301	52.0	3.7611011558986274	263.64490085264754	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
2518R_L_M_S5_week10_S61_L001_R1_001	2518R_L_M_S5_week10_S61_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113557.0	0.0	57-301	49.0	1.7902903387725988	277.9729034757875	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
2518R_L_M_S5_week10_S61_L001_R2_001	2518R_L_M_S5_week10_S61_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113557.0	0.0	50-301	52.0	4.235758253564289	258.753700784628	277	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
2518R_R_M_S5_week10_S62_L001_R1_001	2518R_R_M_S5_week10_S62_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	103043.0	0.0	54-301	50.0	1.850683695156391	278.32473821608454	282	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
