Sample name,Internal sample name,Suffix,Taxonomy (GTDB-tk),Community,NS1,NS6,S2,S5,Source sample ID
T1D_S_3_4_CNA_AN,S_S2_Bd_066,066,Bifidobacterium dentium,S2,,,X,,T1D_S_3
G37020_NB_15_AN,S_NS1_Ba_008,008,Bifidobacterium longum,NS1,X,,,,T1D_NS_1
G37020_NB_3_AN,S_NS1_Blss_009,009,Bifidobacterium longum,NS1,X,,,,T1D_NS_1
T1D_NS_4_1_FAA-NB_AN,S_NS6_Blss_040,040,Bifidobacterium longum,NS6,,X,,,T1D_NS_0
T1D_S_2_6_TSA_AN,S_S2_Blss_067,067,Bifidobacterium longum,S2,,,X,,T1D_S_2
T1D_S_5_14_FCC_AN,S_S5_Blss_094,094,Bifidobacterium longum,S5,,,,X,T1D_S_5
G37020_36_MRS_AN,S_NS1_Bp_010,010,Bifidobacterium pseudocatenulatum,NS1,X,,,,T1D_NS_1
T1D_S_5_12_FMU_AN,S_S5_Bp_095,095,Bifidobacterium pseudocatenulatum,S5,,,,X,T1D_S_5
T1D_S_5_70_FAA(EtOH)_AN,S_S5_Lp_109,109,CHH4-2 sp018378255,S5,,,,X,T1D_S_5
T1D_NS_0_6_TSA_AN,S_NS1_Ca_028,028,Collinsella sp902362275,"NS1, NS6",X,X,,,T1D_NS_0
T1D_S_3_1_FMU_AN,S_S2_Ca_088,088,Collinsella sp902472315,"S2, S5",,,X,X,T1D_S_3
T1D_S_5_61_ACE_AER,S_S5_Bg_092,092,Cytobacillus undefined,S5,,,,X,T1D_S_5
G37020_43_CNA_AN,S_NS1_El_014,014,Eggerthella lenta,NS1,X,,,,T1D_NS_1
T1D_NS_6_16_MRS_AN,S_NS6_El_044,044,Eggerthella lenta,NS6,,X,,,T1D_NS_6
T1D_NS_6_6_FAA_AN,S_NS6_El_045,045,Eggerthella lenta,NS6,,X,,,T1D_NS_6
T1D_S_2_1_FAA_AN,S_S2_El_072,072,Eggerthella lenta,S2,,,X,,T1D_S_2
T1D_S_2_2_YPD_AN,S_S2_El_073,073,Eggerthella lenta,S2,,,X,,T1D_S_2
T1D_S_5_18_GAM_AN,S_S5_El_100,100,Eggerthella lenta,S5,,,,X,T1D_S_5
T1D_NS_6_104_NB_AN,S_NS6_Em_046,046,Eisenbergiella porci,NS6,,X,,,T1D_NS_6
T1D_NS_6_105_FMU_AN,S_NS6_Em_047,047,Eisenbergiella porci,NS6,,X,,,T1D_NS_6
T1D_S_5_61_MRS_AN,S_S5_Em_101,101,Eisenbergiella porci,S5,,,,X,T1D_S_5
G37020C_EtOH_29_AN,S_NS1_Et_015,015,Eisenbergiella tayi,NS1,X,,,,T1D_NS_1
T1D_NS_6_101_FMU_AN,S_NS6_Et_048,048,Eisenbergiella tayi,NS6,,X,,,T1D_NS_6
T1D_S_2_2_GAM_AN,S_S2_Et_074,074,Eisenbergiella tayi,S2,,,X,,T1D_S_2
T1D_S_2_4_FMU_AN,S_S2_Et_075,075,Eisenbergiella tayi,S2,,,X,,T1D_S_2
T1D_S_5_61_FAA_AN,S_S5_Et_102,102,Eisenbergiella tayi,S5,,,,X,T1D_S_5
T1D_S_5_9_PEC_AN,S_S5_Dg_099,099,Enterocloster alcoholdehydrogenati,S5,,,,X,T1D_S_5
G37020C_EtOH_30_AN,S_NS1_Cb_011,011,Enterocloster bolteae,NS1,X,,,,T1D_NS_1
T1D_NS_6_103_FAA(EtOH)_AN,S_NS6_Cb_041,041,Enterocloster bolteae,NS6,,X,,,T1D_NS_6
