ID	Total pathways	Naive	MinPath	Bacteria	Non-Bacteria	Glycan pathways	Metabolite activation/inactivation/interconversion	Macromolecule modification	Detoxification	Transport	Bioluminescence/fluorescence/chromoprotein biosynthesis	Degradation/utilization/assimilation	Superpathways	Generation of precursor metabolites and energy	Metabolic clusters	nan	Biosynthesis
S_S2_Ef_078_v1v9_default_parsed_report.tsv	499	499	372	367	132	18	7	15	10	0	1	143	245	88	21	494	246
S_NS1_Ba_008_v1v9_default_parsed_report.tsv	335	335	197	235	100	15	4	13	3	0	0	79	183	63	14	332	174
S_S5_Ef_104_default_parsed_report.tsv	504	504	381	371	133	18	8	15	11	0	1	146	245	88	21	499	246
S_NS6_Bu_034_default_parsed_report.tsv	365	365	252	253	112	21	5	12	5	0	1	75	200	62	17	361	207
S_NS1_Fp_019_v1v9_default_parsed_report.tsv	363	363	235	258	105	10	3	13	5	0	1	100	200	68	15	360	176
S_NS6_Ss_059_default_parsed_report.tsv	324	324	199	229	95	11	4	14	5	0	1	73	180	47	16	321	180
S_NS1_Bu_006_v1v9_default_parsed_report.tsv	368	368	254	255	113	21	5	12	5	0	1	76	200	65	17	364	207
S_S5_Bv_093_default_parsed_report.tsv	409	409	281	291	118	23	5	13	7	0	1	100	214	68	20	405	221
S_S2_Fp_079_default_parsed_report.tsv	333	333	216	239	94	11	5	14	5	0	0	73	186	56	17	330	182
S_S2_Bd_066_v1v9_default_parsed_report.tsv	340	340	199	244	96	13	3	13	4	0	0	84	191	63	14	337	174
S_S2_El_073_v1v9_default_parsed_report.tsv	341	341	224	242	99	8	3	13	6	0	0	79	185	59	16	337	189
S_S5_Ef_104_v1v9_default_parsed_report.tsv	504	504	381	371	133	18	8	15	11	0	1	146	245	88	21	499	246
S_NS1_Eh_016_v1v9_default_parsed_report.tsv	373	373	241	264	109	13	5	16	6	0	1	96	198	67	19	369	187
S_S5_Pd_110_v1v9_default_parsed_report.tsv	387	387	280	275	112	19	5	11	7	0	1	89	204	74	19	383	206
S_S5_Lp_109_default_parsed_report.tsv	389	389	258	286	103	17	4	15	6	0	0	97	209	80	15	386	191
S_S2_Ca_088_default_parsed_report.tsv	294	294	183	206	88	7	2	13	3	0	0	71	170	50	12	291	159
S_S5_Ea_103_default_parsed_report.tsv	377	377	248	273	104	12	4	16	6	0	0	102	206	62	19	373	190
S_S2_Bv_065_default_parsed_report.tsv	406	406	279	287	119	22	5	12	7	0	1	99	214	68	20	402	218
S_S5_Lp_109_v1v9_default_parsed_report.tsv	389	389	258	286	103	17	4	15	6	0	0	97	209	80	15	386	191
S_NS1_Ig_115_default_parsed_report.tsv	363	363	231	264	99	7	3	14	5	0	0	103	200	71	15	360	172
S_NS1_Bp_010_v1v9_default_parsed_report.tsv	326	326	186	232	94	14	3	13	3	0	0	74	181	63	14	323	170
S_NS6_Bx_038_default_parsed_report.tsv	385	385	271	271	114	20	5	11	5	0	1	92	205	67	19	381	208
S_NS1_Shsn_025_v1v9_default_parsed_report.tsv	389	389	260	269	120	7	7	16	7	0	1	101	198	68	20	386	196
S_NS6_Am_029_default_parsed_report.tsv	329	329	214	229	100	13	4	14	3	0	0	54	188	64	16	325	191
S_S5_Cb_096_default_parsed_report.tsv	413	413	280	304	109	16	5	14	5	0	0	118	225	78	17	409	199
S_S5_Sc_120_v1v9_default_parsed_report.tsv	399	399	274	274	125	7	7	15	7	0	1	106	203	69	21	396	201
S_S2_Cs_071_default_parsed_report.tsv	381	381	247	280	101	12	3	15	5	0	1	101	213	69	14	377	192
S_S5_Af_090_v1v9_default_parsed_report.tsv	327	327	212	223	104	13	3	12	5	0	1	61	184	54	15	323	194
S_NS6_Ca_028_v1v9_default_parsed_report.tsv	299	299	181	209	90	7	3	13	2	0	0	71	175	50	12	296	165
S_S5_Ea_103_v1v9_default_parsed_report.tsv	377	377	248	273	104	12	4	16	6	0	0	102	206	62	19	373	190
S_S2_Shsn_087_default_parsed_report.tsv	387	387	256	266	121	7	7	16	7	0	1	99	197	68	20	384	196
S_S2_Cc_069_v1v9_default_parsed_report.tsv	322	322	207	233	89	7	4	15	4	0	0	63	186	57	12	319	177
S_S2_Fp_080_v1v9_default_parsed_report.tsv	364	364	243	260	104	10	3	13	5	0	1	101	201	68	15	361	176
S_NS6_Ef_050_v1v9_default_parsed_report.tsv	371	371	251	258	113	9	4	15	5	0	0	100	196	68	19	368	182
S_S5_He_108_default_parsed_report.tsv	379	379	250	272	107	18	4	13	5	0	1	99	206	60	15	375	199
S_NS1_Ca_028_v1v9_default_parsed_report.tsv	299	299	181	209	90	7	3	13	2	0	0	71	175	50	12	296	165
S_S5_Fp_106_default_parsed_report.tsv	365	365	243	261	104	10	3	13	5	0	1	103	200	68	15	362	175
S_NS6_Ba_039_v1v9_default_parsed_report.tsv	331	331	187	232	99	14	4	13	2	0	0	74	184	65	13	328	174
S_S5_Am_089_v1v9_default_parsed_report.tsv	331	331	218	232	99	13	5	14	3	0	0	56	189	64	16	327	191
S_S2_Cb_068_default_parsed_report.tsv	404	404	275	297	107	15	4	14	5	0	0	117	218	77	17	401	192
S_NS6_El_044_v1v9_default_parsed_report.tsv	342	342	220	243	99	7	3	13	6	0	0	78	184	64	16	338	187
S_S2_Cc_070_v1v9_default_parsed_report.tsv	392	392	260	286	106	12	4	14	4	0	0	108	217	74	16	389	192
S_S5_Cb_096_v1v9_default_parsed_report.tsv	413	413	280	304	109	16	5	14	5	0	0	118	225	78	17	409	199
S_NS6_Ef_049_default_parsed_report.tsv	373	373	253	260	113	9	4	15	5	0	0	100	197	68	19	370	184
S_NS1_El_014_v1v9_default_parsed_report.tsv	342	342	224	243	99	7	3	13	5	0	0	75	184	63	16	338	190
S_NS6_Hh_054_default_parsed_report.tsv	378	378	253	274	104	16	5	12	5	0	1	103	208	64	14	375	191
